6.1.1	Prajapati was this (universe).
11.10.76	"He says, 'Satisfy the ocean with waters.'
11.10.77	He satisfies the waters with the ocean.
11.10.78	He unites these and those.
11.10.79	'Those gods who have a share in heaven.'
11.10.80	He shakes the black antelope skin.
11.10.81	He satisfies the directions and the deities.
11.10.82	And these worlds of his become desired and pleased.
11.10.83	This is the Kariri sacrifice.
11.10.84	One who performs this sacrifice should not eat karira fruits for a year.
11.10.85	This is the vow of this sacrifice.
12.1.1	One should perform the Payasya sacrifice for the removal of disease.
12.1.2	The Maitravaruni sacrifice should be performed by a Brahmin, the Indravaruni by a Kshatriya and the Agnivaruni by a Vaishya.
12.1.3	The Agni sacrifice is for prosperity.
12.1.4	Maitra, the Brahman, is the deity.
12.1.5	This one who is afflicted by disease is seized by Varuna.
12.1.6	He approaches his own deity with the sacrificial portion.
12.1.7	He frees him from Varuna with the Varuna rite.
12.1.8	The king, the son of Indra, is the deity
12.1.9	This one who afflicted by disease is afflicted by Varuna. He approaches his own deity
12.1.10	with the sacrificial portion.
12.1.11	He releases him from Varuna with the Varuna-rite.
12.1.12	Agni is all the deities.
12.1.13	There, the one who is afflicted by disease is also released from Varuna.
12.1.14	He approaches his own deity with the sacrificial offering.
12.1.15	He releases him from Varun with the Varuna rite.
12.1.16	It is a Payasyā (rite).
12.1.17	Payasya means milk.
12.1.18	Milk is a man.
12.1.19-26	He offers milk to her in whose house he offers. He wins his milk with milk. It is a cake. Having made him firm, he establishes him. A man is an animal. A cake is an animal. He wins the animal with the animal. He offers after having arranged (the oblations).
12.1.27	Just as a surgeon removes a dart by probing for it, so does he remove the consumption from the middle of him.
12.1.28	He offers the Avadha to Agni in the middle.
12.1.29	Just as a surgeon removes the dart, and then binds and dresses the wound, so does he do that.
12.1.30	Now these are the single-skull (offerings).
12.1.31	One should not offer a man with skulls.
12.1.32	He offers him only once.
12.1.33	There are eight of them.
12.1.34	There are eight kinds of hair on a man.
12.1.35	He obtains him through the hair.
12.1.36	He offers them in succession.
12.1.37	The noose of Varuna is here and there.
12.1.38	Wherever the noose of Varuni is, he releases him from there.
12.1.39	The offering is defective if one offers it in a place without fire.
12.1.40	All offerings should be made in fire.
12.1.41	Agni is all the deities.
12.1.42	He obtains those very objects.
12.1.43	One does not offer a burnt oblation.
12.1.44	One should perform the Payasya sacrifice for the sake of progeny.
12.1.45	The Agniya (rite) is indeed successful.
12.1.46	The Brahmanical deity is Mitra.
12.1.47	He who is unable to be with his own kinsmen, though he is capable of being with them, is seized by Varuna.
12.1.48	He approaches his own deity with the sacrificial offering.
12.1.49-59	He releases him with the Varuna-rite from Varuna. It is a Payasyā (rite). Payasyā means milk. Milk is the commoner. He wins milk with milk. He arranges (the offerings). He satisfies the directions. He gathers (the offerings). He gathers the commoners for him. The Brahmanas have a common skull. One desiring cattle should offer a Payasyā sacrifice.
12.1.60	By means of prosperity, Agni is the deity.
12.1.61	Maitra is the Brahmanical deity.
12.1.62	He who is capable of having cattle but does not have cattle is seized by Varuna.
12.1.63	He approaches his own deity with the sacrificial portion.
12.1.64	He releases him from Varuna with the Varuna rite.
12.1.65	It is a Payasyā (rite).
12.1.66	Payasyā means milk.
12.1.67	Cattle are milk.
12.1.68	He wins milk with milk.
12.1.69	He arranges.
12.1.70	He satisfies the directions.
12.1.71	He gathers.
12.1.72	He gathers cattle for him.
12.1.73	The Brahmana of the single-headed ones is the same.
12.1.74	One who desires prosperity should offer a sacrifice with milk.
12.1.75	The Agniya (rite) is indeed prosperity.
12.1.76	The Brahmanas are the deity.
12.1.77	He who is seized by Varuna, though he is capable of prosperity, does not prosper.
12.1.78	He approaches his own deity with the sacrificial portion.
12.1.79	He frees him from Varuna with the Varuna rite.
12.1.80	It becomes Payasyā.
12.1.81	Payasyā is milk.
12.1.82	Man is milk.
12.1.83	He obtains milk with milk.
12.1.84	He arranges (the oblations).
12.1.85	He satisfies the directions.
12.1.86	He gathers (the oblations)
12.1.87	He bestows prosperity on him.
12.1.88	The Brahman is the same for those with one skull.
12.2.1	You are firm.
12.2.2	May I be firm among my kinsmen, and may my kinsmen be firm in me.
12.2.3	You are the fierce one, the one who knows wealth.
12.2.4	You are victorious.
12.2.5	May I prevail over my kinsmen.
12.2.6	You are steadfast, the one who bestows wealth.
12.2.7-13	You are the overlord. May I be the overlord of my kinsmen. The brave one, the protector, the bestower of wealth. You are the wise one. May I, the wise one, be the overlord among my kinsmen. The brave one, the wise one. The brave one. The brave, the protector, the bestower of wealth, the wise one The gods who are united, of one mind, whom I desire with my heart, may they desire me with their hearts. May they be of one mind with me. Svāhā.
12.2.14	The goddesses, the women, who are of one mind, whom I desire with my heart, may they desire me with their hearts. May they make me of one mind with them. Svāhā.
12.2.15	The gods, the sons, the cattle, who are of the same mind, whom I long for with my heart, let them long for me with their hearts, and may they make me of the same mind with them.
12.2.16	The gods and the Asuras were in conflict.
12.2.17	The Asuras were more intelligent.
12.2.18	The gods were as if without minds.
12.2.19	The gods saw this means of capturing.
12.2.20	By it they captured the minds of the Asuras.
12.2.21	Then indeed they became without minds.
12.2.22	One captures one's enemy's mind.
12.2.23	He becomes without mind and is defeated.
12.2.24	One should offer with this for the sake of cattle.
12.2.25	By this indeed the gods captured the cattle of the Asuras.
12.2.26	Then indeed those cattle were defeated.
12.2.27	He seizes the cattle of his enemy.
12.2.28	His cattle are defeated.
12.2.29	One who desires cattle should offer with this (rite).
12.2.30	The mind is seized, as it were, by one's own kinsmen.
12.2.31	He seizers the minds of all his kinsmen.
12.2.32	They do not drive him away, having their minds seized.
12.2.33-41	The Vaiśvadeva (rite) should be performed. For the Vaiśvadeva rite is for all kinsmen. When milk is milked from a cow with a calf of the same colour, it becomes (fit to be offered). For the cow with a calf is Vaiśvadevī. They collect ghee from all kinsmen. For the Vaiśvadev rite. For the rite of Vaiśvadeva is for all kinsman. "He says, "You are firm." He places the pots around.
12.2.42	He places them on the same level.
12.2.43	"The gods are united."
12.2.44	Having made the offering, he says,
12.2.45	"The mind is grasped, just as the women are united, just as the men are united, just like the boys are united."
12.2.46	He grasps the minds of all his relatives.
12.2.47	They do not abandon him, being thus grasped by the mind.
12.2.48	He who offers the oblations between the Prayājas and Anuyājas, cuts off the sacrifice.
12.2.49	They should be offered when the sacrifice is completed.
12.2.50	If one were to offer them when the sacrifice is not completed, one would exclude oneself from one's kinsmen.
12.2.51	One should offer them between the Prayāja and Anuyāja offerings.
12.2.52	The Prayāja offerings are the vital breaths.
12.2.53	The Anuyāja offerings are the out-breaths.
12.2.54	The oblation is the self.
12.2.55	He places the relatives in the middle of himself.
12.2.56	If one desires, one should offer with a wooden (implement).
12.2.57	"If one desires, "May the relatives come quickly."
12.2.58	They go away quickly again."
12.2.59	Thus indeed, the trees are unsteady, moving and unmoving.
12.2.60	If one wishes, one should offer on clay (implement).
12.2.61	If one desires: "May the relatives come for a long time."
12.2.62	They went away again after a long time.
12.2.63	Thus indeed this (earth) is firmly established, as if moving and unmoving.
12.3.1	Indra took up the thunderbolt against Vritra.
12.3.2	He said:
12.3.3	"This power is in me.
12.3.4	I shall give it to you.
12.3.5	Do not strike me."
12.3.6	He gave it to him.
12.3.7	He knew:
12.3.8	"Is there any strength in him?"
12.3.9	He gave him the second, he gave him the third.
12.3.10	He said:
12.3.11	"There is strength in me.
12.3.12	I will give it to you.
12.3.13	Do not strike me."
12.3.14	He gave it to him.
12.3.15	He gave him a sacrifice.
12.3.16	He gave a sacrifice.
12.3.17	To Indra he gave.
12.3.18-26	Therefore the offering to Indra-Vishnu is made. He gave him his own strength. It became powerless and was laid down. Vishnu followed it with his strength. He said, "Give me once, O Vishnu! Give me twice, O Vishnu! Give me thrice, O Vishnu!" That is why it is called "to be performed three times."
12.3.27	Indra, having killed Vritra, threw him into the human corpse.
12.3.28	Soma is Vritra's belly.
12.3.29	The human corpse is the belly.
12.3.30	Therefore Soma is drunk in the belly.
12.3.31	That is why they say:
12.3.32	"Vritra is killed, he is spread out."
12.3.33	The sacrifice fled from the Asuras.
12.3.34	Having placed the vessels on his lap, he makes this form, and the oblations are scattered.
12.3.35	He returned to Indra.
12.3.36	Indra performed a sacrifice with it.
12.3.37	Then the gods became (victorious),
12.3.38	and the Asuras became (defeated).
12.3.39	He who, knowing this, performs a sacrifice with this (form), becomes victorious, and his enemy becomes defeated.
12.3.40	The sacrifice came (to him).
12.3.41	He approached Indra.
12.3.42	Therefore the offering to Indra-Vishnu is made.
12.3.43	He first gave him the verses, then the Sama hymns, then the Yajus mantras.
12.3.44	This is the source of Brahman.
12.3.45	From this everything was created - verses, Sama hymns, Stotras, Yajus mantra.
12.3.46	One attains the source of Brahman.
12.3.47-54	He passes over all this. The Srīñjayas performed this sacrifice. They passed over all this. But it was not long before they were deprived of it. Therefore, one should not use it again and again. One who performs this sacrifice severs the continuity (of the sacrifice). One should perform this sacrifice even for one's son. For the continuity.
12.3.55	By the power of this (Agni) Vritra grows higher and higher every day by the length of an arrow, and by the length of the arrow across.
12.3.56	And what he breathes out, that does not return to him again.
12.3.57	He who, knowing this, offers with this (Agni), grows in offspring and in cattle.
12.3.58	One should offer for all desires.
12.3.59	This sacrifice is indeed all.
12.3.60	For all the desires, a sacrifice is performed.
12.3.61	One should perform a sacrifice for subjugation.
12.3.62	One should not give a gift.
12.3.63	One should employ him after making him a debtor,
12.3.64	because a debtor is one who does not give gifts.
12.4.1	One who desires prosperity should offer three oblations.
12.4.2	There are three worlds.
12.4.3	Having obtained these worlds, he obtains strength and power.
12.4.4	The northern one is the greater.
12.4.5	For the northern one is the greatest of these worlds. They are in order.
12.4.6	For thus are these worlds.
12.4.7	There are twelve potsherds.
12.4.8	For there are three sets of four.
12.4.9	For prosperity.
12.4.10	He offers the oblation of all (worlds) together.
12.4.11	The Chāmbata is the first.
12.4.12	He who does not censure, he does the Chāmbata.
12.4.13	The Chāmbata does not move for him.
12.4.14	The first is made of barley, then of barley, then made of barley.
12.4.15	Barley is like red (colour).
12.4.16	This world is like red.
12.4.17	That one is like red. (The Chāmbara)
12.4.18	Barley is white.
12.4.19	The space is like white.
12.4.20	The worlds are connected by the sky.
12.4.21	For the connection of these worlds.
12.4.22	One should not make the best offering of rice-gruel.
12.4.23	For the non-diminution of the cattle.
12.4.24	Three cows are the fee.
12.4.25	Three oblations of ghee.
12.4.26	Three golden coins.
12.4.27	This is the form of the Yajus, that the oblations of ghee are scattered.
