1.1.1	Agni is the lowest of the gods, Vishnu is the highest, and between them are all the other gods.
2.37.17	The Adhvaryu takes up the Indra-Agni cup with the verse, "Indra and Agni have come to the Soma pressed with the verses. They have come to the most desirable heaven. They drink it for the sake of the desired thought." The Hotṛ chants the silent praise with the verses, "Agni is the earth, Agni is the light, Indra is the light, the light is the earth, Indra is the sun, the light is Surya, the light is heaven." Thus the Yajyās are chanted in the same way as the Sastra.
2.38.1	He mutters the Hotr's formula, he sprinkles the semen.
2.38.2	He mutters in a low voice, for the sprinkling of semen is as it were in a low voice.
2.38.3	He muttters before the invocation, for whatever is above the invocation is indeed the weapon.
2.38.4	He invokes him sitting facing the opposite direction and with four feet. Therefore, having become facing the opposite direction, with four feet, they sprinkle the semen.
2.38.5	It is right, it is two-footed. Therefore, having become right and two-footed, they sprinkle semen.
2.38.6	He says, "Father, O Parjanya!" Parjanya is indeed the father, Parjanya is the father, Parganya is semen, he sprinkles semen.
2.38.7	"With unbroken feet, O Goddess!" Semen is indeed unbroken, for from it one is born unbroken.
2.38.8	The poets, reciting the flawless verses, are the Anucasanas. They are the poets. They generate this flawless seed. That is what he says.
2.38.9-10	Soma, the all-knowing, has brought the hymns; Brihaspati has sung the praises. The Brahman is Brihaspati, the Kshatra is Soma. The hymns and praises are the weapons of praise. He sings the hymns with both the divine Brahman and the divine Kshatra. These two indeed are the lords of all this creation.
2.38.11	Whatever he does without begetting by these two, that is not done. That is not done. They censure it, saying, 'It is not done.'
2.38.12	For him who knows this, what is done becomes done. What is not done does not become done.
2.38.13	He says, 'Speech is life, all-life, all-life.' Life is breath, breath is semen, speech is the womb. Having united with the womb, he pours semen.
2.38.14	"Who will proclaim this?" He says, "Prajapati will proclaim this." Prajapati is the one who generates. He says, "Who will generate?"
2.39.1	He recites the silent praise after being called. The semen that is deposited is transformed. First there is deposition, then transformation.
2.39.2	He recites the Upāṃśu and Tūṣṇiṃśaṃśa silently, for the impregnation of semen is like the Upāṃshu.
2.39.3	He recites the Tūṣṇīṃśaṃsa silently as if in a hole, for the semen is transformed as if in a pit.
2.39.4	He recitates the Tūṣnīṃśaṃṣa in six places, for man is sixfold, and the self is six-limbed. He thus transforms the self into the sixfold, six-limbed.
2.39.5	Having chanted the silent praise, he chants the Puroruc. That is the semen which is transformed and generates. Transformation is first, then generation.
2.39.6	He chants the Puroruca loudly. He generates it loudly.
2.39.7	He recites the Puroruc verses of twelve feet. The year has twelve months, the year is Prajapati, he is the progenitor of all this. He who is the progenitor of this all, he indeed generates him through progeny and cattle for propagation.
2.39.8	He who knows this, is generated through progeny and cattle.
2.39.9	He recites the Puroruca verse of Jātavedas. Jātavedā is the Anga.
2.39.10	They say that the third pressing itself is the abode of Jātavedas. But why does one recite the Puroruc verse to Jātavedā at the morning pressing?
2.39.11	Jātavedas is indeed the breath. He knows the extent of those who are born. Those who are born, he knows. Those who are not born, he does not know. What would they be? Or he who knows the self-purification of the ghee, that is well known.
2.40.1	He recites, "For you, O gods, to Agni." The breath is the "pra." All these beings follow the breath. He thus makes it abundant, makes it pure.
2.40.2	He recites, "The shining, the new." The mind is the "shining." There is nothing before the mind. He thus makes the mind abundant, makes it purified.
2.40.3	"He praises, 'May our shields be free from distress.' Speech is the shield. Therefore, when one speaks in accordance with speech, he says, 'May our means of protection be free from distress,' thereby he makes speech flourish, he makes speech prosper.
2.40.4	"O Brahman, do you proclaim to us the truth." The Brahman is the ear, for by the ear one hears the Brahman. The Brahman is established in the ear. He thus makes it flourish and cultivates the ear.
2.40.5	He praises him as the controller of these (vital airs). The Apana is the controller, for it is by the Apana that this (body) is controlled. The Prāṇa does not go beyond the Apana. He thus makes the Apana grow and develops it.
2.40.6	He who is truthful, whose truthfulness is praised by the two worlds, he who is truthful, his truthfulness is praised. He who of two disputing parties says, "I saw with my eyes," they believe him. He makes his truthfulness manifest, he makes his truthfulness perfect.
2.40.7	"Now do thou bestow on us a thousandfold, a progeny-bearing, a prosperity-bearing (gift). The Self is the whole, the thousandfold, the progeny-bearing, the prosperity-bearing. He thus makes the Self whole, makes the Self thousandfold, makes the Self progeny-bearing, makes the Self prosperity-bearing."
2.40.8	The Yajya is the offering, the Lakṣmī is the auspicious, he makes the auspicious Lakṣmī prosper, he makes the prosperous Lakṣmī flourish.
2.40.9	He who knows this, being composed of the Vedas, composed of the deities, composed of Brahman, composed of immortality, attains the deities. He who knows this.
2.40.10	He who knows that, as he is composed of the Vedas, composed of the deities, composed of Brahman, composed of immortality, he attains the deities. That is well known.
2.40.11	Thus is the Adhyatma. Now is the Adhidevata.
2.41.1	He recites the six-footed silent praise. The six seasons are the seasons. He creates them. He attains the seasons.
2.41.2	He recites the Puroruc verse with twelve feet. There are twelve months. He thus arranges the months and reaches the months.
2.41.3	He recites, "For you, O gods, to Agni." The space is the end. All these beings move towards the space. He thus arranges space and reaches space.
2.41.4	He praises him as the one who shines, the unequalled. Agni is the one who shines. There is nothing prior to him. He makes him (Agni) alone. He approaches him alone.
2.41.5	He praises him as the protector of our shields. Agni is the protector of shields. He bestows food. He makes Agni alone. He approaches Agni alone.
2.41.6	"O Brahman, do not be angry with us." He recites this. The Brahman is the moon. He thus makes the moon. He approaches the moon.
2.41.7	"He who is the leader of these." He recites thus. The leader is the wind. This is led by the wind. The sky does not fall. He thus makes wind. He approaches the wind.
2.41.8	"He praises him as 'the true one of heaven and earth', for heaven and earth are the Rodasi (heaven and earth). He thus establishes heaven and earth. He goes to heaven and earth.
2.41.9	"Do thou pour for us a thousandfold, for offspring, for nourishment, for wealth." With the last verse he concludes. The year is the whole, the thousandfold, the offspring, the nourishment, the wealth. He thus makes the year the whole, the offspring, nourishment, wealth. He attains the whole year.
2.41.10	He offers with the Yajya. The Yajya is the rain, the Vidhu is lightning. He thus bestows the rain, the food, on this (earth). He thus makes the lightning, he reaches the lightning.
2.41.11	He who knows this becomes one with the deity, becomes one with the gods.
3.1.1	The Prauga is the same as the Grahoktha. Nine Grahas are taken in the morning, nine hymns are sung in the Bahispavamana, and the tenth is taken in the Stoma-sastra. The tenth of the others is the Hinkara. Thus it is complete.
3.1.2	He recites the Vayu-sastra, thereby he becomes the Vayu-ukthavani.
3.1.3	He recitess the Indra-Vayu-sastra. Thereby he becomes the Indra-Vauyu-ukthavaniya.
3.1.4	He recites the Maitrāvaruṇa hymn. By that he is the Utkhavant of Maitrāvaruṇa.
3.1.5	He recites the Āśvina hymn. By that, he is the Uktkhavant of the Ashvins.
3.1.6	He recitates the Indra hymn. By that (he is) the Utkhavantau with Sukra and Ammani.
3.1.7	He recitaes the Vaishvadev hymn. By that the Aghayan is the Utkhavan.
