1.1.1.1	For you, O Agni, for the well-being.
1.8.4.15	If one were to remove the fire towards the east, the sacrificer would perish.
1.8.4.16	If towards the west, the wife.
1.8.4.17	The Brahmavadins say, "Which fire did he enter?"
1.8.4.18	One should remove it towards the north.
1.8.4.19	They are not grasped, they become old.
1.8.4.20	All life is from here.
1.8.4.21	He is not led to distress.
1.8.4.22	He offers four times.
1.8.4.23	He wins cattle by means of the four-footed (animals).
1.8.4.24	He offers twice.
1.8.4.25	He wins by means of the two-footed (animals)
1.8.4.26	If one desires, 'May he be the eldest and prosper by progeny', then he should offer the full (portion) first, then the smaller, then the smallest.
1.8.4.27	He prospers by progeny as the eldest.
1.8.4.28	They say, "He approaches a lesser sacrifice, a lesser progeny, lesser cattle, and lesser food."
1.8.4.29	One becomes worse.
1.8.4.30	One should gradually increase the size of the oblations, then more, then more, until the last one is full.
1.8.4.31	For the completion of the sacrifice.
1.8.4.32	They say, "He approaches a greater sacrifice, he obtains greater progeny, greater cattle, greater food, he becomes more prosperous, his youngest son becomes a rich man."
1.8.4.33	If one desires, "May all be equal," one should bring them all together at the end.
1.8.4.34	All become equal.
1.8.4.35	He should not put it in later.
1.8.4.36	That is the transgression of the sacrifice.
1.8.4.37	He should put it in wherever he has taken it.
1.8.4.38	Or the sacrifice is taken across for the sake of crossing.
1.8.4.39	He makes the one who is thinking later, when they offer in the former (fire) while they are burning in the latter.
1.8.4.40	They carry the fire of the same time.
1.8.4.41	He pleases him with that alone.
1.8.4.42	Now this is the filter of the Agnihotra.
1.8.4.43	He indeed nourishes it.
1.8.4.44	For the Agnihotra was created before the other (offerings), and he made it so much.
1.8.4.45	Therefore one offers after having run forward.
1.8.4.46	He places (the oblation) with the verse, "Grant me life."
1.8.4.47	He indeed grants life to it.
1.8.4.48	He places it with the verse, "Grant me radiance."
1.8.4.49	He indeed bestows radiance on it.
1.8.4.50	The plants, indeed, were born from the poison of Rudra.
1.8.4.51	They were not liked by the cattle.
1.8.4.52	The gods then approached Prajapati.
1.8.4.53	Prajapati said, "I choose the oblation. Let my share be."
1.8.4.54	They said, "Choose."
1.8.4.55	He said, "Let the fire-wood be dedicated to me."
1.8.4.56	Therefore, the fire-wood is dedicated to Prajapati.
1.8.4.57-66	For this is the only way for him in the world of the gods. Two kindling-sticks should be used. For there are two oblations. One should be used. For one is Prajapati. For one kindles the fire in one way. But many oblations are offered. He united them with Agni. He made them taste. They were born again as new.
1.8.4.67	Now, indeed, all the plants are agreeable to those who offer the Agnihotra and the Darsha-Pūrnamāsa.
1.8.4.68	When he puts on the kindling wood, all the plants become agreeable to him.
1.8.5.1	"He should say, "Bhūr Bhuvah Svar," before the Hotṛ.
1.8.5.2	This is indeed Brahman, this is truth.
1.8.5.3	This is the truth.
1.8.5.4	There is no sacrifice apart from this.
1.8.5.5	Therefore, one should speak thus:
1.8.5.6	"Agni is light, light is Agni, svāhā." He places the embryo with the pregnant speech.
1.8.5.7	With the speech of the pair, he generates the pair.
1.8.5.8	What is offered with speech and with the Yajus, that is the pair.
1.8.5.9	And what is offered silently and with the mind, that is the couple.
1.8.5.10	The morning offering is the standing one.
1.8.5.11	The subsequent offering should be made without omitting the previous one.
1.8.5.12	One makes a stump of wood.
1.8.5.13	The subsequent offering should be done again for the progress of the sacrifice.
1.8.5.14	One wins cattle with the previous offering and brahmic glory with the subsequent one. The offering to Agni in the evening is the one to the south.
1.8.5.15	One sprinkles semen with it.
1.8.5.16	The sprinkled semen is deposited as embryo in the night.
1.8.5.17	That is the Sūrya (rite) for the morning, for the begetting of offspring.
1.8.5.18	It should be offered either here or there, or again from the west in the morning.
1.8.5.19	For from the west there is the begetting of progeny.
1.8.5.20	For the Sūrya rite is for begetting.
1.8.5.21	That should not be neglected.
1.8.5.22	It should always be offered, for the advance of the sacrifice.
1.8.5.23	He offers facing north.
1.8.5.24	Anābha, Mṛḍ, Dhūrte, Namas te astu Rudra, Mṛḍe. These are the fierce forms of Rudra, these are his names.
1.8.5.25	He pacifies the cattle with these.
1.8.5.26	He pacifiess them with his own share.
1.8.5.27	He wipes it downwards in the evening.
1.8.5.28	Therefore in the evening one goes down with a low sound.
1.8.5.29	He wipes upwards from heaven.
1.8.5.30	Therefore, one goes beyond it.
1.8.5.31	The Agnihotra is indeed the later part.
1.8.5.32	When one recites the Yajus formula in front, it is for stability and non-deviation.
1.8.5.33	He who knows the Vaishvadev of the Agnihotra, Pashupati does not harm him, and Pashupati does not cause harm to his cattle.
1.8.5.34	One offers while sitting facing east.
1.8.5.35	He pleases the gods with that.
1.8.5.36	Having offered, he sprinkles.
1.8.5.37	He sprinkles the animals for the sacrificer.
1.8.5.38	He sprinkles towards the north.
1.8.5.39	He appeases Rudra with that.
1.8.5.40	He sprinkles to the south.
1.8.5.41	He pleases the plants and the ancestors with that.
1.8.5.42	One eats.
1.8.5.43	He pleases men with that.
1.8.5.44	He eats with his finger, not giving (to others).
1.8.5.45	One should not go with one's teeth.
1.8.5.46	If one goes with one's tooth, serpents would kill him.
1.8.5.47	He pacifies the serpents for non-violence.
1.8.5.48	One should recite the Yajus, "Pusha is."
1.8.5.49	Pusha is indeed cattle.
1.8.5.50	He indeed wins cattle.
1.8.5.51	He is indeed not peaceful, not pleased.
1.8.5.52-57	The sacrificer is indeed the oblation which he (the sacrificer) expects. When one burns the Agnihotra-vessel, it is not extinguished. One should burn the Agnihotra- vessel and place the hand on it. The hand should be placed on the Agnihotra-vessels when they are burning. He pacifies it with that. He pleases it with that. It is pacified and pleased, it does not harm him.
1.8.5.58	Thus the sacrifice proceeds.
1.8.5.59	Thus indeed the sacrifice proceeds. Now this is the secret of the sacrifice.
1.8.5.60	Now this is the secret.
1.8.5.61	They debate whether one should offer to the Gārhapatya or not.
1.8.5.62	He is the one who meditates, the rough one.
1.8.5.63	One should offer.
1.8.5.64	One should make an offering with the formula, "O Agni, lord of the house, accept the oblation, svāhā."
1.8.5.65-70	He appeases him with that. He pleases him with that. And with that he makes him not to be brooding, not to be rough. And when, having offered the first oblation, he waits to offer the second, he appeases him with it. He pleases it with it. And with that he makes it not to be brooding and not to be rough.
1.8.5.71	Then, when he is about to offer the second oblation after having offered the first, and waits for it, he appeases him by that very (act).
1.8.5.72	He pleases him by that.
1.8.5.73	And by that very (oblation) he makes him free from brooding and free from roughness.
1.8.5.74	And whatever is offered to him in his house, and when they approach him while seated near the fire and beg, he appeases them by that very (offering).
1.8.5.75	He pleases them by that.
1.8.5.76	Then indeed he makes him who does not meditate on it, free from roughness.
1.8.6.1	Two milk for the Agnihotra.
1.8.6.2	The world of the Agnihotra-offerer is greater than the milk of one.
1.8.6.3	When two milk, the sacrificer conquers the greater world.
1.8.6.4	Manu and Manasi generated this (world) by means of a pair.
1.8.6.5	What is milked from the pot and from the cow, it is born from the union of the two.
1.8.6.6	One should offer with the verse, "O Jātavedas, accepting this oblation, do thou be pleased with us in the day time."
1.8.6.7	This is his fierce form of Jātavedā.
1.8.6.8	By this he pacifies the animals.
1.8.6.9	He pacifies it by means of his share.
1.8.6.10	If it should be too much, one should offer with the verse, "O Agni, do thou accept this offering of mine, O thou of gentle form."
1.8.6.11	This is his gentle form.
1.8.6.12	It is by means of this that he pacifies the animals.
1.8.6.13	He pacifies it by means of its share.
1.8.6.14	If it should be too little, one should offer twelve times in the evening.
1.8.6.15	Twelve nights are the image of the year.
1.8.6.16	The year is indeed the fire, the all-consuming.
1.8.6.17	Those who have established the fire kindle it at the new and full moon.
1.8.6.18	Their kindling wood is indeed the seasons.
1.8.6.19	The largest embers are the months.
1.8.6.20	The smallest are the half-months.
1.8.6.21	The days and nights are the crackling sounds.
1.8.6.22	The light with smoke is the all-gods.
1.8.6.23	What is red, that is Varuna's.
1.8.6.24	What is golden, that is Brhaspati's.
1.8.6.25	That which is neither red nor golden, that is Mitra's.
1.8.6.26	When the embers have become quiet, and shine like a lamp, that is the mouth of the gods.
1.8.6.27	And indeed they think that this is the light of the sun and Agni.
1.8.6.28	Therefore one should offer then.
1.8.6.29	Whatever he puts down, that he obtains.
1.8.6.30	This indeed is the name of the offering.
1.8.6.31	One who knows this goes to the gods and men.
1.8.6.32	The offering-wood does not burn, it is not established. The offering does not flow away as it should. It is not straight.
1.8.6.33	It should be offered in such a way that the fire flows away.
1.8.6.34	For it is straight.
1.8.6.35	It is established.
1.8.6.36	Therefore, the sacrificial wood for the Agnihotra should be big.
1.8.6.37	He who gives much and performs many sacrifices, and then abandons the fire, that is his (sacrificial) ground.
1.8.6.38	Those who perform sacrifices reach this world of the good.
1.8.6.39	These are the stars.
1.8.6.40	When they say, "He has brought down the light, he has brought down the stars," they indeed fall down.
1.8.6.41	Having obtained it, they abide here according to their light, and when they fall from here, they go to that.
1.8.6.42	Now he who gives much, who offers much, who offers Agnihotra, who performs the New and Full Moon sacrifices, who performs the seasonal sacrifices, who attends many sacrifices, for him this is inexhaustible, unlimited.
1.8.6.43	The sacrifice is hidden from the one who offers.
1.8.6.44	He should be burnt by these two fires.
1.8.6.45	One ascends one's own desired (fire).
1.8.6.46	They debate whether he should be burnt by the one on the other side or by the one on this side.
1.8.6.47	Having brought both together, he should be burnt in between.
1.8.6.48	That is the most concealed.
1.8.6.49	One should take the fire at night.
1.8.6.50	The night is indeed Asuric.
1.8.6.51	One overcomes darkness by means of light.
1.8.6.52-57	He shines in this world by day. He shines in the other world by night. He who knows thus shines in both worlds. The Hotr should recite the verses "Bhūr Bhuvah Svah" before the offering. He places the bricks from these two worlds for the attainment of the heavenly world. When he offers in the evening, he attains the wish-yielding cow by that. When he makes the offering in the morning, he attains the cow by that.
1.8.6.58	When this fire is installed, one gets a thousand (cows).
1.8.6.59	One conquers the kingdom of Yama by Agniṣṭoma, the kingdom of Soma by Ukthya, the kingdom of Surya by Ṣoḍaśī, and the kingdom of Svarga by Atiratra.
