#Text:Śatapathabrāhmaṇa
#Edition:Weber
#Notes:Sentence splits: 3, 4.1-4 (O. Hellwig), 7 (S. Sellmer), 8 (K. Amano), 9 (O. Hellwig); text and sentence splits from DCS: 10. Following the conventions used for other texts, we assign a separate line id to each sentence.
#Todo:Insert 4.5ff. From the DCS. ŚBM: 5, 14: sentence splits needed. 6.1.1-6.7.1: sentence splits needed. 6.7.2ff. can be taken from the DCS.


3.1.1.1.1	devayajanaṃ joṣayante
4.2.4.8.1	yad vā asyāvācīnaṃ nābhes tad asyaiṣa ātmanaḥ
4.2.4.8.2	sa yat puraitasya homāt sarped vā pra vā srāvayeta dhruvaṃ hāvamehet
4.2.4.8.3	ned dhruvam avamehānīti tasmād vā agniṣṭomasad bhavati
4.2.4.8.4	tad vai tad yajamāna eva
4.2.4.8.5	yajamānasya hy eṣa tad ātmanaḥ
4.2.4.9.1	sa vā agniṣṭomasad bhavati
4.2.4.9.2	yaśo vai somaḥ
4.2.4.9.3	tasmād yaś ca some labhate yaś ca nobhāv evāgacchato yaśa eva
4.2.4.9.4	etad draṣṭum āgacchanti
4.2.4.9.5	tad vā etad yaśo brāhmaṇāḥ saṃprasṛpyātman dadhate yad bhakṣayanti
4.2.4.9.6	sa ha yaśa eva bhavati ya evaṃ vidvān bhakṣayati
4.2.4.10.1	te vā ete sarpanta evāgniṣṭomasady etad yaśaḥ saṃnidhāya sarpanti te parāñco yaśaso bhavanti
4.2.4.10.2	tad eṣa parigṛhyaiva punar ātman yaśo dhatte
4.2.4.10.3	teṣāṃ haiṣa eva yaśasvitamo bhūtvā praiti ya evaṃ vidvān agniṣṭomasad bhavati
4.2.4.11.1	devāś ca vā asurāś cobhaye prājāpatyāḥ paspṛdhira etasmin yajñe prajāpatau pitari saṃvatsare 'smākam ayam bhaviṣyaty asmākam ayam bhaviṣyatīti
4.2.4.12.1	tato devā arcantaḥ śrāmyantaś ceruḥ
4.2.4.12.2	ta etad agniṣṭomasadyaṃ dadṛśuḥ
4.2.4.12.3	ta etenāgniṣṭomasadyena sarvaṃ yajñaṃ samavṛñjanta
4.2.4.12.4	antarāyann asurān yajñāt
4.2.4.12.5	tatho evaiṣa etenāgniṣṭomasadyena sarvaṃ yajñaṃ saṃvṛṅkte
4.2.4.12.6	antareti sapatnān yajñāt
4.2.4.12.7	tasmād vā agniṣṭomasad bhavati
4.2.4.13.1	taṃ gṛhītvottare havirdhāne sādayati
4.2.4.13.2	prāṇā vai grahā net prāṇān mohayānīti
4.2.4.13.3	upakīrṇe vā itarān grahān sādayaty athaitaṃ vyuhya na tṛṇaṃ canāntardhāya
4.2.4.14.1	yad vā asyordhvaṃ nābhes tad asyaita ātmana uparīva vai tad yad ūrdhvaṃ nābher uparīvaitad yad upakīrṇam
4.2.4.14.2	tasmād upakīrṇe sādayaty athaitaṃ vyuhya na tṛṇaṃ canāntardhāya
4.2.4.15.1	yad vā asyāvācīnaṃ nābhes tad asyaiṣa ātmanaḥ
4.2.4.15.2	adha iva vai tad yad avācīnaṃ nābheḥ
4.2.4.15.3	adha ivaitad yad vyuhya na tṛṇaṃ canāntardhāya
4.2.4.15.4	tasmād etaṃ vyuhya na tṛṇaṃ canāntardhāya sādayati
4.2.4.16.1	eṣa vai prajāpatir ya eṣa yajñas tāyate yasmād imāḥ prajāḥ prajātāḥ
4.2.4.16.2	etam v evāpyetarhy anu prajāyante
4.2.4.16.3	sa yān upakīrṇe sādayati tasmād yās tān anu prajāḥ prajāyante tā anyenātmano 'syāṃ pratitiṣṭhanti
4.2.4.16.4	yā vai śaphaiḥ pratitiṣṭhanti tā anyenātmano 'syāṃ pratitiṣṭhanti
4.2.4.16.5	atha yad etaṃ vyuhya na tṛṇaṃ canāntardhāya sādayati tasmād yā etam anu prajāḥ prajāyante yā ātmanaivāsyāṃ pratitiṣṭhanti manuṣyāś ca śvāpadāś ca
4.2.4.17.1	tad vā etad asyā evānyad uttaraṃ karoti yad upakirati
4.2.4.17.2	sa yān upakīrṇe sādayati tasmād yās tān anu prajāḥ prajāyante tā anyenaivātmano 'syāṃ pratitiṣṭhanti śaphaiḥ
4.2.4.18.1	tad vā etad āhavanīye juhvati puroḍāśaṃ dhānāḥ karambhaṃ dadhy āmikṣām iti
4.2.4.18.2	tad yathā mukha āsiñced evaṃ tat
4.2.4.18.3	athaiṣa ekarūpa upaśeta āpa ivaiva
4.2.4.18.4	tasmād yad anena mukhena nānārūpam aśanam aśnāty athaitena prāṇenaikarūpam eva prasrāvayate 'pa ivaiva
4.2.4.18.5	atha yasmād dhruvo nāma
4.2.4.19.1	devā ha vai yajñaṃ tanvānās te 'surarakṣasebhya āsaṅgād bibhayāṃ cakruḥ
4.2.4.19.2	tān dakṣiṇato 'surarakṣasāny āsejuḥ
4.2.4.19.3	teṣām etān dakṣiṇān grahān ujjaghnuḥ
4.2.4.19.4	apy etad dakṣiṇaṃ havirdhānam ujjaghnuḥ
4.2.4.19.5	athaitam eva na śekur uddhantum
4.2.4.19.6	tad uttaram eva havirdhānaṃ dakṣiṇaṃ havirdhānam adṛṃhat
4.2.4.19.7	tad yad etaṃ na śekur uddhantuṃ tasmād dhruvo nāma
4.2.4.20.1	taṃ vai gopāyanti
4.2.4.20.2	śiro vā eṣa etasyai gāyatryai
4.2.4.20.3	yajño vai gāyatrī
4.2.4.20.4	dvādaśa stotrāṇi
4.2.4.20.5	dvādaśa śastrāṇi
4.2.4.20.6	tac caturviṃśatiḥ
4.2.4.20.7	caturviṃśatyakṣarā vai gāyatrī
4.2.4.20.8	tasyā eṣa śiraḥ
4.2.4.20.9	śrīr vai śiraḥ
4.2.4.20.10	śrīr hi vai śiraḥ
4.2.4.20.11	tasmād yo 'rdhasya śreṣṭho bhavaty asāv amuṣyārdhasya śira ity āhuḥ
4.2.4.20.12	śreṣṭho ha vyatheta yad eṣa vyatheta
4.2.4.20.13	yajamāno vai śreṣṭhaḥ
4.2.4.20.14	ned yajamāno vyathātā iti tasmād vai gopāyanti
4.2.4.21.1	vatso vā eṣa etasyai gāyatryai
4.2.4.21.2	yajño vai gāyatrī
4.2.4.21.3	dvādaśa stotrāṇi
4.2.4.21.4	dvādaśa śastrāṇi
4.2.4.21.5	tac caturviṃśatiḥ
4.2.4.21.6	caturviṃśatyakṣarā vai gāyatrī
4.2.4.21.7	tasyā eṣa vatsaḥ
4.2.4.21.8	taṃ yad gopāyanti gopāyanti vā imān vatsān dohāya
4.2.4.21.9	yad idam payo duhra evam iyaṃ gāyatrī yajamānāya sarvān kāmān dohātā iti tasmād vai gopāyanti
4.2.4.22.1	atha yad adhvaryuś ca pratiprasthātā ca niś ca krāmataḥ pra ca padyete yathā baddhavatsopācared evam
4.2.4.22.2	etaṃ graham upācarataḥ
4.2.4.22.3	tam avanayati
4.2.4.22.4	gāyatrīm evaitat prasrāvayati
4.2.4.22.5	pratteyaṃ gāyatrī yajamānāya sarvān kāmān dohātā iti tasmād vā avanayati
4.2.4.23.1	so 'vanayati dhruvaṃ dhruveṇa manasā vācā somam avanayāmīti gṛhṇāmīti vāthā na indra id viśo 'sapatnāḥ samanasas karad iti
4.2.4.23.2	yathā na indra imāḥ prajā viśaḥ śriyai yaśase 'nnādyāyāsapatnāḥ saṃmanasaḥ karavad ity evaitad āha
4.2.4.24.1	athāto gṛhṇāty eva mūrdhānaṃ divo aratim pṛthivyā vaiśvānaram ṛta ā jātam agnim
4.2.4.24.2	kaviṃ samrājam atithiṃ janānām āsannā pātraṃ janayanta devāḥ
4.2.4.24.3	upayāmagṛhīto 'si dhruvo 'si dhruvakṣitir dhruvāṇāṃ dhruvatamo 'cyutānām acyutakṣittama eṣa te yonir vaiśvānarāya tveti sādayati vyuhya na tṛṇaṃ canāntardhāya
4.2.4.24.4	vaiśvānarāya hy enaṃ gṛhṇāti
4.2.5.1.1	grahān gṛhītvopaniṣkramya vipruṣāṃ homaṃ juhoti
4.2.5.1.2	tad yad vipruṣāṃ homaṃ juhoti
4.2.5.1.3	yā evāsyātra vipruṣa skandanti tā evaitad āhavanīye svagākaroti
4.2.5.1.4	āhavanīyo hy āhutīnām pratiṣṭhā
4.2.5.1.5	tasmād vipruṣāṃ homaṃ juhoti
4.2.5.2.1	sa juhoti yas te drapsa skandati yas te aṃśur iti
4.2.5.2.2	yo vai stoka skandati sa drapsaḥ
4.2.5.2.3	tat tam āha
4.2.5.2.4	yas te aṃśur iti tad aṃśum āha
4.2.5.2.5	grāvacyuto dhiṣaṇayor upasthād iti
4.2.5.2.6	grāvṇā hi cyuto 'dhiṣavaṇābhyāṃ skandati
4.2.5.2.7	adhvaryor vā pari vā yaḥ pavitrād iti
4.2.5.2.8	adhvaryor vā hi pāṇibhyāṃ skandati pavitrād vā
4.2.5.2.9	taṃ te juhomi manasā vaṣaṭkṛtaṃ svāheti
4.2.5.2.10	tad yathā vaṣaṭkṛtaṃ hutam evam asyaitad bhavati
4.2.5.3.1	atha stīrṇāyai veder dve tṛṇe adhvaryur ādatte
4.2.5.3.2	tāv adhvaryū prathamau pratipadyete prāṇodānau yajñasyātha prastotā vāg eva yajñasyāthodgātātmaiva prajāpatir yajñasyātha pratihartā bhiṣag vā vyāno vā
4.2.5.4.1	tān vā etān pañcartvijo yajamāno 'nvārabhate
4.2.5.4.2	etāvān vai sarvo yajño yāvanta ete pañcartvijo bhavanti
4.2.5.4.3	pāṅkto vai yajñaḥ
4.2.5.4.4	tad yajñam evaitad yajamāno 'nvārabhate
4.2.5.5.1	athānyatarat tṛṇaṃ cātvālam abhiprāsyati devānām utkramaṇam asīti
4.2.5.5.2	yatra vai devā yajñena svargaṃ lokaṃ samāśnuvata ta etasmāc cātvālād ūrdhvāḥ svargaṃ lokam upodakrāman
4.2.5.5.3	tad yajamānam evaitat svargyam panthānam anusaṃkhyāpayati
4.2.5.6.1	athānyatarat tṛṇaṃ purastād udgātṝṇām upāsyati tūṣṇīm eva
4.2.5.6.2	stomo vā eṣa prajāpatir yad udgātāraḥ
4.2.5.6.3	sa idaṃ sarvaṃ yute
4.2.5.6.4	idaṃ sarvaṃ sambhavati
4.2.5.6.5	tasmā evaitat tṛṇam apidadhāti
4.2.5.6.6	tatho hādhvaryuṃ na yute
4.2.5.6.7	nainaṃ sambhavati
4.2.5.6.8	atha yadā japanti japanti hy atrodgātāraḥ
4.2.5.7.1	atha stotram upākaroti somaḥ pavata iti
4.2.5.7.2	sa vai parāg eva stotram upākaroti
4.2.5.7.3	parāñca stuvate
4.2.5.7.4	devān vā etāni stotrāṇy abhyupāvṛttāni yat pavamānāḥ
4.2.5.7.5	parāñco hy etair devāḥ svargaṃ lokaṃ samāśnuvata
4.2.5.7.6	tasmāt parāg eva stotram upākaroti parāñca stuvate
4.2.5.8.1	upāvartadhvam iti vā anyāni stotrāṇi
4.2.5.8.2	abhyāvartaṃ dhuryai stuvate
4.2.5.8.3	imā vai prajā etāni stotrāṇy abhyupāvṛttāḥ
4.2.5.8.4	tasmād imāḥ prajāḥ punar abhyāvartam prajāyante
4.2.5.9.1	atha yad atra bahiṣpavamānena stuvate
4.2.5.9.2	atra ha vā asāv agra āditya āsa
4.2.5.9.3	tam ṛtavaḥ parigṛhyaivāta ūrdhvāḥ svargaṃ lokam upodakrāman
4.2.5.9.4	sa eṣa ṛtuṣu pratiṣṭhitas tapati
4.2.5.9.5	tatho evaitad ṛtvijo yajamānam parigṛhyaivāta ūrdhvāḥ svargaṃ lokam upotkrāmanti
4.2.5.9.6	tasmād atra bahiṣpavamānena stuvate
4.2.5.10.1	naur ha vā eṣā svargyā yad bahiṣpavamānam
4.2.5.10.2	tasyā ṛtvija eva sphyāś cāritrāś ca svargasya lokasya sampāraṇāḥ
4.2.5.10.3	tasyā eka eva majjayitā ya eva nindyaḥ
4.2.5.10.4	sa yathā pūrṇām abhyāruhya majjayed evaṃ haināṃ sa majjayati
4.2.5.10.5	tad vai sarva eva yajño nauḥ svargyā
4.2.5.10.6	tasmād u sarvasmād eva yajñān nindyam paribibādhiṣeta
4.2.5.11.1	atha stuta etāṃ vācaṃ vadaty agnīd agnīn vihara barhi stṛṇīhi puroḍāśāṁ alaṃkuru paśunehīti
4.2.5.11.2	viharaty agnīd agnīn
4.2.5.11.3	saminddha evainān etat
4.2.5.11.4	stṛṇāti barhi stīrṇe barhiṣi saminddhe devebhyo juhavānīti
4.2.5.11.5	puroḍāśāṁ alaṃkurv iti
4.2.5.11.6	puroḍāśair hi pracariṣyan bhavati
4.2.5.11.7	paśunehīti
4.2.5.11.8	paśuṃ hy upākariṣyan bhavati
4.2.5.12.1	atha punaḥ prapadyāśvinaṃ grahaṃ gṛhṇāti
4.2.5.12.2	āśvinaṃ grahaṃ gṛhītvopaniṣkramya yūpam parivyayati
4.2.5.12.3	parivīya yūpam paśum upākaroti
4.2.5.12.4	rasam evāsminn etad dadhāti
4.2.5.13.1	sa prātaḥsavana ālabdha ā tṛtīyasavanācchrapyamāṇa upaśete
4.2.5.13.2	sarvasminn evaitad yajñe rasaṃ dadhāti
4.2.5.13.3	sarvaṃ yajñaṃ rasena prasajati
4.2.5.14.1	tasmād āgneyam agniṣṭoma ālabhate
4.2.5.14.2	taddhi saloma yad āgneyam agniṣṭoma ālabheta
4.2.5.14.3	yady ukthyaḥ syād aindrāgnaṃ dvitīyam ālabheta
4.2.5.14.4	aindrāgnāni hy ukthāni
4.2.5.14.5	yadi ṣoḍaśī syād aindraṃ tṛtīyam ālabheta
4.2.5.14.6	indro hi ṣoḍaśī
4.2.5.14.7	yady atirātraḥ syāt sārasvataṃ caturtham ālabheta
4.2.5.14.8	vāg vai sarasvatī
4.2.5.14.9	yoṣā vai vāk
4.2.5.14.10	yoṣā rātriḥ
4.2.5.14.11	tad yathāyathaṃ yajñakratūn vyāvartayati
4.2.5.15.1	atha savanīyaiḥ puroḍāśaiḥ pracarati
4.2.5.15.2	devo vai somaḥ
4.2.5.15.3	divi hi somaḥ
4.2.5.15.4	vṛtro vai soma āsīt
4.2.5.15.5	tasyaitaccharīraṃ yad girayo yad aśmānaḥ
4.2.5.15.6	tad eṣośānā nāmauṣadhir jāyata iti ha smāha śvetaketur auddālakiḥ
4.2.5.15.7	tām etad āhṛtyābhiṣuṇvantīti
4.2.5.16.1	sa yat paśum ālabhate rasam evāsminn etad dadhāti
4.2.5.16.2	atha yat savanīyaiḥ puroḍāśaiḥ pracarati medham evāsminn etad dadhāti
4.2.5.16.3	tatho hāsyaiṣa soma eva bhavati
4.2.5.17.1	sarva aindrā bhavanti
4.2.5.17.2	indro vai yajñasya devatā
4.2.5.17.3	tasmāt sarva aindrā bhavanti
4.2.5.18.1	atha yat puroḍāśaḥ dhānāḥ karambho dadhy āmikṣeti bhavati
4.2.5.18.2	yā yajñasya devatās tāḥ suprītā asann iti
4.2.5.19.1	idaṃ vā apūpam aśitvā kāmayate dhānāḥ khādeyaṃ karambham aśnīyāṃ dadhy aśnīyām āmikṣām aśnīyām iti
4.2.5.19.2	te sarve kāmāḥ
4.2.5.19.3	yā yajñasya devatās tāḥ suprītā asann iti
4.2.5.19.4	atha yad eṣā prātaḥsavana eva maitrāvaruṇī payasyāvakḷptā bhavati netarayoḥ savanayoḥ
4.2.5.20.1	gāyatrī vai prātaḥsavanaṃ vahati triṣṭum mādhyandinaṃ savanaṃ jagatī tṛtīyasavanam
4.2.5.20.2	tad vā anekākiny eva triṣṭum mādhyandinaṃ savanaṃ vahati gāyatryā ca bṛhatyā cānekākinī
4.2.5.20.3	jagatī tṛtīyasavanaṃ gāyatryoṣṇihakakubbhyām anuṣṭubhā
4.2.5.21.1	gāyatry evaikākinī prātaḥsavanaṃ vahati
4.2.5.21.2	saitābhyām paṅktibhyāṃ stotrapaṅktyā ca haviṣpaṅktyā ca
4.2.5.21.3	catvāry ājyāni
4.2.5.21.4	bahiṣpavamānaṃ pañcamam
4.2.5.21.5	pañcapadā paṅktiḥ
4.2.5.21.6	saitayā stotrapaṅktyānekākinī gāyatrī prātaḥsavanaṃ vahati
4.2.5.22.1	indrasya puroḍāśaḥ
4.2.5.22.2	haryor dhānāḥ
4.2.5.22.3	pūṣṇaḥ karambhaḥ
4.2.5.22.4	sarasvatyai dadhi
4.2.5.22.5	mitrāvaruṇayoḥ payasyā
4.2.5.22.6	pañcapadā paṅktiḥ
4.2.5.22.7	saitayā haviṣpaṅktyānekākinī gāyatrī prātaḥsavanaṃ vahati
4.2.5.22.8	etasyā eva paṅkteḥ sampadaḥ kāmāya prātaḥsavana evaiṣā maitrāvaruṇī payasyāvakḷptā bhavati netarayoḥ savanayoḥ
4.3.1.1.1	bhakṣayitvā samupahūtāḥ sma ity uktvottiṣṭhati
4.3.1.1.2	puroḍāśabṛgalam ādāya tad yatraitad upasanno 'cchāvāko 'nvāha tad asmai puroḍāśabṛgalam pāṇāv ādadhad āhācchāvāka vadasva yat te vādyam iti
4.3.1.1.3	ahīyata vā acchāvākaḥ
4.3.1.2.1	tam indrāgnī anusamatanutāṃ prajānām prajātyai
4.3.1.2.2	tasmād aindrāgno 'cchāvākaḥ
4.3.1.2.3	sa etena ca haviṣā yad asmā etat puroḍāśabṛgalam pāṇāv ādadhāty etena cārṣeyeṇa yad etad anvāha tenānusamaśnute
4.3.1.3.1	sa vai sanne 'cchāvāka ṛtugrahaiś carati
4.3.1.3.2	tad yat sanne 'cchāvāka ṛtugrahaiś carati
4.3.1.3.3	mithunaṃ vā acchāvākaḥ
4.3.1.3.4	aindrāgno hy acchāvākaḥ
4.3.1.3.5	dvau hīndrāgnī
4.3.1.3.6	dvandvaṃ hi mithunaṃ prajananam
4.3.1.3.7	sa etasmān mithunāt prajananād ṛtūnt saṃvatsaraṃ prajanayati
4.3.1.4.1	yad v eva sanne 'cchāvāka ṛtugrahaiś carati
4.3.1.4.2	sarvaṃ vā ṛtavaḥ saṃvatsaraḥ
4.3.1.4.3	sarvam evaitat prajanayati
4.3.1.4.4	tasmāt sanne 'cchāvāka ṛtugrahaiś carati
4.3.1.5.1	tān vai dvādaśa gṛhṇīyāt
4.3.1.5.2	dvādaśa vai māsāḥ saṃvatsarasya
4.3.1.5.3	tasmād dvādaśa gṛhṇīyāt
4.3.1.5.4	atho api trayodaśa gṛhṇīyād asti trayodaśo māsa iti
4.3.1.5.5	dvādaśa tv eva gṛhṇīyāt
4.3.1.5.6	eṣaiva sampat
4.3.1.6.1	droṇakalaśād gṛhṇāti
4.3.1.6.2	prajāpatir vai droṇakalaśaḥ
4.3.1.6.3	sa etasmāt prajāpater ṛtūnt saṃvatsaraṃ prajanayati
4.3.1.7.1	ubhayatomukhābhyām pātrābhyāṃ gṛhṇāti
4.3.1.7.2	kutas tayor antā ye ubhayatomukhe
4.3.1.7.3	tasmād ayam anantaḥ saṃvatsaraḥ pariplavate
4.3.1.7.4	taṃ gṛhītvā na sādayati
4.3.1.7.5	tasmād ayam asannaḥ saṃvatsaraḥ
4.3.1.8.1	nānuvākyām anvāha
4.3.1.8.2	hvayati vā anuvākyayā
4.3.1.8.3	āgato hy evāyam ṛtur yadi divā yadi naktam
4.3.1.8.4	nānuvaṣaṭkaroti ned ṛtūn avavṛṇajā iti
4.3.1.8.5	sahaiva prathamau grahau gṛhṇītaḥ sahottamau
4.3.1.8.6	idam evaitat sarvaṃ saṃvatsareṇa parigṛhṇītaḥ
4.3.1.8.7	tad idaṃ sarvaṃ saṃvatsareṇa parigṛhītam
4.3.1.9.1	nir evānyataraḥ krāmati prānyataraḥ padyate
4.3.1.9.2	tasmād ime 'nvañco māsā yanti
4.3.1.9.3	atha yad ubhau vā saha niṣkrāmetām ubhau vā saha prapadyeyātām pṛthag u haiveme māsā īyuḥ
4.3.1.9.4	tasmān nir evānyataraḥ krāmati prānyataraḥ padyate
4.3.1.10.1	tau vā ṛtuneti ṣaṭ pracarataḥ
4.3.1.10.2	tad devā ahar asṛjanta
4.3.1.10.3	ṛtubhir iti catuḥ
4.3.1.10.4	tad rātrim asṛjanta
4.3.1.10.5	sa yaddhaitāvad evābhaviṣyad rātrir haivābhaviṣyat
4.3.1.10.6	na vyayavatsyat
4.3.1.11.1	tau vā ṛtunety upariṣṭād dviś carataḥ
4.3.1.11.2	tad devāḥ purastād ahar adaduḥ
4.3.1.11.3	tasmād idam adyāhar atha rātrir atha śvo 'har bhavitā
4.3.1.12.1	ṛtuneti vai devā manuṣyān asṛjantartubhir iti paśūn
4.3.1.12.2	sa yat tanmadhye yena paśūn asṛjanta tasmād ime paśava ubhayataḥ parigṛhītā vaśam upetā manuṣyāṇām
4.3.1.13.1	tau vā ṛtuneti ṣaṭ pracaryetarathā pātre viparyasyete
4.3.1.13.2	ṛtubhir iti catuś caritvetarathā pātre viparyasyete
4.3.1.13.3	anyatarata eva tad devā ahar asṛjantānyatarato rātrim
4.3.1.13.4	anyatarata eva tad devā manuṣyān asṛjantānyatarataḥ paśūn
4.3.1.14.1	athāto gṛhṇāty evopayāmagṛhīto 'si madhave tvety evādhvaryur gṛhṇāty upayāmagṛhīto 'si mādhavāya tveti pratiprasthātā
4.3.1.14.2	etāv eva vāsantikau
4.3.1.14.3	sa yad vasanta oṣadhayo jāyante vanaspatayaḥ pacyante teno haitau madhuś ca mādhavaś ca
4.3.1.15.1	upayāmagṛhīto 'si śukrāya tvety evādhvaryur gṛhṇāty upayāmagṛhīto 'si śucaye tveti pratiprasthātā
4.3.1.15.2	etāv eva graiṣmau
4.3.1.15.3	sa yad etayor baliṣṭhaṃ tapati teno haitau śukraś ca śuciś ca
4.3.1.16.1	upayāmagṛhīto 'si nabhase tvety evādhvaryur gṛhṇāty upayāmagṛhīto 'si nabhasyāya tveti pratiprasthātā
4.3.1.16.2	etāv eva vārṣikau
4.3.1.16.3	amuto vai divo varṣati
4.3.1.16.4	teno haitau nabhaś ca nabhasyaś ca
4.3.1.17.1	upayāmagṛhīto 'sīṣe tvety evādhvaryur gṛhṇāty upayāmagṛhīto 'sy ūrje tveti pratiprasthātā
4.3.1.17.2	etāv eva śāradau
4.3.1.17.3	sa yaccharady ūrg rasa oṣadhayaḥ pacyante
4.3.1.17.4	teno haitāv iṣaś corjaś ca
4.3.1.18.1	upayāmagṛhīto 'si sahase tvety evādhvaryur gṛhṇāty upayāmagṛhīto 'si sahasyāya tveti pratiprasthātā
4.3.1.18.2	etāv eva haimantikau
4.3.1.18.3	sa yaddhemanta imāḥ prajāḥ sahaseva svaṃ vaśam upanayate teno haitau sahaś ca sahasyaś ca
4.3.1.19.1	upayāmagṛhīto 'si tapase tvety evādhvaryur gṛhṇāty upayāmagṛhīto 'si tapasyāya tveti pratiprasthātā
4.3.1.19.2	tāv eva śaiśirau
4.3.1.19.3	sa yad etayor baliṣṭhaṃ śyāyati teno haitau tapaś ca tapasyaś ca
4.3.1.20.1	upayāmagṛhīto 'sy aṃhasaspataye tveti trayodaśaṃ grahaṃ gṛhṇāti yadi trayodaśaṃ gṛhṇīyāt
4.3.1.20.2	atha pratiprasthātādhvaryoḥ pātre saṃsravam avanayaty adhvaryur vā pratiprasthātuḥ pātre saṃsravam avanayati
4.3.1.20.3	āharati bhakṣam
4.3.1.21.1	atha pratiprasthātābhakṣitena pātreṇaindrāgnaṃ grahaṃ gṛhṇāti
4.3.1.21.2	tad yad abhakṣitena pātreṇaindrāgnaṃ grahaṃ gṛhṇāti
4.3.1.21.3	na vā ṛtugrahāṇām anuvaṣaṭkurvanti
4.3.1.21.4	etebhyo vā aindrāgnaṃ grahaṃ grahīṣyan bhavati
4.3.1.21.5	tad asyaindrāgnenaivānuvaṣaṭkṛtā bhavanti
4.3.1.22.1	yad v evaindrāgnaṃ grahaṃ gṛhṇāti
4.3.1.22.2	sarvaṃ vā idam prājījanad ya ṛtugrahān agrahīt
4.3.1.22.3	sa idaṃ sarvam prajanayyedam evaitat sarvam prāṇodānayoḥ pratiṣṭhāpayati
4.3.1.22.4	tad idaṃ sarvam prāṇodānayoḥ pratiṣṭhitam
4.3.1.22.5	indrāgnī hi prāṇodānau
4.3.1.22.6	ime hi dyāvāpṛthivī prāṇodānau
4.3.1.22.7	anayor hīdaṃ sarvam pratiṣṭhitam
4.3.1.23.1	yad v evaindrāgnaṃ grahaṃ gṛhṇāti
4.3.1.23.2	sarvaṃ vā idam prājījanad ya ṛtugrahān agrahīt
4.3.1.23.3	sa idaṃ sarvam prajanayyāsminn evaitat sarvasmin prāṇodānau dadhāti
4.3.1.23.4	tāv imāv asmint sarvasmin prāṇodānau hitau
4.3.1.24.1	athāto gṛhṇāty evendrāgnī āgataṃ sutaṃ gīrbhir nabho vareṇyam / asya pātaṃ dhiyeṣitā / upayāmagṛhīto 'sīndrāgnibhyāṃ tvaiṣa te yonir indrāgnibhyāṃ tveti sādayati
4.3.1.24.2	indrāgnibhyāṃ hy enaṃ gṛhṇāti
4.3.1.25.1	atha vaiśvadevaṃ grahaṃ gṛhṇāti
4.3.1.25.2	sarvaṃ vā idam prājījanad ya ṛtugrahān agrahīt
4.3.1.25.3	sa yaddhaitāvad evābhaviṣyad yāvatyo haivāgre prajāḥ sṛṣṭās tāvatyo haivābhaviṣyan
4.3.1.25.4	na prājaniṣyanta
4.3.1.26.1	atha yad vaiśvadevaṃ grahaṃ gṛhṇātīdam evaitat sarvam imāḥ prajā yathāyathaṃ vyavasṛjati
4.3.1.26.2	tasmād imāḥ prajāḥ punar abhyāvartam prajāyante
4.3.1.26.3	śukrapātreṇa gṛhṇāti
4.3.1.26.4	eṣa vai śukro ya eṣa tapati
4.3.1.26.5	tasya ye raśmayas te viśve devāḥ
4.3.1.26.6	tasmācchukrapātreṇa gṛhṇāti
4.3.1.27.1	athāto gṛhṇāty evaumāsaścarṣaṇīrdhato viśve devāsa āgata / dāśvāṃso dāśuṣaḥ sutam / upayāmagṛhīto 'si viśvebhyas tvā devebhya eṣa te yonir viśvebhyas tvā devebhya iti sādayati
4.3.1.27.2	viśvebhyo hy enaṃ devebhyo gṛhṇāti
4.3.2.1.1	gṛṇāti ha vā etaddhotā yacchaṃsati
4.3.2.1.2	tasmā etad gṛṇate praty evādhvaryur āgṛṇāti
4.3.2.1.3	tasmāt pratigaro nāma
4.3.2.2.1	taṃ vai prāñcam āsīnam āhvayate
4.3.2.2.2	sarve vā anya udgātuḥ prāñca ārtvijyaṃ kurvanti
4.3.2.2.3	tatho hāsyaitat prāg evārtvijyaṃ kṛtam bhavati
4.3.2.3.1	prajāpatir vā udgātā
4.3.2.3.2	yoṣargghotā
4.3.2.3.3	sa etat prajāpatir udgātā yoṣāyām ṛci hotari retaḥ siñcati yat stute
4.3.2.3.4	taddhotā śastreṇa prajanayati tacchyati yathāyam puruṣaḥ śitaḥ
4.3.2.3.5	tad yad enacchyati tasmācchastraṃ nāma
4.3.2.4.1	tad upapalyayya pratigṛṇāti
4.3.2.4.2	idam evaitad retaḥ siktam upanimadati
4.3.2.4.3	atha yat parāṅ tiṣṭhan pratigṛṇīyāt parāg u haivaitad retaḥ siktam praṇaśyet
4.3.2.4.4	tan na prajāyeta
4.3.2.4.5	samyañcā u caivaitad bhūtvaitadretaḥ siktam prajanayataḥ
4.3.2.5.1	yātayāmāni vai devaiś chandāṃsi
4.3.2.5.2	chandobhir hi devāḥ svargaṃ lokaṃ samāśnuvata
4.3.2.5.3	mado vai pratigaraḥ
4.3.2.5.4	yo vā ṛci mado yaḥ sāman raso vai sa
4.3.2.5.5	tac chandaḥsv evaitad rasaṃ dadhāti
4.3.2.5.6	ayātayāmāni karoti
4.3.2.5.7	tair ayātayāmair yajñaṃ tanvate
4.3.2.6.1	tasmād yady ardharcaśaḥ śaṃsed ardharce 'rdharce pratigṛṇīyāt
4.3.2.6.2	yadi pacchaḥ śaṃset pade pade pratigṛṇīyāt
4.3.2.6.3	yatra vai śaṃsann avāniti tad asurarakṣasāni yajñam anvavacaranti
