#Text:Kāṭhakasaṃhitā
#Notes:Prose parts; digital split version provided by K. Amano



6.1.1	prajāpatir vā idam āsīt
9.16.73	yo dakṣiṇata āste tasmai varaṃ dadyāt
9.16.74	yad eva tatra yaśa ṛcchati tad vareṇāvarunddhe
9.17.1	aindrāgnam ekādaśakapālaṃ nirvaped bhrātṛvyavān
9.17.2	ojo vai vīryam indrāgnī
9.17.3	ojasaivainaṃ vīryeṇābhibhavati
9.17.4	aindrāgnam ekādaśakapālaṃ nirvapet sajātakāmaḥ
9.17.5	ojo vai vīryam indrāgnī
9.17.6	ojasaivainān vīryeṇādhastād upāsyate
9.17.7	na vā eta etaṃ prayāntam akāmā anuprayānti
9.17.8	ojo vīryam indrāgnī
9.17.9	yad aindrāgnaḥ
9.17.10	oja evaiṣāṃ vīryaṃ saṃgṛhya prayāti taṃ prayāntam akāmā anuprayānti
9.17.11	aindrāgnam ekādaśakapālaṃ nirvapet prajākāmaḥ
9.17.12	prajāpater vai prajās sisṛkṣamāṇasya tasyendrāgnī prajā apāgūhatām
9.17.13	so 'vet
9.17.14	indrāgnī vai me prajā apāghukṣatām iti
9.17.15	sa etam aindrāgnam apaśyad ekādaśakapālam
9.17.16	tato vai tasmai tau prajāḥ punar adattām
9.17.17	indrāgnī etasya prajām apagūhato yo 'laṃ prajāyai san prajāṃ na vindate
9.17.18	tā eva bhāgadheyenopadhāvati
9.17.19	tā asmai prītau prajāṃ punar dattaḥ
9.17.20	punardātṛmatī yājyānuvākye bhavataḥ
9.17.21	samṛddhyai
9.17.22	aindrāgnam ekādaśakapālaṃ nirvapet saṃgrāmam abhiprayān
9.17.23	ojo vai vīryam indrāgnī
9.17.24	ojasaivainaṃ vīryeṇābhiprayāti
9.17.25	aindrāgnam ekādaśakapālaṃ nirvapet saṃgrāmam āgatya
9.17.26	ojo vai vīryam indrāgnī
9.17.27	ojasaivainaṃ vīryeṇa jayati
9.17.28	aindrāgnam ekādaśakapālaṃ nirvapet saṃgrāmaṃ jitvā
9.17.29	ojasā vā eṣa vīryeṇa vyṛdhyate yas saṃgrāmaṃ jayati
9.17.30	sarveṇa hīndriyeṇa sarveṇa vīryeṇa jayati
9.17.31	ojo vīryam indrāgnī
9.17.32	yad aindrāgnaḥ
9.17.33	indrāgnī evainam ojasā vīryeṇa samardhayataḥ
9.17.34	aindrāgnam ekādaśakapālaṃ nirvapet pauṣṇaṃ caruṃ saniṃ prayan
9.17.35	ojo vai vīryam indrāgnī
9.17.36	ojasaiva vīryeṇa praiti
9.17.37	pūṣā vīryasyānupradātā
9.17.38	yat pauṣṇaḥ
9.17.39	pūṣaivāsmai vīryam anuprayacchati
9.17.40	aindrāgnam ekādaśakapālaṃ nirvapet pauṣṇaṃ caruṃ kṣetrasya pataye caruṃ yaḥ kāmayeta
9.17.41	asyāṃ me janatāyām ṛdhyeteti
9.17.42	ojo vai vīryam indrāgnī
9.17.43	yad aindrāgnaḥ
9.17.44	indrāgnī evāsmā ojasā vīryeṇa lokaṃ vindataḥ
9.17.45	pūṣā vīryasyānupradātā
9.17.46	yat pauṣṇaḥ
9.17.47	pūṣaivāsmai vīryam anuprayacchati
9.17.48	iyaṃ kṣetrasya patnī
9.17.49	yat kṣetrapatyaḥ
9.17.50	asyām eva pratitiṣṭhati
10.1.1	āgnāvaiṣṇavam ekādaśakapālaṃ nirvapet sārasvataṃ caruṃ bārhaspatyaṃ carum abhicaran vābhicaryamāṇo vā
10.1.2	agnir vai sarvā devatāḥ
10.1.3	viṣṇur yajñaḥ
10.1.4	vāk sarasvatī
10.1.5	brahma bṛhaspatiḥ
10.1.6	agninaivāsya devatābhir devatāḥ praticarati
10.1.7	viṣṇunā yajñena yajñam
10.1.8	sarasvatyā vācā vācam
10.1.9	bṛhaspatinā brahmaṇā brahma
10.1.10	samam eva kṛtvā yat kiṃ ca tataḥ karoti tenātiprayuṅkte
10.1.11	etām eva nirvaped abhicaran
10.1.12	agnir vai sarvā devatāḥ
10.1.13	viṣṇur yajñaḥ
10.1.14	vāk sarasvatī
10.1.15	brahma bṛhaspatiḥ
10.1.16	agninaivainaṃ devatābhir abhiprayuṅkte
10.1.17	viṣṇunā yajñena
10.1.18	sarasvatyā vācā
10.1.19	bṛhaspatinā brahmaṇā
10.1.20	stṛṇuta enam
10.1.21	āgnāvaiṣṇavam ekādaśakapālaṃ nirvapet paśum ālapsyamānaḥ
10.1.22	vyṛddhena vā eṣa paśunā carati yo devatāś ca yajñaṃ cānavarudhya paśum ālabhate
10.1.23	agnir vai sarvā devatāḥ
10.1.24	viṣṇur yajñaḥ
10.1.25	devatāś caiva yajñaṃ cāvarudhya paśum ālabhate
10.1.26	āgnāvaiṣṇavam ekādaśakapālaṃ nirvapet saṃgrāme
10.1.27	agnir vai sarvā devatā viṣṇur yajñaḥ
10.1.28	devatābhiś caivainaṃ yajñena ca jayati
10.1.29	yadi manyeta
10.1.30	prati purastāc carantīti
10.1.31	dve anuvākye kuryād ekāṃ yājyām
10.1.32	samam eva dvābhyāṃ karoti
10.1.33	aty ekayā prayuṅkte
10.1.34	āgnāvaiṣṇavaṃ ghṛte caruṃ nirvaped abhicaryamāṇaḥ
10.1.35	agnir vai sarvā devatāḥ
10.1.36	viṣṇur yajñaḥ
10.1.37	devatāś caiva yajñaṃ ca madhyataḥ praviśati
10.1.38	mithunaṃ vā etad yad ghṛtaṃ ca taṇḍulāś ca
10.1.39	dhenvā ghṛtaṃ payo 'naḍuhas taṇḍulāḥ
10.1.40	mithunenaivātmānam abhitaḥ paryūhate
10.1.41	astṛtyai
10.1.42	āgnāvaiṣṇavaṃ ghṛte caruṃ nirvapec cakṣuṣkāmaḥ
10.1.43	agner vai manuṣyāś cakṣuṣā paśyanti viṣṇor devatāḥ
10.1.44	tau cakṣuṣaḥ pradātārau
10.1.45	tā eva bhāgadheyenopadhāvati
10.1.46	tā asmai cakṣuḥ prayacchataḥ
10.1.47	mithunaṃ vā etad yad ghṛtaṃ ca taṇḍulāś ca
10.1.48	dhenvā ghṛtaṃ payo 'naḍuhas taṇḍulāḥ
10.1.49	mithunaṃ cakṣuḥ
10.1.50	mithunenaivāsmai mithunaṃ janayati
10.1.51	ghṛte bhavati
10.1.52	tejo vai ghṛtam
10.1.53	tejaś cakṣuḥ
10.1.54	tejasaivāsmiṃs tejo dadhāti
10.1.55	āgnāvaiṣṇavam aṣṭākapālaṃ nirvapet prātas sārasvataṃ caruṃ bārhaspatyaṃ carum āgnāvaiṣṇavam ekādaśakapālaṃ madhyaṃdina etau ca carū āgnāvaiṣṇavaṃ dvādaśakapālam aparāhṇa etau ca carū yasya bhrātṛvyas somena yajeta
10.1.56	agnir vai sarvā devatāḥ
10.1.57	viṣṇur yajñaḥ
10.1.58	vāk sarasvatī
10.1.59	brahma bṛhaspatiḥ
10.1.60	agninaivāsya devatābhir devatā āpnoti
10.1.61	viṣṇunā yajñena yajñam
10.1.62	sarasvatyā vācā vācam
10.1.63	bṛhaspatinā brahmaṇā brahma
10.1.64	puroḍāśais savanāni
10.1.65	kapālaiś chandāṃsi
10.1.66	saiṣādhvarakalpā nāmeṣṭiḥ
10.1.67	yajñam evaitayāpnoti
10.1.68	tatra yat kiṃ ca dadāti tad dakṣiṇā
10.1.69	maitrāvaruṇam ekakapālam anunirvapati
10.1.70	yaivāsau maitrāvaruṇī vaśānūbandhyā tām eva tenāpnoti
10.1.71	ekakapālo bhavati
10.1.72	na vai puruṣaṃ kapālair āptum arhati
10.1.73	ekadhaivainam āpnoti
10.2.1	devā vai sattram āsata yaśaskāmā agnis soma indraḥ
10.2.2	te 'bruvan
10.2.3	yan no yaśa ṛchāt tan nas saheti
10.2.4	teṣāṃ somaṃ yaśa ārchat
10.2.5	tasmāt sa yaśasvī
10.2.6	sa girim agacchat
10.2.7	tasmāt sa girau
10.2.8	tam agnir anvāgacchat
10.2.9	tā agnīṣomau samabhavatām
10.2.10	athendro 'dhṛtaś śithila ivāmanyata
10.2.11	so 'nvāgacchat
10.2.12	so 'gnau caiva some cānāthata
10.2.13	tam etayeṣṭyāyājayatām agnīṣomīyeṇaikādaśakapālena
10.2.14	tejo vā agniḥ
10.2.15	indriyaṃ somaḥ
10.2.16	teja evāsminn agnir āgneyenādadhāt
10.2.17	indriyaṃ somas saumyena
10.2.18	tato vai so 'bhavat
10.2.19	etena yajeta bubhūṣann agnīṣomīyeṇaikādaśakapālena
10.2.20	tejo vā agniḥ
10.2.21	indriyaṃ somaḥ
10.2.22	teja evāsminn agnir āgneyenādadhāti
10.2.23	indriyaṃ somas saumyena
10.2.24	bhavaty eva
10.2.25	āgnīṣomīyam ekādaśakapālaṃ nirvapet sarvebhyaḥ kāmebhyo brāhmaṇaḥ
10.2.26	agnīṣomau vai brāhmaṇasya svā devatā
10.2.27	tā eva bhāgadheyenopadhāvati
10.2.28	tā asmai sarvān kāmān prayacchataḥ
10.2.29	agnīṣomīyam aṣṭākapālaṃ nirvapec chyāmākaṃ vasantā brāhmaṇo brahmavarcasakāmaḥ
10.2.30	agnīṣomau vai brahmavarcasasya pradātārau
10.2.31	tā eva bhāgadheyenopadhāvati
10.2.32	tā asmai brahmavarcasaṃ prayacchataḥ
10.2.33	vasantā yajeta
10.2.34	vasanto vai brāhmaṇasyartuḥ
10.2.35	sva evartau brahmavarcasam avarunddhe
10.2.36	evam iva vai brahmavarcasaṃ babhrv iva kṣudram iva haritam iva
10.2.37	brahmavarcasam eva saṃdadhāti
10.2.38	yad aṣṭākapālaḥ
10.2.39	tenāgneyaḥ
10.2.40	yac chyāmākaḥ
10.2.41	tena saumyaḥ
10.2.42	tenobhayasmān naiti
10.2.43	agnīṣomīye yājyānuvākye bhavataḥ
10.2.44	saumāgnī saṃyājye
10.2.45	tejo vā agniḥ
10.2.46	indriyaṃ somaḥ
10.2.47	tejasā caivendriyeṇa ca brahmavarcasam ubhayataḥ parigṛhyātman dhatte
10.3.1	agnaye vaiśvānarāya dvādaśakapālaṃ nirvaped yo 'nannam adyād yo vā jighatset
10.3.2	saṃvatsaro vā agnir vaiśvānaraḥ
10.3.3	saṃvatsareṇaiva pūtaṃ svaditam atti
10.3.4	yadi jagdhvā nirvapati
10.3.5	saṃvatsara evāsmai jagdhaṃ svadayati
10.3.6	agnaye vaiśvānarāya dvādaśakapālaṃ nirvaped yas samāntam abhidruhyed yo vābhidudrukṣet
10.3.7	saṃvatsaro vā agnir vaiśvānaraḥ
10.3.8	saṃvatsarāyaiṣa samamate yas samamate
10.3.9	saṃvatsaram evāptvā kāmam avaruṇam abhidruhyati
10.3.10	agnaye vaiśvānarāya dvādaśakapālaṃ nirvaped yaḥ pratigṛhītas syāt sanikāmaḥ
10.3.11	saṃvatsaro vā agnir vaiśvānaraḥ
10.3.12	saṃvatsarāyaitaṃ pratigṛhṇanti yaṃ pratigṛhṇanti
10.3.13	saṃvatsaram evāptvā sātāṃ saniṃ vanute
10.3.14	agnaye vaiśvānarāya dvādaśakapālaṃ nirvapet saniṃ nidadhat
10.3.15	saṃvatsaro vā agnir vaiśvānaraḥ
10.3.16	saṃvatsaram eṣa prayuṅkte yo yācati
10.3.17	saṃvatsaram eva vimuñcati
10.3.18	saṃvatsaro vā etad etasmai sanoti yad vanute
10.3.19	tam eva bhāginaṃ karoti
10.3.20	yam uttamam ārjat taṃ sa rajjum apriyāya bhrātṛvyāya dadyāt
10.3.21	pāśena vā eṣa carati yo yācati
10.3.22	pāśam evāpriyāya bhrātṛvyāya pratimuñcati
10.3.23	agnaye vaiśvānarāya dvādaśakapālaṃ nirvaped yaḥ kāmayeta
10.3.24	anena rājñā vā grāmaṇyā vedaṃ sasyam ādadīyeti
10.3.25	saṃvatsaro vā agnir vaiśvānaraḥ
10.3.26	saṃvatsaro 'nnādyasya pradātā
10.3.27	tam eva bhāgadheyenopadhāvati
10.3.28	so 'smā annādyaṃ prayacchati
10.3.29	saṃvatsaraṃ hy annam anuprajāyate
10.3.30	agnaye vaiśvānarāya dvādaśakapālaṃ nirvaped vṛṣṭikāmaḥ
10.3.31	saṃvatsaro vā agnir vaiśvānaraḥ
10.3.32	eṣā saṃvatsarasya krūrā tanūr yā vaiśvānarī
10.3.33	tayaitad abhitapann abhiśocayaṃs tiṣṭhati bhāgadheyam icchamānaḥ
10.3.34	tām evāsya prīṇāti
10.3.35	sāsmai prītā vṛṣṭiṃ ninayati
10.3.36	agnaye vaiśvānarāya dvādaśakapālaṃ nirvapet saṃgrāme
10.3.37	saṃvatsaro vā agnir vaiśvānaraḥ
10.3.38	yataras saṃyattayor anāyatano bhavati parā sa jayate
10.3.39	saṃvatsaram evāyatanaṃ kṛtvā jayati saṃgrāmam
10.4.1	agnaye vaiśvānarāya dvādaśakapālaṃ nirvaped grāmakāmo bhūtikāmo brahmavarcasakāmaḥ
10.4.2	tasya haritaṃ hiraṇyaṃ madhye kuryāt
10.4.3	rajatam upariṣṭāt
10.4.4	saṃvatsaro vā agnir vaiśvānaraḥ
10.4.5	vīryaṃ saṃvatsaraḥ
10.4.6	ātmā haritaṃ hiraṇyam
10.4.7	vīryasyaivainaṃ madhyato dadhāti
10.4.8	bhūtyai
10.4.9	bhavaty eva
10.4.10	yad rajataṃ tat saha bhasmanāpohati
10.4.11	śamalagṛhīto vā eṣa yo 'laṃ brahmavarcasāya san na brahmavarcasī bhavati
10.4.12	śamalam evāsmād apahanti
10.4.13	brahmavarcasenainaṃ saṃsṛjati
10.4.14	yathā vai nābhim arā abhisaṃśritā evaṃ saṃvatsaraṃ māsāś cartavaś cābhisaṃśritāḥ
10.4.15	yaddhiraṇyaṃ madhye karoti
10.4.16	nābhim evainaṃ karoti
10.4.17	yathā nābhim arā abhisaṃśritā evam enaṃ sajātair abhisaṃśrayati
10.4.18	vāruṇaṃ yavamayaṃ caruṃ nirvaped agnaye vaiśvānarāya dvādaśakapālam āmayāvī
10.4.19	varuṇagṛhīto vā eṣa ya āmayāvī
10.4.20	yad vāruṇaḥ
10.4.21	varuṇād evainaṃ muñcati
10.4.22	yavamayo bhavati
10.4.23	etad vai varuṇasya bhāgadheyaṃ yad yavāḥ
10.4.24	svenaiva bhāgadheyena varuṇaṃ niravadayate
10.4.25	prādeśamātro bhavati
10.4.26	etāvān vai puruṣo yāvad asya prāṇā abhi
10.4.27	yāvān evāsyātmā taṃ varuṇān muñcati
10.4.28	saṃvatsaro vā agnir vaiśvānaraḥ
10.4.29	āyus saṃvatsaraḥ
10.4.30	saṃvatsara evainam āyuṣi pratiṣṭhāpayati
10.4.31	sarvam āyur eti
10.4.32	vāruṇaṃ yavamayaṃ caruṃ nirvaped agnaye vaiśvānarāya dvādaśakapālaṃ rājanyāyābhicarate vā bubhūṣate vā
10.4.33	varuṇagṛhīto vā eṣa yo 'nyasyādadāna upaharamāṇaś carati
10.4.34	yad vāruṇaḥ
10.4.35	varuṇād evainaṃ muñcati
10.4.36	yavamayo bhavati
10.4.37	prādeśamātro bhavati
10.4.38	saṃvatsaro vā agnir vaiśvānaraḥ
10.4.39	vīryaṃ saṃvatsaraḥ
10.4.40	saṃvatsara evainaṃ vīrye pratiṣṭhāpayati
10.4.41	bhūtyai
10.4.42	bhavaty eva
10.4.43	agnaye vaiśvānarāya dvādaśakapālaṃ nirvaped agnim utsādayiṣyan
10.4.44	saṃvatsaro vā agnir vaiśvānaraḥ
10.4.45	saṃvatsaram eṣa utsādyamāno 'nūtsīdati
10.4.46	bhāginam evainaṃ kṛtvā saṃvatsaram anūtsādayati
10.4.47	agnaye vaiśvānarāya dvādaśakapālaṃ nirvaped yaḥ puruṣaṃ pratigṛhṇīyāt
10.4.48	āptāṃ vā eṣa ātmanā dakṣiṇāṃ pratigṛhṇāti yaḥ puruṣaṃ pratigṛhṇāti
10.4.49	āptāṃ dakṣiṇāṃ pratigṛhītāṃ hinasti
10.4.50	saṃvatsaro vā agnir vaiśvānaraḥ
10.4.51	saṃvatsaras svaditasya svadayitā
10.4.52	tam eva bhāgadheyenopadhāvati
10.4.53	so 'smai tat sarvaṃ svadayati
10.5.1	agnaye pathikṛte 'ṣṭākapālaṃ nirvaped yasya paurṇamāsī vāmāvasyā vātipadyeta
10.5.2	bahiṣpathaṃ vā eṣa eti yasya paurṇamāsī vāmāvasyā vātipadyate
10.5.3	agnir devānāṃ pathikṛt
10.5.4	tam evānvārabhate
10.5.5	sa enaṃ panthām apinayati
10.5.6	vi vā etad yajñaṃ chinatti yad yajñe pratata etām antareṣṭiṃ nirvapati
10.5.7	ya evāsā āgneyo 'ṣṭākapālaḥ pūrṇamāse yo 'māvasyāyāṃ tam agnaye pathikṛte kuryāt
10.5.8	tenaiva punaḥ panthām avaiti
10.5.9	na yajñaṃ vicchinatti
10.5.10	agnaye vājasṛte 'ṣṭākapālaṃ nirvapet saṃgrāme
10.5.11	agnir vai devānāṃ vājasṛt
10.5.12	vājam eṣa dhāvati yas saṃgrāmaṃ jayati
10.5.13	tam eva bhāgadheyenopadhāvati
10.5.14	vājam eva dhāvati
10.5.15	jayati saṃgrāmam
10.5.16	atho agnir iva na pratidhṛṣe bhavati
10.5.17	agnaye vratapataye 'ṣṭākapālaṃ nirvaped ya āhitāgnis sann avratyaṃ caret
10.5.18	ānīto vā eṣa devānāṃ ya āhitāgniḥ
10.5.19	adanty asyānnam
10.5.20	vratapatim etasya vrataṃ gacchati ya āhitāgnis sann avratyaṃ carati
10.5.21	agnir devānāṃ vratapatiḥ
10.5.22	tam eva bhāgadheyenopadhāvati
10.5.23	vratapater evādhi vratam ālabhate
10.5.24	agnaye rakṣoghne 'ṣṭākapālaṃ nirvaped āmayāvī
10.5.25	indraṃ vai jātaṃ rakṣāṃsy asacanta
10.5.26	sa ādīyamāno rakṣobhis saṃmṛśyamāno 'gniṃ prāviśat
10.5.27	tasmād agnī rakṣāṃsy apāhan
10.5.28	rakṣāṃsy etaṃ sacante ya āmayāvī
10.5.29	agnir devānāṃ rakṣohā
10.5.30	tam eva bhāgadheyenopadhāvati
10.5.31	so 'smād rakṣāṃsy apahanti
10.5.32	amāvasyāṃ rātrīṃ niśi yajeta
10.5.33	amāvasyāṃ vai rātrīṃ niśi rakṣāṃsi prerate
10.5.34	prerṇāny evaināny apavapati
10.5.35	pariśrite yajeta
10.5.36	rakṣasām antarhityai
10.5.37	vāmadevasyaitat pañcadaśaṃ rakṣoghnaṃ sāmidhenyo bhavanti
10.5.38	vāmadevaś ca vai kusidāyī cātmanor ājim ayātām
10.5.39	tasya kusidāyī pūrvasyātidrutasya kūbaraṃ nyamṛṇat
10.5.40	sā dvitīyam upaparyāvartata
10.5.41	iṣāṃ vākṣaṃ vā chetsyāmīti
10.5.42	sa vāmadeva ukhyam agnim abibhaḥ
10.5.43	tam avaikṣata
10.5.44	sa etat sūktam apaśyat
10.5.45	kṛṇuṣva pājaḥ prasitiṃ na pṛthvīm iti
10.5.46	tām agnir anūddrutya samadahat
10.5.47	sā dahyamānā hradaṃ kausidaṃ prāmajjat
10.5.48	yad etad anūcyate
10.5.49	rakṣasāṃ duṣṭyai
10.6.1	naimiṣyā vai sattram āsata
10.6.2	ta utthāya saptaviṃśatiṃ kurupañcāleṣu vatsatarān avanvata
10.6.3	tān vako dālbhir abravīt
10.6.4	yūyam evaitān vibhajadhvam
10.6.5	imam ahaṃ dhṛtarāṣṭraṃ vaicitravīryaṃ gamiṣyāmi
10.6.6	sa mahyaṃ gṛhān kariṣyatīti
10.6.7	tam āgacchat
10.6.8	tan nāsūrkṣat
10.6.9	taṃ prākālayata
10.6.10	etā gā brahmabandha iti
10.6.11	abravīt
10.6.12	paśupatir gā hanti
10.6.13	tāḥ paraḥ pacamānaś careti
10.6.14	tāsāṃ devasūr me rājānnaṃ prāsuṣod iti
10.6.15	sakthāny utkartam apacata
10.6.16	tasmin pacamāne vyadasyat
10.6.17	so 'gnaye rudravate 'ṣṭākapālaṃ niravapat kṛṣṇānāṃ vrīhīṇām
10.6.18	tasya yat kiṃ ca dhṛtarāṣṭrasyāsīt tat sarvam avakīrṇaṃ vidrāṇam abhi vyaucchat
10.6.19	tā vipraśnikā avindan
10.6.20	brāhmaṇo vai tvāyam abhicarati
10.6.21	tasmin nāthasveti
10.6.22	tam upāśikṣat
10.6.23	tasmai bahv adadāt
10.6.24	so 'gnaye surabhimate 'ṣṭākapālaṃ niravapac chuklānāṃ vrīhīṇām
10.6.25	tato vai tad vyadasyat
10.6.26	agnaye rudravate 'ṣṭākapālaṃ nirvapet kṛṣṇānāṃ vrīhīṇām abhicaran
10.6.27	agnir vai rudraḥ
10.6.28	rudrāyaivainam apidadhāti
10.6.29	kṛṣṇānāṃ vrīhīṇāṃ bhavati
10.6.30	kṛṣṇam iva vai tamaḥ
10.6.31	tamo mṛtyuḥ
10.6.32	mṛtyunaivainaṃ grahayati
10.6.33	agnaye surabhimate 'ṣṭākapālaṃ nirvapet
10.6.34	yarhy ayaṃ devaḥ prajā abhimanyeta yadā kāmayeta vidasyed iti
10.6.35	eṣā vā agner bhiṣajyā tanūr yā surabhimatī
10.6.36	tām eva bhāgadheyenopadhāvati
10.6.37	tayainā bhiṣajyati
10.6.38	agnaye surabhimate 'ṣṭākapālaṃ nirvaped yam apramītaṃ pramītaṃ śṛṇuyuḥ
10.6.39	pūtir vā eṣa śrūyate yaḥ pramītaś śrūyate
10.6.40	yaivāgnes surabhimatī tanūs tām eva bhāgadheyenopadhāvati
10.6.41	tayainaṃ surabhiṃ karoti
10.6.42	agnaye surabhimate 'ṣṭākapālaṃ nirvaped yam ajaghnivāṃsam abhiśaṃseyuḥ
10.6.43	śamalagṛhīto vā eṣa yam ajaghnivāṃsam abhiśaṃsanti
10.6.44	yaivāgnes surabhimatī tanūs tām eva bhāgadheyenopadhāvati
10.6.45	tayainaṃ punāti
10.6.46	agnaye 'nnādāyāṣṭākapālaṃ nirvaped yaḥ kāmayeta
10.6.47	annādas syām iti
10.6.48	agnir vai devānām annādaḥ
10.6.49	tam eva bhāgadheyenopadhāvati
10.6.50	sa enam annādaṃ karoti
10.6.51	agnaye 'nnavate 'ṣṭākapālaṃ nirvaped yaḥ kāmayeta
10.6.52	annavān syām iti
10.6.53	agnir vai devānāṃ annavān
10.6.54	tam eva bhāgadheyenopadhāvati
10.6.55	sa enam annavantaṃ karoti
10.6.56	agnaye 'nnapataye 'ṣṭākapālaṃ nirvaped yaḥ kāmayeta
10.6.57	annapatis syām iti
10.6.58	agnir vai devānām annapatiḥ
10.6.59	tam eva bhāgadheyenopadhāvati
10.6.60	sa enam annapatiṃ karoti
10.6.61	saṃvatsaraṃ parinirvapet
10.6.62	saṃvatsaro vā annādyasya pradātā
10.6.63	tam eva bhāgadheyenopadhāvati
10.6.64	sa enam annādam annavantam annapatiṃ karoti
10.6.65	agnaye vasumate 'ṣṭākapālaṃ nirvapet sarvebhyaḥ kāmebhyo brāhmaṇaḥ
10.6.66	yad vai kiṃ ca vindate tad vasu
10.6.67	agnir devānāṃ vasumān
10.6.68	tam eva bhāgadheyenopadhāvati
10.6.69	so 'smai sarvān kāmān prayacchati
10.7.1	agnaye yaviṣṭhāyāṣṭākapālaṃ nirvaped abhicaran vābhicaryamāṇo vā
10.7.2	devāś ca vā asurāś ca vyabhyacaranta
10.7.3	te 'surā devebhyo visṛṣṭīr vyasṛjan
10.7.4	te devā aviduḥ
10.7.5	visṛṣṭīr vai no 'surā vyasrākṣur iti
10.7.6	te 'gnaye yaviṣṭhāyāṣṭākapālaṃ niravapan
10.7.7	tena vai te tā visṛṣṭīr ayāvayantātmano 'dhi
10.7.8	visṛṣṭim etasmai visṛjanti yam abhicaranti
10.7.9	yad agnaye yaviṣṭhāya nirvapati
10.7.10	tenaiva tāṃ visṛṣṭiṃ yāvayata ātmano 'dhi
10.7.11	agnaye yaviṣṭhāyāṣṭākapālaṃ nirvapet samṛtasome
10.7.12	devatāsu vā ete samṛcchante yeṣāṃ somau samṛcchete
10.7.13	agnis sarvā devatāḥ
10.7.14	agninaivaiṣāṃ yaviṣṭhena devatā vṛṅkte
10.7.15	devāś ca vā asurāś ca saṃyattā āsan
10.7.16	yān devānām aghnaṃs tad eva te 'bhavan
10.7.17	yān asurāṇāṃ punas ta utpattyāyudhyanta
10.7.18	te devā aviduḥ
10.7.19	ye vai na ime ke ca mriyante 'gnir vāvaitān hantīti
10.7.20	te 'bruvan
10.7.21	mā naś śamnīthāḥ kathā naś śamnīṣa iti
10.7.22	bhāgo me 'stv iti
10.7.23	abravīt
10.7.24	na vo 'bhāgadheyaḥ kṣamiṣya iti
10.7.25	te 'gnaye kṣamavate 'ṣṭākapālaṃ niravapan
10.7.26	tato vai sa tebhyo 'kṣamata
10.7.27	agnaye kṣamavate 'ṣṭākapālaṃ nirvapet
10.7.28	yarhy ayaṃ devaḥ prajā abhimanyeta yadā kāmayeta vidasyed iti
10.7.29	ye vā ime ke ca mriyante 'gnir vāvaitān hanti
10.7.30	agnir devānāṃ kṣamavān
10.7.31	tam eva bhāgadheyenopadhāvati
10.7.32	so 'smai prītaḥ
10.7.33	kṣamata eva
10.7.34	devāḥ pitaro manuṣyās te 'nyata āsan
10.7.35	asurā rakṣāṃsi piśācās te 'nyataḥ
10.7.36	te samayatanta
10.7.37	te yad devānām apy alpakaṃ lohitam asurā akurvan
10.7.38	tad rātrībhī rakṣāṃsy asumbhan
10.7.39	tān subdhān mṛtān abhi vyaucchat
10.7.40	te devā aviduḥ
10.7.41	ye vai na ime ke ca mriyante rakṣāṃsi vāvaitān sumbhantīti
10.7.42	tāny upāmantrayanta
10.7.43	tāny abruvan
10.7.44	vāryaṃ vṛṇāmahai
10.7.45	yad evemān asurāñ jayāma tan nas sahāsad iti
10.7.46	tato devā asurān ajayan
10.7.47	te 'surāñ jitvā rakṣāṃsy apānudanta
10.7.48	tāny anṛtam akarteti
10.7.49	samantaṃ devān paryaviśan
10.7.50	te devā agnā evānāthanta
10.7.51	te 'gnaye pravate 'ṣṭākapālaṃ niravapann agnaye vibādhavate 'ṣṭākapālam agnaye pratīkavate 'ṣṭākapālam
10.7.52	yad agnaye pravate yāny eva purastād rakṣāṃsy āsaṃs tāni tena prāṇudanta
10.7.53	yad vibādhavate yāny evābhita āsaṃs tāni tena vyabādhanta
10.7.54	yat pratīkavate yāny eva paścād rakṣāṃsy āsaṃs tāni tenāpānudanta
10.7.55	etayā yajeta bhrātṛvyavān yo bahubhrātṛvyas syāt
10.7.56	agnaye pravate 'ṣṭākapālaṃ nirvaped agnaye vibādhavate 'ṣṭākapālam agnaye pratīkavate 'ṣṭākapālam
10.7.57	yad agnaye pravate
10.7.58	ya evainaṃ pūrvo 'tikrānto bhrātṛvyas taṃ tena praṇudate
10.7.59	yad vibādhavate
10.7.60	ya evainena sadṛṅ taṃ tena vibādhate
10.7.61	yat pratīkavate
10.7.62	ya evāsya paścād bhrātṛvyas taṃ tenāpanudate
10.7.63	pra śreyāṃsaṃ bhrātṛvyaṃ nudate 'ti sadṛśaṃ krāmati
10.7.64	nainaṃ pāpīyān āpnoti ya evaṃ vidvān etayā yajate
10.7.65	devāś ca vā asurāś ca saṃyattā āsan
10.7.66	tān gāyatry antarātiṣṭhat
10.7.67	ojo vīryam annādyaṃ parigṛhya saṃvatsaro vāvainān so 'ntarātiṣṭhat
