1.1.1	Now we shall explain the Agnihotra.
4.7.2	The Agnidhra, taking a stone, strikes the pressing stone with the verse, "You are a mountain, the creator of verses." He strikes the pressing stone and the stone with the verse "Vrsarava, strike the pressing stone and strike the stone." He strikes twice on the pressing stone and once on the stone.
4.7.3	Striking three times, he makes nine strokes.
4.7.4	Having made the husks hot, he places the chaff in front of the eighty-year-old (priest) or to the north.
4.7.5	Having touched the cakes with the formula, "You are the cakes of the year," he pours them out with the formula, "May the year accept you."
4.7.6	He pours out the chaff on the heap with the formula, “May the year protect you.”
4.7.7	He scatters the chaff, saying, "Scattered are the demons, puffed up are the enemies." With the skull filled with chaff he scatters it, saying, "This is the share of the demons." With that filled with chaff he throws down the northern and southern parts of the intermediate space below the skin of black antelope with his left hand. He does not look back.
4.7.8	"Scattered are the Demons," he says, and scatters them.
4.7.9	Having performed the rites of Raudrāksa, Sanairiti, Paiṭṛka, Chhedana, Bhedana, Khana, Nirastana, Ghranana and Ātmābhīmarṣaṇa, one should sprinkle everywhere.
4.7.10	Having sprinkled, he places the skull.
4.7.11	He divides with the verse, "Vayu is the wind."
4.7.12	He scatters the rice grains in the vessel with the verse, “Deva is the god.”
4.7.13	"Having looked with an undaunted eye, he says, 'I see the secluded ones.' Having ordered, 'Make the three fruits,' he gives to the Avakshara.
4.7.14	"He purifies for the gods, he purifies for gods, he puries for gods," he makes the three fruits with three (verses).
4.8.1	Having washed the three-seeded ones, he places them on the inner part of the altar, having washed them three times.
4.8.2	The rite of the black antelope skin is explained.
4.8.3	Placing the black antelope skin and the wooden sword with the handle towards the north, he says, "You are the pillar of heaven." He places the wooden sword with its handle towards the east, saying, "You are a mountain." He places the eastern stone in the western half.
4.8.4	"O Dhishana, thou art the daughter of Parvata." Having looked at the rice-grains, he pours them into the pan, as before, without letting them fall.
4.8.5	"The portions are sweet." Having looked at rice-grains, "For thee, O god," he pours the rice-grains into the pan according to the deity, three times with the mantra and once silently.
4.8.6	Having recited the verse, "For Prāṇa thee," he spreads the cloth towards the east. Having recited the verse "For Apāna thee," he spreads it towards the west. Having recited the verses "For Vyāna thee" and "For Anva" in the middle region, he spreads the long cloth towards the east at the end.
4.8.7	Thereafter he spreads the cloth as he pleases.
4.8.8	He should scatter the ground with the verse, "The god is indeed..."
4.8.9	"I look at you with an undaunted eye," (thus) looking, she makes the pestle grind the grains. Having ordered the one who grinds the oblations,
4.8.10	she grinds.
4.8.11	Here she places the grains that are being ground.
4.8.12	He cooks the oblations in the Garhapatya.
4.8.13	Taking up the Upavesha with the formula, "Thou art Dhristi," and having recited the formula, "Do thou remove the Rakshas," he places two coals on the opposite side of the fire. Having placed the right-hand coal with the formula, “From Agni to Agni,” and having touched the water, he places the remaining coal with the formula "Do thou carry the offering to the gods." Having placed the skull on it with the formula, "Thou art Dhruva,"
4.9.1	"He places the embers on it with the verse, "It is burnt." He places the embers on the fire with the verse, "You are the supporter." He places the support first. Therefore, he places the support first."
4.9.2	Of the eight-vessel offering, two are in the middle, three are on the right, and three are on the left. The verse is, "O Dharma, you are the supporter." The verse is, "O Maruts, you are the sharers."
4.9.3	"Thou art the machine," for the northern ones; "Thou art the other," for the western ones; "Thou are the middle," for the eastern ones.
4.9.4	Then in the northern one, he places three in the manner of the eight-vessel, with "Thou art the middle," and the fourth as before, in the intermediate spaces as mentioned.
4.9.5	"Thou art the middle" for the remaining ones.
4.9.6	With the Veda, he places the embers in the skull-bones, saying, "Of the Bhrigus and Angiras."
4.9.7	Having recited the verse, "Those which are hot," he yokes the skull-bones with the verse, "Indra and Vayu, be yoked."
4.9.8	Having roasted the grains in a vessel, having covered them with a sacred thread, having placed them in the vessel, having recited "For the god thee", having sprinkled the grains according to the deity, three times with the mantra, and once silently.
4.9.9	While sprinkling, one should restrain speech, and while covering, one should release.
4.9.10	The deity indeed is this. Having purified the flour with the ladle, having taken it with the ladle, and having bound it with the Veda, he pours it into the flour with the verse, "O Ap, do thou unite with the Ap."
4.9.11	If the Prāṇītas are not available, then having purified water with the mantra, one should pour it with the verse, “O Ap, do you unite with the Ap.” This is the alternative procedure in case of emergency.
4.9.12	"You are born from the waters, you are the Madantīs," he pours the flour.
4.9.13	"You are being poured out with water." He pours it around in a clockwise direction.
4.10.1	"He says, "I am uniting you for the sake of generation," and having made a lump, he says, "You are the head of the sacrifice," and divides it according to the share.
4.10.2	Having made the two lumps equal, he touches the one for Agni, saying, "This is for Agni," and the one for the deity, saying, "this is for so-and-so."
4.10.3	Having removed the embers with the verse, "This I offer to the army," by placing the right skull-cup on the left, he places the right lump with the verse, “Thou art the head of the sacrifice.”
4.10.4	He places the left lump with the verse,“Thou art the heat, the life of the universe.”
4.10.5	So also the left one.
4.10.6	He makes the image like a tortoise, neither too high nor too low.
4.10.7	"Spread out widely." He spreads out the potsherds as far as he can.
4.10.8	Having brought the water into the vessel, he takes the skin, rubbing it clockwise with oil, not too much, not too little.
4.10.9	Having placed the curds, he protects the enclosed (fire) with the fire-stirring stick. He enkindles all the oblations three times with the fire-sticking stick.
4.10.10	"May the god Savitr cook thee." With darbha-blades he cooks the southern cake, sprinkling it.
4.10.11	"O Agni, protect the oblation." He recites this over the Garhapatya fire.
4.10.12	"Be united with the Brahman." With the Veda he sprinkles the cake with ashes along with the embers.
4.10.13	"Do not burn." He releases speech.
4.10.14	Having washed the fingers and rinsed the vessel, having heated it on the fire-brand, having taken it within the altar, having drawn three lines towards the north with the wooden sword, having offered three times with the formula, "For oneness svāhā," he moves the wooden sword in the three lines without touching them.
4.11.1	He makes the altar for the sacrificer towards the west of the Ahavaniya fire, either of unlimited size or as much as is required.
4.11.2	The sacrificer touches the ground with the words, "I am making this hall for him."
4.11.3	The Adhvaryu, having taken the Veda, says, "This is the Veda." Having touched the Veda, he touches the Veda three times in front of the Veda.
4.11.4	The sacrificer, while the Veda is being touched, recites the verse, "With four locks..."
4.11.5	The Adhvaryu takes the Stambayajus from the eastern half of the Veda, from the third part.
4.11.6	Taking up the wooden sword with the formula, "Thou art of the god Indra", and having consecrated it with the formula, “Thou art of Vayu”, he sharpens its tip with a darbha-blade. Having placed the darbha-blade with its tip towards the east or towards the north with the formula, "Thou art the armour of the earth", and having struck it with the wooden sword with "Thou art the earth, the divine altar", he takes up the darbha-blades along with the wooden sword and goes to the village with the formula, "Go to the village."
