1.1.1	We shall explain the Darśa-Pūrṇamāsa sacrifices.
6.7.7	He establishes the fire in the place of the Āhavanīya with the formula, "I offer the oblation of immortality to the fire of immortality. I offer the fire to the earth for the conquest of immortality. By that I conquer the endless desire. Prajapati conquered it first. Agni to Agni, svāhā." In the evening he offers to the Sun with the formula, “To the Sun, svāhā.” In the morning.
6.8.1	The sacrificer himself, having brought the kindling woods, places them on the fires in the manner of the great kindling woods.
6.8.2	On the Āhavaniya fire he places the largest one.
6.8.3	The Garhapatya fire is always to be kept burning.
6.8.4	In the evening and morning they should take out the Āhavani ya fire.
6.8.5	Or it may be taken out in the evening and kept till the morning Agnihotra.
6.8.6-10	The Ahavaniya fire is always kept burning. Or for one who desires long life. Every day the Aharahavana fire should be brought in or churned out. Or it may be always kept burning. The Sabhya and Avashthya fires are always kept burning.
6.8.11	He carries the fires around, saying, "O Agni, O king, be purified!" to the Ahavaniya; "O Agni, the shining one, be purified!"
6.8.12	to the Anvähäryapacani; "O Agni the householder, be purified!" Having offered thus, he carries the fires around.
6.8.13	He strews the fires, the Garhapatya, then the Anvähärvapacani, then the Ahavaniya.
6.8.14	Having washed the Agnihotra vessels, he places them in pairs to the north of the Garhapatya - a Khadira ladle, a Vaikankati Agnihotra vessel, a cloth, an Arya-made Agnihotra spoon, an upright-headed ladle, a non-rotating ladle.
6.8.15	Having announced the setting of the sun, he releases the calf to the right of the Agnihotra cow.
6.8.16	Then, having turned it towards the east or the west, they milk it with a vessel and a milking-pot.
6.8.17	One says, "A Śūdra should not milk," while another says, "A non-Śūdra should not be allowed to milk."
6.8.18	It is known that a Śūdra should only milk the Agnihotra, because that is the sacred offering and does not exceed it.
6.9.1	The former two should be milked for the eldest son, or for the son of the eldest son, if he desires to be the Purodha, or if he has lost his wealth. The latter two should be milched for the youngest son, or for his son, if he wishes to be the Puro dha, or if he is the youngest and inferior.
6.9.2	The former should be milked first for the eldest son and the grandson of the eldest. The latter should be milked for the youngest son and the grandson. This is according to some.
6.9.3	According to the rule of milking as one pleases,
6.9.4	one does not touch.
6.9.5	One takes away the milk.
6.9.6	The sacrificer sits down behind the Ahavaniya fire, having gone around along the south. The wife sits down in the place of the sacrificer, in the world of the wife.
6.9.7	Having brought it, he offers the Agnihotra at dusk or in the evening, having seen the star or the sun.
6.9.8	Some say that one should offer the Agnihotra at dawn or in the morning when the dawn has risen, when the sun has risen, when it has set, or when speech begins to speak.
6.9.9	If one offers at sunrise, one obtains the Agniṣṭoma; if at midday, the Ukthya; if in the afternoon, the Ṣoḍaśin; if in the first part of the night, the Jāgatika; if in the last part of the night one obtains the Rātriparayāya. This is known.
6.9.10	One should not think that one should offer at all these times. One should think that it is offered in an emergency.
6.9.11	He sprinkles the fires, the Garhapatya first, then the Anvähäryapacani, then the Ahavaniya.
6.10.1	"In the evening he says, "I sprinkle thee with truth." In the morning he says, "With truth I sprinkle thee with truth."
6.10.2	Some say, "In the evening he sprinkles thee with truth and truth, and in the morning he sprinkles thee with truthful truth."
6.10.3	Having thus offered, he sprinkles.
6.10.4	Having moved away from the Garhapatya, he causes a continuous stream of water to flow towards the east from the Ahavaniya, saying, "You are the continuity of the sacrifice. I lead you to the continuity of the continuity of the Yajna."
6.10.5	"You are Dhṛṣṭi, the Brahman. You are the Brahman." Having taken up the Upaveṣa, he places the embers from the Garhapatya towards the north, saying, "The creator of the past, the remover of the present, the fear of the future."
6.10.6	Having made them empty, he places the Agnihotra on them. The place of Ida is full of ghee. O Jātavedas, do thou accept this oblation. Those domestic animals of various forms, may their seven be here.
6.10.7	Then, kindling him with grass, he looks at him, saying, "May I rise up with animals and with strength."
6.10.8	When it has been raised, he generates it with water either by means of the ladle or by means of the hand, saying, "Do not let me be separated from your radiance."
6.10.9	If one desires brilliance, if one desires brahmic glory, if one desires to attack, if one desires (to be) firm, or if one desires, "May a hero be born to me," one should generate it.
6.10.10	Similarly, having ignited it with grass, he performs the three fire-offerings, saying, "The Rakshas are within, the enemies are within."
6.10.11	Having offered the oblations, he carries it away towards the north, saying, "You are the heat, the giver of prosperity and nourishment. Here, let us accumulate strength."
6.10.12	Having placed the ladle on the Garhapatya fire, having taken up the ladle and the Agnihotra vessel with the Savitrī verse, he bakes them on the Garhapatra fire with the verse, "The Rakshas is repelled, the evil spirits are repelled."
6.10.13	Having baked, he touches them with the verse, "May the sacrificer and his wife be unharmed."
6.11.1	The Yajamāna is addressed thus: "I shall offer the oblation to the gods for the sake of the Yajamāna." In the evening, he says thus: "I am offering the oblation to gods for the sake and removal of the sins of the Yajaman." In the morning, he says thus:
6.11.2	"You are the oblation of the gods. O Death, give me freedom from fear. May there be safety for me. May there be freedom from fear for me." Having uttered this in a low voice, the sacrificer utters loudly, "O Adhvaryu, take the oblation to the gods. May I be free from sin."
6.11.3	If the sacrificer does not follow, the Adhvaryu himself should utter it.
6.11.4	He offers four full ladles, saying, "I offer thee to Agni and to earth." He offers the first ladle. "I offer thee (to) water and to plants." He offers the second. "I offer (thee) to wind and to space." He offers the third. "I offer to thee the sun and to heaven." He offers the fourth.
6.11.5	One should not close one's eyes while offering to Agni.
6.11.6	Having offered, one should gaze at the great.
6.11.7	Having taken up the Agnihotra, he touches the spoon and the pot with the Dasahotr verse, "May the gods, the evening-goers, protect me with prosperity. May the gods, the morning-goers, protect with prosperity." In the evening, "May the morning-goers protect me with prosperity." In morning.
6.11.8	Where he would lead them, there he should place them, saying, "May my cattle be more numerous."
6.11.9	Taking a Palāśa twig the size of a span, he offers it to the Garhapatya fire, saying, "O Agni, may I be able to offer you oblations."
6.11.10	Running forward, he recites the Dashotr hymn.
6.12.1	He offers it above, saying, "Strike the sky."
6.12.2	He places it in the middle region, saying, "Svāhā to Agni Vaisvānara."
6.12.3	Having taken up the wind, he places it on the sacrificial grass to the east of the Ahavaniya with the verse, "May it bestow life on me."
6.12.4	He places the kindling wood in the middle of the fire with the verse, "This is your kindling wood, O Agni. May you grow and flourish with it. May your lord of sacrifice grow and flourish. Svāhā!"
6.12.5	At the time of sunset, he offers with the verse, "Agni is light, light is Agni, svāhā." At sunrise, he offers with, "The sun is light, light the sun, svāhā.
6.12.6	Alternatively, at sunset, he offers, "Agni the light, light the Agni, svāha." At sunrise, "The sun the light, light is the sun, svāhā."
6.12.7-8	"He wipes the paste downwards in the evening with the formula, "For Isha thee." "He wipes the paste upwards in the morning with the formula, "For Urja thee." "He spreads the paste on the sacrificial grass with the formula, "Do thou bestow brilliance upon me." "He spreads it with the formula, “Do thou invigorate the plants for me."
6.12.9	He waits for the Garhapatya fire, reciting, "O Agni, lord of the house, do not burn me. May my subjects be immortal. May there be light."
6.12.10	He offers the second oblation silently, omitting the first one, reciting, "To Prajapati Svāhā."
6.12.11	Having offered many times, he smears it again.
6.13.1	He smears it again for further consumption.
6.13.2	"O Rudra, be gracious, O Mṛḍānār, be gracious, be gracious, you who are deceitful. Salutations to you. Do not injure me." He sprinkles the fire three times with the ladle, saying this.
6.13.3	He points towards the east.
6.13.4	Having wiped off the paste in the same way, he says, "Grant me offspring." Having placed it, facing east, he smears the paste on the mound to the south, saying, "For the Pitrs, for the Pitrs, I praise."
6.13.5	Having touched water, he eats twice with his fingers, making no sound, saying "Pūṣā is" first.
6.13.6	Having sipped water, he says "I invoke you for the embryos, for the embryos" second.
6.13.7	He does not send it to his teeth.
6.13.8-9	Having turned around the ladle with the handle towards the north and having sipped water with the ladle with the eastern or northern handle, he says, "May the semen of Agni be my progeny." In the evening, and "May the semen of Surya be my progeny." in the morning. Having gone out, having cleansed the Agnihotra-place, he smears the paste on the sacrificial grass.
6.13.10	Having filled the ladle with water, he carries it forward, saying, "For the serpents, I invoke the serpents." The first (verse). "I invoke the ants." The second. "I invoke the non-serpents." The third.
6.13.11	He turns to the right.
6.13.12	He does not throw the sacrificial grass towards the Ahavaniya.
