1.1.1	When one is about to offer a sacrifice with the New-Moon or Full-Moon oblation,
7.2.13	Then the two-deity vessels are placed in order, the Indra-Vayu vessel, the Maitra-Varuna vessel, and the Asvin vessel.
7.2.14	Then the bright and the dark vessels are placed in the middle, the bright vessel on the right and the dark vessel on the left.
7.2.15	The Ritupatra vessel is placed in front of the dark vessel.
7.2.16	The Agrayanasthali vessel is placed at the back.
7.2.17	On the southern side of the Khara-shronyā, the Āditya-sthālī with its accessories.
7.2.18	On the northern side of the Khāra-shronyā the Ukthya-sthālī, with its accessories. 
7.2.19	In front of the northern Havirdhāna, the Dhruva-sthālī is placed on the support, unbaked.
7.2.20	Between the Pūtabhṛt and the Adhavanīya, the bowls are placed.
7.2.21	Behind the southern Havirdhāna-vessel he places the axle, the Droṇa-vessel, and the ten-purified vessel.
7.2.22	Then he touches them with the formula, "Agni is the deity, the Gāyatrī metre, you are the vessel of Upāṁshu." With ten formulas.
7.2.23	Then the Adhvaryu either enters the ritual or sits down watching the rites.
7.3.1	Then when the Hotṛ knows that the dawn has risen, the Agni who is to be deposited has been placed, the two immortal Raths have been yoked, the two strong ones, the two who are to be worshipped, the two who know the way, the two who have been yoked by the two who know, the two who go to the two who know. The two who are to go to the two, the two who will go to the two. The two who will go. The two who know the two. The one who knows the two. The three who know the two, the three who know the three. The three who will know the three. Translation: Then when the Hotri knows that the dawn had risen, the Agni which was to be deposited had been placed, the immortal Raths had been yoked, those who are strong, those who are to be honoured, those who know the way had been yoked by those who know, those who are going to those who know, the ones who will go to those who know. The ones who will go. Those who know those two. The one knowing those two. Those who know the two; those who know the three; those who will know the threes. The three who are to know the three.
7.3.2	Having taken another four spoonfuls, and having taken the sacrificial grass, he instructs (the Maitrāvaruṇa and the Adhvaryu) to run with the Maitrāvaruṇa's and the Adhvaryu's cups, the single-cup-bearer, the Prastotṛ, and the wife, and the Agnīdhra with the Hotr's cup and the Vasatīvari waters, to stand in the Cātvāla with the support.
7.3.3	They do as instructed.
7.3.4	He brings the wife, the water-pot, and the ladle, saying, "Come, let us go," with this formula.
7.3.5	Then he makes her go out by the eastern door, and having gone round the Sadas by the north, and having gone around the Agni-dheya mound by the north, he goes out by the middle of the Catvāla and the Utkara, and goes to the place where there is water.
7.3.6	Then he offers on the Barhis in water with the verse, "The divine waters, the waters, the wave of waters, the most powerful, the most intoxicating, that is for the gods, for the gods, he places it. The bright one for the bright ones, for whom your share is, svāhā."
7.3.7	He sprinkles the oblation with the Maitrāvaruṇa goblet with the verse, “May this be for you, free from sin, free from injury."
7.3.8	Having covered the two sacrificial grass-blades, he takes them up with the formula, "I take you up for the ocean, for the inexhaustible."
7.3.9	Then he takes up the single-holed ones with the formula, “I take you for Indra, for what is dear to him” or silently.
7.3.10	Then he takes the Pannijani-waters, saying, "For the Vasus, Rudras, and Adityas, for all the gods, I take the Pannijani waters. For the sacrifice I take the Pannijani waters."
7.3.11	Having handed them over to the wife, they go away.
7.3.12	When the sacrifice has begun, the sacrificer, having returned by the same route by which he had gone, touches the Hotr's goblet and the Maitrāvaruṇa's goblet in the Catvāla chamber and then takes out the Vasatīvari waters.
7.3.13	He fills the Hotr' goblet.
7.3.14	He pours the water from the Maitrāvaruṇacup into the Hotr' cup.
7.3.15	Then having placed the Hotr's goblet, the Vasatīvarī goblets and the Maitrāvaruṇa's goblet together, he anoints the Pratistoma with the verse, "May they be united with light, may the bright ones be united with brightness, may the offerings be united with offerings, may the lord of sacrifice be united with blessings."
7.3.16	Then the wife, having come back by the same route, places the (bricks) on the Upasad altar, touching them with her hips, silently.
7.4.1	Then the Adhvaryu approaches the Hotṛ.
7.4.2	The Hotṛ asks the Adhvaryus, "O Adhvaryu, have you seen the Apas?"
7.4.3	The other replies, "I have seen the one who is not seen and these (bricks)."
7.4.4	If it is an Agniṣṭoma, he offers with the verse, "O Agni, the mortal whom thou hast chosen in the contests, in the races, he is the leader of eternal gifts, svāhā."
7.4.5	If it is an Ukthya, he cleanses the middle enclosing stick with this very formula.
7.4.6	If it is a Atiratra, he recites this very formula while approaching.
7.4.7	The Brāhmaṇa passage is: "By the exclusion of the sacrificial rites."
7.4.8	Then, having taken the Hotr's and the Udgātṛ's cups, he places them between the southern and northern Havirdhāna sheds.
7.4.9	Then, having placed the Adhvaryu's cup upside down, he places the Maitrāvaruṇa's cup around it.
7.4.10	He places the third cup of the Vasatīvarī waters.
7.4.11	He places one cup of the Ekadhana waters.
7.4.12	He places the Puro-aksas and Vasat-varis in front.
7.4.13	The Ekadhanas are placed behind the Aksas.
7.4.14	Then, sitting between the Havirdhana and the Sadas, he asks for a wooden vessel with four corners.
7.4.15	Having placed the two sacrificial grass-blades in it, he takes up the Prajapati-graha of curds with the formula, "Thou art taken with a support. For Prajapati, for the luminous one, I take thee, the luminous one. For Daksha, for the increasing Daksha, for Rta, for the Agni-tongued gods, for the swift ones, for Indra-chief, for Varuna-king, for the wind-dwellers, for the rain-souled ones."
7.4.16	Having taken up the two sacrificial grass-blades, he rises with the formula, "For heaven thee, for atmosphere thee, for earth thee."
7.4.17	He goes out through the eastern door with the formula, “O Indra, do thou cast away the mind of the haters, of the envious ones, of him who hates us. Do thou cast him away.
7.4.18	Having come, he offers on the Ahavaniya fire when the sacrificer has begun, saying, "For Prāṇa thee, for Apāna thee, for Vyāna thee, for Sat thee, for Asat thee, for the waters thee, for the plants thee, for all beings thee, from whom the unfailing progeny is born, to him thee, to Prajapati, to the all-pervading, to the luminous one, I offer the luminous one, svāhā."
7.4.19	Then he pours out the water for rinsing (the Soma).
7.4.20	Baudhāyana says, one should give a cow or a bull.
7.4.21	Āñjīgavi says, one should offer twelve heifers.
7.4.22	Kaṭya says, a bull.
7.4.23	Rāthītaras says, a gem and an earring.
7.5.1	Then having taken the Hotr's cup and having placed it between the two sacrificial posts, he places it on the skin.
7.5.2	On these cups, he makes the sacrificer recite the formula, "O Nigraha, O Devashruta, may my life be satisfied." Having responded, he says, "May the groups not be thirsty for me."
7.5.3	Having handed them over to the sacrificer, he takes up that one among them which is like a good-looking man, with the formula, "I take thee in the impulse of god Savitr, with the arms of Asvins, with the hands of Pusan."
7.5.4	Taking it, he recites: "O stone, the maker of sacrifice, make this deep sacrifice for the gods. With the highest purity, for Indra, the well-pressed Soma, sweet, full of milk, bringing rain."
7.5.5	Then having stretched him out towards the east, having relaxed him, he should pour down the king of juices, the Upāṃśusavana, with the formula, "For Indra, the slayer of Vṛtra, for Indra, the subduer of Vṛtra; for Indra, the slayer, of foes; for Indra, for Aditya; for Indra, who has all the gods."
7.5.6	Five times with the formula.
7.5.7	Five times silently.
7.5.8	The king is measured ten times the length of the half-space.
7.5.9	Then, having bound the remaining king with the turban, having taken him out between the southern and northern Havirdhāna sheds, he throws him down on the mound.
7.5.10	Then he makes the king drink the Hotr's cup with the verses, "The wives of the immortal, the destroyers of enemies, the givers of wealth, the goddesses, may they place this sacrifice in the presence of the gods. May they be invited, while Soma is being drunk. May your Soma be invited to drink."
7.5.11	Then he makes him go forward with the verse, "Whatever light of thine is in heaven, whatever is on earth, whatever is in the sky, thereby do thou, O Soma, be the thigh of the sacrificer, the thigh of the giver, for the giver."
7.5.12	He touches the skin with the two pieces of wood with the verse, “O Dhishana, do thou be firm, do thou be steady, do thou bestow strength, do thou bestow on me strength, may I not injure you, may you not injure me.”
7.5.13	Then he recites the verses, "May your growth be without injury, well-born, born of truth, may we be blessed with you. The goddesses, the plants, united with Indra, may they consent to the Soma pressing."
7.5.14	The Pratiprasthātṛ places six strands in the left hand of the satisfied king.
7.5.15	Then he takes the Upāṃśu vessel with the same hand.
