1.1.1	Now, therefore, the authority.
6.7.15	And the animal in a pan.
6.7.16	A cake on eleven potsherds to the animal-deity.
6.7.17	Or to Agni-Soma, because of the special injunction.
6.7.18	Here itself is the invocation of the Havishkrit, because of the oneness of the sacrifice.
6.7.19	He offers the oblation to Indra-Agni with the formula, "Do thou recite the Puronuvākyā for the cake to Indra-Ag Agni."
6.7.20	He offers the oblation in the Upabhṛt ladle as in the case of Sviṣṭakṛt.
6.7.21	He sends forth with the formula, “To Indra-Agni the cake.”
6.7.22	Having offered, having brought together and having given to Agni,
6.7.23	In the place of the qualified, the unqualified is used because of the oneness of all modifications.
6.7.24	Or as mentioned, because of the difference in the words.
6.7.25	He offers the Iḍa oblation.
6.7.26	Because of the similarity of meaning, there is no action of another.
6.7.27	And because of the difference in injunctions.
6.7.28	And because there is a difference in time and quality.
6.7.29	The animal is the fee, the cow is the prize, or the cow is the fee, and the animal is the prize, in the case of the Marjita.
6.8.1	"He who has been pacified, may he be chastised. May he be thrice expelled. May he be made to fall thrice. May he be given the supreme heart of one who has fallen thrice. Whatever oblation has been offered to you, O pacified one, say 'it has been offered' and not 'it has not been offered, O revered one, it has not been offered."
6.8.2	He makes the supreme heart of the one who has fallen three times.
6.8.3	And the stake on the ground.
6.8.4	Having taken up the clarified butter in the Juhu, he goes out and asks, "Is the cooked oblation ready?" three times.
6.8.5	When it is said, "It is ready," he says, "It is for the gods."
6.8.6	Having sprinkled the heart with "May your mind be united," he sprinkles everything.
6.8.7	Having placed the animal skin and the ladle on the right side, the Pratiprasthātṛ pours the oblation on the sacrificial grass on the Veda.
6.8.8	He spreads the Juhu and Upasthita on the Vasahomāhavanīya and in the vessel.
6.8.9	When told to recite after the offering of the Manotā oblation, he offers twice as prescribed from the two ladles.
6.8.10	When the anus is completely covered, the third part remains.
6.8.11	The gold is offered.
6.8.12	Taking up the red fat, he pours it twice, saying, "May it be a hundred thousand." He mixes it with the side, either with a knife or with a knife.
6.8.13	Pouring the remaining fat into the ladle, he puts in the intestines and the bones, except the hip bone.
6.8.14	Placing the omentum and the anus, he says, "Recite the Anuvāka for the offering of the goat to Indra and Agni."
6.8.15	Having called out to Indra and Agni, he says, "Send the goat's oblation."
6.8.16	And when the oblation is sent, he says, "It has been sent."
6.8.17	At half the distance of the Yajya, he offers a portion of ghee, saying, "Ghee, the purifier of ghee."
6.8.18	Having offered to the deity, having circumambulated clockwise, striking the ghee with the Juhu, he says, "Recite for Vanaspati."
6.8.19	Having called out, he says, "For the Vanaspati, let it be offered."
6.8.20	Having offered, he brings the Sauviṣṭakṛt.
6.8.21	Having returned, he sprinkles the directions with the remaining fat, like the Vājinī.
6.8.22	He offers everything.
6.9.1	He touches the animal with the formula, "Indra is Prāṇa."
6.9.2	Having taken it, he places it in front of the fire before offering.
6.9.3	He places the Ida.
6.9.4	To the Agnihotri who has been invoked, the Vanisthuh.
6.9.5	The Adhvaryu places the Uddhatī (kindling wood) on the Hotr.
6.9.6	The Vantāriṇī (kindling woods) are placed in between.
6.9.7	The Agnīdhra brings the Upayajāna Angaras (charcoals) and places them on the Upayāṣṭi. The Brahman sits down. The Adhvaryū says, "I shall proceed after placing the Samit. O Agnīdh, do thou sprinkle the fire."
6.9.8	Having brought the charcoals from the Śāmitra, he scatters them on the Vedi-ridge towards the north.
6.9.9-13	From the Agnidhra-place to the Hotr-place in the Soma-sacrifice. The Pratiprasthātṛ offers the Upāṁśu-oblations, cutting off the third part of the Guḍa, with the formula, "May I go to the ocean." After each Vaṣaṭ-utterance, he offers with the formula, “O mind, be mine.” He sprinkles his mouth. At the end of the Anuyājas, he offers the Svara with the formula, "Thy smoke goes to heaven." The Sruva is placed with the deities of the animal and the tree.
6.9.14	The offering to the wives is made with the thigh-bone.
6.9.15	The oblation is offered to the wives of the gods with the thigh-bones turned upwards.
6.9.16	And to the Ida.
6.9.17	Turning around, to Agni, the lord of the house,
6.9.18	And to the Agnidhra.
6.9.19	With ghee, to the east.
6.9.20	All (offerings) are made with the thigh bone, due to the absence of any distinction.
6.10.1	Having offered on the sacrificial grass, they go to the water, taking the heart-bone.
6.10.2	If they have undertaken the vows, they approach the Ahavanīya fire.
6.10.3	Having gone around, he covers the heart-pain at the junction of the dry and wet (parts) with the formula, "Thou art the disease, thou art the disease. I cover him who hates us and whom we hate. May there be no diseases among the plants."
6.10.4	One who is sick, having sprinkled water near the sacrificial post, covers it as prescribed with the formula, "May there be no diseases."
6.10.5	They touch the water with the formula, “May there be friendship with each other.”
6.10.6	The former (i.e., the Soma) is the one which is left over after the covering.
6.10.7	Or the one which is recited with a mantra.
6.10.8	Except for the Anubandha, there is no Soma.
6.10.9	The placing of the Samit is like the Varuna-prastha.
6.10.10	Having released the vow, the four-graha-homa of the other fires is like the Yupa-homa.
6.10.11	This is the ritual.
6.10.12	Or it is done on the one which has been ascended and churned.
6.10.13	One should give according to one's enthusiasm.
6.10.14	Having taken the Agnihotra-vessels, the Adhvaryu, the Agnidhra, the Hotr and the Dhiṣṇiya-priests as prescribed, and having taken the clarified butter for the Agnidhra-priest, he should take the Darsha-Soma-view.
6.10.15	Not because of being meant for Soma.
6.10.16	The view is due to the proximity.
6.10.17	The Darvi-offerings are the rites of the Full-moon sacrifice. One should offer them without distinction.
6.10.18	Because of the view of the Juhu.
6.10.19	Silently.
6.10.20	Those who have lost their wealth.
6.10.21	Those who have only one fire.
6.10.22	Those who do not offer the Prayāja offerings.
6.10.23	Those who offer the Anuyāja offerings.
6.10.24	those who do not offer Samiṣṭayajus offerings.
6.10.25	Those without Nigada.
6.10.26	Those who make offerings with Nigada.
6.10.27	those who offer with the word "svāhā".
6.10.28	Those who offer only as much as is necessary for the attainment of others.
6.10.29	In the Pākayajñas, the Avatsa is not offered in all.
6.10.30	Eating the remaining oblations.
6.10.31	Because of the statement, "It is like the Agnihotra in the Pākayajña."
6.10.32	From the animal sacrifice to Agni and Soma.
6.10.33	The connection with the branches.
6.10.34	Having offered the Vapa, he offers three, five, and all.
6.10.35	In the absence of all, from the remaining Sviṣṭakṛt.
6.10.36	Offering together with the Sthālīpāka.
6.10.37	A full vessel is the fee.
6.10.38	Or a boon.
7.1.1	The text says that one should perform the Darsha-Pūrnamāsa sacrifices and then perform another sacrifice.
7.1.2	The Soma sacrifice is performed with the Soma plant, because the Soma plant is the main offering.
7.1.3	Because there is no distinction.
7.1.4	In spring, the Agniṣṭoma sacrifice.
7.1.5	Having performed the Aindrāgna sacrifice again, one should offer the two-person Soma drink.
7.1.6	He chooses sixteen priests: the Brahman, the Udgātṛ, the Hotṛ, the Dhṛtar, the Brāhmaṇācchaṃsin, the Prastotṛ, the Maitrāvaruṇa, the Pratiprasthātṛ, the Potr, the Pratihartṛ, the Chāvāka, the Neṣṭṛ, the Agnīd, the Subrahmaṇya, the Gravastut, and the Dūntṛ.
7.1.7	Four are the instrumentalists.
7.1.8	The others are as they know.
7.1.9	The Brahmanas, the Agni-knowers, and the Potar-knowers are the Brahmanas.
7.1.10	They make the Devayajana (the sacrificial ground) firm.
7.1.11	The highest.
7.1.12	The same.
7.1.13	Not falling.
7.1.14	Around the Devayajanas.
7.1.15	Except in front.
7.1.16	Inclined towards the east.
7.1.17	Or towards the north.
7.1.18	Whatever is said by the non-officiating priests.
7.1.19	Others make the measurement at the end of the raised medicinal roots.
7.1.20	In front, the ridge.
7.1.21	In front of the ridge, the high point.
7.1.22	The door faces the directions.
7.1.23	Or facing the north.
7.1.24	Or a hut.
7.1.25	And the northern and southern sides are enclosed.
7.1.26	The one who is initiated should perform the rite on the fifth or seventh day of the bright fortnight.
7.1.27	If the time is exceeded, it is necessary to perform the rite because the time has arrived.
7.1.28	not because of equality.
7.1.29	There are twelve consecrations.
7.1.30	Or unlimited.
7.1.31	Consecration on a meritorious day, purchase, production, rising.
7.1.32	In rising from a place, in case of conflict,
7.1.33	not because of being indicated by words.
7.1.34	In consecrations, cutting the sacrificial post, having offered the sacrificial post before, having churned the fire at the end of the sacrificial post, due to the prohibition of Agnihotra for the consecrated.
7.1.35	At the time of raising (the fire), both are to be offered.
7.1.36	Having raised the fires, taking the pillar of the hall from the east, with the hand holding the sacrificial grass, he says, "Agni has come." In the hall.
7.2.1	If brought, he places the king.
7.2.2	Before the purchase, they offer him food, sacrificial food without meat, having moved the fire.
7.2.3	In the seven procedures, the altar is half the width of the sacrificial ground, with the fire pit.
7.2.4	One eats the food offered in the afternoon.
7.2.5	It is appropriate.
7.2.6	Or not.
7.2.7	Having indicated the purpose of the sacrifice, one performs the consecration in water, turning towards the north, with the water pot.
7.2.8	The barber attends to him, cutting the nails of the right hand, starting with the thumb.
7.2.9	Having given the gift of a cow to the south, he says, "These are the waters."
7.2.10	The sacrificial post is like a young grass-blade.
7.2.11	Having cut it with a razor, he throws it into the water-vessel.
7.2.12	In the same way, the northern one, silently.
7.2.13	He does not give the razor to the barber.
7.2.14	He shaves his hair and beard with it.
7.2.15-20	"The waters are ours." Having bathed, one comes out with the words, "We have come out." One should wear a woolen garment. If one has worn a new garment, one should sprinkle it with water and say, "It is purified." One should wear a garment that has been washed with urine. One should have hair in various styles and spread out in ten directions. This is for the sake of the consecration and austerities. One should not make a turban.
