1.1.1	Now, we shall explain the Darsha-Pūrnamāsa sacrifices.
5.15.5	Whatever is here in heaven and whatever is there on earth, the two have come together in agreement. May the all-knowing one sit on their back, for the welfare of creatures, for his own body. Having recited this, standing facing east, he places the Āhavanīya fire.
5.15.6	When the Brihatī and the Śyaita-varāvantī are being chanted, and the Yajñāyajñīya, and with the Rṣyādhāna, and with all the Vyāhṛtis, and with all (the verses) beginning with "O Serpent", and with the third Gharmashīrṣa, whatever thy auspicious forms, O Jātavedas, are in the sky, or on the earth, all those, united, of one mind, of one accord, born of gold, O Agni, do thou carry the oblation. I place thee, the life-giver, the eater of food, the protector, the protector, in the air, with the strength of heaven, with the greatness of earth, with the nourishment of the atmosphere, with the brilliance of cattle, I place thee, the eater of all cattle, Agni, the universal king, the one-footed, the one-born, the one-hoofed, the one-horned, the one-headed, the one-bodied, the one-natured, the one-shining, the one-blazing, the one-sacrificing, the one-offering, the one-knowing, the one-seeing, the one-going, the one-coming, the one-moving, the one-standing, the one-sitting, the one-lying, the one-sleeping, the one-waking, the one-breathing, the one-speaking, the one-hearing, the one-smelling, the one-tasting, the one-touching, the one, the one-eyed, the one-eared, the one-nosed, the one-mouthed, the one-armed, the one-handed, the one-legged, the one-hooved, the one-horny, the one-head, the one-body, the one-nature, the one-shine, the one-blaze, the one-sacrifice, the one-offerer, the one-knower, the one seer, the one-goer, the one comer, the one mover, the one stander, the one sitter, the one-sleeper, the one-wakener, the one breather, the one speaker, the one hearer, the one smeller, the one taster, the one toucher, the one, one-eyed, one-eared, one-nosed, one-mouthed, one-armed, one-handed, one-legged, one-hooved one-horned one-head, one-body, one-nature, one-shine, one-blaze, one-sacrifice, one-offerer one-knower one-seer, one-goer one-comer, one-mover, one-stander, one-sitter, one-sleeper one-wakener one-breather, one-speaker, one-hearer, one-smeller, one-taster, one-toucher, one, one-eye, one-ear, one-nose, one-mouth, one-arm, one-hand, one-leg, one-hoof, one-horn, one-head, one-body, one nature, one shine, one blaze, one sacrifice, one offerer, one knower, one seer, one goer, one comer, one mover, one stander, one sitter, one sleeper, one wakener, one breather, one speaker, one hearer, one smeller, one taster, one toucher, one, one eye, one ear, one nose, one mouth, one arm, one hand, one leg, one hoof, one horn, one head, one body, one nature, one shine, one blaze one sacrifice, one offering, one knowing, one seeing, one going, one coming, one moving, one standing, one sitting, one sleeping, one waking, one breathing, one speaking, one hearing, one smelling, one tasting, one touching, one, one eyed, one eared, one nosed, one mouthed, one armed, one handed, one legged, one hoofed, one horned, one headed, one bodied, one natured, one shining, one blazing, one sacrificing, one offering, one knowing, one seeing one going, one comer, one moving, one standing one sitting, one sleeper, one wakener, one breathing, one speaking, one hearing one smelling, one t
5.16.1	"He eats, he eats all, he eats the whole life. I am yours, you are mine. This is yours, this is my womb. I am yours. Being mine, do carry the oblations. O Agni, the son, the creator of worlds, the one who knows all, the one who is being placed, the sacrificer recites this mantra."
5.16.2	The sacrificer recites the Vyāhṛtis, the Serpent-king, and the Gharma-head verses at all the offerings.
5.16.3	One should touch the fire that has not been placed and offered with ghee and herbs.
5.16.4	The form of thine, O Agni, which is dear in the cattle, which is in the earth, which is in Agni, which is in Rathantara, which is in Gayatri metre, that I offer with this (oblation). Svāhā. The form of thine which is dear in water, which is in air, which is in Vayu, which is in Vaimateya, which is in Trishtup metre, that Ioffer with this (oblution). Svāhā, The form of thine whic is dear in the sun, which is in heaven, which is in Aditya, which is in Brihat, which is in Jagat metre, that I otter with this (oblution). Svāhā." With these (verses) he offers oblations of clarified butter and herbs, each time repeating the verse.
5.16.5	Some say that he should offer the kindling wood.
5.16.6	Brahma recites the Sama hymns at the Agni-installation.
5.16.7	Some prohibit this.
5.16.8	The Vājasaneyins say that the Udgītha is done with the Vyāhṛtis.
5.17.1	Then he installs the Sabhya and Avāsathya fires, having brought in the worldly fire, churned it, and installed it from the Āhavanīya as per the Rṣya-installation.
5.17.2	Agni, do thou purify the life-breaths. O Agni, do thou cleanse thyself. Agni, the sage, the purifier, the five-born, the priest, him, the great giver, we seek. He places three kindling-sticks of the ashvattha tree on each one.
5.17.3	Or three on the Ahavaniya.
5.17.4	The wave of the ocean rose up, the sweet one, and with the Upamsu (verse) he attained immortality. The secret name of ghee is the tongue of the gods, the navel of immortality. We shall proclaim the name in this sacrifice, holding it with ghee and salutations. May Brahma listen to the praise being sung. The four-horned bull was born, the white one. It has four horns, three feet, two heads, and seven hands. The bull is bound in three ways and roars. The great god has entered among mortals. The three Shami-wood sticks are anointed with ghee. He places three in each, three in each. Or three in the Ahavaniya.
5.17.5	Thus, having placed the kindling woods, he offers the Agnihotra silently.
5.17.6	Then he offers the Agnihotras silently.
5.17.7	Or else, having filled the ladle with twelve spoonfuls, he offers, meditating on Prajapati in his mind. This is the place of Agnihotra.
5.17.8	The sacrificer sends him to the one he hates, saying, "O Agni, with those terrible forms of yours, go to him." With them he afflicts him. The Anuvākyā (verses) are recited in the forest.
5.18.1	Having filled the ladle with twelve spoonfuls, he offers a full oblation with the sevenfold verse, "O Agni, thy seven kindling-sticks, thy seven tongues." When the oblation has been offered, the sacrificer, having given a boon, recites the auspicious verse, "Those fires which are in heaven, which are on earth, coming together, yielding food and nourishment, may those fires, having given wealth, being pleased, having become sharers of oblations, may they go to their respective places and set again, svāhā." He offers thus.
5.18.2	Then the sacrificer stands up with the Viraj verses. Then (he says) "O Anvähäryapacana, protect my food, which is equal to my breath, with the Pitrs. May we be united with the food and nourishment, with the prosperity of wealth." He says this to the Anvähärya-pacana. "O Garhapati, protect my cattle, which is the root of the world, the progeny, the continuation of the self, created from the heart. I give it to you." He says this about the Garhapati. "O Ahävaniya, protect my cattle which is of various forms, wealth, and prosperity. I give you the prosperity of the houses and the joy." He says this regarding the Ahävaniya. "O Sabhya, protect my assembly, which is the means, the enhancer of prosperity. I give the shadow of the assembly to you." He gives this to the Sabhya. "O Budhniya, protect my mantra, and the prosperity along with fame. I give the mantra to the Budhniya and the prosperity and fame." He says this concerning the Budhniyan. The Viraj Agni spread out in five ways, created by Prajapati. The Rohini Agni ascended upwards, the source of Agni, the foundation. All of them.
