1.1.1	We shall explain the (Vedic) sacrifice.
5.20.6	At the (sacrifice of the buck) which is immolated on the day of soma-sacrifice (itself) the (formula expressly) destined for this occasion (takes the place of the formerly mentioned one).
5.20.7	When (at the close of the good words) the all-hail and the blessing have been said (by the hotṛ) the maitrāvaruṇa steps out of the sadas and is (temporarily) dischaṛged.
5.20.8	The hotṛ betakes himself (with the others) to the shed (the prācīnavaṃśa śālā) and ends the night by performing the rites ending with the patnīsaṃyājas.
6.1.1	The (victim) offered to Agni and Soma, explained (in the preceding chapter) is the model for (all the other) animal sacrifices.
6.1.2	The tradition of the mantras which derives from the ṛṣis (is given) in the model.
6.1.3	They call ‘adāptation’, the change of a word, according to the aim (the subject), in the subsequent rite (i.e. in the modification), if the change of aim is not expressed in the form of the model.
6.1.4	In the verses of the Ṛksamhita no change is produced.
6.1.5	On the ground of difference of aim (subject) the following change of words must be made: (‘for the sacrifice’ is replaced by) ‘for the two sacrificers, or for the sacrificers' (in case the sacrifices are two or more). (For ‘the two lords of the sacrifice’ is replaced by): ‘To the lord of the sacrifice, or to the lords (pl.) of the sacrifice’ (in case the victim is destined not for two deities together but for one or for more than two). (The word ‘the victim’ is replaced by): ‘the two victims, or the victims’ (in the same case). (The words: ‘they two have eaten’ are replaced by): ‘he has eaten, or they (pl.) have eaten’ (in the same case). (The words: ‘let them consume’ are replaced by) ‘let him consume, or let them (pl.) consume’. (The words: ‘they both have consumed’ are replaced by): ‘He hath consumed, or they have consumed, or he hath eaten, or they have eaten’. (The words: ‘making himself very strong’ are replaced by): ‘making themselves (dual) very strong, or making themselves (pl.) very strong’. (The words: ‘They two have accepted the cooked parts’ are replaced by): ‘He has accepted (the cooked parts), and they (pl.) have accepted (the cooked parts)’. (The words: ‘Two have taken delight in the cake’ are replaced by): ‘He hath taken delight in the cake, and they (pl.) have taken delight in the cake’. (The words in the sūktavāka: ‘May he obtain that’ are replaced by): ‘May they obtain that’ (if there is a plural of sacrificers). (The words: ‘May he prosper’ are replaced by): ‘May they prosper’. (The words: ‘He hath wished’ are replaced by): ‘They two have wished, they (pl.) have wished’.
6.1.6	The words (in the adhrigu formula): ‘Strew’, ‘eye’, ‘hearing’, ‘breath’, ‘life’, ‘skin’, ‘navel’, ‘breath’, the names of the relations, the words: ‘falcon’, ‘hatchets’, ‘shoulder-blades’, ‘tortoises’, ‘oleander-leaves’, ‘hole for the undigested food’, ‘blood’ are (even in case there are more victims than one) left unchanged.
6.1.7	Nor (must any change be made) in case there is doubt about the applying(?).
6.1.8	Nor (must be replaced) the remains (not expressed parts of a mantra), which have no precedent (in any former mantra).
6.1.9	Nor the āya-nigadas.
6.1.10-11	The rule for numbers is that (in the adhrigu formula) the words: ‘in one piece’ are said twice and that equally the words: ‘twenty-six ribs’ are either repeated twice or this number is expressed by adding together.
6.1.12	When the victim is destined for a single deity or for a pair of deities, (the words of the mantras are adhibited) as for a plurality.
6.1.13-14	If the victims are pairs (a male and a female) they are designated as a masculine, if (the female is) of the same kind, and even if the female belongs to another kind.
6.1.15	The vowel a of the word eva is combined by sandhi with the (immediately following) name of the deity, designating a pair of deities, and having a vowel at the beginning.
6.1.16-17	If there is a plurality of victims, the words: ‘fettering’ and ‘making a good resting-place’ are said once.
6.1.18	At the beginning and at the end of the half year from winter to summer solstice must be performed the ‘separate’ animal-sacrifice destined for Indra and Agni.
6.1.19	Or (it may be) annual.
6.1.20	Many are the animal-sacrifices undeṛtaken in view of a special wish.
6.1.21	With the exception of the victim dedicated to Agni and Soma and the one which is slaughtered at the day of the soma-sacrifice itself the animal sacrifices begin with the leading forward of the fire and end with the rite of the heart-spit.
6.1.22	And for him who is going to undeṛtake such a sacrifice firstly is performed an iṣṭi to Agni and Viṣṇu.
6.1.23-24	Except at the sacrifice of a victim for Agni and Soma, the pronouncing of the wishes, and the mentioning in the sūktavāka of the names (of the sacrificer) take place.
6.1.25-26	From the recitation of the morning-litany on, whenever (in this book) the beginning words (of a hymn) for a śastra or a recitation are cited, the (whole) hymns are meant, otherwise one (single verse) is meant.
6.2.1	Being called when the night is far advanced (by the adhvaryu) for the recitation of the morning-litany he mutters, standing before the dhisnya of the agnīdhrlya, the formulas of resort.
6.2.2	"To bhūḥ I resort. To bhuvaḥ I resort. To svaḥ I resort. To bhur bhuvaḥ svaḥ I resort. To om I resort. To the word, the verse I resort. To the mind, the formula I resort. To the chant, the breath I resort. To the eye, the ear I resort. Homage to the Gods. Homage to the deities. Homage to the Great God. Homage to the gandharvas and the nymphs. Homage to the divine hosts of Serpents. Homage to the past. Homage to the future. Homage to the Fathers. Homage also to ye all who are entitled to homage".
6.2.3	He then addresses reverently, while standing, the quarters according to the indication in the formula.
6.3.1	"In this eastern quarter sun and moon are my regents. May sun and moon protect me against that quarter. May he go, of the deities, to sun and moon, who at that side attacks us": (with this formula he addresses) the east.
6.3.2	"In this southern quarter Yama and Death are my regents. May Yama and Death protect me against that quarter. May he go, of the deities, to Yama and Death, who at that side attacks us": (with this formula he addresses) the south.
6.3.3	"In this western quarter Mitra and Varuṇa are my regents. May Mitra and Varuṇa protect me against that quarter. May he go, of the deities, to Mitra and Varuṇa, who at that side attacks us": (with this formula he addresses) the west.
6.3.4	"In this northern quarter Soma and Rudra are my regents. May Soma and Rudra protect me against that quarter. May he go, of the deities, to Soma and Rudra, who at that side attacks us": (with this formula he addresses) the north, making a turn to the left.
6.3.5	"In this upper quarter Bṛhaspati and Indra are my regents. May Bṛhaspati and Indra protect me against that quarter. May he go, of the deities, to Bṛhaspati and Indra, who at that side attacks us": (with this mantra he addresses) the zenith turning himself to the east.
6.3.6	"In this intermediate region Vāyu and Rain are my regents. May Vāyu and Rain protect me against that quarter. May he, of the deities, go to Vāyu and Rain, who at that side attacks us": (with this formula he addresses) the intermediate region.
6.3.7	"In this earth Agni and Food are my regents. May Agni and Food protect me against that quarter. May he go, of the deities, to Agni and Food, who at that side attacks us": (with this formula he addresses) the Earth.
6.3.8	Then he mutters (the formulas): "The rathantara and the bṛhat are my thighs, the vāmadevya is my trunk, the yajñāyajñīya my support, I (am) bhūḥ. I (am) bhuvaḥ. I (am) svaḥ. I am the stone. I (am) the stones-butt" and the verse beginning: "The well-protecting Earth". Then he turns from left to right, pours by means of the sruva into the agnīdhriya-fire (six) libations with (the formulas): "Bhūḥ bhuvaḥ svaḥ, svaḥa. To Agni, svaḥa. To Uṣas, svaḥa. To the Aśvins, svaḥa. To Sarasvatī, svaḥa. May their greatness delighting in the pressings, paṛtake of the clarified butter, svaḥa!" Thereupon he turns to the left (around his left shoulder) and sits down at the eastern door of the havirdhāna-shed.
6.3.9	When he has been addressed (by the adhvaryu) with the words: "Recite to the Gods the early coming", he recites after having uttered the sound him with middle (pitch of the) voice the morning-litany.
6.3.10	Of paṅkti-verses (verses of five verse-quarters) he joins the (first) three padas together, then makes the pause, and after the two last verse-quarters he joins the prāṇava.
6.3.11	Having recited (before the litany proper) the "O Rich waters" verse, (he recites of the morning-litany) the ‘agni-section’ (kratu) containing (firstly) gāyatrī verses.
6.4.1	(The hymns beginning): “Entering upon the worship” (I. 74:9 verses); “Agni, I praise the house-chaplain” (1.7: 9 verses); “Agni, we choose as our messenger” (1.12 : 12 verses); the first ten verses of the hymn : “As a horse thee” (1.27 : 10 verses); “Rejoice in the most extending” (1.75 : 5 verses); “We, the do tarn as unto thee” (1.78 : 5 verses); “Agni, the hotṛ, the purohita” (III. 11: 9 verses); “The all-knowing messenger” (IV.8 : 8 verses); “O Agni, be gracious” (IV.9 : 8 verses); “Praising thee, we call” (V. 13:6 verses); “We awaken Agni with praise” (14 :6 verses); “To him who must be adored” (VII. 15 : 15 verses); “These praises of the wise” (VIII.43 : 33 verses); “Honour ye Agni with fuel” (VIII.44 : 30 verses); “Let our prayers impel Agni” (X. 156 : 5 verses); “Raise the voice in honour of Agni” (X.187 : 5 verses); and the first twenty-six verses of the hymn: “Thou Agni art the hotṛ of the sacrifices” (VI.16.1-26).
