1.1.1	Now we shall explain the sacraments beginning with conception.
2.4.7	"Om earth, atmosphere, that is Savitr's radiance, the light, the essence." This is the Pranayama verse.
2.4.8	"Oṃ bhūḥ, bhuvaḥ, svāhā." This is the Vyāhṛti verse.
2.5.3	He should take the hair in a pot filled with cow-dung.
2.5.4	Where the head is shaved, except for the tuft and the eyebrows, up to the nails.
2.5.5	Having bathed and sipped water, having recited the auspicious verses, he places the young boy on his right lap after he has eaten.
2.5.6	Then having strewn (the altar), he offers the principal oblation five times, ending with the Vyāhṛtis, saying, "O Agni, giver of life, O giver of life to the gods."
2.5.7	He touches the earth with the right big toe, saying, "Stand."
2.5.8	"Those who did not cut," he says, touching the cloth. "This is ill-spoken," he says, putting on the girdle. "This is covered," he says, covering the upper garment. "This is the sacrificial thread," he says, wearing the sacrificial thread. "This is Mitra's eye," he says, giving the black antelope skin.
2.4.9	"Two verses, "To Agni the kindling wood" and "To Agni the wood", are for kindling the fire. These are for the Kshatriya.
2.4.10	"Om, this is the earth, that is Savitar" is the Savitri.
2.4.11	"Om this is the earth; that is Savitar; Agni is the light; the essence is" is the Pranayama.
2.4.12	"Om earth, svāhā" is the Vyāhṛti.
2.4.13	"To Agni the kindler" and "To the kindler" are for kindling. These are for Vaishya.
2.6.1	Then having made him perform the Ācamana rite according to rule, having taken leave of the members, having touched the arms of the deity with the words "To thee, O god", having led him towards the north facing the east,
2.6.2	having taken the right hand with the words "May thy life be all-round", he lifts it up.
2.6.3	He releases it with the words "Agni has taken thy hand".
2.6.4	"He says, 'This is water, this is food.' He touches his heart and says, 'This belongs to me.' He praises, 'Earth, heaven, heaven, good offspring.'
2.5.1	The asterisms of Prishthapada, Hasta, Ashvini, Anuradha, Pushya, Pushya, Mrigashira, or whatever asterisms have masculine names, there, having collected the materials of Agni, Vayu, the girdle of antelope skin, the staff with a garment, the pot, the stone, the kindling wood, the darbha grass, etc., on the darbha grass and having sprinkled with "May you be united," he sprinkles.
2.6.5	"O Bhūr, O Rkṣu, O Bhuvaḥ, O Yajus, O Suvaḥ, O Sāman, O Īṣṭut, O Anala, O Tat, O Idam, O Vasya, O Six, O Ear, O Recite, O Name, O Surname." Having recited these six times, one should recite one's name ending with the surname.
2.6.6	With the five mantras beginning with "Agni is the bestower of life" he should successively release the tips of the little finger and other fingers in his right hand, saying "Bestower of life" at the right ear, "Bestower of prosperity" at the left ear, and "Bestower of wind" at the left eye.
2.5.2	Having offered the Aghāra oblation with ghee, having placed the child, who has been bathed and is auspicious, having placed two Darbha grass blades with their tips towards the east and north at the head of the fire in the south-east direction, having cut the Darbha grass with the four verses "Indra's weapon" and "By which razor one shaves", he shaves all around, except below the collar bone.
2.6.7	Having made the Agni go round to the right and placed it on the right side, having given the seat with the words "You are the supporter of the kingdom", having sprinkled with the words "May the goddesses protect us", he offers the root-homa up to the Vyahrtis.
2.6.8	Having fed the remaining oblations with the words "Aditi is your seat", he gives the mouthwash with the words "At every juncture, may you be protected".
2.5.3	He should take the hair in a pot filled with cow-dung.
2.5.4	Where the head is shaved, except for the tuft and the eyebrows, up to the nails.
2.5.5	Having bathed and sipped water, having recited the auspicious verses, he places the young boy on his right lap after he has eaten.
2.5.6	Then having strewn (the altar), he offers the principal oblation five times, ending with the Vyāhṛtis, saying, "O Agni, giver of life, O giver of life to the gods."
2.6.9	Having bowed to the sun with the verse "May I go to a hundred autumns," and having circumambulated him, touching his head with the words "For you, O Shaka," and being requested by him, the teacher then recites the Savitri verse. The teacher instructs the student with the words "O Bha."
2.6.10	Then, having bowed to the chief of the Gaṇas, Savitry, and Sarasvatī, one should teach the Savitri as prescribed, divided into half verses and then combined.
2.5.7	He touches the earth with the right big toe, saying, "Stand."
2.5.8	"Those who did not cut," he says, touching the cloth. "This is ill-spoken," he says, putting on the girdle. "This is covered," he says, covering the upper garment. "This is the sacrificial thread," he says, wearing the sacrificial thread. "This is Mitra's eye," he says, giving the black antelope skin.
2.7.1	"The Savitrā Vrata Sūkta is: "O Agni, O Vāyu, O Indra, O Āditya, O Savitrā, O Vratas." The Savitrā Vratabandhana is performed with five Vyāhṛtis.
2.6.1	Then having made him perform the Ācamana rite according to rule, having taken leave of the members, having touched the arms of the deity with the words "To thee, O god", having led him towards the north facing the east,
2.6.2	having taken the right hand with the words "May thy life be all-round", he lifts it up.
2.6.3	He releases it with the words "Agni has taken thy hand".
2.7.2	"He offers seven Palasha sprouts smeared with ghee, saying, "For Agni, the kindling wood." Two times, "For Agni the kindling wood," four times, "For the kindling wood for Agni," seven times.
2.7.3	"He shows the sun, saying, "This is your son, the sun."
2.7.4	In the rite of offering with eight kindling woods, one should engage a disciple.
2.6.4	"He says, 'This is water, this is food.' He touches his heart and says, 'This belongs to me.' He praises, 'Earth, heaven, heaven, good offspring.'
2.7.5	Having wiped the Vedi in the clockwise direction beginning from the south, he spreads it as before. He offers eight times with the Vyāhṛtis, "This is your intellect. May Indra give me intellect. May the Apsarases place me in intellect."
2.6.5	"O Bhūr, O Rkṣu, O Bhuvaḥ, O Yajus, O Suvaḥ, O Sāman, O Īṣṭut, O Anala, O Tat, O Idam, O Vasya, O Six, O Ear, O Recite, O Name, O Surname." Having recited these six times, one should recite one's name ending with the surname.
2.7.6	Having wiped it as prescribed, he should perform the Pravahana with the four verses beginning with "As He" and ending with "Praasaaviir". Then, having applied the ashes with the verse "Bhutih sma", he should sprinkle with the verse "Apo hi sthah". Then he should worship the fire with the verse "Yat te agne" and the sun with the verse "Udvayam agnim".
2.6.6	With the five mantras beginning with "Agni is the bestower of life" he should successively release the tips of the little finger and other fingers in his right hand, saying "Bestower of life" at the right ear, "Bestower of prosperity" at the left ear, and "Bestower of wind" at the left eye.
2.7.7	He should always offer oblations in the evening and morning, as this Agnihotra is offered to Brahmadatta, and the fires have their origin in it. This is what the Brahmins say.
2.8.1	He should give a staff, or a hard begging bowl, saying, "Agni is the life."
2.6.7	Having made the Agni go round to the right and placed it on the right side, having given the seat with the words "You are the supporter of the kingdom", having sprinkled with the words "May the goddesses protect us", he offers the root-homa up to the Vyahrtis.
2.6.8	Having fed the remaining oblations with the words "Aditi is your seat", he gives the mouthwash with the words "At every juncture, may you be protected".
2.8.2	If a Brāhmaṇa says, “Give me alms,” a Kṣatriya should say, “Give me the alms.” If a Vaiśya says, “Give alms,” he should say, “I give alms.”
2.8.3	One should take alms from Brāhmaṇas with the vow of silence and from others without it.
2.8.4	Having taken alms, the teacher sprinkles it with the words, "To whom this belongs, to him this belongs."
2.6.9	Having bowed to the sun with the verse "May I go to a hundred autumns," and having circumambulated him, touching his head with the words "For you, O Shaka," and being requested by him, the teacher then recites the Savitri verse. The teacher instructs the student with the words "O Bha."
2.8.5	The oblation is offered with the oblation of rice-cakes and barley mixed with ghee. The Antahomāgni is offered.
2.8.6	One stands at the end of the twilight with the vow of silence.
2.8.7	Therefore, one should describe the duties of the hermitage.
2.8.8	If one is admonished for transgression, one should not strike with a stick, nor curse with evil words, but one should prescribe a penance according to the extent of the transgression.
2.6.10	Then, having bowed to the chief of the Gaṇas, Savitry, and Sarasvatī, one should teach the Savitri as prescribed, divided into half verses and then combined.
2.8.9	The teacher should protect the student, because he is bound to suffer the sins committed by the student. The teacher who abandons the student without cause falls.
2.8.10	Otherwise, if he abandons him, he falls along with his wife, son, and student.
2.7.1	"The Savitrā Vrata Sūkta is: "O Agni, O Vāyu, O Indra, O Āditya, O Savitrā, O Vratas." The Savitrā Vratabandhana is performed with five Vyāhṛtis.
2.8.11	One who wears either a saffron or a bark garment, has matted hair, a tuft of hair, a girdle, a staff, a thread, a skin, is celibate, pure, and eats without salt or vinegar, is known to be observing the duties of a celibate in the prescribed castes.
2.9.1	Now the vows of fasting.
2.7.2	"He offers seven Palasha sprouts smeared with ghee, saying, "For Agni, the kindling wood." Two times, "For Agni the kindling wood," four times, "For the kindling wood for Agni," seven times.
2.7.3	"He shows the sun, saying, "This is your son, the sun."
2.7.4	In the rite of offering with eight kindling woods, one should engage a disciple.
2.9.2	On the fourth, fifth or seventh lunar day, which is auspicious and named after a male constellation, having made the disciple bathe and recite the auspicious verses, he should arrange the fire and make him sit facing east.
2.9.3	His mother or a celibate should sit to his north.
2.7.5	Having wiped the Vedi in the clockwise direction beginning from the south, he spreads it as before. He offers eight times with the Vyāhṛtis, "This is your intellect. May Indra give me intellect. May the Apsarases place me in intellect."
2.7.6	Having wiped it as prescribed, he should perform the Pravahana with the four verses beginning with "As He" and ending with "Praasaaviir". Then, having applied the ashes with the verse "Bhutih sma", he should sprinkle with the verse "Apo hi sthah". Then he should worship the fire with the verse "Yat te agne" and the sun with the verse "Udvayam agnim".
2.9.4	Having recited the Savitrī-verse beginning with "Agni, Vāyu, Indra, Āditya" and ending with "I have performed the vow rites as prescribed. I am now releasing them", he releases the Savitrī vow. Having offered oblations, he releases the thread, staff, etc. into water. Having bathed, he gives the new sacred thread, etc. as before. Having sprinkled him with water, he places him on the right side. Having recited the Savitry verse beginning with "Dhātā" and ending with Prajapatī, he offers oblations in the five fires beginning with Agni, and in both places, he recites the verse beginning with "Prajapatyam". Having offered oblations to the annual Prajapatya vow, the teacher binds the vow with the disciple every year.
