1.1.1	Now we shall declare the method.
4.12.19	Having brought the red-flowering plant called Banaparna with a stream of blood, he scatters it around the bed, saying, "This I dig out."
4.11.16	If one wishes to generate a hero, one recites the Dhātrī verses over the belly.
4.11.17	If one desires offspring, one offers at the base of the mother.
4.11.18	One places the red and white flesh.
4.11.19	The last ones.
4.11.20	One binds with the verses mentioned in the mantra.
4.12.20-24	"I have placed it for you," he places it below the Palasha. "I have placed it near you," he places above the Palasha. When one is about to go away, he scatters an unspecified number of pebbles with the formula, "I am going away." He murmurs while rubbing. He murmurs without rubbing.
4.11.21	"As this is on the ground, as this is on the tree, as this is in the cart, so may this be for me." When two things are touched, such as a tree and a stump, and the hand is placed between them, the grass that has been crushed by the heat of the oil, the black and white mustard, and the madhuka, having been brought together with ghee, one touches it.
4.11.22	"One touches it, saying, 'You are the one who touches.' One touches it, saying 'You are the remover of the limbs.'"
4.12.25	The recitation of the verse "I have taken away the jealousy from the people, from the jealous ones, by the Tvashtra" is the offering and touching.
4.12.26	The first one is recited in the cutting of the wood.
4.12.27	"Like Agni" is the axe and the handle.
4.12.28	"Like a bow" is the stone seen and taken.
4.12.29	With the second one, he makes it firm.
4.12.30	With the third one, he spits on it.
4.12.31	He makes the bow with the string in the shade.
4.11.23	He places twenty-one well-decorated and unmentioned Priyangu thorns.
4.11.24	The ends of the thorns are joined together with a thread.
4.11.25	He applies fresh Kustha paste three times a day and bakes it for three nights.
4.11.26	Holding a long lotus, he lies down.
4.11.27	He lies down with his feet in warm water, pressing with his thumbs.
4.12.32	This is the darbha grass, like a herb.
4.12.33	"One should not say, "This is a hero born," or "These are others born," but one should rub the urine of a mare with two stone discs and mix it with food and ornaments."
4.12.34	One examines the hairline.
4.12.35	"One says to the wife, "Even if you have sex," and the husband says, "I will shoot the bow."
4.12.36	"In the case of a eunuch, the bow is the obstacle."
4.11.28	He pierces the heart with a replica, a writing brush, a darbha grass, a piece of wood, a thorn, a wound, an owl feather, and a bamboo cane.
4.12.1	"The thousand-horned one" is a sleep-inducing spell.
4.12.2	Having sprinkled the house with a pot of water, he places it upside down on the other side of the door.
4.12.3	Thus, naked.
4.12.37	He strikes a stone with the intention (of killing the enemy).
4.12.38	The plant called trishtika.
4.12.39	The mantra "I give to you" touches (the enemy).
4.12.40	And also, and also.
5.1.1	The plants called ambaya are known as the stalks of milk-rice.
5.1.2	The knowledge of the sacrificial altar is related to war.
4.12.4	He recites the formula over the pestle, the northern corner, the southern corner of the bed, and the threads.
4.12.5	The formula is "The heaven stood firm." This is for fastening.
4.12.6	Having fastened the tip of the bamboo with the fastening, he ties it in the middle.
4.12.7	The southern corner of the couch and the lotus.
4.12.8	And also when drawing.
4.12.9	He offers sesame seeds with the drawing formula.
5.1.3	The five-knotted staff, the pot, the water-pot, the staff, the bamboo-stick, the pair of branches, and the fire-stick, and the twenty-one grains of sugar-candy, are to be taken.
5.1.4	Having placed the pot on the bed, which is covered with a cloth, one should take the pot to the fire.
5.1.5	Having covered it with a cloth, and having put it in a place free from dust, one should take it away from there.
4.12.10	This is the head and ears that are recited with the verse, "This is the head and the ears."
4.12.11	He wears the hair.
4.12.12	"With the verse, 'May this be deposited in my lap,' having placed a white flower of Sauvarcala grass on his head, he enters the village."
4.12.13	"With the words, 'The conqueror of the chariot,' he sows the seeds of the Masha plant."
4.12.14-16	The burning embers of the fire are spread out in the directions, and the ashes are applied with the Avalekhanya. The hair is combed with the Malani-pramandadhavana, and the hair is combed with a comb made of the hair of the cow. The hair is combed with an Anustaranya made of the hair. The hair is tied up with a knot. The hair is cut with a razor. The hair is shaved with a razor. Having combed the hair, one should recite the following verse: "Obeisance to the Lord of the universe, the Supreme Being, the Supreme Lord, the Supreme Soul, the Supreme Being."
5.2.2	With the verses of the Anuvāka, with the thunderbolt.
5.2.3	Taking the arrows and the bow,
5.2.4	Naked, rubbing the forehead,
5.2.5	Having thrown outside the ashes, he offers the Shigru and sugar in the ashes.
5.2.6	He places the Arka.
5.2.7	Having gone three times in the opposite direction from the rain-affected area, he quickly sows the Arka in the pit.
4.12.17	Having tied three locks of hair with a black thread, he places them on the three-cornered stone in an alternating manner.
4.12.18	Then he digs out his own navel, saying, "I dig out the navel that they dug out for you on the three-sided stone and the four-sided stone, for the sake of offspring and wealth."
4.12.19	Having brought the red-flowering plant called Banaparna with a stream of blood, he scatters it around the bed, saying, "This I dig out."
4.12.20-24	"I have placed it for you," he places it below the Palasha. "I have placed it near you," he places above the Palasha. When one is about to go away, he scatters an unspecified number of pebbles with the formula, "I am going away." He murmurs while rubbing. He murmurs without rubbing.
5.2.12	The rites of Bhūmi are as follows:
5.2.13	He places the sacrificial cakes on the stones in the inner chamber.
5.2.14	Both kinds of cakes are offered in the same way.
5.2.15	Also in the Sābhābhāgadhāna.
5.2.16	Lying on one side in the place of the fire, he recites the Bhūmi mantra.
5.2.17	Eating the Madugh grass, he approaches the assembly of the Aparajita.
4.12.25	The recitation of the verse "I have taken away the jealousy from the people, from the jealous ones, by the Tvashtra" is the offering and touching.
4.12.26	The first one is recited in the cutting of the wood.
4.12.27	"Like Agni" is the axe and the handle.
4.12.28	"Like a bow" is the stone seen and taken.
4.12.29	With the second one, he makes it firm.
4.12.30	With the third one, he spits on it.
4.12.31	He makes the bow with the string in the shade.
5.2.18	"He does not have an enemy." He eats the root of the neti plant.
5.2.19	He recites:
5.2.20	He binds:
5.2.21	He wears a garland of seven leaves.
5.2.22	He eats one meal in the assembly, examining those who eat.
5.2.23	He recitess before beginning the chapters: "Brahma, the unborn..."
5.2.24	Before eating, he recites:
5.2.25	Before speaking about Brahma, he recites:
4.12.32	This is the darbha grass, like a herb.
4.12.33	"One should not say, "This is a hero born," or "These are others born," but one should rub the urine of a mare with two stone discs and mix it with food and ornaments."
4.12.34	One examines the hairline.
4.12.35	"One says to the wife, "Even if you have sex," and the husband says, "I will shoot the bow."
4.12.36	"In the case of a eunuch, the bow is the obstacle."
5.2.26	"May my lustre, O Agni, be yours," says one who is about to enjoy (the Soma). He binds the rope of the intoxicated one.
5.2.27	"May my assembly be yours," says he while eating.
5.2.28	He takes hold of the pillar and stands up.
5.2.29	"What I say," says he, as prescribed by the mantra.
5.2.30	"I am here," says he, approaching the assembly from Aparajita.
5.3.1	"You are the one to be blamed," says he, binding the one who has menstruated.
4.12.37	He strikes a stone with the intention (of killing the enemy).
4.12.38	The plant called trishtika.
4.12.39	The mantra "I give to you" touches (the enemy).
4.12.40	And also, and also.
5.1.1	The plants called ambaya are known as the stalks of milk-rice.
5.1.2	The knowledge of the sacrificial altar is related to war.
5.3.2	In front of the fire, he makes a yellow cow.
5.3.3	Behind the fire, a red-eared one.
5.3.4	For the purpose of meat and broth.
5.3.5	The mantras are mentioned.
5.3.6	Having placed the flowers of Vāśā, Kāmpīla, Śīta, and Vārā,
5.1.3	The five-knotted staff, the pot, the water-pot, the staff, the bamboo-stick, the pair of branches, and the fire-stick, and the twenty-one grains of sugar-candy, are to be taken.
5.1.4	Having placed the pot on the bed, which is covered with a cloth, one should take the pot to the fire.
5.1.5	Having covered it with a cloth, and having put it in a place free from dust, one should take it away from there.
5.3.7	Thou art the purifier, the purified. Thou art the purifier of those who are in front. Thou art the lord of light. Thou art the friend of this (cow). The Suparna (bird) has released thee. They have made thee this (cow). They have made thee the receptacle. Pour out the great peace.
5.3.8	He releases the cow from the pen, and sprinkles her with the Uṣṇīṣa formula, and goes forward.
5.3.9	"As much as you are peaceful, as much as you are the bestower of peace, as much as are auspicious, as much as do good, as much as is soft, as much as does good, as much is auspicious, as much is well-formed, as much is the bestower of offspring, as much is good, as much am I the bestower of good.
5.3.10	One throws away what is not there.
5.3.11	Looking with the eye of the ritual, one pierces what is covered with the ritual, saying, 'The one who has been pierced by the ritual.'
5.3.12	The scraping has been spoken of.
5.2.2	With the verses of the Anuvāka, with the thunderbolt.
5.2.3	Taking the arrows and the bow,
5.2.4	Naked, rubbing the forehead,
5.2.5	Having thrown outside the ashes, he offers the Shigru and sugar in the ashes.
5.2.6	He places the Arka.
5.2.7	Having gone three times in the opposite direction from the rain-affected area, he quickly sows the Arka in the pit.
5.3.13	"He anoints the ankles with the Darbha grass, saying three times, 'Thou art the cleanser, the cleansed.' He anoints with the Darbha-grass, saying three times 'Thou art the cleansed, the cleanser.' He anoints the ankles by churning the water with the Darbha and the Sarūpa grass.
