#Author:Devapāla
#Text:Kāṭhagṛhyasūtrabhāṣya
#Comments:Kāṭhakagṛhyasūtra
#Edition:Kashmir Series of Texts and Studies, No. XLIX (1923)
#Data entry:Oliver Hellwig
#Notes:Currently covers only the first half of the mūla text.



1.1.[1]	vrataśabdo yamaniyamavācakaḥ /
23.4.[15]	ata eva tasyā diśaḥ sambaṃdhī kaścit yo māmabhidāsati ‘dasu upakṣaye’ upakṣetumicchatyābhimukhyena so'gnimṛcchatu agnimabhyṛcchatu agniṃ lakṣaṇīkṛtyendriyapralayamanubhavatu agnistasyākṣyādinigrahaṃ karotvityarthaḥ /
23.4.[16]	eṣaiva sarvatra yojanā tulyā /
23.4.[17]	parvatārohaṇāvarohaṇamūrdhvamadhaśca gamanamastīti tatparatvamapi mantrasya yuktam /
23.4.[18]	kecidāhuḥ yadabhimukhaṃ gamanaṃ, talliṃgaka eva mantraikadeśaḥ prayoktavya iti /
23.4.[19]	tadyuktaṃ yata upadravanivāraṇāyaiṣa maṃtraḥ, anyatamadigabhimukhagamanapravṛttasya sarvadikkebhyo'pi saṃbhāvyate viplavaḥ sarpāśaniprabhṛtibhyo'dhastanoparitanebhyaḥ /
23.4.[20]	evaṃ pārśvādiprabhavebhyo'pīti /
23.4.[21]	sarvaprasthāneṣu caiṣetikartavyatā boddhavyā //
24.1.[1]	vivāhātpūrvameva pādyārghyamadhuparkairvivāhyaḥ śvaśureṇa pūjanīyaḥ /
24.1.[2]	tulyaṃ ca pūjāvidhānaṃ ṣaṇṇāmapīti ṣaṇṇāmuddeśaḥ /
24.1.[3]	ayaṃ pūjāmarhantīti arghyāḥ ṣaṭ bhavanti /
24.1.[4]	ācāryaḥ upanetā dhyāpayitā ca śiṣyasya /
24.1.[5]	ṛtvigyājyasya, tasyāpi prākkarmaṇaḥ saṃmānaḥ /
24.1.[6]	rājā kṣatriyo'pi, natvabhiṣekabhāvena sa janapadasya pūjyaḥ /
24.1.[7]	vivahanamarhatīti vivāhyaḥ ‘arhe kṛtyatṛcaśca’ iti kṛtyo ṇyatpratyayaḥ, sa kanyāyāḥ piturarghyārhaḥ /
24.1.[8]	tathā yo yasya priyo guṇotkarṣeṇa, sa tasya dānādyavasare arghyārhaḥ /
24.1.[9]	snātakastu sadyaḥsrāta ācāryasya // 1 //
24.2.[1]	athaśabdo vakṣyamāṇaprakārasvīkārārtho niḥpātānāmanekārthatvāt /
24.2.[2]	enamācāryādīnāmanyatamaṃ vakṣyamāṇaprakāreṇārhayanti pūjayanti saṃmānayanti // 2 //
24.3.[1]	vivāhottarakālamarhaṇaṃ vihitamiti yathācoditamānupūrvyamiti nayena vivāhādūrdhvameva madhuparkādidānaṃ kartavyamiti kecitprāhurata eva ca vivāhottarakāla evedamapakṛṣya vyācakṣate /
24.3.[2]	tannirāsāyedam /
24.3.[3]	karmaṇa ādāveva pūjanaṃ kartavyaṃ pāṭhakramādarthakramasya balīyastvāt /
24.3.[4]	saṃskāro hyayamutsāhādijananamukhena ṛtvikprabhṛtīnāṃ karmaṇi yogyatāviśeṣādhānārthaḥ, saṃvṛtte yajñavivāhādike karmaṇi ṛtvikprabhṛtīnāṃ kriyamāṇo niṣphala eva syāt /
24.3.[5]	smārto'picāyaṃ saṃskāraḥ, smṛtiṣu ca prāgeva karmaṇo'bhihitaḥ /
24.3.[6]	kiṃca vivāhya ityarhe āvaśyake vā kṛtyaḥ vivahanamarhatīti, vivahati vā avaśyaṃ kanyāmiti vivāhyaḥ ‘arhe kṛtyatṛcaśca’ ‘āvaśyakādhamarṇyayorṇiniḥ’ ‘kṛtyāśca’ iti smṛteḥ /
24.3.[7]	naca vivāhādūrdhvaṃ vivāhārho bhavati // 3 //
24.3.[8]	arghyalakṣaṇamāha
24.4.[1]	udakaṃ, vrīhiyavayoścānyatarat, darbhā etattrayamarghyam // 4 //
24.4.[2]	madhuparkalakṣaṇapūrvikāṃ pūjayituranupadeśāṃ pūjāpratipattimāha
24.5.[1]	atra pūjayitāraḥ ityarthāllabhyate /
24.5.[2]	kāṃsyapātre camase vā dārupātraviśeṣe dadhyāsicyate madhu ca /
24.5.[3]	madhu madhuparka ucyate /
24.5.[4]	tacca madhuparkapātraṃ bṛhatā pātreṇa pidhāya sthagayitvā viṣṭarābhyāṃ gṛhītvā pādyaṃ prathamaṃ yeṣāṃ pādyārghyamadhuparkāṇāṃ tairyathāyogyatamūrdhvamadho madhye ca pūjāṃ svayameva pratipadyante pūjayitāro, natu tatrāpyupadeśamapekṣante // 5 //
24.6.[1]	kanyāyā dātari vivāhyasya nikaṭībhūte sati ṛtvik pādyādikaṃ kanyādātṛsamīpamānāyayati /
24.6.[2]	tadānīyamānamanena maṃtreṇa vivāhyo'numaṃtrayate /
24.6.[3]	amaṃtrajñaścedvivāhyastadā ṛtvigevainaṃ pāṭhayati /
24.6.[4]	evaṃ sarvatra jñeyam /
24.6.[5]	ayaṃ mantrārthaḥ ‘duha prapūraṇe’ dohaḥ prapūrakaḥ āpyāyakaḥ, virāṭ svargādau prajāpatiḥ, pādyādikamucyate he pādyādika yastvaṃ mayi mannimitto madartho dohaḥ prapūrakaḥ sa virājaḥ prajāpateḥ dohaḥ pūrakaḥ jalādeḥ prajāpatinā divo niyuktatvādato mama pādyāyai pratipattaye tvaṃ bhava, virājaśca prajāpateḥ saṃbandhinaṃ dohaṃ pādyādikamahamaśīya vyāpnuyāṃ paśyeyamityarthaḥ /
24.6.[6]	pādyasya saṃskārārthaṃ darśanam // 6 //
24.7.[1]	viṣṭaro'sītyādinā maṃtreṇāsanāntarasyopari darbhaviṣṭaramāstīrya vivāhya upaviśati tūṣṇīm /
24.7.[2]	he viṣṭara asi tvaṃ viṣṭaraḥ viṣṭaro bhavasi ata ācchādayāsanāntaramācchādanārthameva mātari āsanāntare sīda tiṣṭha // 7 //
24.8.[1]	viṣṭare darbhācchāditāsanaviśeṣe āsīnāyopaviṣṭāya vivāhyāya pādyādīnāmekaikaṃ triḥ prāha kanyāyā dātā pādyaṃ 3 arghyaṃ 3 madhuparkaḥ 3 ācamanīyaṃ 3 iti /
24.8.[2]	āsīnāyeti saptamyarthe caturthī, viṣṭara āsīne vivāhya ityarthaḥ //
24.9.[1]	abhyarhaṇīyasyābhimukhyāpādanāya yat bho iti pūjāsaṃbodhanaṃ prāptaṃ, nāmasaṃbodhanaṃ ca mārṣa brahmadatta ityādi, tanniṣedhayati // 9 //
24.10.[1]	śanno devīrityādimaṃtraiḥ pūrvavyākhyātairapo'bhimaṃtrya viśeṣeṇa pādyābhiḥ pādayordhāvanasamarthābhiḥ pādau prakṣālayate abhyarhaṇīyasya kanyāyā dātā /
24.10.[2]	pādayoḥ prakṣālane yathāliṃgaṃ maṃtrau dakṣiṇamityādi, uttaramityādi /
24.10.[3]	idamityanena sadyaḥphalaṃ darśayati kanyāpradānaṃ vivāhāntarasādhitaṃ ca tatkṣaṇādeva karmānuṣṭhānādisambandhirūpam /
24.10.[4]	asya vivāhyasya brahmavarcasasampannaṃ uttaraṃ vāmapādamavanenije śodhayāmi /
24.10.[5]	idamahaṃ tejo vīryamannādyaṃ prajāṃ paśūn brahmavarcasaṃ dadāmi vivāhyādike arghyārhe /
24.10.[6]	māṃ mayi yattu māṃ prāptaṃ tejaḥprabhṛti, tanmayyeva ciramastvityarthaḥ // 10 //
24.11.[1]	āpo hi ṣṭhetyādibhirvyākhyātārthābhirarghyaṃ pratigṛhṇāti /
24.11.[2]	devasya tvetyādinā ‘madhuparkaṃ pratigṛhṇāmi ityadhyāhārapūritena savitṛdevatākena maṃtreṇa madhuparkaṃ pratigṛhṇāti /
24.11.[3]	viṣṭaro'sītimaṃtreṇoparitanaṃ viṣṭaramapakarṣati /
24.11.[4]	apakṛṣya cākṣipya uru tveti maṃtreṇāpasārayati /
24.11.[5]	taccakṣurityādinā madhuparkaṃ vīkṣya, pṛthivyāstvetyādinā maṃtreṇādhastane viṣṭare madhuparkapātraṃ nidadhāti /
24.11.[6]	madhu vātā ṛtāyate iti tisṛbhiraṃguṣṭhasamīpavartinyā pradeśinīsaṃjñayāṅgulyā pradakṣiṇaṃ kṛtvā dadhimadhunī miśrayati /
24.11.[7]	pradiśati tarjayati tacchīlā pradeśinī tarjanī //
24.11.[8]	devasya tvā savituḥ prasave'śvinorbāhubhyāṃ pūṣṇo hastābhyāṃ madhuparkaṃ pratigṛhṇāmi //
24.11.[9]	devasya dānadyotanādiguṇakasya saviturādityasya prasave'nujñāyāṃ vartamānā aśvinordevabhiṣajorbāhubhyāṃ pūṣṇaśca hastābhyāṃ natu svābhyāṃ carmamayābhyāṃ madhuparkaṃ pratigṛhṇāmi //
24.11.[10]	viṣṭaro'syantarikṣamadhiviśrayasva //
24.11.[11]	asi tvaṃ viṣṭaraḥ mithyaivāvārakaḥ, ato'smādadhastanaviṣṭarādapasarāntarikṣamākāśamāśraya //
24.11.[12]	uru tvā vātāya //
24.11.[13]	he viṣṭara tvāmahaṃ pṛthivyāṃ prakṣipāmi, ataḥ uru dūraṃ gaccha /
24.11.[14]	kimartham /
24.11.[15]	vātāya vāyvartham //
24.11.[16]	taccakṣurdevahitaṃ purastācchukramuccarat /
24.11.[17]	paśyema śaradaḥ śataṃ jīvema śaradaḥ śatam //
24.11.[18]	tadetaccakṣuḥ śastaṃ yaddevahitaṃ satpurastāduccarati, tadeva kṛtakaraṇīyaṃ cakṣuḥ devārthaṃ havirādivīkṣaṇayāgadānahomādiṣu sādhanabhāvaṃ bhajata ityarthaḥ /
24.11.[19]	kīdṛśam /
24.11.[20]	śukraṃ śuklam /
24.11.[21]	ata āśāsmahe vayaṃ yāgādisādhanāni varṣaśataṃ paśyema, tadarthameva saṃvatsaraśataṃ jīvema //
24.11.[22]	pṛthivyāstvā nābhau sādhayāmi //
24.11.[23]	he madhuparka tvāmahaṃ pātrasthamapi santaṃ nābhāvadhastane darbhaviṣṭare sādhayāmi /
24.11.[24]	dhānyāni havīṃṣi vediprastare sādhyante /
24.11.[25]	pṛthivyā hi sāramoṣadhayastāsāmapi darbhā iti nābhitvaṃ darbhaviṣṭarasya //
24.11.[26]	madhu vātā ṛtāyate madhu kṣaranti siṃdhavaḥ /
24.11.[27]	mādhvīrnaḥ santvoṣadhīḥ // 1 //
24.11.[28]	madhu naktamutoṣasā madhumatpārthivaṃ rajaḥ /
24.11.[29]	madhu dyaurastu naḥ pitā // 2 //
24.11.[30]	madhumānno vanaspatirmadhumāṃ astu sūryaḥ /
24.11.[31]	mādhvīrgāvo bhavantu naḥ // 3 //
24.11.[32]	vātā vāyavaḥ madhu santu madhurasaparyavasāyino bhavantu /
24.11.[33]	kasmai /
24.11.[34]	ṛtāyate ṛtaṃ satyaṃ yajñaṃ vā ya icchati, tasmai /
24.11.[35]	siṃdhavo nadyaḥ madhu kṣaranti kṣarantu sravantu /
24.11.[36]	tathā oṣadhayaḥ phalapākāntāḥ vrīhyādayo madhumatyo'smākaṃ santu //
24.11.[37]	naktaṃ rātriprathamabhāgaḥ madhumānno bhavatu, uta apica uṣasā rātripaścimabhāgena saha /
24.11.[38]	madhumatpārthivaṃ rajaḥ rajo bhūmiloka ucyate, dhūlirvā /
24.11.[39]	dyaurdyulokaḥ madhvastu madhurasasyandinī vṛṣṭyādidvāreṇa bhavatu /
24.11.[40]	kīdṛśī dyauḥ /
24.11.[41]	pitā pālayitrī //
24.11.[42]	vanaspatiḥ phalī madhumānasmākaṃ bhavatu /
24.11.[43]	evamasmākaṃ sūryo madhumān bhavatu anena karmaṇā gāvaśca madhumatyo naḥ santu kṣīrādidānadvāreṇa madhurasāḥ // 11 //
24.12.[1]	prācyā ārabhya pradakṣiṇaṃ kṛtvā bhakṣayantvantairmantrairmadhuparkapātraprānteṣu aṃgulilepān nirmāṣṭi /
24.12.[2]	pratidiśaṃ pratimantramitivacanātpaṃcamena mantreṇārthātpūrvoktadikkoṇe nirmārjanamāpatati /
24.12.[3]	mantrārthastu he lepa prācyāṃ diśi vartamānā vasavo devatāviśeṣāstvāṃ bhakṣayantu vasavastvayā tṛptā bhavantvityarthaḥ /
24.12.[4]	kīdṛśā vasavaḥ /
24.12.[5]	agnirājāno'gniryeṣāṃ rājā /
24.12.[6]	tatpuruṣe hi samāsāntaḥ syāt /
24.12.[7]	eṣā yojanā sarvamantreṣu tulyā // 12 //
24.13.[1]	yanmadhuna ityādimantreṇa madhuparkasya saṃbandhino bhāgānaṅguṣṭhasahitayā ekaikayā aṃgulyā gṛhītvā caturo vārānaśnāti aṃguṣṭhasahitayā kaniṣṭhayā prathamaṃ tato'nāmikayā, madhyamayā, pradeśinyā pratyekamaṃguṣṭhasahitayāvadānacatuṣṭaye gṛhīte yacchiṣyate, tatsuhṛde kanīyase bhrātṛprabhṛtaye prayacchati /
24.13.[2]	mantrārthastu pṛthivyādīni bhūtāni madhvivāmṛtamiva, madhavyaṃ madhusāraḥ amṛtasāraḥ sārasāra ityarthaḥ, yanmadhuno'mṛtasya saṃbandhi madhavyaṃ sārasāraḥ pṛthivīti ‘iyaṃ pṛthivī sarveṣāṃ bhūtānāṃ madhu’ ityādinā bṛhadāraṇyake pṛthivyā bhūtasāratvena pratipādanāt tasya madhavyasya pṛthivīlakṣaṇasya sārasārasya yatparamamutkṛṣṭatamaṃ rūpamannādilakṣaṇaṃ, tena bhuktenāhaṃ madhavyasya sarvāmṛtasārasya madhuno'mṛtasya nityānandarūpasya paramasya paramātmatādātmyavṛtterannādyasyādanīyasya susaṃvedanabhogyasya paramo'nnādaḥ paramātmasvarūpaḥ tatra layāt bhūyāsaṃ brahmabhūyamahaṃ gaccheyamiti yāvat /
24.13.[3]	kiṃca he madhuparka asi tvaṃ trayyai vidyāyai vedatrayasya yaśaḥ prakāśaḥ, tathā śriyai saṃpado yaśaḥ prakāśo'si, ato yaśase tvāmaśnāmi /
24.13.[4]	kiṃca brahmaṇaḥ paramātmano dīptiḥ prakāśastvaṃ, satyasya vedārthasya śrīḥ saṃpadasi yaśasaśca śrīḥ, ato mayi śrīḥ śrīḥ śrayatāṃ bhūyobhūyo mayi śrīstiṣṭhatvityarthaḥ // 13 //
24.14.[1]	anena mantreṇācāmati /
24.14.[2]	he ācamanodaka amṛtasya madhuparkasya upastaraṇamācchādakamasi // 14 //
24.15.[1]	arhayitā dattamadhuparkaḥ san khaḍgapāṇirbhūtvā tasmai arhaṇīyāya bhakṣitamadhuparkāya gāmāha ‘gāṃ kariṣye’ ityanujñāṃ prārthayate anyārthenetyarthaḥ /
24.15.[2]	gośca karaṇaṃ nipātanam // 15 //
24.16.[1]	tāṃ gāṃ śāsti ‘oṃ kuruṣva’ ityanujñāṃ arhaṇīyo dadātītyarthaḥ // 16 //
24.16.[2]	arhayitānuṃ mantramāha /
24.16.[3]	he gauḥ mama cāgniśarmaṇo'muṣya ca viṣṇuśarmaṇaḥ pūjyasya yaduddeśena vaidikavidhiparavaśīkṛto'hamidamakartavyaṃ karomi tasya pāpmānaṃ jahi nāśayeti yāvat, athavā hato me pāpmā nāstyataḥ karmaṇo mama pāpaṃ vidhicoditatvādityarthaḥ /
24.16.[4]	he viśasitāraḥ mama pāpmānaṃ hata nāśayata // 17 //
24.16.[5]	he viśasitāraḥ gauḥ kriyatāmityanujānātītyarthaḥ // 18 //
24.17-18.[1]	nānāgotrānnānāpravarāṃścādau caturo brāhmaṇān bhojayetpaścātsabāndhavamarhaṇīyam /
24.17-18.[2]	eṣa ādyo brāhmaṇāyopāyo gokaraṇādika upadiṣṭastena nātra vicikitsā kartavyetyarthaḥ // 19 //
24.19.[1]	niścite'pi yadiśabdo dṛṣṭaḥ ‘yadi vedāḥ pramāṇam’ iti yathā /
24.19.[2]	uktāmitikartavyatāṃ vidhāya gāmutsṛjet na hanyādityarthaḥ, mātā rudrāṇāmityādica paṭhet /
24.19.[3]	iyaṃ gau rudrāṇāmantarikṣacāriṇāṃ devatāviśeṣāṇāṃ mātā paripoṣikā payaḥprabhavāhutidvārakavṛṣṭyādidvāreṇa vasūnāṃ vāsayitṛṇāmoṣadhīnāṃ bhūmijānāṃ duhitā poṣaṇīyā, ādityānāṃ svasā bhaginī adititanayā, ato'haṃ pranuvocaṃ cikituṣe janāya nuśabdo niścaye, niścayaṃ kṛtvā pravadāmi cikituṣe caitanyātiśayavate janāya kiṃ vadāmi /
24.19.[4]	he viśasitāraḥ gāṃ mā vadhiṣṭa /
24.19.[5]	kīdṛśīm /
24.19.[6]	anāgāmapāpāṃ, aditimakhaṇḍitāṃ dainyaśūnyāṃ vā /
24.19.[7]	kutaḥ /
24.19.[8]	yasmādiyaṃ śobhanaṃ yavasaṃ ghāsamattīti sūyavasāt /
24.19.[9]	kiṃca he gauḥ bhago dhanaṃ payo yaśaśca vidyate yasyāḥ sā bhagavatī payasvinī tvaṃ bhūyāḥ, tathā vayamapi tvatprasādāt bhagavanto dhanayuktāḥ yaśasvinaśca syāma /
24.19.[10]	he anupahiṃsite tṛṇamaddhi bhuṅkṣva /
24.19.[11]	yatastvaṃ viśvadānī sarvasya dātrī payodvāreṇa /
24.19.[12]	piba śuddhamudakamā samantāt carantī viharantī // 20 //
24.20-21.[1]	arhayitāha omityavicāritasiddhaṃ kṛtvā he viśasitāraḥ yūyaṃ gāmutsṛjata /
24.20-21.[2]	utsṛṣṭā satī svācchandyena tṛṇānyattu bhakṣayatu ityuktvā tāmutsṛṣṭāṃ dṛṣṭvā paśuṃ chāgaṃ, paśvaṅgaṃ vā māṃsakhaṇḍaṃ pratinidhīta /
24.20-21.[3]	nāmāṃso māṃsavihīno madhuparkaḥ syāditi ha śrutito vijñāyate, haśabda itihāse /
24.20-21.[4]	apivā ghṛtamiśrita odana eva kartavyo māṃsadveṣiṇe tādṛśā vā //
25.1.[1]	anṛkṣarā ityādimantreṇa gṛhītajalabhāṇḍamudakasya āhartāraṃ preṣayati kanyāsnānādyupayogi jalamānetuṃ puruṣaṃ prahiṇotītyarthaḥ ṛgarthastu brahmaṇa ārṣa sūryasya vā /
25.1.[2]	triṣṭup /
25.1.[3]	paṃthā iti vyatyayenaikavacanam /
25.1.[4]	ṛkṣarāḥ kaṇṭakādayaḥ paruṣāstṛṇaviśeṣāḥ, na vidyante ṛkṣarāḥ yeṣu te anṛkṣarāḥ paṃthānaḥ santu, ṛjavaśvākuṭilāḥ /
25.1.[5]	yebhiryaiḥ no'smākaṃ saṃbandhinaḥ sahāyā vareyaṃ varaṇīyaṃ gaṃgādikaṃ jalāharaṇasthānaṃ yanti gacchanti /
25.1.[6]	sakhāya iti vyatyayena bahuvacanam /
25.1.[7]	kiṃcāryamā ādityaḥ bhagaśca no'smākaṃ saṃbandhinaṃ sakhāyaṃ sanninīyāt sa myagudkasthānaṃ prāpayet /
25.1.[8]	he devāḥ ṛtvigprabhṛtayaḥ ādityaprabhṛtayaśca yuṣmatprasādāt jāspatyaṃ jāyāyāḥ patyuśca samāgamaḥ samyak suyamamastu susaṃyataṃ sthirataraṃ saṃpūrṇamastu /
25.1.[9]	‘jāyāyāspatyau vā cchandasi’ iti jāspatyaśabdaśchandasi nipātitaḥ // 1 //
25.2.[1]	sa prahita udāhāraḥ udakakumbhaṃ śamīśākhayā sapatrayā pidhāya sthagayitvā udakamānayet // 2 //
25.3.[1]	etāsāmeva āhāritānāmapāṃ saṃbandhino bhāgānavadāyāvadāyodakasaṃpādyānarthān kanyājñānasuvarṇakṣāraṇāgniparyukṣaṇādīn kuryānnānyena jalena // 3 //
25.4.[1]	śanna āpa ityādimantreṇākevalābhiḥ sarvoṣadhyādigandhadravyayuktābhiḥ phalaviśeṣasahitābhiścādbhiḥ kanyāṃ snāpayet /
25.4.[2]	tato ‘yā akṛntan’ ityādinā ahatamapūrvaparihitamatyantābhinavaṃ vastraṃ paridhāpayet /
25.4.[3]	tataśca ‘āśāsānā’ ityādinā mantreṇāntare guptāṃ kṛtvā yathā na dṛśyate tathā vā sannahanaṃ kanyāyāḥ kuryāt mauñjena darbhanirmitena vā yoktreṇa //
25.4.[4]	śanna āpa ityanuṣṭup vyākhyātā /
25.4.[5]	yā imā udāhāreṇāhṛtāḥ, tāḥ śaṃ sukhaṃ naḥ saṃtviti viśeṣaḥ //
25.4.[6]	yā akṛntanniti jagatī /
25.4.[7]	he āyuṣmati kanye idaṃ vāsaḥ paridhatsva paridhehi /
25.4.[8]	tvāṃ ca sarvāstā devyo jarasā parivyayantu jarasā veṣṭayantu jarājarjaritāṃ sabhartṛkāṃ satīṃ tvāṃ devatāḥ sampādayantu dīrghamāyustava kurvantvityarthaḥ /
25.4.[9]	kāstā devyaḥ /
25.4.[10]	yā idaṃ vāso'kṛntan yābhiḥ kartanena saṃpāditamadhiṣṭhātrībhirdevatābhiḥ, yā avayan yābhirutaṃ saṃpāditaṃ vāsaḥ, yā atanvata yābhiḥ sūtramātataṃ dairghyeṇa prasāritaṃ, yāśca devīrantāṃ abhito'tatantha, ubhayato mūlapallavasya cāntāḥ prāntāḥ yābhirātānitā ityarthaḥ /
25.4.[11]	tāśca devatā mantrāntare svanāmnaivopāttāḥ ‘revatīstvā vyakṣṇan’ iti //
25.4.[12]	āśāsānā saumanasaṃ prajāṃ saubhāgyaṃ rayim /
25.4.[13]	agneranuvratā bhūtvā sanno sukṛtāya kam //
25.4.[14]	anuṣṭup /
25.4.[15]	pṛthivyā ārṣam /
25.4.[16]	ahaṃ sannahye vastraṃ badhnāmi /
25.4.[17]	kimartham /
25.4.[18]	sukṛtāya karmaṇe vivāhapūrvayāgadānahomādikarmārtham /
25.4.[19]	kamiti kāmāyetyarthaḥ /
25.4.[20]	yathā ‘cakṣuṣe kaṃ pūrvamātyajyate’ ityatra cakṣuṣkāmapratītiḥ, evaṃ sukṛtāya kamiti sukṛtakāmapratītiḥ /
25.4.[21]	kīdṛśī satī sannahye /
25.4.[22]	saumanasaṃ prasannamānasatvaṃ tathā saubhāgyaṃ bhartrānukūlyaṃ rayiṃ ca dhanamāśāsānā icchantī, tathā agneranuvratā satī āhavanīyādiparicaraṇaśīlā satī sannahye // 4 //
25.5-6.[1]	preto muñcātvityādibhistisṛbhiḥ udānīyasthānādutkṣipyotsaṃge kṛtvā sthānāntare pitā jyeṣṭho bhrātā vā yathoktaṃ vāsasa uparibhāgācchādanasyāpyadhastanācchādanavat ‘yā akṛntan'ityādinā mantreṇa karma kuryādityarthaḥ /
25.5-6.[2]	sūryasyārṣam /
25.5-6.[3]	prathamatṛtīye'nuṣṭubhau, dvitīyā triṣṭup /
25.5-6.[4]	he kanye itaḥ sthānātpramuñcātu pramuñcāmi tvāṃ nayāmi bhavatīm /
25.5-6.[5]	muñcātviti tiṅvyatyayaḥ puruṣavyatyayaśca tathāca śākhāntare preto muñcāmīti mantraḥ paṭhyate /
25.5-6.[6]	pitṛkule bhartṛkule ca subaddhāṃ suśliṣṭāṃ satīmetāṃ kanyāmamutaḥ pitṛkulādamutaśca bhartṛkulāt mākarat kaścinmā kārṣīt kuladvaye vigamaṃ tasyā mā kārṣīt kaścidapītyarthaḥ /
25.5-6.[7]	he indra parameśvara mīḍhvaḥ sektaḥ iyaṃ kanyā suputrā subhagā ca yathā bhavati, tathā kuru /
25.5-6.[8]	he kanye itaḥ sthānāt pūṣā indrastvāṃ nayatu /
25.5-6.[9]	hastagṛhya hastena gṛhītvā /
25.5-6.[10]	aśvinau ca tvāṃ rathena pravahatāmabhimataṃ sthānaṃ prāpayatām /
25.5-6.[11]	tathā krameṇa tvaṃ gṛhānbhartṛveśmāni gaccha /
25.5-6.[12]	tatra ca gṛhapatnī gṛhasya pālayitrī prabhuryathā asaḥ bhavasi, tathāstu /
25.5-6.[13]	vaśinī jitakarmakarajanādikā bhava /
25.5-6.[14]	vidathe ca yajñe mā vadāsi yajñapratikūlaṃ bharturmā vādīḥ vaidikakarmakalāpānukūlā bhavetyarthaḥ //
25.5-6.[15]	ye paripaṃthino mārge pratikūlācauraprabhṛtayo dampatī jāyāvarau āsīdanti duṣṭabuddhyā samāsīdanti, te tvāṃ mā vidan mā drākṣuḥ sugebhiḥ śobhanagamanairdurgaṃ mārgamatītāmatikrāntāṃ sarvam /
25.5-6.[16]	kiṃca apadrāntvarātayaḥ śatravo dānahīnāśca dhanābhāvāśca dāridryābhidhānā apadrāntu bhītāḥ parāṅmukhāḥ santaḥ palāyamānāḥ kutsitāṃ skhalanarūpāṃ gatiṃ labhantāmityarthaḥ //
25.7.[1]	asminnavasare ācārikāṇi ācārādāgatāni deśajātikuladharmatayā prasiddhāni karmāṇi kārayedityarthaḥ /
25.7.[2]	tadyathā āgamanaprayojanakathanaṃ kanyāyā nāmagrahaṇaṃ kuladevatāpūjanaṃ sumanolatābhistāḍanamityādīni // 6 //
25.8.[1]	‘eṣa aupasado'gnirvaivāhano vā’ ‘tasmin pākayajñāḥ’ iti vakṣyati /
25.8.[2]	vaivāhanasya vikalpyamānāścatasraḥ prakṛtayo'trocyante /
25.8.[3]	sadyaḥ araṇibhyāṃ nirmathito yastatra nirmanthyaśabdo rūḍhaḥ /
25.8.[4]	tatra nirmanthanasāmānyānnirmanthanāntaravanmantre prāpte tūṣṇīmityuktam /
25.8.[5]	eṣa ekaḥ /
25.8.[6]	brāṣṭrādvitīyaḥ /
25.8.[7]	sāntapanastṛtīyaḥ /
25.8.[8]	yo balenāgninā santaptādapasāritāgnikādbhūbhāgāt kārpāsagomayacūrṇādisaṃsargaṃ kṛtvotpādyate pāṣāṇaṃ kaṃsamaṇiṃ vā tāpayitvā sūryasaṃmukhaṃ sūryakāntamaṇiṃ vā sthāpayitvā, so'bhimataḥ /
25.8.[9]	yatra dīpyamānaścaturthaḥ /
25.8.[10]	atrāviśeṣaśrutāvapi tretāvasathaśmaśānaparigṛhītasūtakapatitādyagnivarjamiti jñeyam /
25.8.[11]	upasamādhāyeti pratyekaṃ sambandhanīyam, gārhapatyavaduddhatāvokṣite jānudaghne kuṇḍe sthāpayitvetyarthaḥ /
25.8.[12]	gṛhādbahireveti niyamaḥ /
25.8.[13]	parisamūhanaṃ sajalena kareṇa caturdiksaṃsparśanam /
25.8.[14]	paryukṣaṇamāsecanam /
25.8.[15]	evaṃ caturdikkameva darbhaiḥ paristaraṇaṃ prathitam /
25.8.[16]	prāgdakṣiṇodakṣvavastaraṇamityanye manyante tribhistaraiḥ stṛṇātīti vaiśravaṇīyadarśanāt /
25.8.[17]	ājyasya vilayanaṃ vigalanam, utpavanaṃ pavitreṇa pāvanam /
25.8.[18]	āghārādājyabhāgāntān homān hutvā agneḥ paścimabhāge sthitayoḥ satoḥ kanyāvarayoryathāsaṃkhyaṃ vāmadakṣiṇabhāgenāgneraparabhāge anaḥ śakaṭaṃ, rathaṃ syandanaṃ vā sayugamavasthāpya yoge yoga ityādikayarcā kanyāvarau yūpe yunakti dakṣiṇabhāge varamuttarabhāge kanyāṃ yoktreṇa saṃyojayatītyarthaḥ //
25.8.[19]	yoge yoge tavastaraṃ vāje vāje havāmahe /
25.8.[20]	sakhāya indramūtaye //
25.8.[21]	gāyatrī /
