#Text:Kauśikasūtra
#Edition:Bloomfield (DCS version)



1.1.1	atha vidhiṃ vakṣyāmaḥ
5.8.12	darbhābhyām anvārabhate
5.8.13	paścād uttarato 'gneḥ pratyakśīrṣīm udakpādīṃ nividhyati
5.8.14	sam asyai tanvā bhavety anyataraṃ darbham avāsyati
5.8.15	atha prāṇān āsthāpayati prajānanta iti
5.8.16	dakṣiṇatas tiṣṭhan rakṣohaṇaṃ japati
5.8.17	saṃjñaptāyāṃ juhoti / yad vaśā māyum akratoro vā paḍbhir āhata / agnir mā tasmād enaso viśvān muñcatv aṃhasa iti
5.8.18	udapātreṇa patnyabhivrajya mukhādīni gātrāṇi prakṣālayate
5.8.19	mukhaṃ śundhasva devayajyāyā iti
5.8.20	prāṇān iti nāsike
5.8.21	cakṣur iti cakṣuṣī
5.8.22	śrotram iti karṇau
5.8.23	yat te krūraṃ yad āsthitam iti samantaṃ rajjudhānam
5.8.24	caritrāṇīti pādān samāhṛtya
5.8.25	nābhim iti nābhim
5.8.26	meḍhram iti meḍhram
5.8.27	pāyum iti pāyum
5.8.28	yat te krūraṃ yad āsthitaṃ tacchundhasveti avaśiṣṭāḥ pārśvadeśe 'vasicya yathārthaṃ vrajati
5.8.29	vapāśrapaṇyāvājyaṃ sruvaṃ svadhitiṃ darbham ādāyābhivrajyottānāṃ parivartyānulomaṃ nābhideśe darbham āstṛṇāti
5.8.30	oṣadhe trāyasvainaṃ svadhite mainaṃ hiṃsīr iti śastraṃ prayacchati
5.8.31	idam aham āmuṣyāyaṇasyāmuṣyāḥ putrasya prāṇāpānāv apakṛntāmīty apakṛtya
5.8.32	adharapravraskena lohitasyāpahatya
5.8.33	idam aham āmuṣyāyaṇasyāmuṣyāḥ putrasya prāṇāpānau nikhanāmīty āsye nikhanati
5.8.34	vapayā dyāvāpṛthivī prorṇuvāthām iti vapāśrapaṇyau vapayā pracchādya
5.8.35	svadhitinā prakṛtyotkṛtya
5.8.36	āvraskam abhighārya
5.8.37	vāyo ve stokānām iti darbhāgraṃ prāsyati
5.8.38	pratyuṣṭaṃ rakṣa iti carum aṅgāre nidadhāti
5.8.39	devas tvā savitā śrapayatviti śrapayati
5.8.40	suśṛtāṃ karoti
5.9.1	yadyaṣṭāpadī syād garbhamañjalau sahiraṇyaṃ sayavaṃ vā ya ātmadā iti khadāyāṃ tryaratnāvagnau sakṛjjuhoti
5.9.2	viśasya samavattānyavadyet
5.9.3	hṛdayaṃ jihvā śyenaś ca doṣī pārśve ca tāni ṣaṭ / yakṛdvṛkkau gudaśroṇī tāny ekādaśa daivatāni
5.9.4	dakṣiṇaḥ kapilalāṭaḥ savyā śroṇir gudaś ca yaḥ / etāni trīṇi tryaṅgāni sviṣṭakṛdbhāga eva
5.9.5	tad avadya prajñātāni śrapayet
5.9.6	hoṣyan dvirdvir devatānām avadyet
5.9.7	sakṛtsakṛt sauviṣṭakṛtānām
5.9.8	vapāyāḥ samiddha ūrdhvā asyeti juhoti
5.9.9	yuktābhyāṃ tṛtīyām
5.9.10	ānumatīṃ caturthīm
5.9.11	jātavedo vapayā gaccha devāṃs tvaṃ hi hotā prathamo babhūtha / ghṛtasyāgne tanvā saṃbhava satyāḥ santu yajamānasya kāmāḥ svāhā
5.9.12	ūrdhvanabhasaṃ mārutaṃ gacchatam iti vapāśrapaṇyāvanupraharati
5.9.13	prācīm ekaśṛṅgāṃ pratīcīṃ dviśṛṅgām
5.9.14	pitryeṣu vaha vapāṃ jātavedaḥ pitṛbhyo yatraitān vettha nihitān parāke / medasaḥ kulyā upa tān sravantu satyā eṣām āśiṣaḥ santu kāmāḥ svāhā svadheti vapāyās trir juhoti
5.9.15	samavattānām
5.9.16	sthālīpākasya samrāḍ asy adhiśrayaṇaṃ nāma sakhīnām abhy ahaṃ viśvā āśāḥ sākṣīya / kāmo 'si kāmāya tvā sarvavīrāya sarvapuruṣāya sarvagaṇāya sarvakāmāya juhomi / anv adya no 'numatiḥ pūṣā sarasvatī mahī / yat karomi tad ṛdhyatām anumataye svāheti juhoti
5.9.17	ka idaṃ kasmā adāt kāmas tad agre yad annaṃ punar maitv indriyam iti pratigṛhṇāti
5.9.18	uttamā sarvakāmā
5.9.19	vaśayā pākayajñā vyākhyātāḥ
5.10.1	utāmṛtāsuḥ śivās ta ity abhyākhyātāya prayacchati
5.10.2	drughaṇaśiro rajjvā badhnāti
5.10.3	pratirūpaṃ palāśāyolohahiraṇyānām
5.10.4	yena someti yājayiṣyan sārūpavatsam aśnāti
5.10.5	nidhane yajate
5.10.6	yaṃ yācāmi yad āśaseti yāciṣyan
5.10.7	mantroktāni patitebhyo devāḥ kapotarcā kapotam amūn hetir iti mahāśāntim āvapate
5.10.8	parīme 'gnim ity agniṃ gām ādāya niśi kārayamāṇas triḥ śālāṃ pariṇayati
5.10.9	paro 'pehi yo na jīva iti svapnaṃ dṛṣṭvā mukhaṃ vimārṣṭi
5.10.10	atighoraṃ dṛṣṭvā maiśradhānyaṃ puroḍāśam anyāśāyāṃ vā nidadhāti
5.10.11	paryāvarta iti paryāvartate
5.10.12	yat svapna ityaśitvā vīkṣate
5.10.13	vidma te svapneti sarveṣām apyayaḥ
5.10.14	nahi te agne tanva iti brahmacāryācāryasyādahana upasamādhāya triḥ parikramya puroḍāśaṃ juhoti
5.10.15	trirātram aparyāvartamānaḥ śayīta
5.10.16	nopaśayīteti kauśikaḥ
5.10.17	snānīyābhiḥ snāyāt
5.10.18	aparyavetavrataḥ pratyupeyāt
5.10.19	avakīrṇine darbhaśulbam āsajyeti āvapati
5.10.20	evaṃ saṃpātavatodapātreṇāvasicya
5.10.21	mantroktaṃ śāntyudakena samprokṣya
5.10.22	saṃ sam id iti svayaṃ prajvalite 'gnau
5.10.23	agnī rakṣāṃsi sedhatīti sedhantam
5.10.24	yad asmṛtīti saṃdeśam aparyāpya
5.10.25	pratno hīti pāpanakṣatre jātāya mūlena
5.10.26	mā jyeṣṭhaṃ tṛte devā iti parivittiparivividānāvudakānte mauñjaiḥ parvasu baddhvā piñjūlībhir āplāvayati
5.10.27	avasiñcati
5.10.28	pheneṣūttarān pāśān ādhāya nadīnāṃ phenān iti praplāvayati
5.10.29	sarvaiśca praviśyāpāṃ sūktaiḥ
5.10.30	devaheḍanena mantroktam
5.10.31	ācāryāya
5.10.32	upadadhīta
5.10.33	khadāśayasyāvapate
5.10.34	vaivasvataṃ yajate
5.10.35	catuḥśarāvaṃ dadāti
5.10.36	uttamarṇe mṛte tadapatyāya prayacchati
5.10.37	sagotrāya
5.10.38	śmaśāne nivapati
5.10.39	catuṣpathe ca
5.10.40	kakṣān ādīpayati
5.10.41	divo nu mām iti vīdhrabindūn prakṣālayati
5.10.42	mantroktaiḥ spṛśati
5.10.43	yasyottamadantau pūrvau jāyete yau vyāghrāv ity āvapati
5.10.44	mantroktān daṃśayati
5.10.45	śāntyudakaśṛtam ādiṣṭānām āśayati
5.10.46	pitarau ca
5.10.47	idaṃ yat kṛṣṇa iti kṛṣṇaśakuninādhikṣiptaṃ prakṣālayati
5.10.48	upamṛṣṭaṃ paryagni karoti
5.10.49	pratīcīnaphala ity apāmārgedhme 'pāmārgīr ādadhāti
5.10.50	yad arvācīnam ity ācāmati
5.10.51	yat te bhūma iti vikhanati
5.10.52	yat ta ūnam iti saṃvapati
5.10.53	prehi prahareti kāpiñjalāni svastyayanāni bhavanti
5.10.54	prehi prahara vā dāvān gṛhebhyaḥ svastaye / kapiñjala pradakṣiṇaṃ śatapattrābhi no vada / bhadraṃ vada dakṣiṇato bhadram uttarato vada / bhadraṃ purastān no vada bhadraṃ paścāt kapiñjala / śunaṃ vada dakṣiṇataḥ śunam uttarato vada / śunaṃ purastān no vada śunaṃ paścāt kapiñjala / bhadraṃ vada putrair bhadraṃ vada gṛheṣu ca / bhadram asmākaṃ vada bhadraṃ no abhayaṃ vada / āvadaṃstvaṃ śakune bhadram āvada tūṣṇīm āsīnaḥ sumatiṃ cikiddhi naḥ / yad utpatan vadasi karkarir yathā bṛhad vadema vidathe suvīrāḥ / yauvanāni mahayasi jigyuṣām iva dundubhiḥ / kapiñjala pradakṣiṇaṃ śatapattrābhi no vada / iti kāpiñjalāni svastyayanāni bhavanti
5.10.55	yo abhy u babhruṇāyasi svapantam atsi puruṣaṃ śayānam agatsvalam / ayasmayena brahmaṇāśmamayena varmaṇā pary asmān varuṇo dadhad ity abhyavakāśe saṃviśatyabhyavakāśe saṃviśati
6.1.1	ubhayataḥ paricchinnaṃ śaramayaṃ barhir ābhicārikeṣu
6.1.2	dakṣiṇataḥ saṃbhāram āharatyāṅgirasam
6.1.3	iṅgiḍam ājyam
6.1.4	savyāni
6.1.5	dakṣiṇāpavargāṇi
6.1.6	dakṣiṇāpravaṇe iriṇe dakṣiṇāmukhaḥ prayuṅkte
6.1.7	sāgnīni
6.1.8	agne yat te tapa iti purastāddhomāḥ
6.1.9	tathā tad agne kṛṇu jātaveda ity ājyabhāgau
6.1.10	nir amuṃ nudeti saṃsthitahomāḥ
6.1.11	kṛttikārokārodhāvāpyeṣu
6.1.12	bharadvājapravraskenāṅgirasaṃ daṇḍaṃ vṛścati
6.1.13	mṛtyor ahaṃ iti bādhakīm ādadhāti
6.1.14	ya imām ayaṃ vajra iti dviguṇām ekavīrān saṃnahya pāśān nimuṣṭitṛtīyaṃ daṇḍaṃ saṃpātavat
6.1.15	pūrvābhir badhnīte
6.1.16	vajro 'si sapatnahā tvayādya vṛtraṃ sākṣīya / tvām adyavanaspate vṛkṣāṇām udayuṣmahi / sa na indra purohito viśvataḥ pāhi rakṣasaḥ / abhi gāvo 'nūṣatābhi dyumnaṃ bṛhaspate / prāṇa prāṇaṃ trāyasvāso 'save mṛḍa / nirṛte nirṛtyā naḥ pāśebhyo muñca / iti daṇḍam ādatte
6.1.17	bhaktasyāhutena mekhalāyā granthim ālimpati
6.1.18	ayaṃ vajra iti bāhyato daṇḍam ūrdhvam avāgagraṃ tisṛbhir anvṛcaṃ nihanti
6.1.19	antar upaspṛśet
6.1.20	yad aśnāmīti mantroktam
6.1.21	yat pātram āhanti phaḍḍhato 'sāviti
6.1.22	idam aham āmuṣyāyaṇasyāmuṣyāḥ putrasya prāṇāpānāv apyāyacchāmīty āyacchati
6.1.23	ye 'māvāsyāṃ iti saṃnahya sīsacūrṇāni bhakte 'laṃkāre
6.1.24	parābhūtaveṇor yaṣṭyā bāhumātryālaṃkṛtayāhanti
6.1.25	dyāvāpṛthivī urviti paraśupalāśena dakṣiṇā dhāvataḥ padaṃ vṛścati
6.1.26	anvak tris tiryak triḥ
6.1.27	akṣṇayā saṃsthāpya
6.1.28	āvraskāt pāṃsūn palāśam upanahya bhraṣṭre 'bhyasyati
6.1.29	sphoṭatsu stṛtaḥ
6.1.30	paścād agneḥ karṣvāṃ kūdyupastīrṇāyāṃ dvādaśarātram aparyāvartamānaḥ śayīta
6.1.31	tata utthāya trir ahna udavajrān praharati
6.1.32	nadyā anāmasampannāyā aśmānaṃ prāsyati
6.1.33	uṣṇe 'kṣatasaktūn anūpamathitān anucchvasan pibati
6.1.34	kathaṃ trīṃstrīn kāśīn trirātram
6.1.35	dvau dvau trirātram
6.1.36	ekaikaṃ ṣaḍrātram
6.1.37	dvādaśyāḥ prātaḥ kṣīraudanaṃ bhojayitvocchiṣṭānucchiṣṭaṃ bahumatsye prakirati
6.1.38	saṃdhāvatsu stṛtaḥ
6.1.39	lohitaśirasaṃ kṛkalāsam amūn hanmīti hatvā sadyaḥ kāryo bhāṅge śayane
6.1.40	lohitālaṃkṛtaṃ kṛṣṇavasanam anūktaṃ dahati
6.1.41	ekapadābhir anyo 'nutiṣṭhati
6.1.42	aṅgaśaḥ sarvahutam anyam
6.1.43	paścād agneḥ śarabhṛṣṭīr nidhāyodag vrajatyā svedajananāt
6.1.44	nivṛtya svedālaṃkṛtā juhoti
6.1.45	kośa uraḥśiro 'vadhāya padāt pāṃsūn
6.1.46	paścād agner lavaṇamṛḍīcīs tisro 'śītīr vikarṇīḥ śarkarāṇām
6.1.47	viṣaṃ śirasi
6.1.48	bādhakena avāgagreṇa praṇayann anvāha
6.1.49	pāśe sa iti kośe granthīn udgrathnāti
6.1.50	āmum ity ādatte
6.1.51	marmaṇi khādireṇa sruveṇa gartaṃ khanati
6.1.52	bāhumātram atīva ya iti śarair avajvālayati
6.1.53	avadhāya saṃcitya loṣṭaṃ sruveṇa samopya
6.1.54	amum unnaiṣam ity uktāvalekhanīm
6.1.55	chāyāṃ vā
6.1.56	upaninayate
6.1.57	anvāha
6.2.1	bhrātṛvyakṣayaṇam ity araṇye sapatnakṣayaṇīr ādadhāti
6.2.2	grāmam etyāvapati
6.2.3	pumān puṃsa iti mantroktam abhihutālaṃkṛtaṃ badhnāti
6.2.4	yāvantaḥ sapatnās tāvataḥ pāśān iṅgiḍālaṃkṛtān saṃpātavato 'nūktān sasūtrāṃścamvā marmaṇi nikhanati
6.2.5	nāvi praiṇān nudasva kāmeti mantroktaṃ śākhayā praṇudati
6.2.6	te 'dharāñca iti praplāvayati
6.2.7	bṛhann eṣām ity āyantaṃ śapyamānam anvāha
6.2.8	vaikaṅkateneti mantroktam
6.2.9	dadir hīti sāgnīni
6.2.10	deśakapaṭu prakṣiṇāti
6.2.11	te 'vadan iti netṝṇāṃ padaṃ vṛścati
6.2.12	anvāha
6.2.13	brahmagavībhyām anvāha
6.2.14	ceṣṭām
6.2.15	vicṛtati
6.2.16	ūbadhye
6.2.17	śmaśāne
6.2.18	trir amūn harasvety āha
6.2.19	dvitīyayāśmānam ūbadhyagūhe
6.2.20	dvādaśarātraṃ sarvavrata upaśrāmyati
6.2.21	dvir udite stṛtaḥ
6.2.22	avāgagreṇa nivartayati
6.2.23	upa prāgād iti śune piṇḍaṃ pāṇḍuṃ prayacchati
6.2.24	tārchaṃ badhnāti
6.2.25	juhoti
6.2.26	ādadhāti
6.2.27	idaṃ tad yuje yat kiṃ cāsau manasety āhitāgniṃ pratinirvapati
6.2.28	madhyamapalāśena phalīkaraṇāñjuhoti
6.2.29	nir amum ity aṅguṣṭhena trir anuprastṛṇāti
6.2.30	śaraṃ kadvindukoṣṭhair anunirvapati
6.2.31	lohitāśvatthapalāśena viṣāvadhvastaṃ juhoti
6.2.32	tvaṃ vīrudhām iti mūtrapurīṣaṃ vatsaśepyāyāṃ kakucair apidhāpya sampiṣya nikhanati
6.2.33	śepyānaḍe
6.2.34	śepyāyām
6.2.35	yathā sūrya ity anvāha
6.2.36	uttarayā yāṃstān paśyati
6.2.37	indrotibhir agne jātān yo na stāyad dipsati yo naḥ śapād iti vaidyuddhatīḥ
6.2.38	sāṃtapanety ūrdhvaśuṣīḥ
6.2.39	ghraṃsaśṛtaṃ puroḍāśam ghraṃsavilīnena sarvahutam
6.2.40	ud asya śyāvāv itīṣīkāñjimaṇḍūkaṃ nīlalohitābhyāṃ sūtrābhyāṃ sakakṣaṃ baddhvoṣṇodake vyādāya pratyāhuti maṇḍūkam apanudatyabhinyubjati
6.2.41	upadhāvantam asadan gāva iti kāmpīlaṃ saṃnahya kṣīrotsikte pāyayati lohitānāṃ caikkaśam
6.2.42	aśiśiṣoḥ kṣīraudanam
6.2.43	āmapātram abhyavanenekti
6.3.1	sapatnahanam ity ṛṣabhaṃ saṃpātavantam atisṛjati
6.3.2	āśvatthīr avapannāḥ
6.3.3	svayam indrasyauja iti prakṣālayati
6.3.4	jiṣṇave yogāyety apo yunakti
6.3.5	vātasya raṃhitasyāmṛtasya yonir iti pratigṛhṇāti
6.3.6	uttamāḥ pratāpyādharāḥ pradāyainam enān adharācaḥ parāco 'vācas tapasas tam unnayata devāḥ pitṛbhiḥ saṃvidānaḥ prajāpatiḥ prathamo devatānām ity atisṛjati
6.3.7	idam ahaṃ yo mā prācyā diśo 'ghāyur abhidāsād apavādīd iṣugūhas tasyemau prāṇāpānāvapakrāmāmi brahmaṇā
6.3.8	dakṣiṇāyāḥ pratīcyā udīcyā dhruvāyā vyadhvāyā ūrdhvāyāḥ
6.3.9	idam aham yo mā diśām antardeśebhya ity apakrāmāmīti
6.3.10	evam abhiṣṭhānāpohananiveṣṭanāni
6.3.11	sarvāṇi khalu śaśvad bhūtāni
6.3.12	brāhmaṇād vajram udyacchamānācchaṅkante māṃ haniṣyasi māṃ haniṣyasīti tebhyo 'bhayaṃ vadeccham agnaye śaṃ pṛthivyai śam antarikṣāya śaṃ vāyave śaṃ dive śaṃ sūryāya śaṃ candrāya śaṃ nakṣatrebhyaḥ śaṃ gandharvāpsarobhyaḥ śaṃ sarpetarajanebhyaḥ śivam mahyam iti
6.3.13	yo va āpo 'pāṃ yaṃ vayam apām asmai vajram ity anvṛcam udavajrān
6.3.14	viṣṇoḥ kramo 'sīti viṣṇukramān
6.3.15	mamāgne varca iti bṛhaspatiśirasaṃ pṛṣātakenopasicyābhimantryopanidadhāti
6.3.16	pratijānan nānuvyāharet
6.3.17	uttamenopadraṣṭāram
6.3.18	udehi vājinnity ardharcena nāvaṃ majjatīm
6.3.19	samiddho 'gnir ya ime dyāvāpṛthivī ajaiṣmety adhipāśān ādadhāti
6.3.20	pade pade pāśān vṛścati
6.3.21	adhipāśān bādhakāñśaṅkūṃstān saṃkṣudya saṃnahya bhraṣṭre 'dhyasyati
6.3.22	aśiśiṣoḥ kṣīraudanādīni trīṇi
6.3.23	gartedhmāvantareṇāvalekhanīṃ sthāṇau nibadhya dvādaśarātraṃ saṃpātān abhyatininayati
6.3.24	ṣaṣṭhyodavajrān praharati
6.3.25	saptamyācāmati
6.3.26	yaś ca gām ity anvāha
6.3.27	nir durarmaṇya iti saṃdhāvyābhimṛśati
7.1.1	svastidā ye te panthāna ity adhvānaṃ dakṣiṇena prakrāmati
7.1.2	vyudasyatyasaṃkhyātāḥ śarkarāḥ
7.1.3	tṛṇāni chittvopatiṣṭhate
7.1.4	āre amūḥ pāre pātaṃ na ya enaṃ pariṣīdanti yad āyudhaṃ daṇḍena vyākhyātam
7.1.5	diṣṭyā mukhaṃ vimāya saṃviśati
7.1.6	trīṇi padāni pramāyottiṣṭhati
7.1.7	tisro diṣṭīḥ
7.1.8	pretaṃ pādāv ity avasasya
7.1.9	pāyayati
7.1.10	upasthās ta iti trīṇyopyātikrāmati
7.1.11	svasti mātra iti niśyupatiṣṭhate
7.1.12	indram ahaṃ iti paṇyaṃ saṃpātavad utthāpayati
7.1.13	nimṛjya digyuktābhyāṃ doṣo gāya pātaṃ na iti pañcānaḍudbhyo yamo mṛtyur viśvajicchakadhūmaṃ bhavāśarvāv ity upadadhīta
7.1.14	uttamena sārūpavatsasya rudrāya trir juhoti
7.1.15	upottamena suhṛdo brāhmaṇasya śakṛtpiṇḍān parvasvādhāya śakadhūmaṃ kim adyāhar iti pṛcchati
7.1.16	bhadraṃ sumaṅgalam iti pratipadyate
7.1.17	yuktayor mā no devā yas te sarpa iti śayanaśālorvarāḥ parilikhati
7.1.18	tṛṇāni yugatardmanā saṃpātavanti dvāre pracṛtati
7.1.19	ūbadhyaṃ sambhinatti
7.1.20	nikhanati
7.1.21	ādadhāti
7.1.22	apāmārgaprasūnān kudrīcīśaphān parācīnamūlān
7.2.1	udita iti khādiraṃ śaṅkuṃ saṃpātavantam udgṛhṇan nikhanan gā anuvrajati
7.2.2	ninayanaṃ samuhya cāre sārūpavatsasyendrāya trir juhoti
7.2.3	diśyān balīn harati
7.2.4	pratidiśam upatiṣṭhate
7.2.5	madhye pañcamam anirdiṣṭam
7.2.6	śeṣaṃ ninayati
7.2.7	brahma jajñānaṃ bhavāśarvāv ityāsannam araṇye parvataṃ yajate
7.2.8	anyasmin bhavaśarvapaśupatyugrarudramahādeveśānānāṃ pṛthag āhutīḥ
7.2.9	goṣṭhe ca dvitīyam aśnāti
7.2.10	darbhān ādhāya dhūpayati
7.2.11	bhūtyai vaḥ puṣṭyai va iti prathamajayor mithunayor mukham anakti
7.2.12	tisro naladaśākhā vatsān pāyayati
7.2.13	śākhayodakadhārayā gāḥ parikrāmati
7.2.14	aśmavarma ma iti ṣaḍ aśmanaḥ saṃpātavataḥ sraktiṣūparyadhastān nikhanati
7.2.15	alasālā ity ālabheṣajam
7.2.16	trīṇi silāñjālāgrāṇyurvarāmadhye nikhanati
7.2.17	hataṃ tardaṃ iti ayasā sīsaṃ karṣann urvarāṃ parikrāmati
7.2.18	aśmano 'vakirati
7.2.19	tardam avaśirasaṃ vadanāt keśena samuhyorvarāmadhye nikhanati
7.2.20	uktaṃ cāre
7.2.21	balīn haratyāśāyā āśāpataye 'śvibhyāṃ kṣetrapataye
7.2.22	yadaitebhyaḥ kurvīta vāgyatas tiṣṭhed āstamayāt
7.3.1	ye panthāna iti parītyopadadhīta
7.3.2	prayacchati
7.3.3	yasyās te yat te devī viṣāṇā pāśān ity unmocanapratirūpaṃ saṃpātavantaṃ karoti
7.3.4	vācā baddhāya bhūmiparilekham
7.3.5	āyana iti śamanam antarā hradaṃ karoti
7.3.6	śāle ca
7.3.7	avakayā śālāṃ paritanoti
7.3.8	śapyamānāya prayacchati
7.3.9	nidagdhaṃ prakṣālayati
7.3.10	mahīm ū ṣv iti taraṇānyālambhayati
7.3.11	dūrānnāvaṃ saṃpātavatīṃ naumaṇiṃ badhnāti
7.3.12	prapatha iti naṣṭaiṣiṇāṃ prakṣālitābhyaktapāṇipādānāṃ dakṣiṇān pāṇīn nimṛjyotthāpayati
7.3.13	evaṃ saṃpātavataḥ
7.3.14	nimṛjyaikaviṃśatiṃ śarkarāścatuṣpathe 'vakṣipyāvakirati
7.3.15	namaskṛtyeti mantroktam
7.3.16	aṃholiṅgānām āpo bhojanahavīṃṣyabhimarśanopasthānam ādityasya
7.3.17	svayaṃ haviṣāṃ bhojanam
7.3.18	viśve devā ity āyuṣyāṇi
7.3.19	sthālīpāke ghṛtapiṇḍān pratinīyāśnāti
7.3.20	asmin vasu yad ābadhnan nava prāṇān iti yugmakṛṣṇalam ādiṣṭānāṃ sthālīpāka ādhāya badhnāti
7.3.21	āśayati
7.4.1	āyurdā iti godānaṃ kārayiṣyan saṃbhārān saṃbharati
7.4.2	amamrim ojomānīṃ dūrvām akarṇam aśmamaṇḍalam ānaḍuhaśakṛtpiṇḍaṃ ṣaḍ darbhaprāntāni kaṃsam ahate vasane śuddham ājyam śāntā oṣadhīr navam udakumbham
7.4.3	bāhyataḥ śāntavṛkṣasyedhmaṃ prāñcam upasamādhāya
7.4.4	parisamuhya paryukṣya paristīrya barhir udapātram upasādya paricaraṇenājyaṃ paricarya
7.4.5	nityān purastāddhomān hutvājyabhāgau ca
7.4.6	paścād agneḥ prāṅmukha upaviśyānvārabdhāya śāntyudakaṃ karoti
7.4.7	tatraitat sūktam anuyojayati
7.4.8	trir evāgniṃ samprokṣati triḥ paryukṣati
7.4.9	triḥ kārayamāṇam ācāmayati ca samprokṣati ca
7.4.10	śakṛtpiṇḍasya sthālarūpaṃ kṛtvā suhṛde brāhmaṇāya prayacchati
7.4.11	tat suhṛd dakṣiṇato 'gner udaṅmukha āsīno dhārayati
7.4.12	athāsmā anvārabdhāya karoti
7.4.13	āyurdā ity anena sūktenājyaṃ juhvan mūrdhni saṃpātān ānayati
7.4.14	dakṣiṇe pāṇāvaśmamaṇḍala udapātra uttarasaṃpātān sthālarūpa ānayati
7.4.15	amamrim ojomānīṃ codapātre 'vadhāya
7.4.16	sthālarūpe dūrvāṃ śāntyudakam uṣṇodakaṃ caikadhābhisamāsicya
7.4.17	āyam agan savitā kṣureṇa ity udapātram anumantrayate
7.4.18	aditiḥ śmaśru ity undati
7.4.19	yat kṣureṇa ity udakpattraṃ kṣuram adbhi ścotya triḥ pramārṣṭi
7.4.20	yenāvapat iti dakṣiṇasya keśapakṣasya darbhapiñjūlyā keśān abhinidhāya pracchidya sthālarūpe karoti
7.4.21	evam eva dvitīyaṃ karoti
7.4.22	evaṃ tṛtīyam
7.4.23	evam evottarasya keśapakṣasya karoti
7.5.1	atha nāpitaṃ samādiśatyakṣaṇvan vapa keśaśmaśrur oma parivapa nakhāni kurviti
7.5.2	punaḥ prāṇaḥ punar maitv indriyam iti trir nimṛjya
7.5.3	tvayi mahimānaṃ sādayāmīty antato yojayet
7.5.4	athainam uptakeśaśmaśruṃ kṛttanakham āplāvayati
7.5.5	hiraṇyavarṇā ity etena sūktena gandhapravādābhir alaṃkṛtya
7.5.6	svaktaṃ ma ity ānakti
7.5.7	athainam ahatena vasanena paridhāpayati paridhatteti dvābhyām
7.5.8	ehy aśmānam ātiṣṭheti dakṣiṇena pādenāśmamaṇḍalam āsthāpya pradakṣiṇam agnim anupariṇīya
7.5.9	athāsya vāso nirmuṣṇāti yasya te vāsa ity anayā
7.5.10	athainam apareṇāhatena vasanenācchādayaty ayaṃ vaste garbhaṃ pṛthivyā iti pañcabhiḥ
7.5.11	yathā dyaur manase cetase dhiya iti mahāvrīhīṇāṃ sthālīpākaṃ śrapayitvā śāntyudakenopasicyābhimantrya prāśayati
7.5.12	prāṇāpānāv ojo 'sīty upadadhīta
7.5.13	tubhyam eva jarimanniti kumāraṃ mātāpitarau triḥ samprayacchete
7.5.14	ghṛtapiṇḍān āśayataḥ
7.5.15	cūḍākaraṇam ca godānena vyākhyātam
7.5.16	paridhāpanāśmamaṇḍalavarjam
7.5.17	śive te stām iti paridānāntāni
7.5.18	pārthivasya mā pra gāmeti catasraḥ sarvāṇyapiyanti
7.5.19	amamrim ojomānīṃ ca dūrvāṃ ca keśāṃśca śakṛtpiṇḍaṃ caikadhābhisamāhṛtya
7.5.20	śāntavṛkṣasyoparyādadhāti
7.5.21	adhikaraṇaṃ brahmaṇaḥ kaṃsavasanaṃ gaur dakṣiṇā
7.5.22	brāhmaṇān bhaktenopepsanti
7.6.1	upanayanam
7.6.2	āyam aganniti mantroktam
7.6.3	yat kṣureṇety uktam
7.6.4	yenāvapad iti śakṛd apiñjūli
7.6.5	laukikaṃ ca samānām ā paridhānāt
7.6.6	upetapūrvasya niyataṃ savān dāsyato 'gnīn ādhāsyamānaparyavetavratadīkṣiṣyamāṇānām
7.6.7	soṣṇodakaṃ śāntyudakaṃ pradakṣiṇam anupariṇīya purastād agneḥ pratyaṅmukham avasthāpya
7.6.8	āha brūhi
7.6.9	brahmacaryam āgam upa mā nayasveti
7.6.10	ko nāmāsi kiṃgotra ity asāviti yathā nāmagotre bhavatas tathā prabrūhi
