#Text:Baudhāyanadharmasūtra
#Edition:Hultzsch
#Notes:DCS version



1.1.1	upadiṣṭo dharmaḥ prativedam
4.1.21	ṛtusnātāṃ na ced gacchen niyatāṃ dharmacāriṇīm / niyamātikrame tasya prāṇāyāmaśataṃ smṛtam
4.1.22	prāṇāyāmān pavitrāṇi vyāhṛtīḥ praṇavaṃ tathā / pavitrapāṇir āsīno brahma naityakam abhyaset
4.1.23	āvartayet sadā yuktaḥ prāṇāyāmān punaḥpunaḥ / ā keśāntān nakhāgrāc ca tapas tapyata uttamam
4.1.24	nirodhāj jāyate vāyur vāyor agniś ca jāyate / tāpenāpo 'dhijāyante tato 'ntaḥ śudhyate tribhiḥ
4.1.25	yogenāvāpyate jñānaṃ yogo dharmasya lakṣaṇam / yogamūlā guṇāḥ sarve tasmād yuktaḥ sadā bhavet
4.1.26	praṇavādyās trayo vedāḥ praṇave paryavasthitāḥ / praṇavo vyāhṛtayaś caiva nityaṃ brahma sanātanam
4.1.27	praṇave nityayuktasya vyāhṛtīṣu ca saptasu / tripadāyāṃ ca gāyatryāṃ na bhayaṃ vidyate kvacit
4.1.28	savyāhṛtikāṃ sapraṇavāṃ gāyatrīṃ śirasā saha / triḥ paṭhed āyataprāṇaḥ prāṇāyāmaḥ sa ucyate
4.1.29	savyāhṛtikāḥ sapraṇavāḥ prāṇāyāmās tu ṣoḍaśa / api bhrūṇahanaṃ māsāt punanty aharahardhṛtāḥ
4.1.30	etadādyaṃ tapaḥ śreṣṭham etad dharmasya lakṣaṇam / sarvadoṣopaghātārtham etad eva viśiṣyate / etad eva viśiṣyata iti
4.2.1	prāyaścittāni vakṣyāmo nānārthāni pṛthakpṛthak / teṣu teṣu ca doṣeṣu garīyāṃsi laghūni ca
4.2.2	yady atra hi bhaved yuktaṃ taddhi tatraiva nirdiśet / bhūyo bhūyo garīyaḥsu laghuṣv alpīyasas tathā
4.2.3	vidhinā śāstradṛṣṭena prāyaścittāni nirdiśet
4.2.4	pratigrahīṣyamāṇas tu pratigṛhya tathaiva ca / ṛcas taratsamandyas tu catasraḥ parivartayet
4.2.5	abhojyānāṃ tu sarveṣām abhojyānnasya bhojane / ṛgbhis taratsamandībhir mārjanaṃ pāpaśodhanam
4.2.6	bhrūṇahatyāvidhis tv anyas taṃ tu vakṣyāmy ataḥ param / vidhinā yena mucyante pātakebhyo 'pi sarvaśaḥ
4.2.7	prāṇāyāmān pavitrāṇi vyāhṛtīḥ praṇavaṃ tathā / japed aghamarṣaṇaṃ sūktaṃ payasā dvādaśa kṣapāḥ
4.2.8	trirātraṃ vāyubhakṣo vā klinnavāsāḥ plutaḥ śuciḥ
4.2.9	pratiṣiddhāṃs tathācārān abhyasyāpi punaḥpunaḥ / vāruṇībhir upasthāya sarvapāpaiḥ pramucyata iti
4.2.10	athāvakīrṇy amāvāsyāyāṃ niśy agnim upasamādhāya dārvihomikīṃ pariceṣṭāṃ kṛtvā dve ājyāhutī juhoti / kāmāvakīrṇo 'smy avakīrṇo 'smi kāma kāmāya svāhā / kāmābhidrugdho 'smy abhidrugdho 'smi kāma kāmāya svāheti
4.2.11	hutvā prayatāñjaliḥ kavātiryaṅṅ agnim upatiṣṭheta / saṃ mā siñcantu marutaḥ sam indraḥ saṃ bṛhaspatiḥ / saṃ māyam agniḥ siñcatv āyuṣā ca balena cāyuṣmantaṃ karotu meti / prati hāsmai marutaḥ prāṇān dadhati pratīndro balaṃ prati bṛhaspatir brahmavarcasaṃ praty agnir itarat sarvam / sarvatanur bhūtvā sarvam āyur eti / trir abhimantrayeta / triṣatyā hi devā iti vijñāyate
4.2.12	yo 'pūta iva manyeta ātmānam upapātakaiḥ / sa hutvaitena vidhinā sarvasmāt pāpāt pramucyate
4.2.13	api vānādyāpeyapratiṣiddhabhojaneṣu doṣavac ca karma kṛtvābhisaṃdhipūrvam anabhisaṃdhipūrvaṃ vā śūdrāyāṃ ca retaḥ siktvāyonau vābliṅgābhir vāruṇībhiś copaspṛśya prayato bhavati
4.2.14	athāpy udāharanti / anādyāpeyapratiṣiddhabhojane viruddhadharmācarite ca karmaṇi / matipravṛtte 'pi ca pātakopamair viśudhyate 'thāpi ca sarvapātakaiḥ
4.2.15	trirātraṃ vāpy upavasaṃs trir ahno 'bhyupayann apaḥ / prāṇān ātmani saṃyamya triḥ paṭhed aghamarṣaṇam / yathāśvamedhāvabhṛtha evaṃ tan manur abravīt
4.2.16	vijñāyate ca / caraṇaṃ pavitraṃ vitataṃ purāṇaṃ yena pūtas tarati duṣkṛtāni / tena pavitreṇa śuddhena pūtā ati pāpmānam arātiṃ taremeti
4.3.1	prāyaścittāni vakṣyāmo 'vikhyātāni viśeṣataḥ / samāhitānāṃ yuktānāṃ pramādeṣu kathaṃ bhavet
4.3.2	oṃpūrvābhir vyāhṛtibhiḥ sarvābhiḥ sarvapātakeṣv ācāmet
4.3.3	yat prathamam ācāmati tenargvedaṃ prīṇāti yad dvitīyaṃ tena yajurvedaṃ yat tṛtīyaṃ tena sāmavedam
4.3.4	yat prathamaṃ parimārṣṭi tenātharvavedaṃ yad dvitīyaṃ tenetihāsapurāṇam
4.3.5	yat savyaṃ pāṇiṃ prokṣati pādau śiro hṛdayaṃ nāsike cakṣuṣī śrotre nābhiṃ copaspṛśati tenauṣadhivanaspatayaḥ sarvāś ca devatāḥ prīṇāti / tasmād ācamanād eva sarvasmāt pāpāt pramucyate
4.3.6	aṣṭau vā samidha ādadhyāt / devakṛtasyainaso 'vayajanam asi svāhā / manuṣyakṛtasyainaso 'vayajanam asi svāhā / pitṛkṛtasyainaso 'vayajanam asi svāhā / ātmakṛtasyainaso 'vayajanam asi svāhā / yad divā ca naktaṃ cainaś cakṛma tasyāvayajanam asi svāhā / yat svapantaś ca jāgrataś cainaś cakṛma tasyāvayajanam asi svāhā / yad vidvāṃsaś cāvidvāṃsaś cainaś cakṛma tasyāvayajanam asi svāhā / enasa enaso 'vayajanam asi svāheti
4.3.7	etair aṣṭābhir hutvā sarvasmāt pāpāt pramucyate
4.3.8	athāpy udāharanti / aghamarṣaṇaṃ devakṛtaṃ śuddhavatyas taratsamāḥ / kūśmāṇḍyaḥ pāvamānyaś ca virajā mṛtyulāṅgalam / durgā vyāhṛtayo rudrā mahādoṣavināśanāḥ / mahādoṣavināśanā iti
4.4.1	prāyaścittāni vakṣyāmo 'vikhyātāni viśeṣataḥ / samāhitānāṃ yuktānāṃ pramādeṣu kathaṃ bhavet
4.4.2	ṛtaṃ ca satyaṃ ceti / etad aghamarṣaṇaṃ trir antarjale paṭhan sarvasmāt pāpāt pramucyate
4.4.3	āyaṃ gauḥ pṛśnir akramīd iti / etām ṛcaṃ trir antarjale paṭhan sarvasmāt pāpāt pramucyate
4.4.4	drupadād iven mumucāna iti / etām ṛcaṃ trir antarjale paṭhan sarvasmāt pāpāt pramucyate
4.4.5	haṃsaḥ śuciṣad iti / etām ṛcaṃ trir antarjale paṭhan sarvasmāt pāpāt pramucyate
4.4.6	api vā sāvitrīṃ paccho 'rdharcaśas tataḥ samastāṃ trir antarjale paṭhan sarvasmāt pāpāt pramucyate
4.4.7	api vā vyāhṛtīr vyastāḥ samastāś ceti trir antarjale paṭhan sarvasmāt pāpāt pramucyate
4.4.8	api vā praṇavam eva trir antarjale paṭhan sarvasmāt pāpāt pramucyate
4.4.9	tad etad dharmaśāstraṃ nāputrāya nāśiṣyāya nāsaṃvatsaroṣitāya dadyāt
4.4.10	sahasraṃ dakṣiṇā ṛṣabhaikādaśaṃ guruprasādo vā / guruprasādo vā
4.5.1	athātaḥ sampravakṣyāmi sāmargyajuratharvaṇām / karmabhir yair avāpnoti kṣipraṃ kāmān manogatān
4.5.2	japahomeṣṭiyantrādyaiḥ śodhayitvā svavigraham / sādhayet sarvakarmāṇi nānyathā siddhim aśnute
4.5.3	japahomeṣṭiyantrāṇi kariṣyann ādito dvijaḥ / śuklapuṇyadinaṛkṣeṣu keśaśmaśrūṇi vāpayet
4.5.4	snāyāt triṣavaṇaṃ pāyād ātmānaṃ krodhato 'nṛtāt / strīśūdrair nābhibhāṣeta brahmacārī havirvrataḥ
4.5.5	goviprapitṛdevebhyo namaskuryād divāsvapan / japahomeṣṭiyantrastho divāsthāno niśāsanaḥ
4.5.6	prājāpatyo bhavet kṛcchro divā rātrāv ayācitam / kramaśo vāyubhakṣaś ca dvādaśāhaṃ tryahaṃ tryaham
4.5.7	ahar ekaṃ tathā naktam ajñātaṃ vāyubhakṣaṇam / trivṛd eṣa parāvṛtto bālānāṃ kṛcchra ucyate
4.5.8	ekaikaṃ grāsam aśnīyāt pūrvoktena tryahaṃ tryaham / vāyubhakṣas tryahaṃ cānyad atikṛcchraḥ sa ucyate
4.5.9	ambubhakṣas tryahān etān vāyubhakṣas tataḥ param / kṛcchrātikṛcchras tṛtīyo vijñeyaḥ so 'tipāvanaḥ
4.5.10	tryahaṃ tryahaṃ pibed uṣṇaṃ payaḥ sarpiḥ kuśodakam / vāyubhakṣas tryahaṃ cānyat taptakṛcchraḥ sa ucyate
4.5.11	gomūtraṃ gomayaṃ kṣīraṃ dadhi sarpiḥ kuśodakam / ekarātropavāsaś ca kṛcchraḥ sāṃtapanaḥ smṛtaḥ
4.5.12	gāyatryā ādāya gomūtraṃ gandhadvāreti gomayam / āpyāyasveti ca kṣīraṃ dadhikrāvṇeti vai dadhi / śukram asi jyotir ity ājyaṃ devasya tveti kuśodakam
4.5.13	gomūtrabhāgas tasyārdhaṃ śakṛt kṣīrasya tu trayam / dvayaṃ dadhno ghṛtasyaika ekaś ca kuśavāriṇaḥ / evaṃ sāṃtapanaḥ kṛcchraḥ śvapākam api śodhayet
4.5.14	gomūtraṃ gomayaṃ caiva kṣīraṃ dadhi ghṛtaṃ tathā / pañcarātraṃ tadāhāraḥ pañcagavyena śudhyati
4.5.15	yat ātmano 'pramattasya dvādaśāham abhojanam / parāko nāma kṛcchro 'yaṃ sarvapāpapraṇāśanaḥ
4.5.16	gomūtrādibhir abhyastam ekaikaṃ taṃ trisaptakam / mahāsāṃtapanaṃ kṛcchraṃ vadanti brahmavādinaḥ
4.5.17	ekavṛddhyā site piṇḍān ekahānyāsite tataḥ / pakṣayor upavāsau dvau taddhi cāndrāyaṇaṃ smṛtam
4.5.18	caturaḥ prātar aśnīyāt piṇḍān vipraḥ samāhitaḥ / caturo 'stamite sūrye śiśucāndrāyaṇaṃ caret
4.5.19	aṣṭāvaṣṭau māsam ekaṃ piṇḍān madhyaṃdine sthite / niyatātmā haviṣyasya yaticāndrāyaṇaṃ caret
4.5.20	yathā kathaṃcit piṇḍānāṃ dvijas tisras tv aśītayaḥ / māsenāśnan haviṣyasya candrasyaiti salokatām
4.5.21	yathodyaṃś candramā hanti jagatas tamaso bhayam / evaṃ pāpād bhayaṃ hanti dvijaś cāndrāyaṇaṃ caran
4.5.22	kaṇapiṇyākatakrāṇi yavācāmo 'nilāśanaḥ / ekatripañcasapteti pāpaghno 'yaṃ tulāpumān
4.5.23	yāvakaḥ saptarātreṇa vṛjinaṃ hanti dehinām / saptarātropavāso vā dṛṣṭam etan manīṣibhiḥ
4.5.24	pauṣabhādrapadajyeṣṭhāsv ārdrākāśātapāśrayāt / trīñśuklān mucyate pāpāt patanīyād ṛte dvijaḥ
4.5.25	gomūtraṃ gomayaṃ kṣīraṃ dadhi sarpiḥ kuśodakam / yavācāmena saṃyukto brahmakūrco 'tipāvanaḥ
4.5.26	amāvāsyāṃ nirāhāraḥ paurṇamāsyāṃ tilāśanaḥ / śuklakṛṣṇakṛtāt pāpān mucyate abdasya parvabhiḥ
4.5.27	bhaikṣāhāro 'gnihotribhyo māsenaikena śudhyati / yāyāvaravanasthebhyo daśabhiḥ pañcabhir dinaiḥ
4.5.28	ekāhadhanino 'nnena dinenaikena śudhyati / kāpotavṛttiniṣṭhasya pītvāpaḥ śudhyate tribhiḥ
4.5.29	ṛgyajuḥsāmavedānāṃ vedasyānyatamasya vā / pārāyaṇaṃ trir abhyasyed anaśnan so 'tipāvanaḥ
4.5.30	atha cet tvarate kartuṃ divasaṃ mārutāśanaḥ / rātrau jalasthito vyuṣṭaḥ prājāpatyena tat samam
4.5.31	gāyatryāṣṭasahasraṃ tu japaṃ kṛtvotthite ravau / mucyate sarvapāpebhyo yadi na bhrūṇahā bhavet
4.5.32	yo 'nnadaḥ satyavādī ca bhūteṣu kṛpayā sthitaḥ / pūrvoktayantraśuddhebhyaḥ sarvebhyaḥ so 'tiricyate
4.6.1	samādhucchandasā rudrā gāyatrī praṇavānvitā / sapta vyāhṛtayaś caiva japyāḥ pāpavināśanāḥ
4.6.2	mṛgāreṣṭiḥ pavitreṣṭis trihaviḥ pāvamāny api / iṣṭayaḥ pāpanāśinyo vaiśvānaryā samanvitāḥ
4.6.3	idaṃ caivāparaṃ guhyam ucyamānaṃ nibodhata / mucyate sarvapāpebhyo mahataḥ pātakād ṛte
4.6.4	pavitrair mārjanaṃ kurvan rudraikādaśinīṃ japan / pavitrāṇi ghṛtair juhvat prayacchan hemagotilān
4.6.5	yo 'śnīyād yāvakaṃ pakvaṃ gomūtre saśakṛdrase / sadadhikṣīrasarpiṣke mucyate so 'ṃhasaḥ kṣaṇāt
4.6.6	prasūto yaś ca śūdrāyāṃ yenāgamyā ca laṅghitā / saptarātrāt pramucyete vidhinaitena tāv ubhau
4.6.7	retomūtrapurīṣāṇāṃ prāśane 'bhojyabhojane / paryādhānejyayor etat parivitte ca bheṣajam
4.6.8	apātakāni karmāṇi kṛtvaiva subahūny api / mucyate sarvapāpebhya ity etad vacanaṃ satām
4.6.9	mantramārgapramāṇaṃ tu vidhānaṃ samudīritam / bharadvājādayo yena brahmaṇaḥ sātmatāṃ gatāḥ
4.6.10	prasannahṛdayo vipraḥ prayogād asya karmaṇaḥ / kāmāṃs tāṃs tān avāpnoti ye ye kāmā hṛdi sthitāḥ / ye ye kāmā hṛdi sthitā iti
4.7.1	nivṛttaḥ pāpakarmabhyaḥ pravṛttaḥ puṇyakarmasu / yo vipras tasya sidhyanti vinā yantrair api kriyāḥ
4.7.2	brāhmaṇā ṛjavas tasmād yad yad icchanti cetasā / tat tad āsādayanty āśu saṃśuddhā ṛjukarmabhiḥ
4.7.3	evam etāni yantrāṇi tāvat kāryāṇi dhīmatā / kālena yāvatopaiti vigrahaḥ śuddhim ātmanaḥ
4.7.4	ebhir yantrair viśuddhātmā trirātropoṣitas tataḥ / tad ārabheta yenarddhiṃ karmaṇā prāptum icchati
4.7.5	kṣmāpavitraḥ sahasrākṣo mṛgāro 'ṃhomucau gaṇau / pāvamānyaś ca kūśmāṇḍyo vaiśvānarya ṛcaś ca yāḥ
4.7.6	ghṛtaudanena tā juhvat saptāhaṃ savanatrayam / maunavratī haviṣyāśī nigṛhītendriyakriyaḥ
4.7.7	siṃhe ma ity apāṃ pūrṇe pātre 'vekṣya catuṣpathe / mucyate sarvapāpebhyo mahataḥ pātakād api
4.7.8	vṛddhatve yauvane bālye yaḥ kṛtaḥ pāpasaṃcayaḥ / pūrvajanmasu cājñānāt tasmād api vimucyate
4.7.9	bhojayitvā dvijān ante pāyasena sasarpiṣā / gobhūmitilahemāni bhuktavadbhyaḥ pradāya ca
4.7.10	vipro bhavati pūtātmā nirdagdhavṛjinendhanaḥ / kāmyānāṃ karmaṇāṃ yogyas tathādhānādikarmaṇām
4.8.1	atilobhāt pramādād vā yaḥ karoti kriyām imām / anyasya so 'ṃhasāviṣṭo garagīr iva sīdati
4.8.2	ācāryasya pitur mātur ātmanaś ca kriyām imām / kurvan bhāty arkavad vipraḥ sā kāryaiṣām ataḥ kriyā
4.8.3	ka etena sahasrākṣaṃ pavitreṇākarocchucim / agniṃ vāyuṃ raviṃ somaṃ yamādīṃś ca sureśvarān
4.8.4	yat kiṃcit puṇyanāmeha triṣu lokeṣu viśrutam / viprādi tat kṛtaṃ kena pavitrakriyayānayā
4.8.5	prājāpatyam idaṃ guhyaṃ pāpaghnaṃ prathamodbhavam / samutpannāny ataḥ paścāt pavitrāṇi sahasraśaḥ
4.8.6	yo 'bdāyanartupakṣāhāñ juhoty aṣṭau gaṇān imān / punāti cātmano vaṃśyān daśa pūrvān daśāvarān
4.8.7	jñāyate cāmarair dyusthaiḥ puṇyakarmeti bhūsthitaḥ / devavan modate bhūyaḥ svargaloke 'pi puṇyakṛt
4.8.8	etān aṣṭau gaṇān hotuṃ na śaknoti yadi dvijaḥ / eko 'pi tena hotavyo rajas tenāsya naśyati
4.8.9	sūnavo yasya śiṣyā vā juhvaty aṣṭau gaṇān imān / adhyāpanaparikrītair aṃhasaḥ so 'pi mucyate
4.8.10	dhanenāpi parikrītair ātmapāpajighāṃsayā / hāvanīyā hy aśaktena nāvasādyaḥ śarīradhṛk
4.8.11	dhanasya kriyate tyāgaḥ karmaṇāṃ sukṛtām api / puṃso 'nṛṇasya pāpasya vimokṣaḥ kriyate kvacit
4.8.12	vimukto vidhinaitena sarvapāpārṇasāgarāt / ātmānaṃ manyate śuddhaṃ samarthaṃ karmasādhane
4.8.13	sarvapāpārṇamuktātmā kriyā ārabhate tu yāḥ / ayatnenaiva tāḥ siddhiṃ yānti śuddhaśarīriṇaḥ
4.8.14	prājāpatyam idaṃ puṇyam ṛṣiṇā samudīritam / idam adhyāpayen nityaṃ dhārayecchṛṇute 'pi vā / mucyate sarvapāpebhyo brahmaloke mahīyate
4.8.15	yān siṣādhayiṣur mantrān dvādaśāhāni tāñ japet / ghṛtena payasā dadhnā prāśya niśy odanaṃ sakṛt
4.8.16	daśavāraṃ tathā homaḥ sarpiṣā savanatrayam / pūrvasevā bhaved eṣāṃ mantrāṇāṃ karmasādhane / mantrāṇāṃ karmasādhana iti
