#Text:Bhāradvājaśrautasūtra
#Edition:Kashikar
#Data entry:F. Voegeli
#Notes:Sandhis around Mantras restored. 13.13ff. digitized and proofread by O. Hellwig.



1.1.1	darśapūrṇamāsau vyākhyāsyāmaḥ
5.12.21	sahādiṣṭadakṣiṇābhiḥ saṃcakṣītety ekam
5.13.1	anyatrādiṣṭadakṣiṇābhya ity aparam
5.13.2	yady anāḍhyo 'gnīn ādadhītāpy ekāṃ gāṃ dakṣiṇāṃ dadhyāt
5.13.3	siddham iṣṭiḥ saṃtiṣṭhate
5.13.4	sāyam agnihotraṃ hoṣyan daśahotāraṃ manasānudrutyāhavanīye sagrahaṃ juhoti
5.13.5	dvādaśāham ajasreṣv agnihotraṃ juhoti
5.13.6	vratacārī bhavati
5.13.7	dvādaśa rātrīḥ svayaṃ juhuyād anyo vā
5.13.8	na pravaset
5.13.9	ahataṃ vāso vasīta
5.13.10	svayaṃ trayodaśīṃ juhuyāt
5.13.11	yāṃ prathamām agnihotrāya gāṃ duhanti sāgnihotrasya dakṣiṇā
5.13.12	agnihotram etābhir vyāhṛtībhir upasādayed bhūr bhuvaḥ suva iti
5.13.13	saṃvatsare paryāgata etābhir eva sādayet
5.13.14	prathama eva saṃvatsara ity āśmarathyaḥ / saṃvatsare saṃvatsara ity ālekhanaḥ
5.13.15	dvādaśasu vyuṣṭāsu tanuhavīṃṣi nirvapati
5.13.16	agnaye pavamānāya puroḍāśam aṣṭākapālam / triṃśan mānaṃ hiraṇyaṃ dakṣiṇā
5.13.17	siddham iṣṭiḥ saṃtiṣṭhate
5.13.18	tato 'gnaye pāvakāyāgnaye śucaye / triṃśanmānacatvariṃśanmāne hiraṇye dakṣiṇā
5.13.19	siddham iṣṭiḥ saṃtiṣṭhate
5.13.20	kāmam eva śvo bhūte tanuhavīṃṣi nirvapet
5.13.21	kāmam ardhamāse māsy ṛtau saṃvatsare / sadya ity ekeṣām
5.13.22	samānatantrāṇi vāgneyena syuḥ
5.13.23	vijñāyate na somena yakṣyamāṇaḥ
5.14.1	purā saṃvatsarāt tanuhaviṃṣi nirvapet
5.14.2	api vāgnaye pavamānāyāgnaye pāvakāyāgnaye śucaya ājyāhutīr hutvā somadevatābhyo vā nirvapet
5.14.3	upariṣṭāt tanuhavirbhyo 'gnīṣomīyam ekādaśakapālam anunirvapaty aindrāgnam ekādaśakapālam adityai ghṛte carum
5.14.4	agnīṣomīyo brāhmaṇasyaiva syān netarayor varṇayoḥ
5.14.5	samānam ā phalīkaraṇāt
5.14.6	phalīkṛtānāṃ taṇḍulānāṃ vibhāgamantreṇa caravyān apoddharati
5.14.7	sahetarān pinaṣṭi
5.14.8	samānamā kapālopadhānāt
5.14.9	aindrāgnasya kapālāny upadhāya prathamena kapālamantreṇa carusthālīm upadadhāti
5.14.10	dhruvo 'sīti mantraṃ saṃnamati / dhruvāsīti vā
5.14.11	piṣṭānām āvṛtā taṇḍulān saṃvapaty utpunāti
5.14.12	yajuṣājyam utpūya carusthālyām ānayati
5.14.13	yathādhikaraṇaṃ mantraṃ namati
5.14.14	adhiśrayaṇamantreṇa caravyān āvapati
5.14.15	sthālyaiva carum āsādayati
5.14.16	eṣa evāta ūrdhvaṃ carūṇāṃ kalpo bhavaty anyatrājyagrahaṇāt
5.14.17	saptadaśa sāmidhenyo bhavanti
5.14.18	samānam ā haviṣāṃ pradānāt
5.15.1	ādityaṃ hutam anumantrayate 'ditya ahaṃ devayajyayā yajñena pratiṣṭāṃ gameyam iti
5.15.2	evam eva sarvān ādityān anumantrayate
5.15.3	ādityasya havir ucchiṣṭaṃ caturdhākaraṇakāle sarvaṃ brahmaṇe pariharati
5.15.4	taṃ catvāra ārṣeyā ṛtvijaḥ prāśnanti
5.15.5	tebhyaḥ prāśitav adbhyo dhenuṃ varaṃ dadāti
5.15.6	upāṃśudevatā āgnyādheyikā iṣṭayo bhavantīty ekeṣām
5.15.7	siddham iṣṭiḥ saṃtiṣṭhate
5.15.8	darśapūrṇamāsāv ārapsyamāṇaḥ sārasvatau homau purastāj juhuyāt purṇā paścāt // yat te devā adadhur iti dvābhyām
5.15.9	anvārambhaṇīyām iṣṭiṃ nirvapati
5.15.10	āgnavaiṣṇavam ekādaśakapālaṃ sarasvatyai caruṃ sarasvate dvādaśakapālam
5.15.11	agnaye bhagine puroḍāśam aṣṭākapālaṃ caturthaṃ nirvaped bhagakāmaḥ
5.15.12	samānam ā haviṣāṃ pradānāt
5.15.13	sārasvataṃ hutam anumantrayate sarasvatyā ahaṃ devayajyayā vācam annādyaṃ puṣeyam iti
5.15.14	evam eva sarvān sarasvatīdevatān anumantrayate
5.15.15	tasya purastāt sviṣṭakṛto jayān juhoti cittaṃ ca cittiś ceti dvādaśa / prajāpatir jayān indrāya vṛṣṇe prāyacchad iti trayodaśīṃ juhuyāt
5.16.1	agne baladeti caturdaśīṃ brahmavarcasakāmasya
5.16.2	citraṃ tasya janatāyāṃ bhavati / śavalam iva tv asyātmana jāyate
5.16.3	mithunau gāvau dakṣiṇā
5.16.4	siddham iṣṭiḥ saṃtiṣṭhate
5.16.5	darśapūrṇamāsāv ārabhamāṇaś caturhotāraṃ manasānudrutyāhavanīye sagrahaṃ juhoti
5.16.6	darśapūrṇamāsāv ārabhate
5.16.7	paurṇamāsīṃ pūrvam
5.16.8	amāvāsyāyām ādadhānasyaitad avikṛtam
5.16.9	paurṇamāsyāṃ tu pūrvasmin parvaṇi seṣṭi sānvārambhaṇīyaṃ sadyo 'pavṛjya
5.16.10	śvo bhūte paurṇamāsena yajate
5.16.11	athaitāny āhitāgnivratāni bhavanti
5.16.12	nānṛtaṃ vadet
5.16.13	nāsya brāhmaṇo 'nāśvān gṛhe vaset
5.16.14	sūryoḍḍham atithiṃ vasatyai nāparundhyāt
5.16.15	na sāyam ahute 'gnihotre 'śnīyāt
5.16.16	na prātar ahute
5.16.17	na naktam anyad annādyād dadyāt
5.16.18	naktam annaṃ dadann adayīta
5.16.19	na rjīṣapakvasyāśnīyāt
5.16.20	klinnaṃ dāru nādadhyāt
5.16.21	antarnāvyāpastāsāṃ nāśnīyāt
5.16.22	svakṛta iriṇe nāvasyet
5.16.23	rajataṃ hiraṇyaṃ barhiṣi na dadyāt
5.16.24	tūṣṇīṃ hiṃkṛtya striyam upeyāt
5.17.1	punarādheyaṃ vyākhyāsyāmaḥ
5.17.2	tasyāgnyādheyena kalpo vyākhyātaḥ
5.17.3	vikārān anukramiṣyāmaḥ
5.17.4	yo 'gnyādheyena nadhnoti sa punarādheyam ādhatta iti vijñāyate
5.17.5	jyānyāṃ putram artyāyāṃ yadaivāhitāgnir aṅgena vidhur atāmiyād athādadhītety ekeṣām
5.17.6	prajākāmaḥ punarādadhīta paśukāmaḥ punarādhītān nādyakāmaḥ punarādadhīta pratiṣṭhākāmaḥ punar ādadhīteti vijñāyate
5.17.7	yāvaj jīvaṃ punarādheyasya kālo nātyetīty āśmarathyaḥ / saṃvatsaram ity ālekhanaḥ
5.17.8	āgneyam aṣṭākapālaṃ nirvaped vaiśvānaraṃ dvādaśakapālam agnim udvāsayiṣyan
5.17.9	tasya purastāt sviṣṭakṛṭa etā āhutir juhoti yā te agne utsīdataḥ pavamānā paśuṣu priyā tanus tayā saha pṛthivīm āviśa / rathantareṇa sāmnā gāyatreṇa chandasā svāhā
5.18.1	yā te agna utsīdataḥ pāvakāpsu priyā tanūs tayā sahāntarikṣam āviśa / vāmadevyena sāmnā traiṣṭubhena chandasā / tato na iṣam ūrjam ākṛdhi gṛhamedhaṃ ca vardhaya svāhā // yā te agna utsīdataḥ sūrye śuciḥ priyā tanūs tayā saha divam āviśa / bṛhatā sāmnā jāgatena chandasā / tato na vṛṣṭyāvadhi svāhā // yās te agne vibhaktīr indraḥ sūkara ābharat
5.18.2	paurṇamāsyāṃ jvalato 'gnīn udvāsayati
5.18.3	saṃvatsaram avasṛṣṭāgniḥ syād ity ekam / aparimitam ity aparam
5.19.1	athaitāni punarādheyanakṣatrāṇe rohiṇī punarvasū anūrādhā iti
5.19.2	varṣāsu śaradi vādadhīta
5.19.3	madhyaṃdina ādheya iti vijñāyate
5.19.4	sarvān madhyaṃdina ādadhītety ekam / āhavanīyaṃ sabhyāvasathyāv ity aparam
5.19.5	samānam ā gārhapatyasyādhānāt
5.19.6	sarvābhiḥ sarparajñībhir gārhapatyam ādadhāti
5.19.7	samānam āhavanīyasyodyamāt
5.19.8	upolavā darbhā bhavanti parukṇāḥ saṃvatsarapravātāḥ / teṣām idhmam ādīpyāhavanīyam udyacchate
5.19.9	yat tvā kruddhaḥ parovapety anvāhāryapacana ādadhāti
5.19.10	yat te manyuparoptasyety āhavanīyam
5.19.11	mano jyotir juṣatām ity āhitam āhitam upatiṣṭhate
5.19.12	samānam ā tūṣṇīm agnihotrāt
5.19.13	sapta te agne samidhaḥ sapta jihvā iti tūṣṇīm agnihotraṃ juhoti
5.19.14	samānam ā nirvapaṇāt
5.19.15	āgneyaṃ pañcakapālaṃ nirvapati
5.19.16	sa eṣo 'ṣṭākapalāsya sthānaṃ pratyeti
5.19.17	pañcadaśa sāmidhenyo bhavanti saptadaśa vā
5.19.18	yat prāg uttamād anūyājāt tenopāṃśu pracaranty anyatra sviṣṭakṛtaḥ
5.19.19	samānam ā prayojebhyaḥ
5.19.20	caturṣu prayājeṣu catasro vibhaktīr dadhāti
5.20.1	agnāgne 'gnāv agne 'gnināgne 'gnim agna iti
5.20.2	upariṣṭād yeyajāmahād dadhyād ity ekam / purastād āmantraṇīyāt padād ity aparam
5.20.3	yaṃ kāmayeta rdhnuyād iti tasyopariṣṭāt prayājānāṃ vibhaktīr dadhyāt purastād vaṣaṭkārāt
5.20.4	svayaṃsaṃpanna uttamaḥ prayājaḥ
5.20.5	samānam ājyabhāgābhyām
5.20.6	budhanvānāgneya ājyabhāgo bhavaty agniṃ stomena bodhayeti
5.20.7	pavamānavān saumyo 'gna āyūṃṣi pavasa iti
5.20.8	juṣāṇo agniḥ pavamāna ājyasya haviṣo vetv iti yajati
5.20.9	agnir mūrdheti saumyasya loke kuryāt prajākāmaḥ paśukāmo vā
5.20.10	agne tam adyeti paṅktyo yājyānuvākyā bhavanti / dve haviṣo dve sviṣṭakṛtaḥ
5.20.11	punar ūrjā // saha rayety abhitaḥ puroḍāśam āhutī juhoti
5.20.12	samānam ā dakṣiṇākālāt
5.20.13	ubhayīr dakṣiṇā dadāty āgnyādheyikīḥ paunar ādheyikīś ca
5.20.14	tā imāḥ punarādheyadakṣiṇāḥ
5.21.1	punar niṣkṛto rathaḥ punar utsyūtaṃ vāsaḥ punar utsṛṣṭo 'naḍvān śatamānaṃ hiraṇyam iti
5.21.2	samānam ānūyājebhyaḥ
5.21.3	dvayor anūyajayor dve vibhakti dadhāti deve agnau devo agnir iti
5.21.4	vyākhyāto vibhaktilokaḥ
5.21.5	svayaṃsaṃpanna uttamo 'nūyājaḥ
5.21.6	siddham iṣṭiḥ saṃtiṣṭhate
5.21.7	āgnivāruṇam ekādaśakapālam anunirvapati
5.21.8	sa eṣo 'gnīṣomīyasya sthānaṃ pratyeti
5.21.9	sarveṣāṃ vānunivapyāṇām
5.21.10	saṃtiṣṭhate punarādheyam
5.21.11	ya ūrdhvaṃ punarādheyād agnim ādadhīta sa etān homān juhuyād lekaḥ salekaḥ suleka iti
5.21.12	ta ima āgnyādheyikānāṃ darvihomānāṃ sthānaṃ pratiyanti
5.21.13	yad araṇyoḥ samārūḍho naśyet punarādheyaṃ kurvītety āśmarathyaḥ / agnyādheyam ity ālekhanaḥ
5.21.14	yasyobhāv anugatāv abhi vediyād abhi vāstamiyāt punarādheyam eva kurvīta
6.1.1	agnyupasthānaṃ vyākhyāsyāmaḥ
6.1.2	ādhānavelāyāṃ patnī ca yajamānaś ca vratacāriṇau bhavata ā homāt
6.1.3	unnīyamāne yajamāno 'nucaṅkramyata ā homāt
6.1.4	unnīyamāne stheyam ity ekeṣām
6.1.5	vidyud asi vidya me pāpmānam ṛtāt satyam upaimi śraddhā mayīti hoṣyann apa upaspṛśet
6.1.6	vṛṣṭir asi vṛśca me pāpamānam ṛtāt satyam upāgām apsu śraddheti hutvā
6.1.7	evam eva sarveṣu yajñakratuṣu yakṣyamāṇaś ceṣṭvā cāpa upaspṛśati
6.1.8	uttarām āhutim anutthāya kavātir yaṅṅ ivāhavanīyam upatiṣṭhata upaprayanto adhvaram ity etābhiḥ ṣaḍbhiḥ
6.1.9	mamāgne varco vihaveṣv astv iti caitābhiś catasṛbhir aparapakṣe
6.1.10	atha pūrvapakṣa ubhā vām indrāgnī āhuvadhyā ity etām apohyetarābhir upasthāyānyaṃ divo mātar iśvā jabhārety etayāntata upatiṣṭhate
6.1.11	saṃvatsare saṃvatsara āgnipāvamānībhir gārhapatyam upatiṣṭhate
6.1.12	agna āyūṃṣi pavasa ity etābhiḥ ṣaḍbhir āhavanīyam upatiṣṭhate
6.2.1	āyur agne 'sy āyur me dehīti pratipadya citrāvaso svasti te pāramaśīyeti sāyam upatiṣṭhate / arvāg vasosvasti te pāramaśīyeti prātaḥ prātar avanekena
6.2.2	triś citrāvasunopatiṣṭhate trir arvāgvasunā
6.2.3	āhavanīye samidha ādadhāty agneḥ samid asy abhiśastyā mā pāhīti prathamām / somasya samid asi paraspā ma edhīti dvitīyam / yamasya samid asi mṛtyor mā pāhīti tṛtīyam / indhānās tvā śataṃ himā iti caturthīm ādhāyopatiṣṭhate saṃ tvam agne sūryasya varcasāgathā ity anuvākaśeṣeṇa
6.2.4	mukhaṃ vimṛṣṭe vayaṃ soma vrate tava manas tanūṣu bibhrataḥ / prajāvanto aśīmahi // iti
6.2.5	goṣṭham upatiṣṭhate saṃ paśyāmi prajā aham iti pratipadya bahvīr me bhūyāstety antena
6.2.6	antarāgnī tiṣṭhan japatīty ekeṣām
6.2.7	saṃhitāsi viśvarūpīr iti vatsam abhimṛśya gārhapatyam upatiṣṭhata upa tvāgne divediva ity etābhiḥ ṣaḍbhiḥ
6.3.1	goṣṭham upatiṣṭhata ūrjā vaḥ paśyāmy ūrjā mā paśyatet pratipadya mayi vo rāyaḥ śrayantām ity antena
6.3.2	vatsam abhimṛśatīty ekeṣām
6.3.3	āhavanīyam upatiṣṭhate tat savitur vareṇyam iti pratipadya bhettāraṃ bhaṅgur āvata ity antena
6.3.4	gārhapatyam upatiṣṭhate 'gne gṛhapata iti pratipadya śataṃ himā ity antena
6.3.5	putrasya nāma gṛhṇāti
6.3.6	vyākhyāto jātaputrakalpaś cājātaputrakalpaś ca
6.3.7	tata āhācchinno daivyas tantur mā manuṣyaś chedi / divyād dhāmno mā chitsi mā mānuṣād iti
6.3.8	agnīn upasamidhya jyotiṣe tantave tvety antarāgnī upaviśati
6.3.9	evam eva sāyam agnyupasthānenopatiṣṭhate
6.3.10	prātar avanekena prātaḥ
6.3.11	adhiśrita unnīyamāne vā hastāv avanenijīta yā avanejanapravādā ṛcaḥ
6.3.12	avaśiṣṭābhir āhavanīyam upatiṣṭhate
6.3.13	purastād agnīṣomīyāyā vihavyasya catasra uttarā ṛco japed āgneyasya ca dve yājyānuvākye
6.3.14	vyāhṛtībhir agnyupasthānam eke samāmananti
6.4.1	bhartuṃ vā śakeyam ity eke
6.4.2	bhartuṃ vā śakeyam / śraddhā me mā vyagād ity eke
6.4.3	vātsapreṇety eke
6.4.4	māhitreṇa tṛcenety eke mahi trīṇām avo 'stu dyukṣaṃ mitrasyāryamṇaḥ / durādharṣaṃ varuṇasya // na hi teṣām amā cana nādhvasu vāraṇeṣv ā / īśe ripur adhaśaṃsaḥ // te hi putrāso aditeś chardir yacchanty ajasram / pra dāśuṣe vāryāṇi // iti
6.4.5	evaṃvihitam evāsya pravaso 'gnyupasthānaṃ bhavati
6.4.6	etāvan nānā yāni saṃspṛśya karmāṇy adhvaryus tāni kuryāt
6.4.7	yajamānaḥ kāle tāṃ diśam abhimukho mantrān japet
6.4.8	agnīn samādhehīty āha pravasatham eṣyan
6.4.9	bhāsvato virājakramair upatiṣṭhate yathāgnyādheye
6.4.10	āhavanīye samidham ādadhāti mama nāma prathamaṃ jātaveda ity etayā
6.4.11	antaragnī tiṣṭhan japatīmān me mitrāvaruṇā gṛhān gopāyataṃ yuvam / avaniṣṭan avihrutān pūṣainān abhirakṣatv āsmākaṃ punar āgamāt // iti
6.5.1	vāgyato 'bhipravrajati mā pra gāma patho vayaṃ mā yajñād indra sominaḥ / māntaḥ sthuno arātayaḥ // ud asmāṃ uttarān nayāgne ghṛtenāhuta / rāyaspoṣeṇa saṃmṛja prajayā ca bahūn kṛdhi // iti
6.5.2	sakāśe 'gnīnāṃ vācaṃ yacchaty asakāśe visṛjate
6.5.3	vratacārī pravasati
6.5.4	ṛtuṃ pratyupatiṣṭhate
6.5.5	yady anupasthitāgniḥ pravasate tatraiva sann upatiṣṭhata ihaiva san tatra sato vo agnayaḥ prāṇena vācā manasā bibharmi / tiro mā santam āyur mā prahāsīt / jyotiṣā vo vaiśvānareṇopatiṣṭhe // iti
6.5.6	samidhaḥ kṛtvāgnīn abhyaiti viśvadānīm ābharanto 'nātureṇa manasā / agne mā te prativeśā riṣām // namas te astu mīḍhuṣe namas ta upasadvane / agne śumbhasva tanvaḥ saṃ mā rayyā sṛja // iti
6.5.7	asakāśe 'gnīnāṃ vācaṃ yacchati sakāśe visṛjate
6.5.8	agnīn samādhehīty āha pravasathād etya
6.5.9	bhāsvato virājakramair upatiṣṭhate yathāgnyādheye
6.5.10	ajūgupa iti mantraṃ saṃnamati
6.6.1	imān me mitrāvaruṇā gṛhān ajūguptaṃ yuvam / avinaṣṭān avihrutān pūṣainān abhyarākṣīd āsmākaṃ punar āgamāt // iti
6.6.2	āhavanīye samidha ādadhāty agneḥ samid asīti tisraḥ
6.6.3	ādhāyopatiṣṭhate mama nāma tava ca jātaveda ity etābhiś catasṛbhiḥ
6.6.4	proṣuṣa āhutiṃ juhoti mano jyotir juṣatām ity etayā
6.6.5	nārvāg daśamyai juhuyāt
6.6.6	atha yatra navāvarārdhyā rātrīr uṣitvā sagṛhaḥ prayāyāt tat sarvaṃ samavadhāya sarvāṇy anyāni śakaṭāni yuktāni bhavanti
6.6.7	athāgniṣṭhasya dakṣiṇo yukto bhavati savyo 'yuktaḥ
6.6.8	atha vāstoṣpatīyaṃ juhoti
6.6.9	vāstoṣpate prati jānīhy asmān ity etām anudrutyottarayā juhoti
6.6.10	na huta ādadhāti
6.6.11	avakṣāṇāni saṃprakṣāpya pṛthag araṇīṣv agnīn samāropayate yāvanto nityā dhāryante 'yaṃ te yonir ṛtviya ity ekaikam
6.6.12	api vā yā te agne yajñiyā tanūs tayehyārohety ātman samāropayate
6.6.13	mathiṣyan japaty upāvaroha jātaveda ity etām
6.6.14	yady anovāhaḥ syāt pūrvaṃ taṃ pravaheyur apa voddhareyuḥ
6.6.15	yad dhīyeta tan na tv evānuhareyur iti vijñāyate na tv evānuhareyur iti vijñāyate
6.7.1	agnihotraṃ vyākhyāsyāmaḥ
6.7.2	uddharāhavanīyam ity eva sāyaṃ yajamānaḥ saṃpreṣyati / uddharāhavanīyam iti prātaḥ
6.7.3	dhṛṣṭir asi brahma yacchety upaveṣam ādāyādhvaryur brahmacārī kṣīrahotā vā gārhapatyam abhimantrayate sugārhapatya ity etayā
6.7.4	athainam udbodhayaty udbudhyasvāgne prati jāgṛhyenam iṣṭāpūrte saṃsṛjethām ayaṃ ca / asmin sadhasthe adhyuttarasmin viśve devā yajamānaś ca sīdata // iti
6.7.5	purā chāyāsaṃbhedād gārhapatyāj jvalantam āhavanīyam uddharati vācā tvā hotrā prāṇenodgātrā cakṣuṣādhvaryaṇā manasā brahmaṇā śrotreṇāgnīdhaitais tvā pañcabhir daivyair ṛtvigbhir uddharāmīti
6.7.6	uddhriyamāṇe yajamāno japati bhūr bhuvaḥ suvar om uddhriyamāṇa uddhara pāpmano mā yad avidvān yac ca vidvāṃścakāra / ahlā yad enaḥ kṛtam asti pāpaṃ sarvasmān moddhṛto muñca tasmāt // iti sāyam / rātriyā yad enaḥ kṛtam asti pāpaṃ sarvasmān moddhṛto muñca tasmād iti prātaḥ
6.7.7	āhavanīyāyatane 'gniṃ pratiṣṭāpayaty amṛtāhutim amṛtāyāṃ juhomy agniṃ pṛthivyām amṛtasya jityai / tayānantaṃ kāmam ahaṃ jayāni prajāpatir yaṃ prathamo jigāya // agnim agnau svāhā // iti sāyam / sūryam agnau svāheti prātaḥ
6.8.1	svayaṃ yajamāna edhānāhṛtyāgniṣu mahata idhmānabhyādadhāti yad agne yāni kāni caitābhiḥ pañcabhiḥ pratimantram
6.8.2	āhavanīye varṣiṣṭham
6.8.3	nityo gārhapatyo dhāryate
6.8.4	sāyaṃ prātar āhavanīyam uddhareyuḥ
6.8.5	api vā sāyam uddhṛta eva syād ā prātar agnihotrāt
6.8.6	nityo gataśriya āhavanīyo dhāryate
6.8.7	āyuṣkāmasya vā
6.8.8	aharaharan vāhāryapacanam āhareyur mantheyur vā
6.8.9	nityo vā dhāryate
6.8.10	nityai sabhyāvasathyau
6.8.11	agnīn parisam ūhati / agne samrāṭ śundhasvety āhavanīyam / agne vahne śundhasvety anvāhāryapacanam / agne gṛhapate śundhasveti gārhapatyam
6.8.12	evam eva hutvā parisamūhati
6.8.13	agnīn paristṛṇāti / gārhapatyam agne 'thānvāhāryapacanam athāhavanīyam
6.8.14	agnihotrapātrāṇi prakṣālya dvandvaṃ prayunakty uttareṇa gārhapatyam / khadiraṃ sruvaṃ vaikaṅkatīm agnihotrahavaṇīm upaveṣam āryakṛtām agnihotrashtālīm urdhvakapālām acakravartām
6.8.15	astam ita āditye 'bhidhāya dakṣiṇato 'gnihotryā vatsam upasṛjati
6.8.16	athaināṃ prācīṃ vodicīṃ vāvartya sthālyā dohanena ca duhanti
6.8.17	na śūdro duhyād ity ekam / kāmam eva na śūdro duhyād ity aparam
6.8.18	agnihotraṃ tv eva na śūdro duhyāt / tadd hi pavitraṃ nātyetīti vijñāyate
6.9.1	pūrvau duhyāj jyeṣṭhasya jyaiṣṭhaneyasya yo vā purodhākāmo yo vā gataśrīḥ syāt / aparau duhyāt kaniṣṭhasya kāniṣṭhineyasya yo vā bubhūṣed yo vānujāvaraḥ syāt
6.9.2	pūrvau pūrvaṃ duhyāj jyeṣṭhasya jyaiṣṭhineyasya / aparau pūrvaṃ duhyāt kaniṣṭhasya kāniṣṭhineyasyety ekeṣām
6.9.3	yathākāmī nitye dohanakalpe
6.9.4	na saṃmṛśati
6.9.5	dugdhāharati
6.9.6	apareṇāhavanīyaṃ dakṣiṇātikramyopaviśati yajamāno yajamānāyatane / patnī patnīloke
6.9.7	tad ānīmas tam ita āditye nakṣatraṃ dṛṣṭvā pradoṣe vā sāyam agnihotraṃ juhoti
6.9.8	vyuṣṭāyām uṣasi vā prātar agnihotram / upodayam udite samayāviṣite vā / yarhi vāk pravadet tarhi hotavyam ity ekeṣām
6.9.9	yad udite juhoty agniṣṭomaṃ tenāvarunddhe / yan madhyaṃdina ukthyaṃ tena / yad aparāhṇe ṣoḍaśinaṃ tena / yat pūrvarātre jaghanyaṃ tena rātriparyāyam āpnotīti vijñāyate
6.9.10	sa na manyeta sarveṣv eteṣu kāleṣu hotavyam iti / āpadi hutam ity eva pratīyāt
6.9.11	agnīn pariṣiñcati / gārhapatyam agne 'thānvāhāryapacanam athāhavanīyam
6.10.1	ṛtaṃ tvā pariṣiñcāmīti sāyam / satyaṃ tvartena pariṣiñcāmīti prātaḥ
6.10.2	athaikeṣām / ṛtasatyābhyāṃ tvā pariṣiñcāmīti sāyam / satyartābhyāṃ tvā pariṣiñcāmīti prātaḥ
6.10.3	evam eva hutvā pariṣiñcati
6.10.4	gārhapatyāt prakramya saṃtatāṃ prācīm udadhārāṃ srāvayaty āhavanīyād yajñasya saṃtatir asi yajñasya tvā saṃtatyai nayāmi saṃtatyai tvā yajñasyeti
6.10.5	dhṛṣṭir asi brahma yacchety upaveṣam ādāya gārhapatyād udīco 'ṅgārān nirūhati bhūtakṛṭaḥ sthāpoḍhaṃ janyaṃ bhayam iti
6.10.6	vyantān kṛtvā teṣv agnihotram adhiśrayatīḍāyāḥ padaṃ ghṛtavac carācaraṃ jātavedo havir idaṃ juṣasva / ye grāmyāḥ paśavo viśvarūpās teṣāṃ saptānām iha rantir astu // iti
6.10.7	athainaṃ tṛṇenābhijvalayann avekṣata udbhavaḥ sthod ahaṃ paśubhir indriyeṇa bhūyāsam iti
6.10.8	yadā samuddhantaṃ bhavaty amnaradhiśritaṃ vātha sruveṇādbhiḥ prajanayati haras te mā vinaiṣam iti
6.10.9	apratiṣekyaṃ syāt tejaskāmasya brahmavarcasakāmasyāthābhicaratastitīrṣamāṇasyātho yaḥ kāmayeta vīro ma ājāyeteti
6.10.10	tathaiva tṛṇenābhijvālya triḥ paryagni karoty antar itaṃ rakṣo 'ntaritā arātaya iti
6.10.11	śrapayitvā karṣann ivodag udvāsayati gharmo 'si rāyaspoṣavanirihorjaṃ dṛṃheti
6.10.12	subhūtakṛtaḥ stha pratyūḍhaṃ janyaṃ bhayam iti gārhapatye 'ṅārān apisṛjya sāvitreṇa sruvam agnihotrahavaṇīṃ cādāya gārhapatye niṣṭapati pratyuṣṭaṃ rakṣaḥ pratyuṣṭā arātaya iti
