#Text:Vaikhānasaśrautasūtra
#Edition:Caland
#Data entry:F. Voegeli; sections 8-9, 11ff by O. Hellwig



1.1.1	athāgnyādheyaṃ vyākhyāsyāmaḥ
6.5.3	dvigotrasya trīṃs trīn ekaikasmād gotrād upalakṣayet
6.5.4	brahmaṇvad ā ca vakṣad iti pravaraśeṣaḥ
6.5.5	asāv iti hotur upāṃśu nāma gṛhṇāti mānuṣa ity uccaiḥ
6.5.6	āste hotā
6.5.7	vedyāṃ tṛṇam apisṛjati
6.5.8	devāḥ pitara iti hotradhvaryupravarayor yajamāno japati māṃ deveṣv āśrāvayāyuṣe varcasa iti cādhvaryupravaraḥ
6.5.9	ājyabhāgapradhānasviṣṭakṛtpatnīsaṃyājeṣu yājyāpuronuvākye yājyaiva prayājānūyājeṣu sarveṣv eteṣv āśrutapratyāśrute yājyāsaṃpraiṣaś ca
6.5.10	ye prastutās te svakarmaṇo 'nyatra tad anapavyāharantaḥ pracareyuḥ
6.6.1	avadyann avatte 'vadāsyan vottarato 'muṣmā anubrūhīti yathādevataṃ puronuvākyāṃ saṃpreṣyati
6.6.2	ākramya dakṣiṇata āśrāvya pratyāśrāvite 'muṃ yajeti yathādevataṃ yājyāṃ saṃpreṣyati
6.6.3	vaṣaṭkṛte vaṣaṭkriyamāṇe vā juhoti caturavattaṃ pañcāvattaṃ vā
6.6.4	pañcāvattaṃ jamadagnīnāṃ caturavattam itareṣām
6.6.5	aṅguṣṭhaparvamātrāṇi daivatāny avadānāni tebhyaḥ sthavīyāṃsi sauviṣṭakṛtāni tathaivaiḍāni tathā cāturdhākaraṇikāni
6.6.6	ghṛtavatīm adhvaryo srucam iti yatra hotur abhijānāti juhūpabhṛtāv ādāya sakṛd dakṣiṇātikrāntaḥ pañca prayājān prācaḥ pratidiśaṃ vā yajati
6.7.1	āśrāvya pratyāśrāvite samidho yajeti prathamaṃ prayājaṃ saṃpreṣyati yaja yajety uttarān
6.7.2	yajamānaś caturhotāraṃ vyākhyāya vasantam ṛtūṇāṃ prīṇāmīty etaiḥ prayājānāṃ hutaṃ hutam anumantrayate
6.7.3	adhvaryuḥ samidhaḥ purastāj juhuyāt tanūnapātaṃ dakṣiṇata iḍaḥ paścāt
6.7.4	ardham aupabhṛtam ājyaṃ juhvām ānīya barhir uttarato madhye svāhākāram
6.7.5	udaṅṅ atyākramya prayājaśeṣeṇa havīṃṣy abhighārayati yad anupūrvāṇi pradīyante
6.7.6	dhruvām abhighāryāgneyam abhighārayaty upabhṛtam antataḥ
6.7.7	ājyabhāgāv ājyahaviṣkau prabāhug jyotiṣy uttarārdhe 'gnaye dakṣiṇārdhe somāya
6.7.8	tāv antareṇetarā āhutīr juhoti
6.8.1	agnīṣomayor iti yajamānas tāv anumantrayate
6.8.2	adhvaryuḥ pratyākramya juhvām upastīrya mā bher mā saṃvikthā ity avadāsyan puroḍāśam abhimṛśati
6.8.3	pañcahotāraṃ yajamāno vyācakṣīta
6.8.4	adhvaryur māṃsasaṃhitābhyāṃ dakṣiṇānāmikāmadhyamābhyām aṅguṣṭhena cāṅguṣṭhaparvamātraṃ madhyāt puroḍāśasya tiraścīnam avadyati
6.8.5	pūrvārdhād dvitīyaṃ caturavattino 'nūcīnaṃ
6.8.6	tadvat paścārdhāt pañcāvattinas tṛtīyam
6.8.7	avadānāny abhighārya dhruvām āpyāyya yad avadānānīti haviḥ pratyabhighāryāgnaye 'nubrūhīti dakṣiṇātikramya vaṣaṭkāra ājyaṃ hutvā sruveṇa prastarabarhiḥ samajyāpidadhad ivāprakṣiṇan puroḍāśāvadānaṃ juhoti
6.8.8	ājyenāntato 'nvavasrāvayati
6.8.9	mukhena puroḍāśād itarā āhutīḥ srāvayati
6.8.10	pūrvāṃ pūrvāṃ saṃhitām āhutiṃ juhoti
6.8.11	srucyam āghāram abhijuhoti
6.8.12	agner aham iti hutam āgneyaṃ yajamāno 'numantrayate
6.9.1	ājyahaviṣkeṇopāṃśuyājena yajate
6.9.2	tasyoccair āśrutapratyāśrute yājyāpuronuvākyā saṃpraiṣau praṇava āgūr vaṣaṭkāraś cāto 'nyad upāṃśu
6.9.3	ājyasāṃnāyyayoḥ sruveṇāvadyati mekṣaṇena carūṇām
6.9.4	dabdhir asīty upāṃśuyājasya hutaṃ yajamānaḥ
6.9.5	yathādevatam uttareṇa puroḍāśenādhvaryuḥ pracarati
6.9.6	agnīṣomayor ahaṃ devayajyayā vṛtrahā bhūyāsam ity agnīṣomīyasya hutaṃ yajamāna indrāgnyor ahaṃ devayajyayendriyāvy annādo bhūyāsam ity aindrāgnasya hutam anumantrayate
6.9.7	adhvaryuḥ samavadāya sāṃnāyyābhyāṃ pracarati
6.9.8	dviḥ śṛtasyāvadyati dvir dadhnas tris triḥ pañcāvattinaḥ
6.9.9	indrasyāham ity aindrasya sāṃnāyyasya hutaṃ yajamāno 'numantrayate mahendrasyāham iti māhendrasyendrasya vaimṛdhasyeti vaimṛdhasya hutam
6.9.10	adhvaryur ṛṣabhaṃ vājinaṃ vayam amāvāsyā subhageti yathāliṅgaṃ vibhajya sruveṇa pārvaṇau homau juhoti
6.10.1	daśa te tanuvo yajñeti ṣaḍbhiḥ pratimantraṃ nāriṣṭhahomāñ juhoti
6.10.2	purastāt samiṣṭayajuṣa ity eke
6.10.3	juhvām upastīrya sarvebhyo havirbhya uttarārdhāt sakṛt sakṛt sviṣṭakṛte 'vadyati dviḥ pañcāvattino yad anupūrvāṇi pradīyante
6.10.4	dvir abhighārayati haviḥśeṣān
6.10.5	na pratyabhighārayati
6.10.6	asaṃsṛṣṭām itarābhir āhutibhir uttarārdhapūrvārdhe jyotiṣi juhoti
6.10.7	agneḥ sviṣṭakṛto 'ham iti yajamānaḥ sviṣṭakṛto hutam anumantrayate 'gnir mā duriṣṭāt pātv iti ca
6.10.8	adhvaryur udaṅṅ atyākramya juhvām apa ānīya vaiśvānare havir idaṃ juhomīti madhyamaṃ paridhiṃ pradakṣiṇam anupariṣiñcati
6.10.9	antaḥparidhi ninayatīty eke
6.10.10	srucau nidhāya sruveṇa tiryañcaṃ prāñcaṃ vāgneyaṃ virujyāṅguṣṭhenānāmikayā ca vyūhya madhyāt pippalamātraṃ yavamātraṃ vā jyāyo yavamātrād iti prāśitraṃ prāśitraharaṇe 'vadyati
6.10.11	evam avirujyottarasmāt puroḍāśād avadāyābhighārayati
6.10.12	āgneyād evāvadyatīty eke
6.10.13	mitrasya tveti brahmāvadīyamānaṃ prekṣate
6.11.1	tad apareṇa praṇītā nidhāyeḍāpātra upastīrya manunā dṛṣṭām iti caturavattāṃ pañcāvattāṃ vā sarvebhyo havirbhyaḥ sviṣṭakṛdvat prabhūtām iḍāṃ samavadyati dakṣiṇārdhāt puroḍāśasya pūrvam avadāya saṃbhedād dvitīyam
6.11.2	pūrvārdhād yajamānabhāgam aṇum iva dīrgham
6.11.3	ājyena tam abhyajya dhruvāyā agreṇa nidhāyābhighārayati
6.11.4	paścārdhāt tṛtīyaṃ pañcāvattinaḥ
6.11.5	evaṃ sarvasya haviṣaḥ
6.11.6	yo me 'nti dūra iti yajamānabhāge 'vadīyamāne yajamāno japati
6.11.7	iḍāṃ sakṛd abhighārya hotre 'dhvaryur āharati
6.11.8	surūpavarṣavarṇa ehīti yajamāna iḍām āhriyamāṇāṃ pratīkṣate
6.11.9	adhvaryur dakṣiṇena hotāram atikrāmaty anutsṛjan
6.11.10	hotādhvaryum iḍayā parigṛhṇāti
6.11.11	paścāt prāṅ āsīnaḥ sruveṇa hotur dviḥ pradeśinyaṅgulāv anakti parvaṇoḥ
6.11.12	sa tad avaghrāyāpa upaspṛśati
6.12.1	yathetaṃ pratyetya pratyag agreṇāsīno dakṣiṇe hotuḥ pāṇāv iḍāyā avāntareḍām avadyati
6.12.2	iḍālepād upastīrya prathamam adhvaryur avadyaty aṅguṣṭhaprabhṛtāṅgulīr antareṇa savyaṃ hotā dvitīyaṃ gṛhṇāti lepena cādhvaryur abhighārayati
6.12.3	dviḥ pañcāvattinaḥ
6.12.4	aṅguṣṭhenopasaṃkucyāmuṣṭiṃ kṛtvā mukhasaṃmitam iḍāpātraṃ dhārayamāṇam iḍopahutā saha divetīḍām upahūyamānaṃ hotāram adhvaryur agnīd yajamānaś cānvārabhante
6.12.5	iḍa ehy adita ehīty upāṃśūpahave yajamānaḥ sapta devagavīr japati
6.12.6	cid asi manāsīty uccair upahave sapta manuṣyagavīḥ
6.12.7	viśvā tvaṃ bhūtvetīḍām upahūyamānām anumantrayate
6.12.8	vāyav iḍā te māteti hotāram īkṣamāṇo vāyuṃ manasā dhyāyet
6.12.9	daivyā adhvaryur upahūto 'yaṃ yajamāna ity ucyamāne 'dhvaryuyajamānāv upahūtaḥ paśumān asānīti krameṇa japataḥ sā me satyāśīr ity āśiḥṣu yajamāna iḍāyā ahaṃ devayajyayety upahūtām iḍāṃ bhakṣāyāhriyamāṇām abhimantrayate
6.12.10	upahūtāyām iḍāyām agreṇāhavanīyam adhvaryur brahmaṇe prāśitraṃ pariharati pariharati
7.1.1	ṛtasya pathā paryehīti brahmā parihriyamāṇam abhimantrya sūryasya tvā cakṣuṣety āhriyamāṇaṃ pratīkṣya devasya tveti pratigṛhya pṛthivyās tvā nābhāv iti pṛthivyām āsādya suparṇasya tvā garutmata ity avekṣyāṅguṣṭhenānāmikayā copasaṃgṛhyātihāya dato 'gnes tvāsyena prāśnāmīti jihvāgre nidhāyāpaś ca brāhmaṇasyodareṇa bṛhaspater brahmaṇendrasya tvā jaṭhare sādayāmīti sahādbhir asaṃmletyābhigirati
7.1.2	yā apsv antar devatā ity apaḥ prāśyācamya ghasīnā me meti nābhim abhimṛśya vāṅ ma āsann iti yathāliṅgam indriyāṇi saṃmṛśyāriṣṭā viśvānīti sarvāṇy aṅgāni mayi prāṇāpānāv iti vā prāśitraharaṇaṃ prakṣālya pūrayitvā diśo jinveti parāñcaṃ ninayati
7.1.3	punar adbhiḥ pūrayitvā māṃ jinvety abhyātmaṃ ninayati
7.1.4	tasmin prāśite vācaspataye tvā hutaṃ prāśnāmi sadasaspataye tvā hutaṃ prāśnāmīti hotāvāntareḍāṃ prāśnāti
7.1.5	juṣṭir asīti prāśyamānāṃ yajamāno 'numantrayate
7.2.1	iḍe bhāgam iti yajamānapañcamā vāgyatā iḍāṃ bhakṣayanty ā mārjanāt
7.2.2	mano jyotir ity antarvedi pavitravati deśe mārjayante
7.2.3	āgneyaṃ caturdhā kṛtvā barhiṣadaṃ karoti
7.2.4	bradhna pinvasveti barhiṣadaṃ yajamāno 'numantrya diśāṃ kḷptir asīti pratidiśaṃ caturdhā kṛtān vyūhyedaṃ brahmaṇa idaṃ hotur idam adhvaryor idam agnīdha iti krameṇa vyādiśati
7.2.5	idaṃ yajamānasyety adhvaryur yajamānabhāgaṃ nirdiśya vyādiṣṭasyaikaṃ sthaviṣṭham agnīdhe ṣaḍavattaṃ karoti
7.2.6	sakṛd upastīrya sakṛd avadyati
7.2.7	punar upastīrya sakṛd avadāya tayor dvir abhighārayati
7.2.8	divo bhāgo 'sīty āgnīdhraḥ prāśnāti
7.2.9	upahūto dyauḥ piteti dvābhyām agnīdhrabhāgaṃ yajamāno 'numantrayate
7.2.10	brahmayajamānabhāgāv adhvaryuḥ pṛthag dārupātrābhyām ādāya vedena pariharaty anyena dārupātreṇa hotre
7.3.1	anyenādhvaryave
7.3.2	pṛthivyai bhāgo 'sīti hotābhyavaharaty antarikṣasya bhāgo 'sīty adhvaryur divo bhāgo 'sīti brahmā saṃsthite 'bhyavaharati
7.3.3	dakṣiṇāgnau pakvaṃ mahāntam aparimitam anvāhāryam odanam abhighāryodag udvāsyāntarvedy āsādayati
7.3.4	brahman brahmāsīty āsannaṃ brahmābhimṛśati bradhna pinvasvety āntād anuvākasyeyaṃ sthālīti ca yajamānaḥ
7.3.5	dakṣiṇasadbhya upahartavā ity adhvaryuḥ saṃpreṣyati dakṣiṇata eteti yajamānaḥ
7.3.6	brāhmaṇā ayaṃ va odana iti dakṣiṇatas tebhyo 'nvāhāryaṃ caturdhā vibhajya dakṣiṇāṃ dadāti
7.3.7	pratigṛhītāyām adhvaryur uttarataḥ parīteti saṃpreṣyati
7.3.8	haviḥśeṣān udvāsyānūyājārthāv aṅgārau pratyūhya brahman prasthāsyāmaḥ samidham ādhāyāgnīt paridhīṃś cāgniṃ ca sakṛt sakṛt saṃmṛḍḍhīti saṃpreṣyati
7.3.9	deva savitar etat ta iti brahmaṇā prasūta eṣā te agna ity anūyājasamidham agnīdhra ādadhāti
7.3.10	ādhīyamānām etenaiva yajamāno 'numantrayate yaṃ te agna āvṛścāmīti tisṛbhiḥ samiddham agnim
7.4.1	sphyād unmucyedhmasaṃnahanair anuparikrāmann āgnīdhraḥ pūrvavat paridhīn agniṃ ca sakṛt sakṛt saṃmārṣṭi
7.4.2	agne vājajid vājaṃ tvā sasṛvāṃsam iti mantraṃ saṃnamati
7.4.3	idhmasaṃnahanāny adbhiḥ saṃspṛśya yo bhūtānām adhipatir ity agnau praharati
7.4.4	vedir barhiḥ śṛtaṃ havir iti yajamāno japati
7.4.5	saptahotāraṃ purastād anūyājebhyo vyācakṣīta
7.4.6	upabhṛdājyaśeṣam adhvaryur juhvām ānīyāpareṇāhavanīyaṃ sakṛd eva dakṣiṇātikramya trīn anūyājān yajati
7.4.7	āśrutapratyāśrute devān yajeti prathamam anūyājaṃ saṃpreṣyati yaja yajety uttarau
7.4.8	samidhi pūrvārdhe prathamaṃ juhoti madhye dvitīyaṃ prāñcam uttamaṃ
7.4.9	tenottarau pūrvāv anūyājau bhinatti
7.4.10	barhiṣo 'ham ity etaiḥ pratimantraṃ yajamāno 'nūyājānāṃ hutaṃ hutam anumantrayate
7.5.1	udaṅṅ atyākramyādhvaryur yathāyatanaṃ srucau sādayitvā vājasya mā prasavenety anuṣṭugbhyāṃ vājavatībhyāṃ vyūhati
7.5.2	vājasya mā prasaveneti dakṣiṇenottānena pāṇinā saprastarāṃ juhūm udgṛhṇāti
7.5.3	athā saptnāṁ indro ma iti nīcā savyenopabhṛtaṃ nigṛhṇāti
7.5.4	udgrābhaṃ ceti juhūm udgṛhya nigrābhaṃ cety upabhṛtaṃ nigṛhṇāti
7.5.5	brahma devā avīvṛdhann iti prācīṃ juhūm ūhati
7.5.6	athā sapatnāṁ indrāgnī ma iti pratīcīm upabhṛtam ūhati
7.5.7	etābhyām eva yajamānaḥ srucāv anumantrayate
7.5.8	adhvaryur upabhṛtaṃ prokṣyāhṛtya vasubhyas tveti tribhiḥ pratimantraṃ juhvā paridhīn yathādhānam anakti
7.5.9	vasūn devān yajñenāpipremeti tribhiḥ pratimantram etān abhyajyamānān yajamānaḥ
7.5.10	anyatra prastarād adhvaryur juhūṃ sādayitvā saṃjānāthām iti vidhṛtībhyāṃ prastaram ādāya barhiṣi vidhṛtī nidhāya srukṣu prastaram anakti
7.5.11	aktaṃ rihāṇā iti juhvām agrāṇi viyantu vaya ity upabhrti madhyāni prajāṃ yoniṃ mā nirmṛkṣam iti dhruvāyāṃ mūlāni
7.5.12	evaṃ punar anakti
7.5.13	tṛtīye dhruvāyām ādito mūlāni madhyāny upabhṛti juhvām antato 'grāṇi
7.6.1	samaṅktām ity ajyamānaṃ yajamāno 'numantrayate
7.6.2	adhvaryur aktasya tṛṇam apādāya surakṣitaṃ nidadhāti
7.6.3	apiprer iti tad yajamāno 'numantrayate
7.6.4	dakṣiṇottarābhyāṃ pāṇibhyām adhvaryuḥ prastaraṃ gṛhītvā juhvāṃ pratiṣṭhāpyāsīna āśrāvya pratyāśrāvita iṣitā daivyā hotāra iti saṃpreṣyati
7.6.5	idaṃ dyāvāpṛthivī bhadram iti hotrā sūktavāke 'nūcyamāna āpyāyantām āpa iti saha śākhayā prastaram āhavanīye praharati
7.6.6	nātyagraṃ praharen na purastāt pratyasyed ūrdhvam udyauti
7.6.7	karṣann iva nyañcam antataḥ paryāvartayann agnīd gamayeti saṃpreṣyati
7.6.8	añjalināgnīt prastaraṃ trir ūrdhvam udyauti
7.6.9	sūktavāke hotā yāṃ yāṃ devatām anubrūte 'gner aham ujjitim anūjjeṣam ity etais tāṃ devatāṃ yajamāno 'numantrayate
7.6.10	yarhi hotā yajamānasya nāma gṛhṇīyāt tarhy emā agmann āśiṣo dohakāmā iti brūyāt
7.6.11	anupraharety adhvaryuḥ saṃpreṣyati
7.6.12	svagā tanubhya iti prastarasya tṛṇam agnīd anupraharati
7.6.13	etad etad iti trir aṅgulyā nirdiśati
7.6.14	divaḥ khīlo 'vatata ity anuprahṛtaṃ yajamāno 'numantrayate
7.7.1	āyuṣpā agne 'sīty adhvaryur yathārūpaṃ prāṇāyatanāni saṃmṛśya dhruvāsīti vedim abhimṛśyāgnīd ity āgnīdhram īkṣate
7.7.2	saṃvadasvety āgnīdhraḥ
7.7.3	agā3nn agnīd ity adhvaryur āha
7.7.4	agann ity āgnīdhraḥ
7.7.5	madhyamaṃ paridhim anvārabhya śrāvayety adhvaryuḥ
7.7.6	śrauṣaḍ ity āgnīdhraḥ
7.7.7	svagā daivyā hotṛbhyaḥ svastir mānuṣebhyaḥ śaṃyor brūhīti saṃpreṣyati
7.7.8	tacchaṃyor iti śamyuvāke hotrocyamāne yaṃ paridhim iti madhyamaṃ vimucyāgnau praharati
7.7.9	vi te muñcāmīti yajamāno vimuñcati
7.7.10	yajñasya pātha upasamitam iti dakṣiṇottarau paridhī yugapat pāṇibhyām adhvaryuḥ praharann uttarasyāgraṃ madhyamasyādho 'ṅgāreṣūpohati dakṣiṇasyāgram upari
7.7.11	viṣṇoḥ śaṃyor ahaṃ devayajyayeti śamyuvāke yajamāno 'bhimantrayate
7.7.12	yajamānaṃ prathatety adhvaryuḥ prahṛtān paridhīn abhimantrya juhvā bila upabhṛto 'gram avadhāya saṃsrāvabhāgāḥ stheti srucor ājyaśeṣam agnau saṃsrāvayati
7.7.13	yajña śaṃ ca me yajña namas te yajñeṣṭo yajño bhṛgubhir iti ca yajamānaḥ saṃsrāvabhāgān devān anumantrayate
7.7.14	yat kāmayate tad abhivadati
7.7.15	haviḥśeṣān prāśnāti
7.8.1	vedo 'si vittir asīti vedam antarvedy āsannaṃ yajamāno 'bhimṛśati videyety etasya purastād yad yad bhrātṛvyasyābhidhyāyet tasya nāma gṛhṇīyāt tad evāsya sarvaṃ vṛṅkte
7.8.2	sasruvām ājyasthālīm āgnīdhra ādatte vedaṃ hotā juhūpabhṛtāv adhvaryuḥ
7.8.3	patnīḥ saṃyājayiṣyantaḥ pratyañco yanti
7.8.4	pūrveṇa gārhapatyam adhvaryur dakṣiṇātikramyāgner vām apannagṛhasyeti yugadhuri srucau vimuñcati
7.8.5	yadi pātryā nirvapaty etenaiva sphye vimucya
7.8.6	apareṇa gārhapatyam upaviśyopāṃśūccair vā srugbhyāṃ patnīḥ saṃyājayati vedaṃ vopabhṛtya patnyām anvārabdhāyāṃ dakṣiṇe 'dhvaryur uttara āgnīdhro madhye hotā
7.8.7	ājyasthālyāḥ sruveṇa juhvāṃ caturgṛhītaṃ gṛhītvā somāyānubrūhīti saṃpreṣyāśrāvya pratyāśrāvite somaṃ yajeti saṃpreṣya vaṣaṭkṛta uttarārdhe somaṃ japati
7.9.1	etayaivāvṛtā dakṣiṇārdhe tvaṣṭāraṃ tāv antareṇa devapatnīr yajati pariśrite 'pariśrite vā
7.9.2	caturgṛhītenājyena rākāṃ putrakāmo yajeta sinīvālīṃ paśukāmaḥ kuhūṃ puṣṭikāmaḥ
7.9.3	devānāṃ patnībhyo 'nubrūhīti saṃpreṣyati
7.9.4	āśrāvya pratyāśrāvite devapatnīr iṣṭvāgniṃ gṛhapatiṃ yajati
7.9.5	saṃ patnī patyeti sruveṇa gārhapatye saṃpatnīyaṃ juhoti tayānvārabdhena sruveṇa vā
7.9.6	somasyāhaṃ devayajyayeti yajamānaḥ pratimantraṃ patnīsaṃyājānāṃ hutaṃ hutam anumantrayate
7.9.7	adhvaryuḥ pūrvavaddhotur aṅguliparvaṇī anakti
7.9.8	tad avaghrāya hotāpa upaspṛśati
7.9.9	dakṣiṇe hotuḥ pāṇāv adhvaryuś catura ājyabindūn iḍām avadyati ṣaḍ agnīdhraḥ
7.9.10	iḍām upahvayamānaṃ hotāram adhvaryur āgnīdhraḥ patnī cānvārabhante
7.9.11	upahūteyaṃ yajamānety ucyamāna upahūtā paśumaty asānīti patnī japati
7.10.1	upahūto dyauḥ pitety upahūtām ājyeḍām āgnīdhraḥ prāśnāti
7.10.2	iḍāsmān anuvastām iti yajamāna ājyeḍām upahūyamānām anumantrayate
7.10.3	upahūtām ṛtvijaḥ prāśyācamya tūṣṇīm adbhir mārjayante
7.10.4	iḍāntam āhavanīye śamyuvantaṃ gārhapatye viparītaṃ vā
7.10.5	yadi śamyuvantaṃ pāścātye vedāt tṛṇam apādāya tasyāgraṃ juhvām añjyāt sruve madhyamājyasthālyāṃ mūlam
7.10.6	tat prastareṇa vyākhyātam
7.10.7	anvāhāryapacana idhmapravraścanāny ādhāya caturgṛhīta ājye juhvāṃ phalīkaraṇān opyāgne 'dabdhāyo iti juhoti
7.10.8	aparaṃ caturgṛhītaṃ gṛhītvā piṣṭalepān opyolūkhale musala iti piṣṭalepaṃ juhoti
7.10.9	viparītam eke
7.10.10	yā sarasvatī viśobhagīnā tasyai te svāhā yā sarasvatī veśabhagīnā tasyai te svāheti tayor yajamāno mukhaṃ vimṛṣṭe
7.11.1	vedo 'si vittir asīti vedaṃ hotā patnyai pradāya vācayet
7.11.2	imaṃ viṣyāmīti yoktrapāśaṃ viṣyate
7.11.3	tasyāḥ sayoktre 'ñjalau pūrṇapātram ānayati
7.11.4	sam āyuṣety ānīyamāne sā japati
7.11.5	tan ninīya mukhaṃ vimṛjyotthāya puṣṭimatī paśumatīti yathārthaṃ gacchati
7.11.6	ghṛtavantaṃ kulāyinam iti vedaṃ gārhapatyāt saṃtataṃ hotāhavanīyāt stṛṇann eti
7.11.7	vedo 'si vedo ma āhareti tvayā vedim iti ca vedaṃ stīryamāṇaṃ yajamāno 'numantrayate
7.11.8	yathetam adhvaryur āhavanīyaṃ gatvā juhvā sruveṇa vā brahma pratiṣṭhety eṣo 'nuvāko yad akarma yat pramattā antar agāma mano jyotir ayāścāgne yad asmin yajñe svasti na indro yata indraḥ svastidā bhūr bhuvaḥ suvar ity etaiḥ sarvaprāyaścittāhutīr hutvā pūrvavad dhruvām āpyāyyāntarvedy ūrdhvas tiṣṭhan dhruvayāhavanīye devā gātuvida iti trīṇi samiṣṭayajūṃṣi saṃtataṃ juhoty ekaṃ dve vā
7.11.9	madhyame svāhākāre barhiḥ praharati prahṛtya vābhijuhuyāt
7.12.1	pravasati yajamāne saha samiṣṭayajuṣā yajamānabhāgaṃ juhuyāt
7.12.2	agne 'dabdhāyo iti yajamāno hūyamānaṃ divaḥ khīlo 'vatata iti barhiḥ prahriyamāṇam anumantrayate
7.12.3	saṃ yajñapatir āśiṣeti yajamānabhāgaṃ prāśnātīdaṃ haviḥ prajananaṃ me astv iti śṛtasya dadhikrāvṇo akāriṣam iti dadhnaḥ
7.12.4	na vaiśyarājanyau sāṃnāyyaṃ prāśnītaḥ
7.12.5	agreṇāhavanīyaṃ praṇītāḥ paryāhṛtya ko vo 'yokṣīd ity adhvaryur antarvedi vimuñcati
7.12.6	tāsu saṃtatām udakadhārām ānayati
7.12.7	sadasi san me bhūyā ity ānīyamānāyāṃ dhārāyāṃ yajamāno japati
7.12.8	prācyāṃ diśi devā ity etair yathāliṅgaṃ pariṣicya samudraṃ vaḥ prahiṇomīty antarvedi ninīya yad apsu te sarasvatīti dvābhyāṃ mukhaṃ vimṛṣṭe
7.12.9	yaṃ devā manuṣyeṣv ity upaveṣam ādāyādhvaryur yopaveṣe śug ity utkare nirasyet
7.13.1	nir amuṃ nudety etābhir vā
7.13.2	yāni gharme kapālānīty adhvaryuyajamānau vimocanaṃ japataḥ
7.13.3	yajamāna upotthāya dakṣiṇena padā viṣṇoḥ kramo 'sy abhimātiheti tribhis trīn viṣṇukramān prācaḥ krāmati tṛtīye pade tiṣṭhann āhavanīyaṃ nātyeti
7.13.4	viṣṇoḥ kramo 'si śatrūyata iti caturthaṃ japati
7.13.5	aganma suvar ity āhavanīyam upatiṣṭhata udyann adya mitramaha iti ṣaḍbhir ādityam
7.13.6	aindrīm āvṛtam anvāvarta iti pradakṣiṇam āvartate
7.13.7	sam ahaṃ prajayety āhavanīyaṃ punar upāvartate samiddho agna ity upasaminddhe
7.13.8	vasumān yajña ity upatiṣṭhate
7.13.9	agne vahna ity anvāhāryapacanam agna āyūṃṣy agne pavasveti dvābhyām gārhapatyam agne gṛhapata iti ca tām āśiṣam āśāse tantave jyotiṣmatīm iti brūyād yasya putro 'jātaḥ syāt tām āśiṣam āśāse 'muṣmai jyotiṣmatīm iti jātaputraḥ
7.13.10	bahuputraḥ sarveṣāṃ putrāṇāṃ nāmāny anūcya jyotiṣmatīm ity antato vadati
7.14.1	vedatṛṇāny upasthe nidhāya ye devā yajñahana ity atimokṣān antarvedy āsīno japati
7.14.2	kas tvā yunakti sa tvā vimuñcatv iti yajñaṃ vimuñcati
7.14.3	sarvam anuvīkṣate
7.14.4	yathetam etya yajamānāyatana upaviśya payasvatīr oṣadhaya ity apa ācamyāgne vratapate vratam acāriṣam iti pañcabhir āhavanīye samidho 'bhyādhāya tair eva vrataṃ visṛjya yajño babhūva sa ābabhūveti yajñasya punarālambhaṃ japati
