#Text:Mānavaśrautasūtra
#Data entry:M. Fushimi



1.1.1.1	uttarata upacāro vihāraḥ
1.7.4.44	anapekṣamāṇāḥ pratyāyanti
1.7.4.45	ata eva samidhāv āharanti
1.7.4.46	edho 'sy edhiṣīmahīti samidham ādadhāti samid asi samedhiṣīmahīti dvitīyām
1.7.4.47	apo adyānvacāriṣam ity upatiṣṭhante gārhapatye tūṣṇīṃ patnī
1.7.4.48	barhiṣī anupraharataḥ
1.7.4.49	parivatsarīyāṃ svastim āśāsa ity āha yajamānaḥ
1.7.4.50	siddheṣṭiḥ saṃtiṣṭhate
1.7.4.51	sadyaḥ paurṇamāsīṃ saṃsthāpya / yad gharmaḥ paryāvartayat tad antāt pṛthivyā adhi / tenāham asya brahmaṇā nivartayāmi jīvase
1.7.4.52	agnis tigmena śociṣetiprabhṛti samānam
1.7.5.1	sākamedhāś caturṣu māseṣu
1.7.5.2	pūrvāṃ paurṇamāsīm upoṣyāgnaye 'nīkavate prātaraṣṭākapālaṃ nirvapati
1.7.5.3	siddheṣṭiḥ saṃtiṣṭhate
1.7.5.4	na barhir anupraharati
1.7.5.5	gṛhamedhīye tūṣṇīkam ājyabhāgābhyāṃ / palāśaśākhayā sarvān vatsān apākaroti
1.7.5.6	marudbhyaḥ sāṃtapanebhyo madhyaṃdine caruḥ
1.7.5.7	tad barhir yad anīkavatasya
1.7.5.8	siddheṣṭiḥ saṃtiṣṭhate
1.7.5.9	barhir anupraharati
1.7.5.10	gṛhamedhīyāyedhmābarhiḥ saṃnahyaty ṛte prastaraparidhīn
1.7.5.11	hute sāyamagnihotre marudbhyo gṛhamedhebhyaḥ sarvāsāṃ dugdha odanaṃ śrapayati
1.7.5.12	apavitre dohayati
1.7.5.13	ājyaṃ nirvapati
1.7.5.14	idhmābarhir upasādayati
1.7.5.15	sruksruvaṃ saṃmārṣṭi
1.7.5.16	patnīṃ mantreṇopasthāpayati
1.7.5.17	idhmābarhiḥ prokṣyāhavanīyaṃ pristīryedhmadārubhiḥ paridadhāti
1.7.5.18	śironiṣkāṣaṃ nidadhāti
1.7.5.19	upastīrya trīn odanān uddharati
1.7.5.20	utpūtān alaṃkaroti
1.7.5.21	paścād āhavanīyasyodīco nidadhāty ājyaṃ ca
1.7.5.22	idhmam upasamādhāyājyabhāgābhyāṃ pracarya sarveṣāṃ samavadāyābhighārya marudbhyo gṛhamedhebhyo 'nubrūhīty anuvācayati
1.7.5.23	āśrāvya maruto gṛhamedhān yajeti preṣyati
1.7.5.24	aniruktaḥ sviṣṭakṛt
1.7.5.25	dakṣiṇasmin samavadāyeḍām upahūya bhakṣayanti
1.7.5.26	ājyābhyājya gṛhamedhīyasya suhitā bhavanti
1.7.5.27	api prativeśo 'nya odanaḥ / tasyāmātyāḥ suhitā bhavanti
1.7.5.28	savatsā gāvo vasanty ṛte 'bhivānyāyāḥ
1.7.5.29	purā prātaragnihotrād gārhapatye pūrṇā darve dehi ma ity etābhyāṃ śironiṣkāṣasya pūrṇadarvam ṛṣabham āhūya ruvati juhuyāt
1.7.5.30	yady ṛṣabho na ruyād brahmāṇam āmantrya juhuyāt
1.7.5.31	hute prātaragnihotre marudbhyaḥ krīḍibhyaḥ sākaṃ raśmibhiḥ saptakapāla udyatsu raśmiṣu pracarati
1.7.5.32	āgneyo 'ṣṭākapāla itiprabhṛtīny aṣṭau vaiśvakarmaṇāntānām uttaravedyām atipraṇayed yathā varuṇapraghāseṣu
1.7.5.33	agne ver hotram iti caturgṛhītasya sraucam āghāram āghārayati
1.7.5.34	prāk sviṣṭakṛto māsanāmāni juhoti
1.7.5.35	ṛṣabho dakṣiṇā
1.7.6.1	prāgdakṣiṇācārāḥ pitṛyajñena caranti
1.7.6.2	upamūlaṃ barhir dānty anyat prastarāt
1.7.6.3	bhūya idhmābarhiḥ saṃnahyāparau paristīryaikaikaṃ pātrāṇi prayunakty anyat prāśitraharaṇāt
1.7.6.4	dakṣiṇataḥpurastād dakṣiṇāgneḥ praṇītāḥ sādayati
1.7.6.5	dakṣiṇāgnau niṣṭapati
1.7.6.6	dakṣiṇato 'gniṣṭhān nirvapati / somāya pitṛmate ṣaṭkapālaṃ pitṛbhyo barhiṣadbhyo yavān dhānābhyaḥ pitṛbhyo 'gniṣvāt tebhyo yavān manthāya
1.7.6.7	siddham ādhiśrayaṇāt
1.7.6.8	bhṛjjyamānāsu paryagniṃ karoti
1.7.6.9	dhānānām itarārdhaṃ manthāya pinaṣṭi
1.7.6.10	siddham ābhivāsanāt
1.7.6.11	piṣṭalepaṃ nidhāyāgreṇa dakṣiṇam agniṃ triṣu prakrameṣv aparimite vāvakāśe puruṣamātriṃ caturasrāṃ dikkuṣṭhāṃ vediṃ karoti
1.7.6.12	ottarasmāt parigrāhāt pariśrayati
1.7.6.13	uttarāṃ prati śroṇiṃ dvāraṃ karoti
1.7.6.14	dakṣiṇāgner ekolmukam abhyukṣya madhye veder nidhāya tasminn upasamādhāya parisamuhya paryukṣya piṣṭalepaṃ ninīyottaraṃ parigrāhaṃ parigṛhṇāti
1.7.6.15	siddham ājyagrahebhyaḥ
1.7.6.16	caturgṛhītāny ājyāni gārhapatyānte gṛhṇāti
1.7.6.17	siddham āstaraṇāt
1.7.6.18	uddhūya barhiḥ stṛṇāti
1.7.6.19	prasavyam uddhāvaṃ triḥ paristīryoddhavāt prastaraṃ tūṣṇīṃ gṛhṇāti
1.7.6.20	abhivānyāyāḥ payaso 'rdhapātre prasavyam ikṣuśalākayā mantham āyauti śalākāsthaṃ / na śalākām uddharati
1.7.6.21	alaṃkṛtyaikaikam abhyudānayaty udakumbham ājyāni havīṃṣi tathāparāṇi yajñāṅgāni
1.7.6.22	siddham ā samindhanāt
1.7.6.23	ekā sāmidhenī / tasyās tṛtīye praṇave sakṛd idhmam ādadhāti
1.7.6.24	siddham ā pravarāt
1.7.6.25	na pravṛṇīte
1.7.6.26	apabarhiṣaḥ prayājānuyājān yajati
1.7.6.27	ājyabhāgābhyāṃ pracarya visraṃsya yajñopavītāni prācīnāvavītāni kurvanti
1.7.6.28	viparikrāmanty ṛtvijo yathāsthānaṃ / hotāgreṇātipraṇītaṃ parikramyopaviśaty uttarato brahmāgreṇa hotāram adhvaryur apareṇa
1.7.6.29	āgnīdhro vipariharati havīṃṣi
1.7.6.30	yathāsthānaṃ juhūr madhya upabhṛd dhruvā dakṣiṇā / yathāsthānaṃ puroḍāśo madhye dhānā mantho dakṣiṇataḥ
1.7.6.31	pañcakṛtvo 'vadyati / ṣaṭkṛtvo jāmadagnyasya
1.7.6.32	apareṇa srugdaṇḍān udaṅṅ atikramya somāya pitṛmate 'nu svadhety anuvācayaty oṃ svadhety āśrāvayaty astu svadheti pratyāśrāvayati
1.7.6.33	pratyāśrute somaṃ pitṛmantaṃ svadheti preṣyati
1.7.6.34	svadhā nama ity ukte dakṣiṇā tiṣṭhan madhye juhoti
1.7.6.35	evaṃ dhānābhiḥ pracaratyevaṃ manthena
1.7.6.36	agnaye kavyavāhanāya sviṣṭakṛte samavadyati dvir trir yadi pañcāvadānasya
1.7.6.37	asaṃsaktāṃ dakṣiṇārdhapūrvārdhe juhoti
1.7.6.38	pratiparikramya visraṃsya prācīnāvavītāni yajñopavītāni kurvanti
1.7.6.39	pratiparikrāmanty ṛtvijaḥ / pratipariharati havīṃṣi
1.7.6.40	manthe haviḥśeṣam avadāyeḍām upahūya na bhakṣayante
1.7.6.41	samidhā pratipadya dvāv anuyājau yajati devau yajeti prathamaṃ yaja yajety uttamam
1.7.6.42	sarvāḥ srucaḥ saṃpragṛhṇāti
1.7.6.43	dākṣiṇāgnikau homau hutvā kapālāni vimuñcati
1.7.6.44	udakāñjaliprabhṛti siddhaṃ yathā piṇḍapitṛyajñe 'nyad dhomāt
1.7.6.45	udakumbhasyodakāryān kurvanti
1.7.6.46	saṃnīyeḍāṃ sraktiṣu piṇḍān nidadhāty ūrdhvaṃ prapitāmahāt trīn anvācakṣāṇo 'muto 'rvāciḥ
1.7.6.47	uttarasyāṃ vediśroṇau lepaṃ nimārṣṭi
1.7.6.48	atra pitaro mādayadhvam iti pariśritān niṣkrāmanti
1.7.6.49	susaṃdṛśaṃ tvā vayam ity āhavanīyam upatiṣṭhante / mantrānte praṇavena tāmyante // yad antarikṣam iti gārhapatyam
1.7.6.50	amīmadanta pitara iti pariśritaṃ praviśanti
1.7.6.51	ūrṇāstukaprabhṛti siddhaṃ yathā piṇḍapitṛyajñe
1.7.6.52	paretana pitaraḥ somyāsa ity udakumbhenāgniṃ prasavyaṃ triḥ pariṣiñcan paryeti
1.7.6.53	nidhāyanidhāya trir apariṣiñcan pratiparyeti
1.7.6.54	piṇḍān agnau prahṛtya vediṃ paryoṣati
1.7.6.55	akṣann amīmadantetiprabhṛti samānam
1.7.7.1	uttarato gārhapatyasyaikakapālāñ śrapayati yāvanti karambhapātrāṇi
1.7.7.2	tūṣṇīm abhighāryodīca udvāsayati
1.7.7.3	dakṣiṇāgner ekolmukaṃ dhūpāyat parācīnaṃ haranty anapekṣamāṇāḥ prāgudīcyāṃ diśi mūtenaikakapālān
1.7.7.4	ākhuṃ te rudra paśuṃ karomīty ākhukirā ekam upavapati
1.7.7.5	ulmukaṃ catuṣpathe nidhāya tasminn upasamādhāya parisamuhya paryukṣya paristīrya madhyamaparṇe sarveṣāṃ samavadāyābhighāryaiṣa te rudra bhāga iti juhoti
1.7.7.6	pṛthag ādāyāvāmba rudram adimahīti tisṛbhis triḥ pariyanti patikāmā ca
1.7.7.7	urvārukam iva bandhanān mṛtyor mukṣīya māmṛtād iti japanti // mṛtyor mukṣīya mā patyur iti patikāmā
1.7.7.8	tān ūrdhvān udasyodasya bhago 'si bhagasya lapsīyeti pratilabhante
1.7.7.9	tān yajamānāya samāvapanti patikāmāyai ca
1.7.7.10	tān mūte kṛtvā rudraiṣa te bhāga iti vṛkṣa āsacati
1.7.7.11	dhāmnodhāmna iti tad vyākhyātam
1.7.7.12	ādityaṃ ghṛte caruṃ nirvapet
1.7.7.13	punaretya gṛheṣv idāvatsarīyāṃ svastim āśāsa ity āha yajamānaḥ
1.7.7.14	siddheṣṭiḥ saṃtiṣṭhate
1.7.7.15	sadyaḥ paurṇamāsīṃ saṃsthāpya / yo asyāḥ pṛthivyā adhi tvaci nivartayaty oṣadhīḥ / tenāham asya brahmaṇā nivartayāmi jīvase
1.7.7.16	agnis tigmena śociṣetiprabhṛti samānam
1.7.8.1	śunāsīrya caturṣu māseṣu sadyaś caturahe māsi vā
1.7.8.2	vaiśvadevena vyākhyātam
1.7.8.3	āgneyo 'ṣṭākapāla itiprabhṛtīny aṣṭau saurya ekakapāla ityantāni
1.7.8.4	prāk sviṣṭakṛto māsanāmāni juhoti
1.7.8.5	sīraṃ dvādaśayogaṃ dakṣiṇoṣṭāro vānaḍvān
1.7.8.6	anuvatsarīyodvatsarīye svastim āśāsa ity āha yajamānaḥ
1.7.8.7	siddheṣṭiḥ saṃtiṣṭhate
1.7.8.8	sadyaḥ paurṇamāsīṃ saṃsthāpya / yena māsā ardhamāsā ṛtavaḥ parivatsarāḥ / yenaite prajāpater ījānasya nivartayan / tenāham asya brahmaṇā nivartayāmi jīvase
1.7.8.9	agnis tigmena śociṣetiprabhṛti samānam anyad vratebhyaḥ
1.7.8.10	nikhilaṃ keśaśmaśru yajamāno vāpayate
1.7.8.11	parvaṇy anantarā somena yajeta paśunā vā
1.7.8.12	atha pañcasāṃvatsarikāṇi
1.7.8.13	tantraṃ vaiśvānarapārjanyāḥ
1.7.8.14	prasiddhaḥ prathamaḥ saṃvatsaraḥ / tasyānte yā pūrvā paurṇamāsī tāṃ śunāsīryāyopavasati yottarā tāṃ vaiśvadevāya
1.7.8.15	prasiddho dvitīyaḥ saṃvatsaraḥ
1.7.8.16	tathā tṛtīyo / māsam utsṛjya vaiśvadevena yajeta
1.7.8.17	prasiddhaś caturthaḥ saṃvatsaraḥ
1.7.8.18	tathā pañcamaḥ / tasya sākamedhebhyo 'dhi śunāsīryaṃ pañcasu māseṣu māseṣu
1.8.1.1	aindrāgnena paśunā yakṣyamāṇo vāg dhotā dīkṣā patny āpo 'dhvaryur vāto 'bhigaraḥ prāṇo havir mano brahmā tapasi juhomi svāheti ṣaḍḍhotāraṃ manasānudrutya juhoti
1.8.1.2	āgnāvaiṣṇavam ekādaśakapālaṃ nirvapati / pūrṇāhutiṃ vā
1.8.1.3	uru viṣṇo vikramasvety āhavanīye hutvā yūpam achaiti pālāśaṃ khādiraṃ rauhitakaṃ vā / bailvaṃ brahmavarcasakāmasya
1.8.1.4	ayūpyān atikramyāty anyān agāṃ nānyān upāgām iti yūpaṃ joṣayate bahuśākhaṃ bahuparṇam aśuṣkāgram asuṣiram anadhiśākhyam ṛjum ūrdhvaśalkam upariṣṭādupāvanataṃ prāgudañcaṃ prahāṇaṃ prāñcaṃ pratyañcaṃ vā
1.8.1.5	viṣṇave tvety ājyena paryanakty alkasamare śalkasamare vā
1.8.1.6	oṣadhe trāyasvainam iti dakṣiṇasmin yūpānte darbham antardadhāti
1.8.1.7	svadhite mainaṃ hiṃsīr iti paraśunā praharati
1.8.1.8	prathamotpatitaṃ śalkam avayachati
1.8.1.9	takṣāchinatty anakṣasaṅgaṃ sthāṇum ucchiṃṣati
1.8.1.10	yaṃ tvām ayam iti prāñcaṃ prahāpayati
1.8.1.11	divam agreṇa mā hiṃsīr iti patantam anumantrayate
1.8.1.12	vanaspate śatavalśo virohety āvraścane juhoti
1.8.1.13	sahasravalśā vi vayaṃ ruhemety ātmānaṃ pratyabhimṛśati
1.8.1.14	aṣṭāśriṃ gopuchaṃ karoty asthūlam anaṇum ataṣṭamūlam
1.8.1.15	pañcāratniprabhṛtyāmnātaṃ pramāṇam
1.8.1.16	yūpasya svaruṃ kuryāc caṣālaṃ ca pṛthumātram aṣṭāśri saṃsaktamadhyam
1.8.1.17	aśribhir aśrīḥ saṃpādyāṅgulimātram ūrdhvaṃ caṣālād yūpasya svaruṃ kuryāt
1.8.1.18	vratopetasyedhmābarhiḥ saṃnahyaty āśvavālaḥ prastaro vidhṛtī ca kārṣmaryamayāḥ paridhayo / viṃśatidārv idhmam
1.8.1.19	vediṃ karoti yathottarāṃ vāruṇapraghāsikīm
1.8.1.20	niḥsāraṇāntāṃ kṛtvā vasanti
1.8.1.21	śvobhūte pāṇī prakṣālya vihāraṃ paristīrya pāśukāni pātrāṇi prayunakty abhriṃ prathamotpatitaṃ plakṣaśākhāṃ vapāśarapaṇyau raśane śūlaṃ maitrāvaruṇadaṇḍam avadānaśrapaṇīṃ svaruṃ svadhitiṃ ca
1.8.1.22	uttaravedeḥprokṣaṇaprabhṛti siddham ā pūrṇāhuteḥ
1.8.1.23	pṛṣadājyavanti pātrāṇi prayunakti
1.8.1.24	saṃsādyolaparājiṃ stṛṇāti
1.8.1.25	yajurutpūtābhiḥ prātrāṇi prokṣya dadhyājyaṃ nirupya paryagniṃ karoti
1.8.1.26	uttaraṃ parigrāhaṃ parigṛhṇāti
1.8.1.27	siddham ājyagrahebhyaḥ
1.8.1.28	caturgṛhītāny ājyāni pṛṣadājyavanti gṛhṇāti
1.8.1.29	siddham ājyānāṃ sādanāt
1.8.2.1	uttarato gārhapatyasya devasya tvā savituḥ prasava ity abhrim ādatte
1.8.2.2	abhrir asi nārir asīty abhimantrayate
1.8.2.3	idam ahaṃ rakṣaso grīvā apikṛntāmīty agreṇāhavanīyaṃ yūpāvaṭaṃ parilikhatīdam ahaṃ yo me samāna iti dvitīyaṃ yo 'samāna iti tṛtīyaṃ samānam anyat tūṣṇīṃ caturtham
1.8.2.4	tasyārdham antarvedy ardhaṃ bahirvedy uparasaṃmitaṃ khanati
1.8.2.5	yūpaṃ prakṣālya tīrthenānvavahṛtyāgreṇa yūpāvaṭaṃ saṃstīrṇe prāñcaṃ nidadhāti / mūle prathamotpatitaṃ madhye svaruṃ raśanām agre caṣālam
1.8.2.6	apsu yavān opya yūpaṃ prokṣati // pṛthivyai tveti mūlam antarikṣāya tveti madhyaṃ dive tvety agram
1.8.2.7	śundhantāṃ lokāḥ pitṛṣadanā iti yūpāvaṭam avasiñcati
1.8.2.8	yavo 'sīti yavān āvapati
1.8.2.9	pitṛṣadanaṃ tvā lokam avastṛṇāmīti darbhair avastṛṇāti
1.8.2.10	svāveśo 'sīti prathamotpatitaṃ śalkam avadadhāti
1.8.2.11	ghṛtena dyāvāpṛthivī āpṛṇety abhijuhoti
1.8.2.12	ājyasthālīṃ sruvaṃ cādāya yūpāyājyam ānāyānubrūhīty anuvācayati
1.8.2.13	devas tvā savitā madhvānaktv iti yajamānaḥ svaktam anakty agrād adhy ā mūlād indrasya caṣālam asīti caṣālam
1.8.2.14	supippalā oṣadhīs kṛdhīti pratimuñcati
1.8.2.15	aktaṃ nāvasṛjed ā parivyayaṇāt
1.8.2.16	yūpāyocchriyamāṇāyānubrūhīty anuvācayati
1.8.2.17	divam agreṇottabhānety ucchrayati
1.8.2.18	tā te dhāmānīty avadadhāti
1.8.2.19	viṣṇoḥ karmāṇi paśyateti paścādupasthaṃ samaṃ sthāpayaty agnim abhimukhām agniṣṭhām
1.8.2.20	brahmavaniṃ tvā kṣatravaniṃ paryūhāmīti pāṃsubhiḥ paryūhati
1.8.2.21	brahma dṛṃha kṣatraṃ dṛṃheti yajamāno maitrāvaruṇadaṇḍena pradakṣiṇaṃ saṃmṛśati
1.8.2.22	apo 'nupariṣiñcati
1.8.2.23	darbhānāṃ raśane dviguṇā dvivyāyāmā triguṇā trivyāyāmā
1.8.2.24	tad viṣṇoḥ paramaṃ padam iti trivṛtā svaruṇā ca yūpam ūrdhvaṃ triḥ samunmārṣṭi
1.8.2.25	yūpāya parivīyamāṇāyānubrūhīty anuvācayati
1.8.2.26	parivīr asīti nābhidaghne trivṛtā triḥ parivyayaty uttaramuttaraṃ pradakṣiṇam
1.8.2.27	prādeśamātre samasyāṇīyāṃsaṃ sthavīyasy upakarṣati
1.8.2.28	ūrdhvām uduhya raśanāṃ divaḥ sānūpeṣety uttarato 'gniṣṭhāyā uttame guṇe svarum upakarṣati
1.8.2.29	snātam ānayeti preṣyati
1.8.2.30	ajam apratiṣiddhaṃ rohitaṃ dvirūpaṃ [ vā ] kālālaṃ pīvānaṃ samāṅgaṃ pannadaṃ tīrthena prapādya purastāt pratyaṅmukham avasthāpayati
1.8.3.1	prajāpater jāyamānāḥ prajā jātāś ca yā imā / tā asmai prativedaya cikitvān anumanyatām / imaṃ paśuṃ paśupate te 'dya badhnāmy agne sukṛtāsya madhye / anumanyasva suyajā yaje hi juṣṭaṃ devebhya idam astu havyam / ity aupākaraṇau juhoti
1.8.3.2	iṣe tveti darbhāv ādatte // upāvīr asīti hariṇīṃ plakṣaśākhāṃ palāśavatīm
1.8.3.3	upo devān daivīr viśa iti darbhābhyāṃ śākhayā copaspṛśyopākṛtya pañca juhoti / prajānantaḥ pratigṛhṇantu pūrve prāṇam aṅgebhyo 'dhi niścarantam / huto yāhi pathibhir devayānair oṣadhīṣu pratitiṣṭhā śarīraiḥ / ye badhyamānam / ya āraṇyāḥ paśavo viśvarūpā virūpāḥ santo bahudhaikarūpāḥ / vāyuṣ ṭaṃ agre pramumoktu devaḥ prajāpatiḥ prajayā saṃrarāṇaḥ / yeṣām īśe paśupatiḥ paśūnāṃ catuṣpāda uta ye dvipādaḥ / niṣkrītās te yajñiyaṃ bhāgaṃ yantu rāyaspoṣā yajamānaṃ sacantām / pramuñcamānā bhuvanasya reto gātuṃ dhatta yajamānāya devāḥ / upākṛtaṃ śaśamānaṃ sadhasthāj jīvaṃ devānām apyetu pāthaḥ / iti hutvā nirmanthena pracarati / sa vyākhyātaḥ
1.8.3.4	devasya tvā savituḥ prasava iti raśanām ādatte
1.8.3.5	dakṣiṇaṃ bāhuṃ parihṛtyordhvam unmṛjyartasya tvā devahaviḥ pāśeneti yathādevatam akṣṇayā śirasy upadadhāti
1.8.3.6	dharṣā mānuṣa ity uttarato yūpe raśanayāvāṅ niyunakti
1.8.3.7	adbhyas tvauṣadhībhya iti prokṣati
1.8.3.8	anu tvā mātā manyatām ity anumānayati
1.8.3.9	apāṃ perur asīty apa upapāyayati
1.8.3.10	svāttaṃ sad dhavir ity uraḥ prokṣan sarvataḥ prokṣati
1.8.3.11	pūrṇasruvaṃ sādayitvā siddham āghārāt
1.8.3.12	sraucam āghāram āghārya juhvā paśum anakti saṃ te vāyur iti prāṇadeśe saṃ yajatrair aṅgānīti kakubdeśe saṃ yajñapatir āśiṣeti bhasadi
1.8.3.13	siddham ā pravarāt
1.8.3.14	pravṛte maitrāvaruṇāyaudumbaram āsyadaghnaṃ daṇḍaṃ mitrāvaruṇayos tvā bāhubhyāṃ prayachāmīti prayachati
1.8.3.15	siddham ā prayājebhyaḥ
1.8.3.16	āśrāvam ekādaśa prayājān yajati
1.8.3.17	samidbhyaḥ preṣyeti prathamaṃ preṣya preṣyety uttarān
1.8.3.18	caturthecaturthe samānīyaikādaśāya śiṣṭvātyākramya saṃgṛhya svaruṃ svadhitiṃ juhvām aktvā ghṛtenāktau paśūṃs trāyethām ity antarāśṛṅge svaruṇā paśum anakty aspṛśan svadhitinā
1.8.3.19	aktayā śṛtasyāvadyaty anaktayā viśasati
1.8.3.20	uttarataścātvālasya śāmitrāya lakṣaṇaṃ karoti
1.8.3.21	uddhatyāvokṣya paryagnaye kriyamāṇāyānubrūhīty anuvācayati
1.8.3.22	āhavanīyād ulmukena paśum āhavanīyaṃ yūpam ājyāni cātvālaṃ śāmitralakṣaṇe nidhāyanidhāya triḥ paryagniṃ karoti
1.8.3.23	ulmukam āgnīdhrāya pradāya ye badhyamānaṃ ya āraṇyāḥ pramuñcamānā iti tisra āhutīr juhoti
1.8.3.24	yūpāt pramucya paśum anvārabhyāśrāvayati
1.8.3.25	pratyāśruta upapreṣya hotar havyā devebhyas iti preṣyati
1.8.3.26	kārṣmaryasya vapāśrapaṇyāv ekaśṛṅgā dviśṛṅgā ca / tābhyāṃ yajamāno revati predheti paśum anvārabhate
1.8.3.27	uro antarikṣety udañcaṃ prakramayati
1.8.3.28	ulmukam āgnīdhro 'grato hṛtvā śāmitralakṣaṇe nidadhāti
1.8.3.29	dakṣiṇataḥpaścāc chāmitrasya samasya tanvā bhavety aupākaraṇaṃ darbhaṃ nyasyati
1.8.3.30	tasmiñ śamitā pratyakśirasam udakpādam antar evoṣmāṇaṃ saṃjñapayati
1.8.3.31	nānā prāṇo yajamānasya paśunā yajño devebhiḥ saha devayānaḥ / samyag āyur yajñaṃ yajñapatau dhāḥ / ity uktvāvartate
1.8.3.32	svarvid asīti saṃjñapyamāne yajamāno japati
1.8.3.33	iha prajā viśvarūpā ramantām ity avekṣamāṇāḥ pṛṣadājyam āśāsate yāvat paśusaṃjñapanāt
1.8.3.34	yat paśur māyum akṛtoro vā padbhir āhate / agnir nas tasmād enaso viśvān muñcatv aṃhasaḥ / iti saṃjñaptahomaṃ juhoti
1.8.3.35	śamitāra upetaneti japati
1.8.3.36	aditiḥ pāśān ity unmuñcati raśanāṃ paśoḥ
1.8.3.37	yo no dveṣṭy adharaḥ sa padyatām ity abhicarataḥ stambaṃ dāru vāpidadhyāt tūṣṇīm anabhicarataḥ
1.8.3.38	ekaśṛṅgayā cātvāle raśanāṃ pravidhyati
1.8.4.1	namas ta ātāneti patnīm ādityam upasthāpayati
1.8.4.2	anarvā prehīty abhyudānayati
1.8.4.3	devīr āpa iti cātvāle patny apo 'bhimantrayate
1.8.4.4	vācam asya mā hiṃsīḥ prāṇam asya mā hiṃsīr iti yathāliṅgam aṅgāni prakṣālayati patny āsiñcati // yat te krūram iti kaṇṭham
1.8.4.5	gātrāṇy asya mā hiṃsīs caritrān asya mā hiṃsīr iti yathāliṅgam aṅgāni saṃmṛśati
1.8.4.6	śam adbhya ity apāṃ stokān bhūmigatān anumantrayate
1.8.4.7	oṣadhe trāyasvainam ity aupākaraṇaṃ darbham agreṇa nābheḥ pārśvato nidadhāti
1.8.4.8	svadhite mainaṃ hiṃsīr iti svadhitinā tiryag āchinatti
1.8.4.9	tvacaṃ cāgram upaniyamya mūlam āśasane 'ktvā pṛthivyai tvā rakṣasāṃ bhāgo 'sīti dakṣiṇāparam avāntaradeśaṃ nyasyati
1.8.4.10	idam ahaṃ rakṣo 'vabādha idam ahaṃ rakṣo 'dhamaṃ tamo nayāmīti pārṣṇyā nyadhitiṣṭhate
1.8.4.11	iṣe tveti vapām utkhidati
1.8.4.12	ūrje tvety ekaśṛṅgayā taniṣṭha upatṛṇatti
1.8.4.13	devabhyaḥ śundhasvety adbhir avokṣate
1.8.4.14	devebhyaḥ śumbhasveti svadhitinā vapāṃ pratyūhati
1.8.4.15	ghṛtena dyāvāpṛthivī prorṇuvātām iti dviśṛṅgāṃ prachādayati
1.8.4.16	amuṣmai tveti yathādevataṃ vapām utkṛntati
1.8.4.17	muṣṭinā śamitā vapoddharaṇaṃ saṃgṛhyāsītā vapāyā homāt
1.8.4.18	namaḥ sūryasya saṃdṛśa ity ādityam upatiṣṭhate
1.8.4.19	urv antarikṣaṃ vīhīti samayā paśuṃ vapāṃ harati
1.8.4.20	pratyuṣṭaṃ rakṣa iti śāmitre niṣṭapati
1.8.4.21	ulmukam āgnīdhro 'grato hṛtvāhavanīye pratyavasṛjati
1.8.4.22	antarāgniṃ yūpaṃ ca harati
1.8.4.23	dakṣiṇataḥ pratiprasthātāsīno vapāṃ śrapayati
1.8.4.24	vāyoḥ stokānām iti darbhāgram upāsyati
1.8.4.25	tvām u te dadhire devayanto havyavāhaṃ śṛtaṃkartāram uta yajñiyaṃ ca / agniḥ sudakṣaḥ sutanur ha bhūtvā devebhyo havyā vaha jātavedaḥ / iti vapām abhijuhoti
1.8.4.26	stokebhyo 'nubrūhīty anuvācayati
1.8.4.27	śyenīṃ śṛtāṃ supippalā oṣadhīs kṛdhīti dakṣiṇato barhiṣi sādayati
1.8.4.28	prayutā dveṣāṃsīti vapāśrapaṇyau pravṛhati
1.8.4.29	svāhākṛtibhyaḥ preṣyety uttamena prayājena pracaryātyākramyābhighārayati dhruvāṃ pṛṣadājyaṃ vapāṃ nopabhṛtam
1.8.4.30	kṛtākṛtāv ājyabhāgau
