#Text:Śāṅkhāyanaśrautasūtra
#Edition:Hillebrandt 1885–1899 (Reprint 1981)
#Data entry:M. Tokunaga
#Notes:Text of the edition restored by S. Sellmer; only l has been changed to ḍ where appropriate. Translation (Caland) completely aligned. Footnote positions are corrected, but the footnotes themselves are not. Some chapters in Book 14 are only summarized by Caland and thus not included in the translation.



1.1.1	yajñaṃ vyākhyāsyāmaḥ
4.20.4	upākaraṇaṃ prokṣaṇaṃ paryagnikaraṇam ity āvṛtaḥ pāśubandhikyaḥ
4.20.5	palāśaśākheti devatāyai vapāṃ devatāyai haviḥ sviṣṭakṛte canyeṣāṃ paśūnām
4.20.6	āgneyaḥ saumyaś cājyabhāgau devatāyai vapāṃ devatāyai haviḥ sviṣṭakṛte cājyāhutiś cānumataye sthālīpākānām
4.21.1	ṣaḍarghyā bhavanty ācārya ṛtvik śvaśuro rājā snātakaḥ priya iti
4.21.2	udaṅmukhaḥ prāṅmukho vā ahaṃ varṣma sādṛśānāṃ vidyutām iva sūryaḥ / idaṃ tam adhi tiṣṭhāmi yo asmāṁ abhi dāsati // iti kūrcam adhyāste 'dhi tiṣṭhati vā
4.21.3	virājo doho 'si virājo doham aśīya mayi padyāyai virājo doha iti pādyaṃ pratigṛhya
4.21.4	arghyam ity ukto 'paḥ pratigṛhya
4.21.5	ācamanīyam ity ukta āpo hi ṣṭhīyābhis tisṛbhir ekaikayācamya
4.21.6	madhuparka ity ukto yathā prāśitraṃ tathā pratīkṣya
4.21.7	tathā pratigṛhṇāti / yaśase brahmavarcasāyeti vikāraḥ
4.21.8	pratigṛhya savye pāṇau kṛtvāṅguṣṭhenopakaniṣṭhikayā ca pūrvārdhād upahatya pūrvārdhe kāṃsyasya nilimpati vasavas tvāgnirājāno bhakṣayantv iti
4.21.9	pitaras tvā yamarājāno bhakṣayantv iti dakṣiṇārdhād dakṣiṇārdhe
4.21.10	ādityās tvā varuṇarājāno bhakṣayantv iti parśārdhāt paścārdhena
4.21.11	rudrās tvā indrarājāno bhakṣayantv ity uttarārdhād uttarārdhe
4.21.12	viśve tvā devāḥ prajāpatirājāno bhakṣayantv iti mādhyād ūrdhvam
4.21.13	sakṛtsakṛn mantreṇa dvirdvis tūṣṇīm
4.21.14	mahāvyāhṛtibhis tisṛbhir ekaikayā prāśya
4.21.15	anupāya caturtham
4.21.16	brāhmaṇāyocchiṣṭadānam
4.21.17	sarvapānaṃ vā
4.21.18	apo vābhyavaharaṇam
4.21.19	śaṃnodevīyābhiś catasṛbhir uro 'bhimṛśya
4.21.20	samānaṃ prāṇasaṃmarśanam
4.21.21	mukhavimārjanaṃ ca
4.21.22	ā goḥ pravadanāt tūṣṇīm
4.21.23	gaur ity ukta oṃ kuruta
4.21.24	mātā rudrāṇām iti japitvotsṛjata tṛṇāny attv iti vā
4.21.25	kūrcaḥ pādyam arghyam ācamanīyaṃ madhuparko gaur iti vedayeta vedayeta
5.1.1	ārṣeyān yūno 'nūcānānṛtvijo vṛṇīte somena yakṣyamāṇaḥ
5.1.2	caturaḥ sarvān vā
5.1.3	candramā me daivo brahmety upāṃśu tvaṃ mānuṣa ity uccaiḥ
5.1.4	evaṃ sarvān
5.1.5	ādityo me daiva udgātā tvaṃ mānuṣaḥ
5.1.6	agnir me daivo hotā tvaṃ mānuṣaḥ
5.1.7	vāyur me daivo 'dhvaryus tvaṃ mānuṣaḥ
5.1.8	prajāpatir me daivaḥ sadasyas tvaṃ mānuṣaḥ
5.1.9	ṛtavo me daivyā hotrāśaṃsino yūyaṃ mānuṣāḥ
5.1.10	bhargaṃ me voco bhadraṃ me voco bhūtiṃ me vocaḥ śriyaṃ me voco yaśo me voco mayi bhargo mayi bhadraṃ mayi bhūtir mayi śrīr mayi yaśa iti vṛto japitvā kaccin nāhīnānudeśyaṇyastārtvijyaṇītadakṣiṇānām anyatama iti pṛṣṭvā pratiśṛṇoti pratyācaṣṭe vā
5.2.1	prācīnapravaṇaṃ devayajanam
5.2.2	prāgudakpravaṇaṃ yajñakāmasya
5.2.3	anubruvan yatra hotāhavanīyam ādityam apaś ca paśyet tad brahmavarcasakāmasya
5.2.4	śuddhapakṣe dīkṣā puṇye nakṣatre samāpanaṃ ca
5.3.1	aparāhṇe dīkṣaṇīyṣgnāvaiṣṇavīṣṭiḥ
5.3.2	paurṇamāsīvikāraḥ
5.3.3	pañcadaśasāmidhenīkā
5.3.4	upāṃśuhaviḥ
5.3.5	virājau sviṣṭakṛtaḥ
5.3.6	nitye vā
5.3.7	upahūto 'yaṃ yajamāno 'sya yajñasyāgura udṛcam aśīyety āśāste 'yaṃ yajamāno 'sya yajñasyāgura udṛcam aśīyety āśāsta ity āśiṣāṃ sthāna iḍāyāṃ sūktavāke ca prāktārtīyasavanikyāḥ puroḍāśeḍāyāḥ
5.3.8	na sūktavāke yajamānasya nāma gṛhṇāti prāk savanīyāt
5.3.9	patnīsaṃyājāntā ca
5.4.1	adhvaryum anvārabhyaudagrabhaṇāni juhvataṃ yajamānaṃ mano me manasā dīkṣatāṃ vāṅ me vācā dīkṣatāṃ prāṇo me prāṇena dīkṣatāṃ cakṣur me cakṣuṣā dīkṣatāṃ śrotraṃ me śrotreṇa dīkṣatām iti
5.4.2	āhutīr vā juhuyāt
5.4.3	ekadīkṣe copasthānam
5.4.4	mano dīkṣām upaimīty āhavanīyam
5.4.5	vācaṃ dīkṣām upaimīti gārhapatyam
5.4.6	prāṇaṃ dīkṣām upaimīti dakṣiṇāgnim
5.4.7	aparimitā dīkṣās tāsām apavarge prāyaṇīyeṣṭiḥ
5.5.1	pathyāṃ svastim agniṃ somaṃ savitāraṃ cājyenāditiṃ caruṇā
5.5.2	svasti naḥ pathyāsu svastir iddhi / agne nayāgne tvaṃ pāraya / tvaṃ soma pra cikito yā te dhāmāni haviṣā / tat savitur vareṇyaṃ ya imā viśvā jātāni / sutrāmāṇaṃ mahīm ū ṣu
5.5.3	pañcadaśasāmidhenīkā
5.5.4	upāṃśuhaviḥ
5.5.5	nājyabhāgau bhavataḥ
5.5.6	tvāṃ citraśravastama yad vāhiṣṭham iti sviṣṭakṛtaḥ
5.5.7	śaṃyvantā ca
5.6.1	krītvā rājānam ādhāya śakaṭe somāya paryuhyamāṇāyety uktaḥ
5.6.2	bhadrād abhi śreyaḥ prehi bṛhaspatiḥ puraetā te astu / athem avasya vara ā pṛthivyā āre śatrūn kṛṇuhi sarvavīraḥ // ity antareṇa vartmanī tiṣṭhann anūcya
5.6.3	imāṃ dhiyaṃ śikṣamāṇasya vaneṣu vyantarikṣaṃ soma yās ta iti catasro 'nusaṃyann antareṇa vartmanī
5.6.4	śālām agreṇa śakaṭam avasthāpya prapādayanti rājānam
5.6.5	yena vrajeyus tenānusamiyāt
5.6.6	yā te dhāmāni haviṣety anuprapadya
5.6.7	agreṇāhavanīyaṃ dakṣiṇā tiṣṭhann āgan deva iti paridhāya
5.6.8	upaspṛśyotsṛjyate
5.6.9	madantībhir udakārtho 'ta ūrdhvam āgnīṣomapraṇayanāt
5.7.1	ātithyā vaiṣṇavīṣṭiḥ
5.7.2	paurṇamāsīvikāraḥ
5.7.3	viṣṇor nu kaṃ pra tad viṣṇuḥ
5.7.4	hotāraṃ citrarathaṃ yas tvā svaśva iti sviṣṭakṛtaḥ
5.7.5	agnimanthanīyāś cāsanne haviṣi
5.7.6	upāṃśuhaviḥ
5.7.7	iḍāntā
5.8.1	upaspṛśya sarve
5.8.2	anādhṛṣṭam asy anādhṛṣyaṃ devānām ojo 'nabhiśasty abhiśastipāḥ / anabhiśastenyam añjasā satyam upageṣaṃ suvite mā dhā iti sahiraṇyaṃ dhrauvam ājyaṃ pātrīsthaṃ barhiṣy āsannaṃ tānūnaptraṃ samavamṛśya
5.8.3	upaspṛśyāgreṇāhavanīyaṃ parītyāṃśūn upaspṛśanto rājānam āpyāyayante / amśur amśuṣ ṭe deva somā pyāyatām indrāyaikadhanavide / ā tubhyam indraḥ pyāyatām ā tvam indrāya pyāyasva / ā pyāyayāsmān sakhīn sanyā medhayā svasti te / deva soma sutyām udṛcam aśīyeti
5.8.4	yam ādityā amśum ā pyāyayanti yamakṣitim akṣitayaḥ pibanti / tena no rājā varuṇo bṛhaspatir ā pyāyayantu bhuvanasya gopāḥ // ity urāṃsy abhimṛśya
5.8.5	upaspṛśya dakṣiṇottānān pāṇīn prastare nidhāya nihnuvate savyottānān aparāhṇe / eṣṭā rāyaḥ preṣe bhagāya ṛtamṛtavādibhyo namo dyāvāpṛthivībhyām iti
5.8.6	āpyāyanaprabhṛty upasadyupasadi saṃsthitāyām
5.9.1	apravargyaḥ prathamayajñaḥ
5.9.2	vikalpaḥ śrotriyasya
5.9.3	uttareṇa gārhapatyam
5.9.4	mahāvīrapātreṣu sādyamāneṣu pūrvayā dvārā śālāṃ prapadya / uttareṇāhavanīyaṃ kharau pātrāṇi ca gatvā / paścād upopaviśya / hotar abhiṣṭuhīty uktaḥ / anavānam ekaikāṃ sapraṇavām abhiṣṭauti
5.9.5	brahma jajñānaṃ prathamaṃ purastād vi sīmataḥ suruco vena āvaḥ / sa budhnyā upamā asya viṣṭhāḥ sataś ca yonim asataś ca vi vaḥ
5.9.6	iyaṃ pitre rāṣṭry ety agre prathamāya januṣe bhūma neṣṭhāḥ / tasmā etaṃ surucaṃ hvāramahyaṃ gharmaṃ śrīṇanti prathamasya dhāseḥ
5.9.7	abhi tyaṃ devaṃ savitāram oṇyoḥ kavikratum / arcāmi satyasavaṃ ratnadhām abhi priyaṃ matiṃ kavim / ūrdhvā yasyāmatir bhā adidyutat savīmani / hiraṇyapāṇir amimīta sukratuḥ kṛpā svastṛpā svar iti vā
5.9.8	añjanti yam iti bile 'jyamāne
5.9.9	saṃ sīdasveti sādyamāne
5.9.10	bhavā no 'gne sumanās tapo ṣv agne yo naḥ sanutya ity aṅgāreṣūpohyamāneṣu
5.9.11	kṛṇuṣva pāja iti pañca
5.9.12	pari tvā girvaṇo 'dhi dvayoḥ
5.9.13	śukraṃ te arhan bibharṣi
5.9.14	pataṅgam aktaṃ srakve drapsasyeti sūkte
5.9.15	pavitraṃ ta iti dve
5.9.16	vi yat pavitraṃ dhiṣaṇā atanvata gharmaṃ śocantaṃ praṇaveṣu vibhrataḥ / samudre antarāyavo vicakṣaṇaṃ trir ahno nāma sūryasya manvata
5.9.17	ayaṃ vena iti sūktaṃ nāke suparṇam ity uddhṛtya
5.9.18	gaṇānāṃ tveti sūktam
5.9.19	bṛhad vadema vidathe suvīrā iti vīrakāmāyai vīraṃ dhyāyāt
5.9.20	kā rādhad iti nava
5.9.21	ā no viśvābhir ūtibhir iti tisraḥ
5.9.22	prātar yāvāṇeti pūrvāhṇe sūktam
5.9.23	ā bhātīty aparāhṇe
5.9.24	sarvam īḍedyāvīyam utsṛjya vācam
5.9.25	uttamāṃ pariśiṣya rucito gharma ity ukte 'rūrucad ity abhiṣṭutya
5.9.26	uttamayā paridhāya
5.9.27	upaspṛśyotthāyāvakāśānām anuvākena mahāvīram upasthāyopaspṛśyopaviśati
5.10.1	upa hvaya iti gavyāhūyamānāyām
5.10.2	hiṃkṛṇvatīty āyatyām
5.10.3	abhi tvā deva savitar ity abhidhīyamānāyām
5.10.4	samī vatsaṃ saṃ vatsa ivety upasṛjyamānāyām
5.10.5	yas te stana iti stanaṃ vatse 'bhipadyamāne
5.10.6	gaur amīmed ity unnīyamāne
5.10.7	namased upa sīdata saṃjānānā ity upasīdati
5.10.8	dohena gāṃ duhanti saptā daśabhir ātmanvat / samiddho agnir aśvinā tapto vāṃ gharma ā gatam / duhyante gāvo vṛṣaṇeha dhenavo dasrā madanti kāravaḥ // samiddho agnir vṛṣaṇā rayir divas tapto gharmo duhyate vāmiṣe madhu / vayaṃ hi vāṃ purutamāso aśvinā havāmahe sadhamādeṣu kāravaḥ // tad u prayakṣatamam iti duhyamānāyām
5.10.9	adhukṣad uttiṣṭha brahmaṇaspata ity uttiṣṭhati
5.10.10	upa drava payasā godhugo ṣu mā gharme siñca paya usriyāyāḥ / vi nākam akhyat savitā damūnā anu dyāvāpṛthivī supraṇīte // ity āhriyamāṇayoḥ payasoḥ
5.10.11	ā sute siñcata śriyam ā nūnam aśvinor ṛṣir ity āsicyamānayoḥ
5.10.12	ud u ṣya devaḥ savitā hiraṇyayety udyamyamāne
5.10.13	karmaviparyāse yathākarma
5.10.14	praitu brahmaṇaspatir iti pravrajatsu
5.10.15	nāke suparṇam ity anusaṃyan
5.10.16	hotṛṣadana upaviśya
5.10.17	gharmasya yaja ity uktaḥ
5.10.18	ubhā pibatam / tapto vāṃ gharmo nakṣati svahotā pra vām adhvaryuś carati prayasvān / madhor dugdhasyāśvinā tanāyā vītaṃ pātaṃ payasa usriyāyāḥ // iti samastābhyāṃ vaṣaṭkṛtya
5.10.19	gharmasyāgne vīhīty anuvaṣaṭkarotīti pūrvāhṇe
5.10.20	athāparāhṇe
5.10.21	asya pibatam / yad usriyāsv āhutaṃ ghṛtaṃ payo 'yaṃ su vām aśvinā bhāga ā gatam / mādhvī dhartārā vidathasya satpatī taptaṃ gharmaṃ pibataṃ rocane divaḥ // iti samastābhyāṃ vaṣaṭkṛtya
5.10.22	tathaivṣnuvaṣaṭkṛtya
5.10.23	svāhākṛtaḥ śucir deveṣu gharmo yo aśvinoś camaso devapānaḥ / tam īṃ viśve amṛtāso juṣāṇā gandharvasya pratyāsnā rihanti // ity abhiṣṭutya
5.10.24	sakhe sakhāyam ity āyati
5.10.25	gandharva ittheti sādyamāne
5.10.26	taṃ ghem ittheti prāgāthikām āvartsyati
5.10.27	havir haviṣma iti purā homāt
5.10.28	prāṇabhakṣo hotuḥ
5.10.29	pratyakṣo yajamānasya
5.10.30	dadhigharme ca
5.10.31	hutaṃ havir madhu havir indratame 'gnāv aśyāma te deva gharma madhumato vājavataḥ pitumata iti bhakṣamantraḥ
5.10.32	saṃsādyamāneṣu mahāvīrapātreṣu / ā yasmin sapta vāsavā rohanti pūrvyā ruhaḥ / ṛṣir hi dīrghaśruttama indrasya gharmo atithiḥ // ity abhiṣṭutya
5.10.33	sūyavasād iti paridhāya
5.10.34	upaspṛśyotsṛjyate
5.10.35	sutye vāhany āgnīdhrīye pravargyaḥ stute bahiṣpavamāne mādhyandine ca
5.10.36	prastare nihnutya / upasadā caranti sapravargye pravargyaṃ saṃsthāpya
5.11.1	upasadyāyeti pūrvāhṇe tisraḥ sāmidhenīr anavānam ekaikāṃ sapraṇavāṃ tris trir āha
5.11.2	imāṃ me 'gne samidham iti tisro 'parāhṇe
5.11.3	tṛtīyena pūrvasyā vacanenottarāṃ saṃdhāyāvasyati
5.11.4	agnim āvaha somam āvaha viṣṇum āvaheti praṇavena saṃdhāya
5.11.5	srugādāpanena srucāv ādāpya
5.11.6	upāṃśu yajati
5.11.7	agnir vṛtrāṇi ya ugra iva / tvaṃ soma kratubhir aṣāḍhaṃ yutsu / yaḥ pūrvyāya tam u stotāraḥ
5.11.8	yāvad ādiṣṭaṃ kuryāt
5.11.9	viparyāso 'parāhṇe yājyāpuronuvākyānām
5.11.10	imāṃ me agne samidham iti dvitīye 'hani pūrvāhṇe tisraḥ sāmidhenīḥ
5.11.11	upasadyāyety aparāhṇe
5.11.12	yathā prathame tathā tṛtīye
5.11.13	svakālās tu vivardheran
5.11.14	aharahar vā viparyāsaḥ
5.11.15	upavasathe prātar ubhe caraṇe saṃsthāpya
5.12.1	agnipraṇayanam apravargye
5.12.2	mahāvīrapātrodvāsanaṃ sapravargye
5.12.3	tatra prastotā sāma gāyati
5.12.4	tatra hotur nidhanopāyaḥ
5.12.5	vyākhyātam agnipraṇayanam
5.13.1	havirdhānapravartanāyāmantritaḥ
5.13.2	dakṣiṇasya havirdhānasyottaraṃ vartmottarasya ca dakṣiṇam antareṇa tiṣṭhan havirdhānābhyāṃ pravartyamānābhyām ity uktaḥ
5.13.3	apeto janyaṃ bhayam anyajanyaṃ ca vṛtrahan / apa cakrā avṛtsata // iti dakṣiṇena prapadena pratyañcaṃ logam apāsya
5.13.4	pretāṃ yajñasyeti tiṣṭhann anūcya
5.13.5	dyāvā naḥ pṛthivī imaṃ tayor id ghṛtavad yame iveti dakṣiṇasyottaraṃ vartmopaniśrito 'nusaṃyan
5.13.6	adhi dvayor iti cchadiṣyādhīyamāne
5.13.7	viśvā rūpāṇi pratīti pariśrīyamāṇayoḥ
5.13.8	ā vām upastham iti nabhyasthayoḥ
5.13.9	karmaviparyāse yathākarma
5.13.10	pari tvā girvaṇa iti paridhāya
5.13.11	yatra tiṣṭhan prathamām anvavocat tat sthitvotsṛjyate
5.14.1	miteṣu yajñāgāreṣv agnīṣomau praṇayanti
5.14.2	tatprabhṛtyānubandhyāyāḥ saṃsthānād antareṇa cātvālotkarau tīrtham
5.14.3	tena prapadya
5.14.4	uttareṇāgnīdhrīyaṃ dhiṣṇyaṃ sadaś ca gatvā
5.14.5	uttareṇādhvaryū yajñapātrāṇi ca pūrvayā dvārā śālāṃ prapadya
5.14.6	śālāmukhīyasya paścād upaviśya
5.14.7	agnīṣomābhyāṃ praṇīyamānābhyām ity uktaḥ
5.14.8	sāvīr hi deva prathamāya pitre varṣmāṇam asmai varimāṇam asmai / athāsmabhyaṃ savitaḥ sarvatātā divediva ā suvā bhūri paśvaḥ // ity āsīno 'nūcya
5.14.9	uttiṣṭha brahmaṇaspate
5.14.10	praitu brahmaṇaspatiḥ
5.14.11	hotā deva upa tvāgna iti tṛcau
5.14.12	bhūtānāṃ garbham ādadha iti garbhakāmāyai garbhaṃ dhyāyād uttareṇa sado 'nusaṃyan
5.14.13	āgnīdhrīye 'gniṃ nidadhati
5.14.14	agne juṣasvety āhutau hūyamānāyām
5.14.15	uttareṇāgniṃ somo jigātīti tisro 'nusaṃyan
5.14.16	upa priyam ity āhavanīye huyamānāyām
5.14.17	tam asya rājeti prapādyamāne
5.14.18	antaś ca prāg ity anuprapadya
5.14.19	dakṣiṇe havirdhāne rājani sanna uttarato dakṣiṇā tiṣṭhañchyeno na yoniṃ gaṇānāṃ tvā astabhnād dyām
5.14.20	evā vandasveti paridhāya
5.14.21	savyāvṛddhavir dhānayoḥ pūrvasyāṃ dvāry upaviśati
5.14.22	aparayā dvārā prapādyamāne 'nusameti hotā
5.14.23	samānam anuvacanam
5.14.24	dakṣiṇāvṛd aparayā dvārā niṣkramya savyāvṛd uttareṇa havirdhāne gatvā tatraiva upaviśati
5.15.1	agnīṣomīyeṇopavasathe paśunā yajate
5.15.2	yūpāyājyam ānāyety ukto 'ñjanti tvām ity anvāha
5.15.3	ucchrīyamāṇāyety ukta ucchrayasva vanaspate samiddhasya śrayamāṇaḥ purastāj jāto jāyata ūrdhva ū ṣu ṇa ūrdhvo naḥ
5.15.4	parivīyamāṇāyety ukto yuvā suvāsā iti paridhāya tiṣṭhann anvāhāgnimanthanīyāḥ
5.15.5	yajñena yajñam iti paridhāya sāmidhenīr anvāha
5.15.6	paśudevatām āvāhyānantaraṃ vanaspatim
5.15.7	adhvaryū saṃmṛśya tiṣṭhati
5.15.8	mitrāvaruṇayos tvā praśāstoḥ praśiṣā prayacchāmi yajñasyāriṣṭyā iti yajamāno maitrāvaruṇāya daṇḍaṃ prayacchati
5.15.9	tenaiva mantreṇa yathārthaṃ pratigṛhya dakṣiṇena hotāraṃ dakṣiṇāvṛt pūrvaḥ pratipadyate
5.15.10	uttareṇa havir dhāne dakṣiṇenāgnīdhrīyaṃ dhiṣṇyaṃ gatvā pūrvayā dvārā sadaḥ prapadya svasya dhiṣṇyasya paścād upaviśyaikādaśa prayājān yajati
5.16.1	praiṣā maitrāvaruṇasya
5.16.2	sapraiṣe ca puronuvākhyāḥ
5.16.3	tathānuvacanāni
5.16.4	prahāṇas tiṣṭhan daṇḍe parākramya samidhaḥ preṣyety ukto hotā yakṣad agniṃ samidheti preṣyati
5.16.5	āpriyaḥ prayājayājyā yad ārṣeyo yajamānaḥ
5.16.6	samiddho adya manuṣa iti vā sarveṣām
5.16.7	svā tu nārāśaṃsī tat prayājasya
5.16.8	daśabhiś caritvā pary agnaya ity ukto 'gnir hotā no adhvara iti tisro 'nvāha
5.16.9	upapreṣya hotar ity ukto 'jaid agnir ity upapraiṣam āha
5.16.10	ukta upapraiṣe 'dhriguṃ hotā
5.17.1	daivyāḥ śamitāra uta ca manuṣyā ārabhadhvam upanayata medhyā dura āśāsānā medha patibhyāṃ medham
5.17.2	prāsmā agniṃ bharata stṛṇīta barhir anv enaṃ mātā manyatām anu pitānu bhrātā sagarbhyo 'nu sakhā sayūthyaḥ
5.17.3	udīcīnāṁ asya pado nidhattāt sūryaṃ cakṣur gamayatād vātaṃ prāṇam anvavasṛjatād antarikṣam asuṃ diśaḥ śrotraṃ pṛthivīṃ śarīram
5.17.4	ekadhāsya tvacam ācchyatāt purā nābhyā apiśaso vapām utkhidatād antarevoṣmāṇaṃ vārayadhvāt
5.17.5	śyenam asya vakṣaḥ kṛṇutāt praśasā bāhū śalā doṣaṇī kaśyapevāṃsāc chidre śroṇī kavaṣorū srekaparṇāṣṭhīvantā
5.17.6	ṣaḍviṃśatir asya vaṅkrayas tā anuṣṭhyoccyāvayatād gātraṃ gātram asyānūnaṃ kṛṇutāt
5.17.7	ūvadhyagohaṃ pārthivaṃ khanatāt
5.17.8	asnā rakṣaḥ saṃsṛjatāt
5.17.9	vaniṣṭum asya mā rāviṣṭorūkaṃ manyamānā ned vas toke tanaye ravitā ravac chamitāra ity adhrigau navama ucchvāsaḥ
5.17.10	adhrigo śamīdhvaṃ suśami śamīdhvaṃ śamīdhvam aghrigo3 iti triḥ paridhāyopāṃśu japaty ubhāv apāpaś ceti
5.17.11	na paśuṃ saṃjñapyamānam īkṣeta
5.17.12	pṛṣad ājyāvekṣaṇaṃ prāyaścittam
5.17.13	ṛcaṃ vā vaiṣṇavīṃ japet
5.18.1	stokebhya ity ukto juṣasva saprathastamam imaṃ no yajñam iti ca sūktam anvāha
5.18.2	svāhākṛtibhya ity ukto hotā yakṣad agniṃ svāhājyasyeti preṣyati
5.18.3	āprīṇām uttamā yājyā
5.18.4	antareṇottamaṃ prayājaṃ vapāṃ ca vāgyamanam
5.18.5	nājyabhāgau yajati
5.18.6	vṛdhanvantau vā
5.18.7	darśapaurṇamāsikā nigamās teṣu nigacchataḥ
5.18.8	na praiṣeṣu
5.18.9	agnīṣomāv imam iti vapāyāḥ puronuvākyā
5.18.10	hotā yakṣad agnīṣomāv iti praiṣaḥ
5.18.11	yuvam etānīti yājyā
5.18.12	yathāprapannam upaniṣkramyedam āpa iti tṛcena cātvāla upaspṛśyotsṛjyete
5.19.1	paśupuroḍāśāyāmantritāv āgnīdhrīyam uttareṇa hotuś ca gatvā yathādhiṣṇyam upaviśataḥ
5.19.2	paśv arthāni vibhavād arthaṃ sādhayanti
5.19.3	puroḍāśaḥ sviṣṭakṛt samavāye 'pi
5.19.4	atulyānām anūhena
5.19.5	na nigamāḥ santi paśutantre codyamānānām
5.19.6	agnīṣomā yo 'dyeti puroḍāśasya puronuvākyā
5.19.7	hotā yakṣad agnīṣomāv it praiṣaḥ
5.19.8	agnīṣomā piptṛtam iti yājyā
5.19.9	iḍām agna iti sviṣṭakṛtaḥ puronuvākyā
5.19.10	hotā yakṣad agniṃ puroḍāśasyeti praiṣaḥ
5.19.11	agniṃ sudītim iti yājyā
5.19.12	iḍām upahūya paśunā caranti
5.19.13	manotāyai haviṣa ity uktas tvaṃ hy agne prathamo manoteti manotāsūktam anvāha
5.19.14	agnīṣomā ya āhutam iti paśoḥ puronuvākyā
5.19.15	hotā yakṣad agnīṣomāv iti praiṣaḥ
5.19.16	agnīṣomā haviṣa ity ardharce yājyāyā viramatyā vasāhomāt
5.19.17	hute vaṣaṭkaroti
5.19.18	devebhyo vanaspata iti vanaspateḥ puronuvākyā
5.19.19	hotā yakṣad vanaspatim iti praiṣaḥ
5.19.20	vanaspate raśanayeti yājyā
5.19.21	piprīhi devān iti sviṣṭakṛtaḥ puronuvākyā
5.19.22	hotā yakṣad agniṃ sviṣṭakṛtam iti praiṣaḥ
5.19.23	anigadā yājyā
5.19.24	iḍām upahūyaikādaśānuyājān yajati
5.20.1	devaṃ barhiḥ sudevaṃ devair ity anavānaṃ preṣyati
5.20.2	yathā cāturmāsyeṣu tathā yajati
5.20.3	aṣṭamaṇavamāv antareṇāgantū
5.20.4	devo vanaspatir vasuvane vasudheyasya vetu / devaṃ barhir vāritīnāṃ vasuvane vasudheyasya vetu
5.20.5	sūktā preṣyety ukto 'gnim adya hotāram iti sūktavāka praiṣam āha
5.20.6	saumikaṃ savanīye
5.20.7	śaṃyor ukte yathāprapannam upaniṣkramyotsṛjyate maitrāvaruṇaḥ
5.20.8	śālāṃ hotā gatvā patnīsaṃyājāntaṃ naktaṃ saṃsthāpayati saṃsthāpayati
6.1.1	vyākhyāto 'gnīṣomīyaḥ prakṛtiḥ paśūnām
6.1.2	ārṣam āmnānaṃ mantrāṇāṃ prakṛtau
6.1.3	yathārtham uttarasyāṃ tatāv arthavikārasyotpattirūpeṇānabhidhānāc chabda vikāram ūhaṃ bruvate
6.1.4	ṛkṣu vikāro na vidyate
6.1.5	yajamānābhyāṃ yajamānebhyaḥ / medhapataye medhapatibhyaḥ / medhau medhān / ādad ādan / ghastu ghasantu / aghasad aghasan / aghad akṣann iti vā / rabhīyāṃsāv iva rabhīyasa iva / agrabhīd agrabhīṣuḥ / avīvṛdhatāvīvṛdhanta / aśyāsuḥ / ṛdhyāsuḥ / acīkametām acīkamanta / ity arthabhedāc chabdavikāraḥ
6.1.6	barhiś cakṣuḥ śrotraṃ prāṇo 'sus tvaṅ nābhir ūṣmā jñātināmāni śyenaṃ śalā kaśyapā kavaṣā srekaparṇovadhya goham asneti yathāsamāmnātam
6.1.7	codanāsaṃdehe ca
6.1.8	śeṣabhūtāny apūrvāṇi
6.1.9	āyanigadāś ca
6.1.10	ekadhaikadhā ṣaḍviṃśatiḥ ṣaḍviṃśatir iti samāsena vā
6.1.11	eṣa saṃkhyānyāyaḥ
6.1.12	ekadevatadvidevatayoś ca bahuvat
6.1.13	puṃvan mithuneṣu samānyām
6.1.14	apy anyatarasyām
6.1.15	evety akāreṇa saṃdhānaṃ devatānāmadheyasya svarāder dvidevatyasya
6.1.16	sakṛd badhnan paśubhede
6.1.17	sūpasthāś ca
6.1.18	udag ayanasyādy antayor aindrāgno nirūḍha paśubandhaḥ
6.1.19	sāṃvatsaro vā
6.1.20	kāmyā bahavaḥ
6.1.21	agnipraṇayanādayo hṛdayaśūlāntāḥ paśavo 'gnīṣomīyasavanīyau parihāpya
6.1.22	āgnāvaiṣṇavī ca yakṣyamāṇasya
