#Text:Drāhyāyaṇaśrautasūtra
#Edition:Reuter, Vira
#Data entry:?



1.1.1	atha vidhyavyapadeśe sarvakratvadhikāraḥ
11.4.12	anupamajjantaḥ pāṇibhiḥ saṃdhāveran
11.4.13	yasyātra patnī syāt pṛṣṭhaṃ tayā vyuddhāvayet
11.4.14	tānunnetodānayet
11.4.15	udetya gṛhapatiḥ somopanahanaṃ paridadhīta
11.4.16	ahatāni vasanānītare
11.4.17	abhyukṣaṇapramṛti samāpayeyuḥ
11.4.18	yeneto gaccheyuranyena pratyāvrajeyuḥ pāpmano 'vyatiṣaṅgāya
11.4.19	anubandhyavapāyāṃ hutāyāṃ dakṣiṇe vedyante keśaśmaśrūṇi vāpayet
11.4.20	tasmin saṃsthite prāñca udañco vā gatvā pṛthagudavasanīyābhiriṣṭibhirāhitāgnayo yajeran
11.4.21	gṛhapatiṃ yajamānamanāhitāgnaya upāsīran
11.4.22	taddevatyaiḥ sthālīpākaryajeranniti dhānaṃjayyaḥ
11.4.23	saṃvatsaraṃ saṃvaseyuḥ
11.4.24	dvādaśarātramahorātrau vā
11.4.25	yāvadvā sunuyuryāvadvā sunuyuḥ
12.1.1	sarvatra brahmā dakṣiṇataḥ
12.1.2	udaṅmukhaḥ kuryāddhomebhyo 'nyat
12.1.3	pākayajñā ityācakṣata ekāgnau yajñān
12.1.4	teṣāṃhoṣyantsutūṣṇīmupaviśet
12.1.5	hute yathārthaṃ syāt
12.1.6	śūlagave ca balīn hriyamāṇānanugacchet
12.1.7	nidhīyamānānāṃ dakṣiṇataḥ sthitvā nihiteṣvapa upaspṛśyānavekṣaṃ pratyāvrajet
12.1.8	tūṣṇīṃ pākayajñe dakṣiṇāmomiti vā pratigṛhṇīyāt
12.1.9	paśureva paśordakṣiṇā
12.1.10	pūrṇapātraṃ sthālīpākasya
12.1.11	ubhayoryathotsāhaṃ vā
12.1.12	na vitānaṃ pṛṣṭhataḥ kurvīta
12.1.13	yena yajñāṅgena saṃyujyeta tadabhyāvarteta
12.1.14	karmādiṣu sarveṣvadhvaryusaṃpairaṣamāgamayet
12.1.15	pūrvayā ca dvārānādeśe praviśet
12.1.16	agnyādheye dakṣiṇayā dvārā prapadya cātuṣprāśyaṃ nirvapsyatsu tūṣṇīmupaviśet
12.1.17	nirupte yathārthaṃ syāt
12.1.18	taduddhariṣyatsvevameva
12.1.19	taccedanṛtvi‚gbhaḥ prāśayeyustaṇḍulānādāyāpavidhyeyurneṣṭāviddhaṃ kṛtānīti
12.1.20	athānyānnidadhīran
12.1.21	ādhāsyamānasyāraṇyoḥ prattayoryathārthaṃ syāt
12.1.22	pūrvāhṇe dakṣiṇenāgnyāyatanāni gatvā yatrāgniṃ manthiṣyantaḥ syustaddakṣiṇato nirastaḥ parāvasuriti dakṣiṇā tṛṇaṃ nirasyedāvasoḥ sadane sīdāmītyupaviśet
12.1.23	bhūrbhuvaḥsvarbṛhaspatirbrahmāhaṃ mānuṣa omiti
12.1.24	etenopaviśedyajuṣeti yatra syāt
12.1.25	agniṃ hriyamāṇamanugacchet
12.1.26	nihite yajuṣopaviśet
12.1.27	atra prathamamiti śāṇḍilyaḥ
12.1.28	dvitīyamiti dhānaṃjayyaḥ
12.1.29	jāte rāthantaraṃ gāyet
12.1.30	vāmadevyaṃ hriyamāṇe
12.1.31	bṛhannihite
12.1.32	sarvāṇi tṛceṣu manasā
12.1.33	vācā gāyediti hyukte kimanyadvācā pratīyeta
12.1.34	athāpi gānamevādhvaryave vidhīyate na manaseti
12.1.35	api vā rahasyānyeva manasā gāyet / na hyaraṇye geyānāṃ gānaṃ grāme vidyata iti
12.1.36	prathamottamayoḥ sthāne vāravantīyayajñāyajñīya iti lāmakāyanaḥ
12.1.37	pūrve kalpe bhūyāṃsīti śāṇḍilyaḥ
12.2.1	manthiṣyatsvaraṇī ālabhyāraṇyoriti gāyet
12.2.2	mathyamāne 'gniṃ nara ityetayoranyatarat
12.2.3	dhūma ṅkudate tveṣaste dhūma ṛṇvatīti
12.2.4	prajvalite 'darśi gātviti
12.2.5	nidhīyamāne gavāṃ vrataṃ yadagnimīḍe iti
12.2.6	tānyudgātṛkarmaika
12.2.7	udgātā sāmavedeneti śruteḥ
12.2.8	yathā vihavyasajanīyakayāśubhīyāni hotuḥ
12.2.9	prastotuśca vairājaśakvarī prastāvāḥ
12.2.10	sarvaiścāvidhānādbrahmatvakāribhiḥ
12.2.11	karmayogāccodgātuścatvāro mahartvijaḥ prāśnantīti hi cātuṣprāśyaprāśanam
12.2.12	adhikārāttu brahmaṇaḥ
12.2.13	audgātre cāvidhānāt
12.2.14	dṛṣṭaṃ cānena sāmagānaṃ brahmā rathacakre 'bhigāyatīti
12.2.15	udgāteti yathābhūyasavādaḥ
12.2.16	hautre ca vidhervihavyādīni
12.2.17	stotravatprastāvā virāṭsu stuvanti purīṣeṇa stuvate iti ca bahuśruteḥ
12.2.18	avidhānaṃ vidherdvaidhāt
12.2.19	yāvadvacanaṃ karmayogaḥ
12.2.20	hutāyāṃ pūrṇāhutau yathārthaṃ syāt
12.2.21	akṣāṃścedabhijuhuyustatra gatvā tūṣṇīmupaviśet
12.2.22	tairdyūte yathārthaṃ syāt
12.2.23	iṣṭyādiṣu sarveṣu yajuṣopaviśet pūrvo yajamānādāhavanīyaṃ prati
12.2.24	paridhyorvā sandhim
12.2.25	srucāṃ vāgrāṇi
12.2.26	utkaraṃ vā
12.2.27	tamantareṇāhavanīyaṃ ca yajamānasya saṃcaro nānyeṣām
12.2.28	taṃ yadādhvaryurbūrayād brahmannidaṃ kariṣyāmīti savitṛprasūto 'daḥ kuru / bhūrbhuvaḥ svarbṛhaspatirbrahmāhaṃ mānuṣa omityetenānumantrayeta
12.2.29	etatsarvānumantraṇam
12.2.30	uccairadaḥ kurvomiti
12.2.31	praṇītāsu praṇīyamānāsu vācaṃ yacchedā tāsāṃ vimocanāt
12.2.32	tāsveva praṇīyamānāsvā haviṣkṛtastambayajuṣaścādhyā samidhaḥ prasthānīyāyā iti vā
12.2.33	yatra vādhvaryubahvacau ceṣṭetām
12.2.34	yatra vā na ceṣṭetāṃ vāgayataḥ prāyastveva syāt
12.3.1	prāyaścittaṃ cetkarttavyaṃsyād bhūḥ svāhetigārhapatye juhuyāt / bhuvaḥ svāheti dakṣiṇāgnau āgnīdhrīye sutyā cet / svaḥ svāhetyāhavanīye / bhūrbhuvaḥ svāheti tatraiva
12.3.2	hutvā brūyācceṣṭatākārṣma prāyaścittamiti
12.3.3	avelāyāṃ cedvyāharedayajñiyaṃ vāpadyetaitā eva vyāhṛtīranuperakṣeta
12.3.4	idaṃ viṣṇuriti varcam
12.3.5	amāvāsyāyāṃ dohanapavitre mārjayerannāpohiṣṭhīyābhiḥ
12.3.6	tadabhāve dārbhe
12.3.7	sarveṣṭiṣviti śāṇḍilyāyanaḥ
12.3.8	prāśitramāhriyamāṇaṃ pratimantrayeta mitrasya tvā cakṣuṣā pratipaśyāmīti
12.3.9	apa ācamya devasya tveti pratigṛhṇīyāt
12.3.10	vyūhya tṛṇāni purastāddaṇḍaṃsādayet pṛthivyāstvā nābhau sādayāmīti
12.3.11	aṅguṣṭhenānāmikayā cādāyāgneṣṭvāsyena prāśnāmīti prāśnīyāt
12.3.12	asaṃkhādaṃ nirgiret
12.3.13	apa ācamyorasi pāṇiṃ nidadhītendrasya tvā jaṭhare sādayāmīti
12.3.14	prakṣālya prāśitraharaṇaṃ tatra nidadhyāt
12.3.15	yathāhṛtaṃ vā pratihārayet
12.3.16	brahmabhāgamāhṛtamagrata upanidadhīta
12.3.17	tamiṣṭau saṃsthitāyāṃ prāśnīyāt
12.3.18	anvāhāryamantareṇa brahmāṇaṃ yajamānaṃ ca haret
12.3.19	svayaṃ ced brahmā yajamānaḥ syātpūrveṇainam
12.3.20	hṛtvā tamantarvedi sannaṃ tūṣṇīmālabheta
12.3.21	prajāpaterbhāgo 'sīti vā
12.3.22	athāparaṃ prajāpaterbhāgo 'syūrjasvānpayasvān / akṣito 'sya kṣityai tvā / prāṇāpānau me pāhi samānavyānau me pāhyudānarūpe me pāhi / ūrgasyūrjaṃ mayi dhehīti
12.3.23	tatraiva yajamānaṃ vācayet prajāpatiṃ tvayā samakṣamṛdhyāsamāgamyānvāhāryaṃ dadāni brahman brahmāsi brahmaṇe tvā hutādya mā mā hĩsīrahuto mahyaṃ śivo bhaveti
12.4.1	samidhaṃ prasthānīyāmanumantrayeta deva savitaretatte yajñaṃ prāhurbṛhaspataye brahmaṇe tena yajñamavatena yajñapatiṃ tena māmava / mano jyotirjuṣatāmājyasya bṛhaspatiryajñamimaṃ tanotvariṣṭaṃ yajñaṃsamimaṃ dadhātu viśve devāsa iha mādayantāmityupāṃśu pratiṣṭhetyuccairbhūrbhuvaḥ svarbṛhaspatirbrahmāhaṃ mānuṣa ityupāṃśvomityuccaiḥ
12.4.2	sarvānumantraṇena vā
12.4.3	vimuktāsu praṇītāsu samidha ādadhyādyathāvabhṛthādudetya
12.4.4	etatsarveṣṭīnāṃ brahmatvam
12.4.5	samāne 'hanyekāsane na punaryajuṣopaviśediti śāṇḍilyaḥ
12.4.6	agnyādheyeṣṭiṣu prathamāyāṃ yajuṣopaviśeduttamāyāṃsamidha ādadhyāditi gautamaḥ
12.4.7	pṛthagiṣṭiṣviti dhānaṃjayyaḥ
12.4.8	cātuṣprāśyaṃ ca prāśnatsu
12.4.9	dhenuṃ dadyādbrahmaṇe
12.4.10	adhvaryave cāgnipadam
12.4.11	dhenur hotre vatsatarīr brahmaṇe anaḍuho 'dhvaryave / sarve trivargāḥ
12.4.12	paṣṭhauhīmāgnīdhrāya
12.4.13	sarvebhyo 'śvarathaṃ kuṇḍale ca
12.4.14	evameva dhenumagnipadaṃ ceti śāṇḍilyaḥ
12.4.15	dhenumanaḍvāhaṃ vatsatarīṃ vatsataramajaṃ pūrṇapātramiti tatprathamāyāmiṣṭau dadyāt
12.4.16	tathottarayoranyatrājyapūrṇapātrābhyām
12.4.17	varaḥ saptamo dakṣiṇānāṃ trayodaśo vā pañcaviṃśo vā / etadvājasaneyakam
12.4.18	agnyādheyāntān kurvate pūrṇāhutimakṣābhirhomamiṣṭīḥ
12.4.19	mithunau dakṣiṇānvārambhaṇīyāyāmiṣṭau
12.4.20	vājināśvinagharmāṇāmṛtvikṣūpahamiṣṭvā prāṇabhakṣaṃ bhakṣayet
12.4.21	pratyakṣabhakṣaṃsve yajñe
12.4.22	yanme retaḥ prasicyate yadvāme 'pi gacchati yadvā jāyate punastena māśivamāviśa // tena mā vājinaṃ kuru tasya te vājipītasyopahūtaḥ // upahūtasya bhakṣayāmīti // vājinasyeti // ṛtūnāṃ tvā vākṣiṇāṃ vājinaṃ bhakṣayāmīti vā vobhābhyāṃ vobhābhyāṃ vā
13.1.1	cāturmāsyeṣu varuṇapraghāsānāṃstambayajurhariṣyatsu yajuṣopaviśet
13.1.2	vilikhite cātvāle 'dhvaryuṇā saha pratyāvrajyāhavanīyamupaviśet
13.1.3	agnī praṇīyamānau yathaitamanugacchet
13.1.4	adhvaryuścedbrūyādbrahmannekasphyayopasaṃ‚bhandhīti sphyenāhavanīyātpāṃsūnupahatyottarasyā vederddakṣiṇādantātkarṣanniyāt
13.1.5	āvedimadhyādekā cet
13.1.6	prohya sphyaṃ paścimena vediṃ gatvā nidhīyamānayoragnyostūṣṇīmupaviśet
13.1.7	etatkarmāgnipraṇayaneṣu sarveṣu
13.1.8	avabhṛthanyaṅgaṃ gacchatsu pūrveṇāgnī cātvālaṃ ca gacchet
13.1.9	paścimena vedī cālātvaṃ ca sve yajñe
13.1.10	haviryajñeṣveṣa saṃcara uttareṇa vihāraṃ karmabhyaḥ
13.1.11	yathā cātvāle tathā yūpe śāmitre ca paśau
13.1.12	avabhṛthanyaṅgaṃ prāpyābhyukṣaṇaprabhṛti sautyaṃ karma samāpayeyaḥ
13.1.13	sākamedheṣu kṣīrodanasya yathārthaṃ prāśnīyāt
13.1.14	yajamānaṃ brūyātprabhūtamannaṃ kāraya suhitā alaṃkṛtā bhavatetyamatyān brūhi / vatsāṃśca mātṛbhiḥ saha vāsayeta
13.1.15	pūrvāhṇe 'dhvaryuḥ kṣīraudanamṛṣabhasya ravathe juhoti brahmāṇamupaveśya
13.1.16	ṛṣabhe 'ruvati brahmaiva brūyājjuhudhīti
13.1.17	tūṣṇīṃ paitṛkayajñikāyāṃsarvaṃ kuryāt
13.1.18	omityevānumantrayet
13.1.19	yajñopavītaprācīnāvītayoradhvaryumanuvidadhīta
13.1.20	tasyā havīṃṣi nirvapsyatsu dakṣiṇayā dvārā prapadya paścātprāṅmukha upaviśet
13.1.21	evameva vediṃ gatvā stambayajurhariṣyatsu
13.1.22	ājyabhāgayorhuḥtayordakṣiṇenāgniṃ parikramya purastāt pratyaṅmukha upaviśedyajamānaśca
13.2.1	hute ṣviṣṭakṛti yathetaṃ pratyāvrajyopaviśetām
13.2.2	prāśitramāhṛtamupaghrāyāpavidhyet
13.2.3	ājyaṃ cet prāśitrabhāgān vidhyeyustadupaghrāyāpa upaspṛśet
13.2.4	iḍāṃ ca pratigṛhya pratiprayaccheta
13.2.5	adhvaryuṇā pariṣicyamāne vyutkramya pariṣikta āhavanīyamupatiṣṭheran
13.2.6	dakṣiṇena dakṣiṇāgnimuttareṇa dakṣiṇāgnĩsve yajñe
13.2.7	akṣannamīmadanta hīti prathamā / susaṃdṛśaṃ tvā vayaṃ maghavanmandiṣīmahi / pranūnaṃ pūrṇavandhuraḥ stuto yāsi vaśāṃanuyojā nvindra te harī iti dvitīyā upoṣu śṛṇuhī giraḥ iti tṛtīyā
13.2.8	tata evekṣamāṇā gārhapatyam manonvā huvāmahe nārāśaṃsena somena / pitṝṇāṃ ca manmabhiḥ / punarnaḥ pitaro mano dadātu daivyo janaḥ / jīvaṃ vrataṃsacemahi / ā na e tumanaḥ punaḥ kratve dakṣāya jīvase / jyokca sūryaṃ dṛśeyamiti
13.2.9	kayā naścitra ābhuvad ityekayā dakṣiṇāgnim
13.2.10	traiyambakānāmāpūpā bhavantyekakapālāḥ / teṣāṃ yamadhvaryurākhatkara upavapettasminnapa upaspṛśeyuḥ śivā naḥ śantamā bhava sumṛḍīkā sarasvati / mā te vyoma saṃdṛśi iti
13.2.11	āsītetareṣāṃhūyamāna iti dhānaṃjayyaḥ
13.2.12	tiṣṭhediti śāṇḍilyaḥ
13.2.13	hute tiṣṭhanto japeyuḥ avāmba rudramayakṣmahyava devaṃ tryambakama / yathā naḥ śreyasaskaradyathā no vasīyasaskaradyathā naḥ paśumataskaradyathā no vyavasāyayāt / bheṣajamasi bheṣajaṃ gave 'śvāya puruṣāya bheṣajaṃsugaṃ meṣāya meṣyai subheṣajaṃ yathāsaditi
13.3.1	yajamānasyāmātyā ekakamapūpamādāya triḥpradakṣiṇamagniṃ pariyuḥ
13.3.2	tatra brahmā pariyañjapediti dhānaṃjayyaḥ
13.3.3	tiṣṭhanniti śāṇḍilyaḥ
13.3.4	tryambakaṃ yajāmahe sugandhaṃ puṣṭivardhanam / urvārukamivabandhanānmṛtyormukṣīyamāmṛtāt iti // jāmī kumārī vā yā syāt patikāmā sāpi parīyāt / tryambakaṃ yajāmahe sugandhaṃ pativedanam / urvārukamiva bandhanāditomukṣīya iti jñātīnabhisaṃkalpayet
13.3.5	māmuta itīṣṭamabhinirdiśedamuṣya gṛhāditi
13.3.6	evaṃ triḥ parītyodasyeyuḥ
13.3.7	teṣāṃ brahmaikaṃ li‚psatvā yasya sa syāttasmai prayacchet
13.3.8	tasya vauvasantaṃ pāṇāvālabheta
13.3.9	tathaiva triḥ pratiparīyuḥ
13.3.10	yatrainānadhvaryurāsajettatropatiṣṭheranneṣa te rudra bhāgastenāvasena paro mūjavato 'tīhi kṛttivāsāḥ pinākahasto 'vatatadhanvomiti
13.3.11	ātamito japeyuḥ
13.3.12	śaṃ no devīrityapa upaspṛśyānapekṣaṃ pratyāvrajeyuḥ
13.3.13	varuṇapraghāsairvyākhyātaṃ brahmatvaṃ haviryajñeṣu
13.3.14	paśūnāṃ yūpāhutĩhoṣyatsu tūṣṇīmupaviśet
13.3.15	hutāyāṃ yathārthaṃ syāt
13.3.16	vapāyāṃ hutāyām idam āpa iti cātvāle mārjayitvā paśūnāṃ yathārthaṃsyāt
13.3.17	puroḍāśena cariṣyatsu tūṣṇīmupaviśet
13.3.18	āhṛtaṃ puroḍāśamālabhya brūyāt prāśnantu ye prāśiṣyanta iti
13.3.19	anuvrajetsarvapaśūnāṃ patnīsaṃyājāniti gautamaḥ
13.3.20	savanīyasyaiveti dhānaṃjayyaḥ
13.3.21	na savanīyasya ca neti śāṇḍilyaḥ
13.3.22	hṛdayaśūlo 'trāvabhṛthanyaṅgasthāne bhavati
13.3.23	tasminnapa upaspṛśeyuḥ dhāmno dhāmno rājaṃstato varuṇa no muñca / yadāpo adhnyā varuṇeti śapāmahe tato varuṇa no muñca / sumitriyā na āpa oṣadhayaḥ santu durmitriyāstasmai santu yo 'smān dveṣṭi yaṃ ca dviṣmaḥ iti
13.4.1	abhyukṣaṇaprabhṛtyata ūrdhvam
13.4.2	ādityaṃ nopatiṣṭheran
13.4.3	pūrṇāhutau hūyamānāyāmāsitvā hutāyāṃ yathārthaṃsyāt
13.4.4	saktuhomāṃścejjuhuyurāsītā teṣāṃ homāt
13.4.5	sautrāmaṇyāṃ surākarmasvāvrājamāsīta
13.4.6	tatra dvāvagnī atipraṇayanti tayordakṣiṇata āsīt
13.4.7	dakṣiṇamadhyadhi kumbhyāmāsaktāyāṃ śatātṛṇṇāyāṃsurāśeṣeṣvāsicyamāneṣūpatiṣṭheran yatte pavitramarciṣyagne vitatamantarā / brahma tena punīhi me iti
13.4.8	aśvinorgrahasya bhakṣayedyamaśvinānamucerāsurādadhi sarasvatyasunodindriyeṇa / imaṃ taṃśukraṃ madhumantamindũsomaṃrājānamiha bhakṣayāmi iti
13.4.9	yajamānaṃ cedvasātiśeṣeṇābhiṣiñceyurupotthāyāntareṇāgnī gatvādhvaryuṇoktaḥ saṃśānāni gāyet
13.4.10	padāya padāya stobhet
13.4.11	nidhanānyupayanto yajamānasya mūrdhānamālabheran
13.4.12	saṃ tvā hinvantītyeteṣāṃ pūrvaḥ pūrvaḥ stobha uttaramuttaraṃ nidhanam
13.4.13	śravasa iti sthāne jityā iti kṣatriyasya puṣṭyā iti vaiśyasye tyeke
13.4.14	dve sautrāmaṇyau kaukilī carakasautrāmaṇī ca
13.4.15	kaukilyāṃ sāmagānaṃ netarasyāṃsaṃśānāni gāyediti ha smāha kautsaḥ
13.4.16	sapta haviryajñasya saṃsthā agnyādheyamagnihotraṃ darśapūrṇamāsāvāgrayaṇaṃ cāturmāsyāni nirūḍhapaśubandhaḥ sautramaṇī ceti
13.4.17	sapta somasaṃsthā agniṣṭomo 'tyagniṣṭoma ukthyaḥ ṣoḍaśī vājapeyo 'tirātro 'ptoryāma ityaptoryāma iti
14.1.1	sutyāyāṃ brahmaṇaḥ prāksubrahmaṇyāyā audgātreṇa samānaṃ karma
14.1.2	ikṣaṇākramaṇe vedeḥ
14.1.3	saṃcaradhiṣṇyopasthānadakṣiṇāpratigrahabhakṣāḥ
14.1.4	stomavimocanāccordhvamanyat samānam
14.1.5	anuṣyāttu dīkṣaṇīyāyām
14.1.6	tasyāṃsaṃsthitāyāmāsītādīkṣaṇādyajamānasya
14.1.7	taṃ yadādhvaryurvācaṃ yamayedatha yathārthaṃsyāt
14.1.8	mahāvīrāntsambhariṣyatsu tūṣṇīmupaviśet
14.1.9	sambhṛteṣu yathārthaṃ syāt
14.1.10	prāyaṇīyāyāṃsaṃsthitāyāṃ pūrveṇa patnīśālāṃ tiṣṭhedābhihomātpadasya rājakrayaṇyāḥ
14.1.11	abhihuta uttareṇa somavahanaṃ gatvā prāgvā padābhihomāddakṣiṇena yatra rājānaṃ kreṣyantaḥ syustatra gatvā tūṣṇīmupaviśet
14.1.12	krīte prāṅutkrāmet paścimenainaṃ hutvā rājānamādadhyurāhitaṃ pūrveṇa parītyohyamānamanugaccheddakṣiṇena cedgataḥ syāt
14.1.13	uttareṇa cetkrīte pratyaṅṅutkrāmet pūrveṇainaṃ hṛtvā rājānamādadhyurāhitaṃ paścimena parītyohyamānamanugacchet
14.1.14	tāmevātreṣāmanvāvarteta
14.1.15	sā hyasya prāci vartamānasya dakṣiṇeṣā bhavati
14.1.16	vimukte cāntareṇa somavahanaṃ patnīśālāṃ ca dakṣiṇenotkramya tiṣṭheddīkṣitaścedā rājño 'vaharaṇāt
14.1.17	praveśyamānaṃrājānamanupraviśedavyavayannagninā
14.1.18	saṃbādhaścet syāddakṣiṇayāpi dvārā praviśet
14.1.19	uttareṇāhavanīyaṃ paścimena vedĩ saṃcareddīkṣitaścet
14.2.1	ātithyāmiṣṭiṃ nirvapante
14.2.2	tāṃ cedanavahṛte rājani nirvaperan brāhmaṇaṃrājani samādiśya tatra gatvāsīta
14.2.3	tasyāṃsaṃsthitāyāṃ tānūnaptramājyamavamṛśanato japeyurhavirasi vaiśvānaramanādhṛṣṭamanādhṛṣyaṃ devānāmojo 'nabhiśastyamabhiśastipā anabhiśastyanyamañjasā satyamupageṣaṃsuvitemādhā iti
14.2.4	apa upaspṛśyādhvaryuṇokto rājānaṃ visrambhayet
14.2.5	taṃ hiraṇyamantardhāyābhimṛśeyuraṃśuraṃśuṣṭe deva / somāpyāyatāmindrāyaikadhanavide / ā tubhyamindraḥ pyāyatāmātvamindrāya pyāyasva / āpyāyayāsmāntsukhīn sanyā medhayā / svasti te deva soma sutyāmudṛcamaśīyeti
14.2.6	kāśamaye prastare nihnuvīrandakṣiṇān pāṇīnuttānān kṛtvā savyānnīcaḥ eṣṭā rāya eṣṭā vāmāni peraṣe bhagāyārtamṛtavādibhyo namo dive namaḥ pṛthivyā iti
14.2.7	subrahmaṇyāsvāhūyamānāsu dakṣiṇotkramya tiṣṭheddīkṣitaścet
14.2.8	āhūtāsu yathārthaṃ syāt
14.2.9	upasadiṣṭirata ūrdhvaṃ tasyāṃ tathaivābhimarśananihnavane
14.2.10	savyā aparā uttānāḥ syurdakṣiṇā nyañcaḥ
14.2.11	sruveṇopasaddhome hute vidyātsaṃsthiteti
14.2.12	tasyā gharmaḥ pravargyavati pūrvaḥ
14.3.1	tam abhīndhiṣyatsu gārhapatyaṃ gatvā yajuṣopaviśed dakṣiṇena
14.3.2	dakṣiṇāgnimuttareṇa bahiścet
14.3.3	rucitasnarma ityukte 'nuvākena tiṣṭhanto 'vekṣeran yamadhvaryurbūrayāt
14.3.4	taṃ hriyamāṇaṃ yathetamanuvrajan japedviśvā āśā dakṣiṇasatsarvān devānayāḍiha / svāhā kṛtasya gharmasya medhoḥ pibatamaśvinā iti
14.3.5	āśrāvita upaviśya japedaśvinā gharmaṃ pātaṃ hārdivānamahardivābhirūtibhiḥ / tantrāyiṇena namo dyāvāpṛthivībhyāmiti
14.3.6	hute yajamānaṃ vācayedāpātāmaśvinā gharmamanu dyāvāpṛthivī amaṃsātām / ihaiva rātayaḥ santviti
14.3.7	gharmaśeṣasya bhakṣayenmadhu hutamindratame 'gnāvaśyāma te deva gharma namaste 'stu mā mā hĩsīriti
14.3.8	satraṃ cetsyādyajamānā upahvayadhvamityevopahvānam
14.3.9	evaṃsadā pravargyopasadaḥ kuryāt
14.3.10	mahāvedestambayajurhariṣyatsu yajuṣopaviśet
14.3.11	vilikhite cātvāle yathārthaṃ syāt
14.3.12	uttaravediṃ nirvapsyatsu tūṣṇīmupaviśet / nyuptāyāṃ yathārthaṃsyāt
14.3.13	agnicityāyāṃ prāgdīkṣaṇīyāyāḥ sāvitrān homān hoṣyatsu yajuṣopaviśet
14.3.14	teṣu huteṣūkhyāṃ mṛttikāmāhriyamāṇāmanugacchet
14.3.15	tasyāṃ sa‚mbhrayamāṇāyāmāsitvā sambhṛtāyāṃ yathārthaṃ syāt
14.4.1	āhavanīyaṃ ceṣyatsu yajuṣopaviśet
14.4.2	tasmiṃtsaṃcita ukhyāmāsandīṃ nairṛtīśceṣṭakā araṇyaṃhriyamāṇā anugacchet
14.4.3	nidhīyamānānāṃ dakṣiṇataḥ sthitvā nihitāsvapa upaspṛśyānapekṣaṃ pratyāvrajet
14.4.4	agniṃ vikrakṣyatsu sarvauṣadhaṃ ca vapsyatsu tatra gatvā tūṣṇīmupaviśet
14.4.5	taiḥ sārdhaṃ pratyāvrajya citīḥ praṇīyamānā anugacchet
14.4.6	nidhīyamānānāṃ dakṣiṇataḥ sthitvā nihitāsu dakṣiṇasya pakṣasyāsanno yajuṣopaviśet
14.4.7	lokaṃ pṛṇāsūpadhīyamānāsu brāhmaṇaṃ tatra samādiśya yathārthaṃ syāditi śāṇḍilyaḥ
14.4.8	āsītaiveti dhānaṃjayyaḥ
14.4.9	evaṃ sadā citiṣu kuryyāt
14.4.10	saṃcitakarmāṇi kariṣyatsvāvrājamāsīta
14.4.11	samrāḍāsandīṃ hriyamāṇāmanugacchet
14.4.12	nidhīyamānānāṃ dakṣiṇataḥ sthitvā pariṣicyamāne 'pa upaspṛśya taiḥ sārdhaṃ pratyāvrajyāgniṃ praṇīyamānamanugacchedapratirathaṃ japan
14.4.13	tūṣṇīmanagnicityā cet
14.4.14	nidhīyamānasya dakṣiṇataḥ sthitvā nihite dakṣiṇā bahirvedi yajuṣopaviśet
14.4.15	havirdhāne pravartyamāne anugacchet
14.4.16	parivāryamāṇayostatraiva gatvāsīta
14.4.17	ucchritāyām audumbaryāṃ yathārthaṃ syāt
14.4.18	vedikarmaprabhṛti vāgnīṣomapraṇayanāt praṇayanāt
15.1.1	agnīṣomau praṇeṣyatsu vedim ākrāmen mantreṇa
15.1.2	paścimenottaravedim udaṅṅ atikramyākramaṇayajur japet
15.1.3	cātvālasamīpe dīkṣitaścet
15.1.4	tūṣṇīmata ūrdhvaṃ vederākramaṇam
15.1.5	krītvā rājā yenātihṛtaḥ syāttena gatvā tūṣṇīm upaviśet
15.1.6	rājānaṃ harety uktaḥ pūrveṇāgnimekasmā atipradāya tān prasavyaṃ parītyādāyānugaccheddakṣiṇena cedgataḥ syāt
15.1.7	uttareṇa cedyathetaṃ parītyādāyānugacchet
15.1.8	anyena cedbrahmā vrajitaḥ syādanyena rājā tenainaṃ pragṛhṇīyāt
15.1.9	etau tveva brahmaṇo gatikalpāvaharato 'pi
15.1.10	āsītāgnīdhrīya āhutyorhūyamānayoriti dhānaṃjayyaḥ
15.1.11	tiṣṭhediti śāṇḍilyaḥ
15.1.12	uttareṇāgnīdhrīyaṃrājānamājyāni ca hriyamāṇānyanugacchet
15.1.13	praveśiteṣu havirdhānaṃ paścimena gatvāsīteti gautamaḥ
15.1.14	pūrveṇeti dhānaṃjayyo dakṣiṇasya dvārabāhoḥ purastādyajuṣeti
15.1.15	agnīṣomīyavapāyāṃ hutāyāṃ yathetamudaṅṅatikramya cātvāle mārjayeta
15.1.16	evamevāpararātra ājyeṣu praviṣṭeṣūpaveśanam
15.1.17	mārjanaṃ ca
15.2.1	savanīyavapāyāṃ hutāyām
15.2.2	puroḍāśena cariṣyatsu tūṣṇīm upaviśet
15.2.3	dīkṣitaś cet sarvā iḍā anvārabheta
15.2.4	vasatīvarīṣu parihriyamāṇāsu dakṣiṇotkramya tiṣṭhed adīkṣitaś ced ā tāsāṃ pariharaṇāt
15.2.5	āgnīdhrīyaṃrājānaṃhriyamāṇamanugacchet
