#Text:Kātyāyanaśrautasūtra
#Data entry:M. Fushimi



1.1.1	athāto 'dhikāraḥ
6.1.28	agrāc caṣālaṃ pṛthamātram aṣṭāśri madhyasaṃgṛhītam
6.1.29	ūrdhvamagre pratimuñcati
6.1.30	dvyaṅgulaṃ tryaṅgulaṃ vā tardmātikrāntaṃ yūpasya
6.1.31	pañcāratniḥ pañcadaśaparyantaḥ some daśasaptacaturdaśavarjam
6.1.32	aparimito vā
6.1.33	saptadaśa vājapeye
6.1.34	ekaviṃśatir aśvamedhe
6.1.35	yathākāyaṃ sthavimā
6.1.36	vediṃ kariṣyan ṣaḍḍhotāraṃ pañcagṛhītaṃ manasānudrutya juhoty ekām āhutiṃ pañca vā dyauṣ pṛṣṭham antarikṣam ātmāṅgair yajñaṃ pṛthivīṃ śarīrair vācaspate 'chidrayā vācāchidrayā juhvā divi devāvṛdhaṃ hotrām airayant svāheti
6.2.1	vediṃ karoti varuṇapraghāsavat
6.2.2	sphyādy āgninidhānāt
6.2.3	ekam idhmena praṇayati
6.2.4	vratopāyanapraṇītājyabhāgabhāgāvadānapūrṇapātraviṣṇukramān kuryād dhaviryajñavidhe
6.2.5	paristaraṇapātrasaṃsādanaprokṣaṇājyanirvapaṇādhiśrayaṇāni kṛtvottaraparigrahādi karoty ājyāsādanāt
6.2.6	sapṛṣadājyam ājyagrahaṇam
6.2.7	barhiṣi plakṣaśākhā stṛṇāti
6.2.8	devasya tvety abhrim ādāya yūpāvaṭaṃ parilikhatīdam aham ity āhavanīyasya purastād antarvedyardham
6.2.9	uparasaṃmitaṃ khanati
6.2.10	prācaḥ pāṃsūn udvapati
6.2.11	tad agreṇa yūpaṃ prāñcaṃ nidadhāti
6.2.12	kuśamuṣṭim upari tasmin
6.2.13	prathamaśakalaṃ ca
6.2.14	agram uttareṇa caṣālam
6.2.15	yavo 'sīty apsu yavān opya prokṣaty agramadhyamūlāni dive tveti pratimantram
6.2.16	prokṣāmīti sarvatra sākāṅkṣatvāt
6.2.17	avaṭe śeṣam āsiñcati śundhantām iti
6.2.18	barhīṃṣi prāñcy udañci ca prāsyati pitṛṣadanam asīti
6.2.19	prathamaśakalaṃ cāgreṇīr asīti
6.2.20	sruveṇāvaṭe juhoti tūṣṇīm
6.2.21	purastāt parikramyādhvaryur yajamāno vā yūpam anakty udaṅṅ upaviśya
6.3.1	yūpāyājyamānāyānuvācayati
6.3.2	devas tvety anakti
6.3.3	caṣālam ubhayataḥ
6.3.4	uktaṃ pratimuñcati supippalābhya iti
6.3.5	soparam agniṣṭhādeśam aktvā parivyayaṇadeśaṃ samantaṃ parimṛśyādhvaryur nāvasṛjed ā parivyayaṇāt
6.3.6	uchrīyamāṇāyānuvācayati
6.3.7	dyām agreṇety uchrayati
6.3.8	yā ta iti minoti
6.3.9	agniṣṭhā sampratyāhavanīyam
6.3.10	brahmavani tveti pāṃsubhiḥ paryūhati
6.3.11	brahma dṛṃheti maitrāvaruṇadaṇḍena samantaṃ triḥ paryṛṣati
6.3.12	samam bhūmi kṛtvādbhir upasicya viṣṇoḥ karmāṇīti vācayati yūpam anvārabdham
6.3.13	tad viṣṇor iti caṣālam īkṣamāṇam
6.3.14	parivīyamāṇāyānuvācayati
6.3.15	triguṇā trivyāmā kauśī raśanā tayā nābhimātre trivṛtaṃ parivyayati parivīr asīti
6.3.16	saṃsṛjyānyatarasyām antaṃ praveśayati
6.3.17	yūpaśakalam asyām avagūhaty uttareṇāgniṣṭhāṃ divaḥ sūnur asīti
6.3.18	bahuṣu yathāsvam
6.3.19	upāvīr asīti tṛṇam ādāya tena paśum upaspṛśaty upa devān iti
6.3.20	chāgaṃ mantrāmnānāt
6.3.21	pannadam
6.3.22	avyaṅgam
6.3.23	yathāmantravarṇaṃ prokṣaṇe
6.3.24	nācoditatvāt
6.3.25	agniṃ manthaty ā homāt karoti
6.3.26	upākaraṇamanthane vā
6.3.27	dviguṇaraśanayā dvivyāmayā kauśyā pāśaṃ kṛtvāntarāśṛṅgam abhidakṣiṇaṃ badhnāty ṛtasya tveti
6.3.28	devasya tveti yūpe
6.3.29	aindrāgnaḥ sauryaḥ prājāpatyo vā
6.3.30	yam ichet
6.3.31	adbhyas tveti paśuṃ prokṣaṇībhiḥ prokṣati
6.3.32	apāṃ perur ity āsya upagṛhṇāti
6.3.32	āpo devīr ity adhastād upokṣati
6.4.1	idhmapraiṣādi karoty āprayājebhyaḥ
6.4.2	uttarāghāram āghārya paśuṃ pūrvaṃ samanakti lalāṭāṃsaśroṇiṣu saṃ ta iti pratimantram
6.4.3	pravṛtya hotāram āśrāvyāhāgnir ha daivīnāṃ viśāṃ puraetāyaṃ yajamāno manuṣyāṇāṃ sunvann iti sutye tayor asthūri gārhapatyaṃ dīdayachataṃ himā dvā yū rādhāṃsīt sampṛñcānāv asampṛñcānau tanva iti
6.4.4	maitrāvaruṇāya daṇḍaṃ prayachati mitrāvaruṇayos tvā praśāstroḥ praśiṣā prayachāmīti
6.4.5	audumbaraṃ yajamānamukhamātram
6.4.6	dīkṣitadaṇḍaṃ some
6.4.7	krīte vā
6.4.8	ekādaśa prayājāḥ
6.4.9	anuyājāś ca
6.4.10	samaitrāvaruṇe preṣyety āha yajasthāne vacane
6.4.11	daśeṣṭvā prayājān āha śāsam āhareti
6.4.12	svarum ādāyāktvobhau juhvagre tābhyāṃ paśor lalāṭam upaspṛśati ghṛtenāktāv iti
6.4.13	svarum avaguhyāsiṃ prayachann āhaiṣā te prajñātāśrir astv iti
6.4.14	sādayitvā srucau cātvālam uttareṇa śāmitrāyollikhati
6.5.1	paryagnaye 'nuvācayati
6.5.2	āhavanīyolmukam ādāyāgnīt triḥ samantaṃ paryeti paśvājyaśāmitradeśayūpacātvālāhavanīyān
6.5.3	ājyapaśuśāmitrān vā
6.5.4	pratiprāsyolmukaṃ tāvat pratiparyeti
6.5.5	punar ādāyodaṅ pratipadyate
6.5.6	paśuś cānvak
6.5.7	pratiprasthātānvārabhata enaṃ vapāśrapaṇībhyāṃ kārṣmaryamayībhyāṃ viśākhāviśākhābhyām
6.5.8	tam adhvaryuḥ
6.5.9	yajamāno 'dhvaryum
6.5.10	veditṛṇe adhvaryur ādāyāśrāvyāhopapreṣya hotar havyā devebhya iti
6.5.11	revati yajamāna iti vācayati
6.5.12	śāmitraṃ nātīyāt
6.5.13	śāmitre 'gniṃ nidadhāti
6.5.14	nirmanthyam eke
6.5.15	paścāt tṛṇam upāsyati varṣo varṣīyasīti
6.5.16	tasminn enaṃ nighnanti pratyakśirasam udakpādam
6.5.17	prākśirasaṃ vā
6.5.18	saṃgṛhya mukhaṃ tamayanty avāśyamānam
6.5.19	veṣkeṇa vā
6.5.20	etyāhavanīyam āvṛtyāsate
6.5.21	saṃjñapayānvagann ity eva brūyāt
6.5.22	svāhā devebhya iti juhoti
6.5.23	saṃjñaptaḥ paśur iti prokte śetāṃ nu muhūrtam ity āhāsome
6.5.24	devebhyaḥ svāheti juhoti
6.5.25	na vaite juhuyāt
6.5.26	vapāśrapaṇībhyāṃ niyojanīṃ cātvāle prāsyati māhir bhūr iti
6.5.27	pratiprsthātaḥ patnīm udānayety āha
6.5.28	neṣṭar iti some
6.6.1	pānnejanahastāṃ vācayati nayan namas ta ātāneti
6.6.2	paśoḥ prāṇāñ chundhati patnī
6.6.3	mukhaṃ nāsike cakṣuṣī karṇau nābhiṃ meḍhraṃ pāyuṃ pādānt saṃhṛtya vācaṃ te śundhāmīti pratimantam
6.6.4	śeṣeṇa yajamānaś ca śiraḥprabhṛty anuṣiñcataḥ
6.6.5	manas ta iti śiraḥ
6.6.6	yat te krūram ity aṅgāni
6.6.7	śam ahobhya iti paścāt paśor niṣiñcataḥ
6.6.8	uttānaṃ paśuṃ kṛtvāgreṇa nābhiṃ tṛṇaṃ nidadhāty oṣadha iti
6.6.9	svadhita iti prajñātayābhinidhāya chittvāgraṃ savye kṛtvā dakṣiṇena mūlam ubhayato 'nakti lohitena rakṣasām iti
6.6.10	nirastam ity apāsyati
6.6.11	idam aham ity abhitiṣṭhati yajamānaḥ
6.6.12	vapām utkhidya vapāśrapaṇyau prorṇauti ghṛtena dyāvāpṛthivī iti
6.6.13	parivāsya cātvāle 'vasicya śāmitre pratapati
6.6.14	śāmitraikadeśam āhavanīye prāsyaty agnīt
6.6.15	tṛṇāgraṃ cādhvaryur vāyo ver iti
6.6.16	uttaratas tiṣṭhan pratapya vapām antarā yūpāgnī hṛtvā dakṣiṇataḥ pratiprasthātā śrapayati parītya
6.6.17	vapāṃ sruveṇābhighārayaty agnir ājyasyeti
6.6.18	stokebhyo 'nuvācayati
6.6.19	śṛtāyāṃ śṛtā pracarety āha pratiprasthātā
6.6.20	svāhākṛtibhyaḥ preṣyeti
6.6.21	hutvā vapām abhighārayati pṛṣadājyam
6.6.22	dhruvāṃ prathamam ājyabhāgau cet
6.6.23	atrājyabhāgau kurvan
6.6.24	vapayā cariṣyann upastīrya hiraṇyam avadhāya vapām avadyann āhendrāgnibhyāṃ chāgasya vapāyai medaso 'nubrūhīti
6.6.25	hiraṇyam avadhāya dvir abhighāraṇaṃ some
6.6.26	āśrāvyāhendrāgnibhyāṃ chāgasya vapāṃ medaḥ preṣyeti
6.6.26	prasthitam iti ca prasute
6.6.27	hutvā vapāśrapaṇyāv anuprāsyati prācīṃ viśākhāṃ pratīcīm itarāṃ svāhākṛte iti
6.6.28	cātvāle mārjayante sapatnīkā idam āpaḥ pravahateti
6.7.1	viśāsti paśum anyaḥ
6.7.2	ṛtvijāṃ vaiko 'prakl̥ptatvāchāmitre
6.7.3	upagādarśanāc ca
6.7.4	vikrayī tv anyaḥ śūdrasaṃyogāt
6.7.5	aṅgāny avadyaty abhañjan
6.7.6	hṛdayaṃ jihvāṃ kroḍaṃ savyasakthipūrvanaḍakaṃ pārśve yakṛdvṛkkau gudamadhyaṃ dakṣiṇā śroṇir iti jauhavāni
6.7.7	dakṣiṇasakthipūrvanaḍakaṃ gudatṛtīyāṇiṣṭhaṃ savyā śroṇir ity aupabhṛtāni
6.7.8	varṣiṣṭham upayaḍbhyaḥ
6.7.9	avadānakāle prabhāgaḥ
6.7.10	vaniṣṭhujāghani cāvadyati
6.7.11	klomaplīhādhyūdhnīpurītataṃ cechan
6.7.12	udaramedo 'vaśiṣṭaṃ gude prāsyati kṛśaś cet
6.7.13	śvabhra ūvadhyam avadhāya tasmin lohitaṃ rakṣasām iti
6.7.14	śūle hṛdayaṃ pratṛdya śāmitre śrapayati
6.7.15	paśuṃ cokhāyām
6.7.16	paśudevatāyai puroḍāśa ekādaśakapālaḥ
6.7.17	agnīṣomīyo vā viśeṣopadeśāt
6.7.18	atraiva haviṣkṛdāhvānam ijyaikatvāt
6.7.19	avadyann āhendrāgnibhyāṃ puroḍāśasyānubrūhīti
6.7.20	upabhṛti cāvadyati sviṣṭakṛdvat
6.7.21	indrāgnibhyāṃ puroḍāśam iti preṣyati
6.7.22	hutvā samānīyāgnaye pradāya
6.7.23	saguṇasthāne 'guṇaḥ sarvavikāra ekatvāt
6.7.24	yathāmnātaṃ vā vacibhedāt
6.7.25	iḍām avadyati
6.7.26	akriyānyasya samānārthatvāt
6.7.27	na codanābhedāt
6.7.28	kālaguṇabhedāc ca
6.7.29	paśur dakṣiṇā dhenur varo vā mārjite
6.8.1	śamitāraṃ śāsti triḥ pracyāvayatāt triḥ pracyutasya hṛdayam uttamaṃ kurutāt yat tvā pṛchāchṛtaṃ haviḥ śamitā3r iti śṛtam ity eva brūtān na śṛtaṃ bhagavo na śṛtaṃ hīti
6.8.2	triḥpracyute hṛdayaṃ pravṛhyottamaṃ karoti
6.8.3	śūlaṃ cābhūmau
6.8.4	juhvā pṛṣadājyasyādāyopaniṣkramya pṛcchati śṛtaṃ haviḥ śamitā3r iti trir abhikrāmam
6.8.5	prokte tad devānām ity āhopāṃśu
6.8.6	saṃ te mana iti hṛdayam abhighārya sarvam
6.8.7	paśvasī vapāvad dhṛtvā dakṣiṇataḥ pratiprasthātā vedyāṃ plakṣaśākhāsv avadyati
6.8.8	juhūpabhṛtor upastṛṇīte vasāhomahavanyāṃ pātryāṃ ca
6.8.9	manotāyai haviṣo 'vadīyamānasyānubrūhīty ukte srucor avadyati yathoktaṃ dvirdviḥ
6.8.10	aśeṣe gudatṛtīye
6.8.11	vapāvad dhiraṇyam
6.8.12	reḍ asīti vasāṃ gṛhītvā dvir abhighārya prayutam iti pārśvena saṃsṛjaty asinā vā
6.8.13	śeṣam iḍāpātryām āsicya kroḍam anasthīni ca prāsyati śroṇivarjam
6.8.14	jāghanīgudaṃ nidhāyāhendrāgnibhyāṃ chāgasya haviṣo 'nubrūhīti
6.8.15	āśrāvyāhendrāgnibhyāṃ chāgasya haviḥ preṣyeti
6.8.16	prasthitam iti ca prasūte
6.8.17	ardharcāntare yājyāyai vasaikadeśaṃ juhoti ghṛtaṃ ghṛtapāvāna iti
6.8.18	daivataṃ hutvā pradakṣiṇam āvṛtya juhvā pṛṣadājyasyopaghnann āha vanaspataye 'nubrūhīti
6.8.19	āśrāvyāha vanaspataye preṣyeti
6.8.20	hutvā samānīya sauviṣṭakṛtam
6.8.21	pratyetya vā diśo vyāghārayati vasāśeṣeṇa vājinavat
6.8.22	sarvaṃ juhoti
6.9.1	aindraḥ prāṇa iti paśuṃ saṃmṛśati
6.9.2	avadāya veḍāṃ prāk pradānāt
6.9.3	iḍām ādadhāti
6.9.4	upahūtāyāṃ vaniṣṭhum agnīdhe
6.9.5	adhyūdhnīṃ hotre
6.9.6	avāntareḍā vā
6.9.7	mārjite preṣyaty agnīd aupayajān aṅgarān āharopayayaṣṭar upasīda brahman prasthāsyāmi samidham ādhāyāgnim agnīt saṃmṛḍḍhīti
6.9.8	śāmitrād aṅgārān āhṛtya vediśroṇyāṃ nivapaty uttarasyām
6.9.9	āgnīdhrīyād vā some hotṛdhiṣṇye
6.9.10	pratiprasthātopayajati gudatṛtīyasya prachedam anuyājeṣu samudraṃ gacheti pratimantram
6.9.11	prativaṣaṭkāraṃ hutvā mano ma iti mukhopasparśanam
6.9.12	anuyājānte svaruṃ juhoti divaṃ te dhūma iti
6.9.13	paśudevatāvanaspatibhyāṃ srugvyūhanam
6.9.14	jāghanyā patnīsaṃyājanam
6.9.15	uttānāyā devānāṃ patnībhyo 'vadyati
6.9.16	iḍāṃ ca
6.9.17	parivartyāgnaye gṛhapataye
6.9.18	agnīdhe ca
6.9.19	ājyena pūrve
6.9.20	sarvā vā jāghanyāviśeṣāt
6.10.1	barhir hutvāpo gachanti hṛdayaśūlam ādāya
6.10.2	āhavanīyaṃ vopasthāya vratādīni cet
6.10.3	abhyavetya śuṣkārdrasaṃdhau hṛdayaśūlam upagūhati śug asi tam abhiśoca yo 'smān dveṣṭi yaṃ ca vayaṃ dviṣmo māpo mauṣadhīr iti ca
6.10.4	glāyann udapātraṃ niṣicya pūrveṇa yūpaṃ yathoktam upagūhati
6.10.5	dhāmnodhāmnaḥ sumitriyā na ity upaspṛśanty apaḥ
6.10.6	upagūhanaśeṣo vā pūrvaḥ
6.10.7	abhimantraṇaṃ vottareṇa
6.10.8	na some 'nūbandhyāvarjam
6.10.9	varuṇapraghāsavat samidādhānam
6.10.10	vrataṃ visṛjyāparāgnīnāṃ pūrve caturgahītaṃ yūpāhutivat
6.10.11	sa vihāro 'taḥ
6.10.12	samāruḍhanirmathite vā
6.10.13	yathotsāhaṃ dadyād asyām
6.10.14	agniṃ praṇīya sadohavirdhānāgnīdhrahotṛdhiṣṇyān yathoktaṃ gṛhītvājyāny āgnīdhrapraṇayanam agnīṣomīyadarśanāt
6.10.15	na somārthatvāt
6.10.16	prasaṅgād darśanam
6.10.17	darvihomāḥ paurṇamāsadharmā juhoty aviśeṣāt
6.10.18	juhūdarśanāc ca
6.10.19	tūṣṇīm
6.10.20	anarthaluptāḥ
6.10.21	ekāgnayaḥ
6.10.22	aprayājāḥ
6.10.23	ananuyājāḥ
6.10.24	asāmidhenīkāḥ
6.10.25	anigadāḥ
6.10.26	pratinigadya homāḥ
6.10.27	svāhākārapradānāḥ
6.10.28	paratantrotpattayo juhotimātrāḥ
6.10.29	pākayajñeṣv avattasyāsarvahomaḥ
6.10.30	hutvā śeṣaprāśanam
6.10.31	agnihotre tad asya pākayajñasyeveti śruteḥ
6.10.32	agnīṣomīyāt paśuṣu
6.10.33	śākhāniyojanam
6.10.34	vapāṃ hutvā trīṇi pañca sarvāṇi vāvadyati
6.10.35	sarvābhāve śeṣāt sviṣṭakṛtaḥ
6.10.36	sthālīpākena saha pradānam
6.10.37	pūrṇapātro dakṣiṇā
6.10.38	varo vā
7.1.1	darśapūrṇamāsābhyām iṣṭvānyena yajeteti śruteḥ
7.1.2	somena vopakl̥ptasoma ādhānasya somaprādhānyāt
7.1.3	nāviśeṣāt
7.1.4	vasante 'gniṣṭomaḥ
7.1.5	aindrāgnaṃ punarutsṛṣṭam ālabhya dvipuruṣāsomapīthinaḥ
7.1.6	ṣoḍaśartvijo brahmodgātṛhotradhvaryubrāhmaṇāchaṃsiprastotṛmaitrāvaruṇapratiprasthātṛpotṛpratihartrachāvākaneṣṭragnītsubrahmaṇyagrāvastudunnetṝn vṛṇīte
7.1.7	caturo vādyān
7.1.8	tatpuruṣā itare yathāvedam
7.1.9	brāhmaṇāchaṃsyagnītpotāro brahmaṇaḥ
7.1.10	devayajanaṃ joṣayante
7.1.11	uccatamam
7.1.12	samam
7.1.13	avibhraṃśi
7.1.14	abhitodevayajanamātradeśam
7.1.15	purastādvarjam
7.1.16	prākpravaṇam
7.1.17	udag vā
7.1.18	yat kiñcānūcānartvijaḥ
7.1.19	uddhatauṣadhimūle 'pare 'nte vimitaṃ kurvanti
7.1.20	prāgvaṃsám
7.1.21	purastāduccam
7.1.22	pratidigdvāram
7.1.23	udagvarjaṃ vā
7.1.24	śālāṃ vā
7.1.25	parivṛte cottarāpare
7.1.26	dīkṣāprabhṛti śuklapakṣe pañcamīṃ saptamīṃ vā prasutaḥ
7.1.27	kālātikrame niyatakriyā prāptakālatvāt
7.1.28	na samatvāt
7.1.29	dvādaśa dīkṣāḥ
7.1.30	aparimitā vā
7.1.31	puṇyāhe dīkṣā krayaḥ prasava utthānam
7.1.32	prakramotthāne virodhe
7.1.33	na vācoditatvāt
7.1.34	dīkṣāsu yūpachedanaṃ yūpāhutiṃ prāgghutvā yūpānte vāgniṃ mathitvā dīkṣitasyāgnihomapratiṣedhaśruteḥ
7.1.35	ucchrayaṇakāle vobhayaṃ homachedane saṃnidheḥ
7.1.36	samārohyāgnī śālāstambhaṃ pūrvārdhyaṃ gṛhītvāraṇipāṇir āhedam aganmeti śālāyām
7.2.1	rājānaṃ nidadhāty āhṛtaś cet
7.2.2	prāk krayād annam upaharanty asmai haviṣyam amāṃsam agniṃ vihṛtya
7.2.3	saptasu prakrameṣv ardhavyāme ca sāgnicitye
7.2.4	aparāhṇe 'śnātīṣṭam
7.2.5	upapannaṃ vā
7.2.6	na vā
7.2.7	kratvartham apadiśyāny asmā uttare parivṛta udakumbhavaty apsudīkṣā
7.2.8	nāpita upatiṣṭhati nakhāni nikṛntaty aṅguṣṭhyaprabhṛtīni dakṣiṇahastasya prathamam
7.2.9	dakṣiṇaṃ godānaṃ vitāryonattīmā āpa iti
7.2.10	yūpavatkuśataruṇam
7.2.11	kṣureṇa cābhinidhāya chittvodapātre prāsyati
7.2.12	evam uttaraṃ tūṣṇīm
7.2.13	nāpitāya kṣuraṃ prayachati
7.2.14	tena keśaśmaśru vapati
7.2.15	āpo asmān iti snātvod id ābhya ity utkrāmaty uttarapūrvārdham
7.2.16	kṣaumaṃ vaste
7.2.17	niṣpeṣṭavai brūyād ahataṃ ced adbhir abhyukṣya
7.2.18	snātavasyaṃ vāmautradhautam
7.2.19	vicitakeśaṃ prasāritadaśaṃ dīkṣātapasor iti
7.2.20	na nīviṃ kurute
7.2.21	evaṃ pratiprasthātāparasmin parivṛte patnīṃ tūṣṇīm
7.2.22	vapanaṃ vā
7.2.23	dhenvanaḍuhayor nāśnīyāt
7.2.24	puruṣadharmo vāsambhavāt
7.2.25	aṃsalabhojanaṃ vā
7.2.26	prapādyāgnāvaiṣṇava ekādaśakapālaḥ
7.2.27	ādityebhyo vā caruḥ
7.2.28	prāk samiṣṭayajuṣaḥ karoti
7.2.29	samiṣṭayajurvarjaṃ vā
7.2.30	upāṃśu caranti prāg agnīṣomīyāt
7.2.31	vāgantena vā dīkṣaṇīyāṃ nīcaistarāṃnīcaistarām itare
7.2.32	upāṃśūpasadaḥ
7.2.33	śālāṃ pūrveṇa tiṣṭhann abhyaṅkte kuśeṣu navanītena śīrṣṇo 'dhyanulomaṃ sapādako mahīnāṃ payo 'sīti
7.2.34	vṛtrasyety akṣyāv anakti traikakudāñjanenābhāve 'nyad dvir dakṣiṇaṃ trir uttaraṃ parāk sakṛtsakṛnmantraḥ śareṣīkayā sāgrayā
7.3.1	kuśapavitraiś citpatir meti pāvayati saptabhiḥ saptabhiḥ pratimantram achidreṇeti sarvatra dvir uparinābhyunmṛjya pradakṣiṇaṃ sakṛd avāṅ
7.3.2	ekena
7.3.3	tribhiḥ
7.3.4	saptabhir vā
7.3.5	ekaśatena vā rājasūye
7.3.6	ā vo devāsa iti vācayati
7.3.7	svāhā yajñam ity aṅgulī acate nānā hastayoḥ
7.3.8	evaṃśeṣaṃ pratimantram
7.3.9	uttamena muṣṭī kṛtvā svāhety uktvā vāgyataḥ
7.3.10	aṅguṣṭhau tatsahite cotsṛjati
7.3.11	vāgyataṃ praveśayati
7.3.12	āhavanīyagārhapatyāv antareṇa
7.3.13	so 'sya saṃcara ā prasavāt
7.3.14	evaṃ pratiprasthātā patnīm abhyañjanādi tūṣṇīm
7.3.15	apareṇa vā praveśayati
7.3.16	audgrabhaṇāni juhoti sthālyāḥ sruveṇākūtyā iti pratimantram
7.3.17	tṛtīyaṃ japaty eva
7.3.18	pañcamaṃ juhvāṃ dhrauvam āsicya dviś ca sthālyāḥ sruveṇa tṛtīyaṃ sruvam abhipūrayati viśvo devasyeti
7.3.19	etām eva vā pūrṇāṃ juhyāt
7.3.20	āhavanīyaṃ dakṣiṇena kṛṣṇājine māṃsasahite syūtānte tardmasu paścādāsañjanavatī nidadhāti
7.3.21	ekaṃ cet paścātpādadviguṇam
7.3.22	dakṣiṇaṃ jānv ācyāste paścād enayoḥ
7.3.23	śuklakṛṣṇasaṃdhim ālabhata ṛksāmayor iti
7.3.24	dakṣiṇajānunārohati śarmāsīti
7.3.25	tenāste 'pare 'nte
7.3.26	mekhalāṃ badhnīte veṇiṃ trivṛtaṃ śaṇamuñjamiśrām antarāṃ vāsasa ūrg asīti
7.3.27	nīviṃ kurute somasya nīvir iti
7.3.28	śiraḥ prorṇute viṣṇoḥ śarmeti
7.3.29	kṛṣṇaviṣāṇāṃ trivaliṃ pañcavaliṃ vottānāṃ daśāyāṃ badhnīte
7.3.30	tayā kaṇḍūyanam
7.3.31	upaspṛśaty enayā dakṣiṇasya bhruva uparīndrasya yonir iti
7.3.32	bhūmau collikhati susasyā iti
7.4.1	mukhasaṃmitam audumbaraṃ daṇḍaṃ prayachati
7.4.2	uchrayasvety enam uchrayati
7.4.3	taṃ dakṣiṇata upadhatte
7.4.4	atra vā muṣṭikaraṇavāgyamane
7.4.5	evaṃ pratiprasthātā ptanīṃ tūṣṇīṃ yugapan mekhalādi
7.4.6	yoktreṇa vā
7.4.7	jālaṃ vā śirasi triparyāyam
7.4.8	pṛthumukho yajñiyavṛkṣaśaṅkuḥ kaṇḍūyane
7.4.9	ollekhanāt karoti mekhalādi cet
7.4.10	kṛṣṇājinādi ced daṇḍāntam
7.4.11	anyo dīkṣito 'yaṃ brāhmaṇa ity āha trir uccaiḥ
7.4.12	brāhmaṇa ity eva vaiśyarājanyayor api śruteḥ
7.4.13	āstamayād vācaṃ yachati
7.4.14	astamite dīkṣita vācaṃ visṛjasva patni vācaṃ visṛjasveti trir āha
7.4.15	agnim abhyāvṛtya vrataṃ kṛṇuteti vāgvisarjanaṃ trir uktvāgnir brahmeti ca sakṛt
7.4.16	bhūr bhuvaḥ svar iti vā
7.4.17	ata ūrdhvam ā muṣṭivisargād anastamite 'nudite ca trir āha dīkṣita vācaṃ yacha patni vācaṃ yacheti
7.4.18	yathoktaṃ visarjanam
7.4.19	vratadughe dohayati
7.4.20	tat kṣīravratau bhavataḥ
7.4.21	prathame vrate vrīhiyavayor anyataram āvapati
7.4.22	ubhāv eke
7.4.23	tad vratam adohe
7.4.24	sarvauṣadhaṃ sarvasurabhi caike
7.4.25	gārhapatye dīkṣitasya śrapaṇam
7.4.26	dakṣiṇāgnau patnyāḥ
7.4.27	yavāgū rājanyasya
7.4.28	āmikṣā vaiśyasya
7.4.29	vrataṃ prayachaty anutsiktam
7.4.30	apararātre sāyaṃdoham
7.4.31	aparāhṇe prātardoham
7.4.32	daivīṃ dhiyam iti vratāyopasparśanaṃ svāsane
7.4.33	ye devā iti vratayaty amṛnmaye
7.4.34	patnī lauhe
7.4.35	śvātrāḥ pītā iti nābhim ālabhate
7.4.36	mekṣyan kṛṣṇaviṣāṇayā loṣṭaṃ kiṃcid vādatta iyaṃ ta iti
7.4.37	apo muñcāmīti mehati
7.4.38	pṛthivyā sambhavety āttaṃ nidadhāti
7.4.39	agne tvam ity uktvā svapity adhaḥ prāṅ dakṣiṇataḥ
7.4.40	agnim abhyāvṛttaṃ vibuddham asvapsyantaṃ punar mana iti vācayati
7.5.1	tvam agna ity āha kruddhvā
7.5.2	avratyaṃ vā vyāhṛtya
7.5.3	labdham ālambhya vācayati rāsveyad iti
7.5.4	aśakye 'bhimantraṇam
7.5.5	śūdrasampraveśasambhāṣāpratyutthānābhivādanodakāvāyavarṣāṇi varjayet prāg avabhṛthāt
7.5.6	parihvālaṃ vadati
7.5.7	vicakṣaṇacanasitavatīṃ vācam
7.5.8	śālāsanāsvapnau saṃdhivelayoḥ
7.5.9	vedyāṃ sutyāsu
7.5.10	aprāyaścittam aparādhe
7.5.11	itaretarasmin vopahavam icheran
7.5.12	patnyām ekadīkṣī
7.5.13	dīkṣānte prāyaṇīyam
7.5.14	adityai caruṃ nirvapati
7.5.15	ājyabhāgāv iṣṭvājyena devatāś catasro yajati pathyāṃ svastim agniṃ somaṃ savitāraṃ ca
7.5.16	carumekṣaṇabarhir nidadhāty udayanīyāyai
7.5.17	salepaṃ caruṃ pramṛṣṭaṃ mekṣaṇam
7.5.18	prakṣālayati vā carum
7.5.19	anupraharatītare
7.5.20	ta evartvijaḥ
7.5.21	vipreteṣv anye 'pi
7.5.22	śamyvantaṃ bhavati
7.5.23	antavacane pūrvaṃ prāpter aviśeṣaśruteḥ
7.5.24	uttaraṃ vā prakṛtyanugrahānuyājapratiṣedhābhyām
7.5.25	grahaṇād apravṛttiḥ
7.5.26	saṃtvarāśruteś ca
7.5.27	nityānuvādo 'nuyājapratiṣedhaḥ
7.6.1	uparavadeśe pratiprasthātā rohite carmaṇy ānaduhe somaṃ nivapati
7.6.2	vikrayy enaṃ vicinoti
7.6.3	kautsaḥ
7.6.4	śūdro vā
7.6.5	brāhmaṇa upāste
7.6.6	udakumbhaś ca purastāt
7.6.7	śālādvārāṇy apidhāya dhrauvaṃ juhvāṃ catur vigṛhṇāti
7.6.8	barhistṛṇena hiraṇyaṃ baddhvāvadadhāty eṣā ta iti
7.6.9	jūr asīti juhoti
7.6.10	śuram asīti hiraṇyam uddhṛtya vedyāṃ tṛṇaṃ nidadhāti
7.6.11	śūtrabddhaṃ hiraṇyaṃ kurute
7.6.12	caturgṛhītaṃ gṛhītvānvārabhasva yajamānety āha
7.6.13	apāvṛtadvāre niṣkrāmataḥ
