#Text:Āpastambaśrautasūtra
#Data entry:M. Fushimi



1.1.1	athāto darśapūrṇamāsau vyākhyāsyāmaḥ
8.14.14	ardhāḥ piṣṭānām āvṛtā saktūn kṛtvābhivānthāyai dugdhasyārdhaśarāve saktūn opyaikayekṣuśalākayekṣukāṇḍena vā dakṣiṇāmukhas triḥ prasavyam anārabhyopamanthati
8.14.15	śalākāsthaṃ manthaṃ kṛtvaikaikaśo havīṃṣy āsādayati
8.14.16	dakṣiṇataḥ kaśipūpabarhaṇam āñjanam abhyañjanam udakumbham ity ekaikaśa āsādya vedaṃ nidhāya sāmidhenībhyaḥ pratipadyate
8.14.17	agnaye devebhyaḥ pitṛbhyaḥ samidhyamānāyānubrūhīti saṃpreṣyati
8.14.18	ekāṃ sāmidhenīṃ trir anvāha / uśantas tvā havāmaha ity etām
8.14.19	ekām anūyājasamidham avaśiṣya samaśa idhmaṃ traidhaṃ vibhajya trir ādadhāti
8.14.20	samānam ā pravarāt
8.14.21	nārṣeyaṃ vṛṇīte na hotāram
8.14.22	āśrāvyāha sīda hotar iti / etāvān pravaraḥ
8.14.23	apabarhiṣaḥ prayājān iṣṭvā jīvavantāv ājyabhāgau yajati
8.14.24	ā no agne suketunā rayiṃ viśvāyupoṣasam / mārḍīkaṃ dhehi jīvase // tvaṃ soma mahe bhagaṃ tvaṃ yūna ṛtāyate / dakṣaṃ dadhāsi jīvasa iti jīvavantau
8.14.25	atra vedyāḥ pariśrayaṇam eke samāmananti
8.15.1	visrasya yajñopavītāni prācīnāvītāni kurvate / viparikrāmanty ṛtvijaḥ / vipariharanti sruco havīṃsi pariśrayaṇānīti
8.15.2	dakṣiṇena juhūm upabhṛtaṃ sādayati / dakṣiṇenopabhrtaṃ dhruvāṃ dakṣiṇena puroḍāśaṃ dhānās tā dakṣiṇena mantham
8.15.3	samānatra juhūṣaṭkapālau
8.15.4	brahmayajamānāv ity eke
8.15.5	ṣaḍavattaḥ pañcāvattināṃ pañcāvattaś caturavattinām
8.15.6	saṃbhindan puroḍāśasyāvadyati
8.15.7	dviḥ prathamasyāvadyet pañcāvattinaḥ
8.15.8	juhvām upastīrya somāya pitṛmate 'nu svadheti saṃpreṣyati
8.15.9	sakṛt puroḍāśasyāvadyati sakṛd dhānānāṃ sakṛn manthasya
8.15.10	dakṣiṇato 'vadāyābhighāryodaṅṅ atikramya dakṣiṇāmukhas tiṣṭhann ā svadhety āśrāvayati
8.15.11	astu svadheti pratyāśrāvayati / somaṃ pitṛmantaṃ svadheti saṃpreṣyati / ye svadhāmaha iti yajati / svadhā nama iti vaṣaṭkaroti
8.15.12	svadhākāraṃ tu pratiṣidhya bahvṛcavājasaneyinām āśrutapratyāśrutāny eva vidadhāti
8.15.13	dve puro'nuvākye anvāha
8.15.14	ṛcam uktvā praṇauti / aparām uktvā praṇauti
8.15.15	tvaṃ soma pracikita ity etā āmnātā bhavanti
8.15.16	ekā yājyā
8.15.17	agniṣvāttāḥ pitara ity eṣā / ye agniṣvāttā ye 'nagniṣvāttā aṃhomucaḥ pitaraḥ somyāsaḥ / pare 'vare mṛtāso bhavanto 'dhibruvantu te avantv asmān // vānyāyai dugdhe juṣamāṇāḥ karambham udīrāṇā avare pare ca / agniṣvāttā ṛtubhiḥ saṃvidānā indravanto havir idaṃ juṣantām iti pitṛbhyo 'gniṣvāttebhyaḥ
8.15.18	upāṃśu pariśrite pitṛyajñena caranti
8.15.19	etenaiva kalpena pitṝn barhiṣado yajaty agniṣvāttān
8.15.20	agniṃ kavyavāhanaṃ sviṣṭakṛdarthe yajati
8.15.21	yāṃ devatāṃ yajet tad dhaviṣaḥ prathamam avadānam avadyati
8.15.22	sa cāvadānakalpaḥ
8.15.23	mantha iḍām avadyati manthaṃ vaiva
8.15.24	manthaṃ hotra ādadhāti
8.15.25	taṃ hotāvajighrati
8.16.1	brahmādhvaryur agnīd yajamānaś ca
8.16.2	api vā na yajamānaḥ
8.16.3	samaśo vā prativibhajyāvaghreṇa bhakṣayitvā barhiṣi lepān nimṛjante
8.16.4	udakumbham ādāya yajamānaḥ śundhantāṃ pitara iti triḥ prasavyaṃ vediṃ pariṣiñcan paryeti
8.16.5	nidhāya kumbhamayā viṣṭhā janayan karvarāṇīti trir apariṣiñcan pratiparyeti
8.16.6	haviḥśeṣān saṃplomnāya piṇḍān kṛtvā tisṛṣu sraktiṣu nidadhāti pūrvasyāṃ dakṣiṇasyām aparasyām iti / etat te tatāsau ye ca tvām anv ity etaiḥ pratimantram
8.16.7	trīn parān pitṝn anvācaṣṭe / ṣaṣṭhaṃ prathame piṇḍe / pañcamaṃ dvitīye / caturthaṃ tṛtīye
8.16.8	uttarasyāṃ sraktyāṃ riptalepaṃ nimṛjyātra pitaro yathābhāgaṃ mandadhvam ity uktvodañco niṣkramya susaṃdṛśaṃ tvā vayam ity aindryarcāhavanīyam upatiṣṭhanta aindrībhyāṃ vā
8.16.9	ā tamitor upasthāyākṣann amīmadanta hīti paṅktyā gārhapatyam upatiṣṭhante
8.16.10	etayaiva pariśritaṃ praviśanti
8.16.11	atraike bhakṣaṇapariṣecane samāmananti
8.16.12	avaghreṇa sarvabhakṣāḥ
8.16.13	āñjanādi piṇḍapitṛyajñavad ā paṅktyāḥ
8.16.14	yad antarikṣam iti paṅktyā punar eti
8.16.15	visrasya prācīnāvītāni yajñopavītāni kurvate / viparikrāmanty ṛtvijaḥ / vipariharanti srucaḥ
8.16.16	apakarṣanti pariśrayaṇāni
8.16.17	aupabhṛtaṃ juhvām ānīyāpabarhiṣāv anūyājau yajati / devau yajeti prathamaṃ saṃpreṣyati / yajety uttaram
8.16.18	sūktavākaṃ prati nivītāni kurvate
8.16.19	na patnīḥ saṃyājayanti
8.16.20	na samiṣṭayajur juhoti
8.16.21	sarvam anyat kriyate
8.16.22	saṃtiṣṭhate pitṛyajñaḥ
8.17.1	pratipuruṣam ekakapālān nirvapati yāvanto yajamānasyāmātyāḥ sastrīkās tāvata ekātiriktān
8.17.2	yāvanto gṛhyāḥ smas tebhyaḥ kam akaram iti nirupyamāṇeṣu yajamāno japati
8.17.3	tūṣṇīm upacaritā bhavanti
8.17.4	uttarārdhe gārhapatyasyādhiśrayati
8.17.5	tān abhighāryānabhighārya vodvāsyāntarvedy āsādya paśūnāṃ śarmāsīti mūte samāvapati
8.17.6	mūtayor mūteṣu vā
8.17.7	kośāpidhānena harantīty ekeṣām
8.17.8	eka eva rudro na dvitīyāya tastha iti dakṣiṇāgner ekolmukaṃ dhūpāyad dharati
8.17.9	uttarapūrvam avāntaradeśaṃ gatvākhus te rudra paśur ity ākhūtkara ekaṃ puroḍāśam upavapati
8.17.10	asau te paśur iti vā dveṣyaṃ manasā dhyāyan
8.17.11	yadi na dviṣyād ākhus te paśur iti brūyāt
8.17.12	catuṣpatha ekolmukam upasamādhāya saṃparistīrya sarveṣāṃ puroḍāśānām uttarārdhāt sakṛtsakṛd avadāya madhyamenāntamenā vā palāśaparṇena juhoti
8.18.1	eṣa te rudra bhāgaḥ saha svasrāmbikayā taṃ juṣasva svāheti bheṣajaṃ gava ity etābhyāṃ cātuṣpatham agniṃ pariṣiñcati / avāmba rudram adimahīti yajamāno japati
8.18.2	tryambakaṃ yajāmaha iti triḥ pradakṣiṇam agniṃ pariyanti
8.18.3	tryambakaṃ yajāmahe sugandhiṃ pativedanam / urvārukam iva bandhanād ito mukṣīya mā pater iti yajamānasya patikāmā parīyāt
8.18.4	ūrdhvān puroḍāśān udasya pratilabhya tryambakaṃ yajāmaha iti yajamānasyāñjalau samopya bhaga stha bhagasya vo lapsīyety apādāyaitenaiva kalpena triḥ samāvapeyuḥ
8.18.5	patikāmā yāś caivaṃ samāvapeyus tathaiva mantraṃ saṃnamayatyaḥ
8.18.6	parītyaparītya samāvapantīty eke
8.18.7	tān mūte samāvapati mūtayor mūteṣu vā
8.18.8	eṣa te rudra bhāga iti vṛkṣa āsajati vṛkṣayor vṛkṣeṣu vā
8.18.9	api vā mūtayoḥ samopya vivadhaṃ kṛtvā śuṣke sthāṇau valmīkavapāyāṃ vāvadhāyāvatatadhanvā pinākahastaḥ kṛttivāsom iti trir avatāmyanti
8.18.10	apaḥ pariṣicyāpratīkṣās tūṣṇīm etyaidho 'sy edhiṣīmahīty āhavanīye samidha ādhāyāpo anvacāriṣam ity upatiṣṭhante
8.19.1	ādityaṃ ghṛte caruṃ pūrvavan nirvapati
8.19.2	aśvaḥ śveto dakṣiṇā
8.19.3	gaur vā śvetaḥ śvetanyaṅgo vā
8.19.4	siddam iṣṭiḥ saṃtiṣṭhate
8.19.5	āgnāvaiṣṇavam ekādaśakapālaṃ nirvapec cakṣuṣkāmo bārhaspatyaṃ caruṃ brahmavarcasakāma aindraṃ paśukāmaḥ sārsavataṃ prajākāmaḥ pauṣṇaṃ pratiṣṭhākāmaḥ
8.19.6	eteṣāṃ yat kāmayet tad anunirvapet
8.19.7	siddham iṣṭiḥ saṃtiṣṭhate
8.19.8	saṃtiṣṭhante sākamedhāḥ
8.19.9	atra paurṇamāsyeṣṭvondanādi pūrvavan nivartanam / sarvaṃ vā vāpayet // mantrādir vikriyate / yo asyāḥ pṛthivyās tvaci nivartayaty oṣadhīḥ / agnir īśāna ojasā varuṇo dhītibhiḥ saha / indro marudbhiḥ sakhibhiḥ saha // agnis tigmeneti samānam
8.20.1	tato dvyahe tryahe caturahe 'rdhamāse māsi caturṣu vā māseṣu śunāsīrīyeṇa yajate
8.20.2	tasya vaiśvadevavatkalpaḥ
8.20.3	nirvapaṇakāla āgneyam aṣṭākapālam iti daśottarāṇi havīṃṣi nirvapati
8.20.4	vāyavyasya payasaḥ prātardohavatkalpaḥ
8.20.5	athaikeṣām / pañca saṃcarāṇi nirupya vāyavyā yavāgūḥ pratidhug vendrāya śunāsīrāya puroḍāśo dvādaśakapālaḥ // indrāya śunāsīrāya srucā juhuta no haviḥ / juṣatāṃ prati medhiraḥ // pra havyāni ghṛtavanty asmai haryaśvāya bharatā sajoṣāḥ / indrartubhir brahmaṇā vāvṛdhānaḥ śunāsīrī havir idaṃ juṣasveti śunāsīrīyasya yājyānuvākye // saurya ekakapāla iti
8.20.6	nava prayājānūyājāḥ
8.20.7	pañcaprayājaṃ tryanūyājam ity eke
8.20.8	saṃsarpo 'sy aṃhaspatyāya tveti māsanāmnaikakapālam abhijuhoti
8.20.9	dvādaśagavaṃ sīraṃ dakṣiṇā
8.20.10	ṣaḍyogaṃ vā
8.20.11	uṣṭārāv ity ekeṣām
8.20.12	uṣṭāraṃ vā
8.20.13	aśvaṃ śvetam ekakapālasya gāṃ vā śvetam
8.21.1	anuvatsarīṇāṃ svastim āśāste / divyaṃ dhāmāśāsta iti sūktavākasyāśiḥṣu hotānuvartayate / evaṃ yajamāno japati / āśāsa iti mantraṃ saṃnamati // siddham iṣṭiḥ saṃtiṣṭhate / saṃtiṣṭhante cāturmāsyāni // atra paurṇamāsyeṣṭvondanādi pūrvavan nivartanam / sarvaṃ vā vāpayet // mantrādir vikriyate / ekaṃ māsam udasṛjat parameṣṭhī prajābhyaḥ / tenābhyo maha āvahad amṛtaṃ martyābhyaḥ // prajām anu prajāyase tad u te martyāmṛtam / yena māsā ardhamāsā ṛtavaḥ parivatsarāḥ // yena te te prajāpata ījānasya nyavartayan / tenāham asya brahmaṇā nivartayāmi jīvase // agnis tigmeneti samānam
8.21.2	cāturmāsyair iṣṭvā somena paśunā vā yajate
8.21.3	phālgunyā uddṛṣṭe somāya dīkṣate
8.21.4	taṃ tato nānījānam aparā phālgunī paryaveyāt
8.21.5	iti vai khalūtsṛjamānasya
8.21.6	atha punarālabhamānasya phālgunyāś caturdaśyāṃ śunāsīrīyeṇeṣṭvā
8.22.1	pañcadaśyāṃ vaiśvadevena yajate
8.22.2	etenaiva paśukāmo yajeta yasminn asyartau bhūyiṣṭhaṃ goṣu payaḥ syāt
8.22.3	etenaiva prajākāmaḥ paśukāmo vā yajeta
8.22.4	athaikeṣām / vaiśvadevenetareṣāṃ parvaṇāṃ sthāne paśukāmo yajeta yāvat sahasraṃ paśūn prāpnuyāt / athetaraiḥ svakālair yajeta
8.22.5	śunāsīrīyeṇa grāmakāmo varṣya udake yajeta
8.22.6	varṣyam udakam anvavasāya tat udakārthān kurute
8.22.7	etenaiva prajākāmaḥ paśukāmaḥ puṣṭikāmo brahmavarcasakāmo 'nnādyakāmo vā yajeta
8.22.8	parvabhiś cāturmāsyeṣu māsān saṃcaṣṭe
8.22.9	pañcasāṃvatsarikāṇi vyākhyāsyāmaḥ
8.22.10	trīn ṛtūn saṃvatsarān iṣṭvā māsaṃ na yajate / dvau parāv iṣṭvā viramati
8.22.11	caitryāṃ tūpakramya dvāv iṣṭvā māsam aniṣṭvā trīn parān iṣṭvā viramati
8.22.12	atha pañcadaśavarṣikāṇi
8.22.13	etāny eva dviḥ
8.22.14	trir aparimitaṃ vābhyasyet
8.22.15	vijñāyate ca sa triṣutriṣu saṃvatsareṣu māsaṃ na yajata ity etad vacano 'bhyāsaḥ
8.22.16	pañcasāṃvatsarikeṣu vaiśvānarapārjanyā pañcahotā ca nābhyāvarteta
8.22.17	ekopakramatvāt
8.22.18	yathānvārambhaṇīyā yathānvārambhaṇīyā
9.1.1	śrutilakṣaṇaṃ prāyaścittaṃ vidhyaparādhe vidhīyate
9.1.2	ekasmin doṣe śrūyamāṇāni prāyaścittāni samabhyuccīyerann arthāntaratvāt
9.1.3	japo homa ijyā ca
9.1.4	doṣanirghātārthāni bhavanti
9.1.5	anantaraṃ doṣāt kartavyāni
9.1.6	nirhṛte doṣe punaḥ kṛtsnaṃ karma
9.1.7	tasya nāvacanāt punaḥprayogaḥ
9.1.8	tubhyaṃ tā aṅgirastamety anvāhitāgniḥ prayāsyañ juhuyāt
9.1.9	pṛthag araṇīṣv agnīn samāropya prayāti
9.1.10	yatra vaset tad etām iṣṭiṃ saṃsthāpayet
9.1.11	yady anvāhitāgner āhavanīyo 'nugacched anv agnir uṣasām agram akhyad ity anyaṃ praṇīya bhūr ity upasthāya yo agniṃ devavītaye haviṣmāṁ āvivāsati / tasmai pāvaka mṛḍaya svāheti / pūrṇaṃ sruvaṃ sarvaprāyaścittaṃ hutvedaṃ viṣṇur vicakrama ity āhutiṃ juhuyāt
9.1.12	japed ity eke
9.1.13	manasā vratopāyanīyaṃ yajur japet
9.1.14	yaḥ kaścanānugacched etad eva praṇayanavarjam āvarteta
9.1.15	manthed gārhapatyam
9.1.16	yā prakṛtir dakṣiṇāgneḥ
9.1.17	yady āhitāgner agnir apakṣāyed ā śamyāparāsāt pari vājapatiḥ kavir agnir iti triḥ pradakṣiṇaṃ parikramya taṃ saṃbhared idaṃ ta ekaṃ para uta ekaṃ tṛtīyena jyotiṣā saṃviśasva / saṃveśanas tanuvai cārur edhi priye devānāṃ parame janitra iti
9.1.18	yadi parastarām apakṣāyed anuprayāyāvasyet
9.1.19	tad agnaye pathikṛte puroḍāśam aṣṭākapālaṃ nirvapet
9.1.20	patho 'ntikād barhir āharet
9.1.21	anaḍvān dakṣiṇā / siddham iṣṭiḥ saṃtiṣṭhate
9.1.22	tataḥ śvo bhūte gṛheṣu pratyavasyati
9.1.23	yasya haviṣe vatsā apākṛtā dhayeyus tatsthāne vāyavyāṃ yavāgūṃ nirvapet
9.1.24	athottarasmai haviṣe vatsān apākṛtyopavaset
9.1.25	yasya sāyaṃdugdhaṃ havir ārtim ārchatīndrāya vrīhīn nirupyopavaset
9.1.26	yat prātaḥ syāt tac chṛtaṃ kuryāt
9.1.27	athetara aindraḥ puroḍāśaḥ syāt
9.1.28	tasya prātardohena samavadāya pracaret
9.1.29	etad eva prātardoha ārtigate prāyaścittam
9.1.30	sāyaṃdohenāsya samavadāya pracaret
9.1.31	yasyobhau dohāv ārtim ārcheyātām āgneyam aṣṭākapālaṃ nirvaped aindraṃ pañcaśarāvam odanam
9.1.32	agniṃ puroḍāśena yajeta / indraṃ pañcaśarāveṇa
9.1.33	pañcasarāveṇa vobhe devate yajeta
9.1.34	athottarasmai haviṣe vatsān apākṛtyopavaset
9.2.1	yasya vratye 'han patny anālambhukā syāt tām aparudhya yajeta
9.2.2	jaghanena vedim antarvedi vodakśulbaṃ saṃnahanaṃ stṛṇīyāt
9.2.3	yadā trirātrīṇā syād athainām upahvayetāmūham asmi sā tvaṃ dyaur ahaṃ pṛthivī tvaṃ sāmāham ṛk tvaṃ tāv ehi saṃbhavāva saha reto dadhāvahai puṃse putrāya vettavai rāyaspoṣāya suprajāstvāya suvīryāyeti
9.2.4	yasyāgnihotraṃ sāmnāyyaṃ vā viṣyandetodaṅ paretya valmīkavapām uddhṛtya prajāpate na tvad etānīti prājāpatyayarcā valmīkavapāyām avanīya bhūr ity upasthāyānyāṃ dugdhvā punar juhuyāt / yadi sāṃnāyyam anyad āgamayet
9.2.5	yadi kīṭo 'vapadyeta madhyamenāntamena vā palāśaparṇena mahī dyauḥ pṛthivī ca na iti dyāvāpṛthivyayarcāntaḥparidhi ninīyānyāṃ dugdhvā punar juhuyāt / yadi sāṃnāyyam anyad āgamayet
9.2.6	yasyāgnihotram avavarṣen mitro janān kalpayati prajānan mitro dādhāra pṛthivīm uta dyām / mitraḥ kṛṣṭīr animiṣābhicaṣṭe satyāya havyaṃ ghṛtavaj juhoteti tat kṛtvānyāṃ dugdhvā punar juhuyāt
9.2.7	yadi pūrvasyām āhutyāṃ hutāyām uttarāhutiḥ skanded yadi vottarayā pūrvām abhijuhuyād yatra vettha vanaspate devānāṃ guhyā nāmāni / tatra havyāni gāmayeti vānaspatyayarcā samidham ādhāya tata eva tūṣṇīṃ hutvānyāṃ dugdhvā punar juhuyāt
9.2.8	yadi pūrvasyām āhutyāṃ hutāyām āhavanīyo 'nugacched agnir dārau dārāv agnir iti vadann anantare śakale hiraṇye vā juhuyāt
9.2.9	yadi purā prayājebhyo bahiḥparidhy aṅgāraḥ skandet taṃ sruvasya budhnenābhinidadhyān mā tamo mā yajñas taman mā yajamānas taman namaste astv āyate namo rudra parāyate namo yatra niṣīdasi / adhvaryuṃ mā hiṃsīr yajamānaṃ mā hiṃsīr iti yadi purastāt / brahmāṇaṃ mā hiṃsīr yajamānaṃ mā hiṃsīr iti yadi dakṣiṇataḥ / hotāraṃ mā hiṃsīḥ patnīṃ mā hiṃsīr yajamānaṃ mā hiṃsīr iti yadi paścāt / āgnīdhraṃ mā hiṃṣīḥ paśūn mā hiṃsīr yajamānaṃ mā hiṃsīr iti yady uttarataḥ
9.2.10	āhaṃ yajñaṃ dadhe nirṛter upasthāt taṃ devebhyaḥ paridadāmīty enam ādāya
9.3.1	sahasraśṛṅgo vṛṣabho jātavedāḥ stomapṛṣṭho ghṛtavān supratīkaḥ / mā no hāsīn metthito nettvā jahāma gopoṣaṃ no vīrapoṣaṃ ca yacchety enam agnau praharati
9.3.2	prahṛtya vābhijuhuyāt
9.3.3	yadi kālasaṃnikarṣe 'gnir mathyamāno na jāyeta yatrānyaṃ paśyet tata āhṛtya juhuyāt
9.3.4	athātvaramāṇaḥ punar manthet
9.3.5	yady anyaṃ na vinded ajāyai dakṣiṇe karṇe hotavyam
9.3.6	ajasya tu tato nāśnīyāt
9.3.7	yady ajāṃ na vinded brāhmaṇasya dakṣiṇe haste hotavyam
9.3.8	brāhmaṇaṃ tu vasatyai nāparundhīta
9.3.9	yadi brāhmaṇaṃ na vinded darbhastambe hotavyam
9.3.10	darbhāṃs tu nādhyāsīta
9.3.11	yadi darbhān na vinded apsu hotavyam
9.3.12	āpas tu na paricakṣītemā bhojanīyā imā abhojanīyā iti
9.3.13	apy abhojanīyasyaitaṃ saṃvatsaraṃ parigṛhṇīyād evāpaḥ
9.3.14	adbhis tu na pādau prakṣālayīta
9.3.15	sāṃvatsarikāṇy etāni vratānīty āśmarathyaḥ / yāvajjīvam ity ālekhanaḥ
9.3.16	saṃvatsarasya parastād agnaye vratapataye puroḍāśam aṣṭākapālaṃ nirvapet
9.3.17	agnaye kṣamavate 'ṣṭākapālaṃ yeṣāṃ pūrvāparā anvañcaḥ pramīyeran / gṛhadāhe vā
9.3.18	agnaye vivicaye 'ṣṭākapālaṃ yasyāhitāgner anyair agnibhir agnayaḥ saṃsṛjeran mitho vā
9.3.19	agnaye vipṛce 'ṣṭākapālaṃ yadi gārhapatyāhavanīyau
9.3.20	agninā vipṛcā vayaṃ gīrbhiḥ stomaṃ manāmahe / sa no rāsva sahasriṇaḥ // kavir agniḥ samidhyate vipro yajñasya sādhanaḥ / vipṛñcan rāsva no vasv iti yajyānuvākye
9.3.21	agnaye vītaye 'ṣṭākapālaṃ yadi gārhapatyadakṣiṇāgnī dakṣiṇāgnyāhavanīyau vā
9.3.22	agnaye śucaye 'ṣṭakapālaṃ yadi pradāvyenābhyādāhyena śavāgninā vā // agnaye saṃkusukāyāṣṭākapālaṃ yadi sūtakāgninā // saṃkusuko vikiro yaś ca viṣkiraḥ / māṣājyena naledhmena kravyādaṃ śamayāmasi // asmin vayaṃ saṃkusuke 'gnau riprāṇi mṛjmahe / abhūma yajñiyāḥ śuddhāḥ pra ṇa āyūṃṣi tāriṣad iti yājyānuvākye // agnaye 'psumate 'ṣṭākapālaṃ yadi vaidyutena
9.3.23	yadi sarvāḥ saṃnipateran vivicaye nirupya śucaye nirvaped vrātabhṛtīṃ tṛtīyām apsumatīṃ caturthīṃ kṣāmavatīm antaṃ parikramayet
9.3.24	vrātabhṛtīṃ dvitīyām eke samāmananti / vrātapatīm uttamām
9.4.1	garbhaṃ sravantam agadam akar agnir indras tvaṣṭā bṛhaspatiḥ / pṛthivyām avacuścotaitan nābhiprāpnoti nirṛtiṃ parācair ity agnihotrasthālīṃ sravantīm abhimantrya vidhuṃ dadrāṇam iti saṃdadhyāt
9.4.2	agnaye pathikṛte puroḍāśam aṣṭākapālaṃ nirvaped yo darśapūrṇamāsayājīty uktam
9.4.3	samānatantre vā mukhyaḥ kāryaḥ
9.4.4	athaikeṣām / vi vā etasya yajñaś chidyate yasya yajñe pratate 'ntar etām iṣṭiṃ nirvapanti / ya evāsāv āgneyo 'ṣṭākapālaḥ paurṇamāsyāṃ yo 'māvāsyāyāṃ tam agnaye pathikṛte kuryāt / tenaiva punaḥ panthām avaiti na yajñaṃ vicchinattīti vijñāyate
9.4.5	saṃyājye eva pāthikṛtī syātām ity aparam
9.4.6	yasya havir niruptaṃ purastāc candramā abhyudetīty uktam
9.4.7	anirupte 'bhyudite prākṛtībhyo nirvaped ity āśmarathyaḥ
9.4.8	taṇḍulabhūteṣv apanayet
9.4.9	vyṛddhabhāgbhya ity ālekhanaḥ
9.4.10	vinirupte 'bhyudite prākṛtībhyaḥ śeṣam
9.4.11	taṇḍulabhūteṣv apanayet
9.4.12	yasyāgṛhītaṃ havir abhyudiyād vratacaryāṃ vā nodāśaṃsīta / sa tredhā taṇḍulān iti pūrvavat / athottarasmai haviṣe vatsān apākṛtyopavaset
9.4.13	atha yasya gṛhītaṃ havir abhyudiyāt saiva prāyaścittiḥ sā vratacaryā
9.4.14	vatsān mātṛbhiḥ saṃsṛjya punar apākṛtya pūrvedyur dugdhaṃ dadhi havir ātañcanārthaṃ nidadhyāt
9.4.15	agnaye vratapataye puroḍāśam aṣṭākapālaṃ nirvaped ya āhitāgniḥ sann avratyam iva caret pravased vā vratye 'hani māṃsaṃ vāśnāti striyaṃ vopaiti
9.4.16	agnaye vratabhṛde 'ṣṭākapālaṃ yady ārtijam aśru kuryāt
9.4.17	tvam agne vratabhṛc chucir devāṁ āsādayā iha / agne havyāya voḍhave // vratānubibhrad vratapā adābhyo yajā no devāṁ ajaraḥ suvīraḥ / dadhad ratnāni suvidāno agne gopāya no jīvase jātaveda iti yājyānuvākye // vrātabhṛtīṃ pravāsa eke samāmananti vrātapatīm aśrukarmaṇi
9.5.1	yady agnihotry upasṛṣṭā vāśyeta yasmād bhīṣāvāśiṣṭhās tato no abhayaṃ kṛdhi / abhayaṃ naḥ paśubhyo namo rudrāya mīḍhuṣa iti juhuyād abhi vā mantrayeta
9.5.2	yady u vai niṣīded etayaiva yasmād bhīṣā nyaṣada ity abhimantryodasthād devy aditir viśvarūpy āyur yajñapatāv adhāt / indrāya kṛṇvatī bhāgaṃ mitrāya varuṇāya cety upasthāpya tāṃ dugdhvā brāhmaṇāya dadyād yasyānnaṃ nādyāt / avartim evāsmin pāpmānaṃ pratimuñcatīti vijñāyate
9.5.3	api vā daṇḍena vipiṣyāvipiṣya votthāpyātman kurvīta
9.5.4	sūyavasād bhagavatī hi bhūyā atho vayaṃ bhagavantaḥ syāma / addhi tṛṇam aghnye viśvadānīṃ piba śuddham udakam ācarantīti darbhastambam ālupya grāsayet
9.5.5	yady u vai lohitaṃ duhīta vyutkrāmatety uktvā dakṣiṇam agniṃ pariśritya tasminn etac chrapayitvā tasmin vyāhṛtībhis tūṣṇīṃ vā hutvā tāṃ brāhmaṇāya dadyād yam anabhyāgamiṣyan syāt
9.5.6	yadi duhyamānaṃ skanded yad adya dugdhaṃ pṛthivīm asakta yad oṣadhīr apyasarad yad āpaḥ / payo gṛheṣu payo aghniyāsu payo vatseṣu payo astu tan mayīty enad abhimantrya samudraṃ vaḥ prahiṇomīty adbhir upasṛjet
9.5.7	yadi duhyamānā sthālīm avabhindyān nirṇijyānyāṃ duhyāt tāṃ vaiva
9.5.8	yadi duhyamānaṃ dugdhaṃ hriyamāṇaṃ hṛtam adhiśrīyamāṇam adhiśritam udvāsyamānam udvāsitam unnīyamānam unnītaṃ vā skandet tad eva yādṛk kīdṛkca hotavyam anyayā vābhidohyam
