1.1.1	The Dharma has been taught in the Vedas.
2.4.22	The wife and others are the fire, and the performance of rites in that is before the setting up of the fire.
2.4.1	The punishment for a non-Brahmin is to be taken in the form of his body.
2.4.2	The wives of all castes are to be protected more than wealth.
2.4.3	But there is no killing of the wives of actors or those who enter the stage, because they are connected with them, and they move even those who are hidden.
2.4.4	Women are pure and incomparable; they are never defiled. Their monthly flow removes sins every month.
2.4.5	Soma gave them purity, Gandharva gave them the art of singing, and Agni gave them the right to eat everything. Therefore, women are free from sin.
2.4.23	Then, beginning with the Agni-installation, these are the eternal rites: the Agni-installation rite, the Agnihotra, the Darsha-Paurnamasa, the Agrayana, the animal sacrifice at the beginning of the northern and southern solstices, the Catu-r-masya sacrifices at the beginning of each season, the six Hotras in the spring, the Jyotishtoma. Thus, it leads to prosperity.
2.4.24	But they say, “One cannot go to heaven by sleeping during the day, or by eating all kinds of food, or by climbing and falling.”
2.4.25	One should avoid weakness, deceit, and roughness.
2.4.6	If a woman has no children, she should abandon her husband in the tenth year, if she has children of another man, in the twelfth year, if her children are dead, in the fifteenth year, and if she speaks unpleasant words, immediately.
2.4.7	A widow should avoid honey, meat, wine, and salt for a year, and should sleep on the ground.
2.4.8	Maudgalyāyana says for six months.
2.4.9	Beyond that, if a woman has no son, she should conceive a son with the permission of her elders.
2.4.26	Here they recite these verses of the conversation between the daughters of Usanas and Vrishaparva: "You are the daughter of the one who praises, I am the daughter of the supplicant, the receiver. I am the daughter who gives to the one who praises and gives without receiving." "Gives without receiving" (is said) because of the giving of the one who gives without receiving.
2.5.1	The bathing in the water of the ascetic.
2.5.2	Having satisfied the deities, the offering to the ancestors.
2.4.10	But they say that a woman who has given birth to a son, who is free from menstrual impurity, whose offspring have died, and who is not desirous, should not be engaged.  The fruit of her is not found.
2.4.11	The sister of the mother, the father, the brother, the sister, the daughter-in-law, the maternal aunt, the wife of a friend, these are the forbidden ones.
2.4.12	For approaching the forbidden ones, the expiation is Kṛcchra, Atikṛcchra, and Cāndrāyaṇa.
2.5.3	He sprinkles water from the river towards the south, saying, "Carrying strength."
2.5.4	They also quote: "When the rivers are flowing uninterruptedly, the three castes of twice-born should, on rising in the morning, perform the offering to the gods, sages, and ancestors.
2.5.5	When they are interrupted, they should not do so. The one who builds a dam there shares the portion.
2.5.6	Therefore, one should avoid dams and wells built by others."
2.4.13	This explains the intercourse with a Cāṇḍāla woman.
2.4.14	But they also quote: A Brāhmaṇa who has gone to a Cāṇdālī, eaten and accepted gifts, falls due to ignorance, but by knowledge he attains equality.
2.4.15	Going to the wife of his father, preceptor, or king, out of carelessness, he becomes a preceptor-slayer. The redemption is as stated before.
2.5.7	But they also quote: Having taken out three balls, one should do it in emergencies, not always. In emergencies, one should take three balls of clay and three pots of water from the well.
2.5.8	Having performed a sacrifice for someone who is not worthy of receiving many gifts, or having performed a sacrifice for one who is not worthy, or having eaten the food of one who is not fit to eat, one should recite the Tarat-samandīya mantra.
2.4.16	One who is unable to earn a living by teaching, officiating at sacrifices, and receiving gifts should live by the duties of a warrior, because of the proximity of the duties of a brahmin.
2.4.17	Gautama says, "No," because the duties of a kshatriya are very harsh for a brahmin. Here is the text:
2.4.18	But they say, "In the case of a cow or a brahmin, or in the case of a mixture of castes, the brahmin and the kshatriya may take up arms, considering dharma."
2.5.9	And they say, "Those who mix up the teacher and the pupil, and those who mix up the food and the mantras, they go to the long darkness."
2.5.10	Now the vows of the Snātaka.
2.5.11	In the evening and morning, whatever food is not to be eaten, having offered that food as a Bali to the Viśvedevas, he should honour the Brahmins, Kṣatriyas, Vaiśyas and Śūdras who have come as guests according to his ability.
2.4.19	The livelihood of a vaiśya should be followed, because of its proximity.
2.4.20	A farmer should be before the morning meal.
2.4.21	He should not strike with the two ends of the plough, which are without nostrils, and should repeatedly raise it.
2.4.22	The wife and others are the fire, and the performance of rites in that is before the setting up of the fire.
2.5.12	If he is unable to give to many, he should give to one who is virtuous.
2.5.13	Or to the one who has come first.
2.5.14	If a Śūdra has come, he should be employed in work.
2.5.15	He should give the best food to the Brāhmaṇa.
2.5.16	Those who are permanent recipients of alms, for them sharing without obstruction is prescribed.
2.5.17	But one should never eat without giving.
2.4.23	Then, beginning with the Agni-installation, these are the eternal rites: the Agni-installation rite, the Agnihotra, the Darsha-Paurnamasa, the Agrayana, the animal sacrifice at the beginning of the northern and southern solstices, the Catu-r-masya sacrifices at the beginning of each season, the six Hotras in the spring, the Jyotishtoma. Thus, it leads to prosperity.
2.5.18	Here are two verses from the Annagita: He who eats without giving to his father, to the gods, to his servants, guests, and friends, eats poison out of delusion. I am that food, and I am his death. He who eats me with faith, having offered Agnihotra and Visvedeva, having honoured guests and servants, satisfied, pure, and believing, he is immortal, and he enjoys me.
2.4.24	But they say, “One cannot go to heaven by sleeping during the day, or by eating all kinds of food, or by climbing and falling.”
2.4.25	One should avoid weakness, deceit, and roughness.
2.5.19	To the Brahmanas, the Srotriyas, the Vedaparas, the Gurus, those who are engaged in the study of the Vedas, those who are exhausted by the performance of sacrifices, those who are about to perform sacrifices, those who have undertaken the study of the Veda, and those who are engaged with the Vaisvajit sacrifice, the distribution of wealth should be done according to their capacity, outside the Vedic altar.
